date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.369615	0.369615	0.354669	0.367696	5,595,246	24,116,730
Dec 15, 2020	0.361571	0.373832	0.354879	0.369622	6,807,033	24,243,104
Dec 14, 2020	0.367583	0.367583	0.354034	0.361568	4,221,279	23,714,813
Dec 13, 2020	0.355118	0.367728	0.349173	0.367584	4,325,161	24,109,404
Dec 12, 2020	0.340219	0.355817	0.340219	0.355444	2,690,318	23,313,141
Dec 11, 2020	0.364978	0.366421	0.335406	0.340315	4,114,293	22,320,849
Dec 10, 2020	0.385484	0.385484	0.358165	0.363910	2,214,880	23,868,464
Dec 09, 2020	0.397487	0.398773	0.355155	0.386976	18,266,537	25,381,325
Dec 08, 2020	0.371412	0.630201	0.370360	0.394654	119,821,861	25,884,894
Dec 07, 2020	0.357217	0.388499	0.351791	0.371579	5,668,703	24,371,433
Dec 06, 2020	0.371187	0.372943	0.349944	0.357335	3,392,763	23,437,219
Dec 05, 2020	0.347077	0.372154	0.342544	0.371275	2,897,409	24,351,477
Dec 04, 2020	0.395573	0.395667	0.344681	0.347175	3,145,845	22,770,812
Dec 03, 2020	0.373504	0.406288	0.372794	0.395776	15,888,530	25,958,495
Dec 02, 2020	0.360760	0.378910	0.349885	0.373513	6,199,179	24,498,272
Dec 01, 2020	0.344850	0.381310	0.326480	0.360676	7,399,720	23,656,317
Nov 30, 2020	0.340630	0.346858	0.331930	0.345084	1,964,994	22,633,692
Nov 29, 2020	0.340340	0.346879	0.332716	0.340710	3,455,812	22,346,772
Nov 28, 2020	0.332522	0.344020	0.326187	0.340600	3,771,138	22,339,537
Nov 27, 2020	0.329987	0.334738	0.311144	0.332508	2,662,218	21,808,841
Nov 26, 2020	0.369580	0.375735	0.304550	0.329313	3,364,984	21,599,286
Nov 25, 2020	0.351548	0.416090	0.351548	0.369826	15,527,208	24,256,479
Nov 24, 2020	0.322338	0.357523	0.316769	0.350865	8,099,840	23,012,855
Nov 23, 2020	0.316295	0.323223	0.309233	0.322333	4,132,107	21,141,461
Nov 22, 2020	0.316132	0.326492	0.304264	0.316305	3,287,629	20,746,074
Nov 21, 2020	0.302195	0.324542	0.299929	0.316129	3,070,737	20,734,514
Nov 20, 2020	0.298129	0.308189	0.298111	0.302200	2,405,412	19,820,938
Nov 19, 2020	0.300033	0.306506	0.293451	0.298132	2,875,161	19,554,158
Nov 18, 2020	0.304965	0.308522	0.295241	0.300126	2,634,447	19,684,939
Nov 17, 2020	0.310456	0.316899	0.301000	0.305121	3,824,666	20,012,529
Nov 16, 2020	0.309248	0.313932	0.304219	0.312167	3,225,173	20,474,685
Nov 15, 2020	0.316453	0.329984	0.305665	0.309275	2,879,324	20,284,969
Nov 14, 2020	0.305426	0.331341	0.304886	0.316483	6,202,606	20,757,784
Nov 13, 2020	0.294282	0.307476	0.294282	0.305372	3,191,437	20,029,023
Nov 12, 2020	0.306507	0.306507	0.290791	0.294296	2,637,976	19,302,534
Nov 11, 2020	0.306360	0.313907	0.301197	0.306439	2,881,682	20,098,988
Nov 10, 2020	0.294992	0.309010	0.294206	0.306339	875,430	20,092,392
Nov 09, 2020	0.295380	0.297759	0.282446	0.294999	2,175,093	19,348,635
Nov 08, 2020	0.286362	0.296872	0.284614	0.295376	2,205,642	19,373,401
Nov 07, 2020	0.302889	0.309570	0.278212	0.286360	1,929,685	18,782,026
Nov 06, 2020	0.285116	0.311066	0.283048	0.302888	5,757,181	19,866,078
Nov 05, 2020	0.276900	0.286787	0.274592	0.285118	2,520,975	18,700,578
Nov 04, 2020	0.277836	0.280882	0.267562	0.276899	2,616,322	18,161,497
Nov 03, 2020	0.299871	0.303907	0.276839	0.277476	2,914,514	18,199,347
Nov 02, 2020	0.281339	0.308530	0.275075	0.299874	6,805,095	19,668,369
Nov 01, 2020	0.283427	0.288228	0.275445	0.281339	2,077,968	18,452,724
Oct 31, 2020	0.277413	0.286899	0.275773	0.283427	1,539,201	18,589,652
Oct 30, 2020	0.294170	0.298107	0.275275	0.277413	2,707,067	18,195,225
Oct 29, 2020	0.292225	0.302295	0.288276	0.294170	1,982,106	19,294,278
Oct 28, 2020	0.307229	0.309019	0.291298	0.292222	2,563,252	19,166,481
Oct 27, 2020	0.303977	0.313621	0.301691	0.307227	2,081,444	20,150,645
Oct 26, 2020	0.312729	0.320134	0.299724	0.303977	3,020,611	19,937,490
Oct 25, 2020	0.323655	0.325799	0.311119	0.312729	2,703,488	20,511,543
Oct 24, 2020	0.324203	0.329109	0.318233	0.323655	2,980,193	21,228,186
Oct 23, 2020	0.313697	0.330958	0.311178	0.324203	4,251,727	21,264,114
Oct 22, 2020	0.318333	0.325393	0.306016	0.311827	2,684,389	20,452,358
Oct 21, 2020	0.306161	0.320198	0.304740	0.316355	3,146,069	20,749,380
Oct 20, 2020	0.308013	0.312823	0.298295	0.307384	2,603,720	20,160,983
Oct 19, 2020	0.318366	0.319210	0.306189	0.307623	2,514,329	20,176,609
Oct 18, 2020	0.314526	0.328351	0.309544	0.319094	3,014,515	20,929,012
Oct 17, 2020	0.308975	0.322875	0.308952	0.314516	3,547,104	20,628,765
Oct 16, 2020	0.325961	0.327090	0.308824	0.309802	4,022,451	20,319,554
Oct 15, 2020	0.321673	0.337763	0.321673	0.327373	3,945,584	21,472,003
Oct 14, 2020	0.326042	0.331214	0.316678	0.320658	4,774,167	21,031,558
Oct 13, 2020	0.329398	0.334611	0.321408	0.327401	2,783,280	21,473,825
Oct 12, 2020	0.331393	0.336620	0.321547	0.330155	4,812,340	21,619,837
Oct 11, 2020	0.325329	0.334387	0.325325	0.331287	5,026,237	21,693,924
Oct 10, 2020	0.340184	0.349914	0.325603	0.328745	9,887,164	21,527,460
Oct 09, 2020	0.321951	0.345775	0.314581	0.340823	9,338,161	22,318,406
Oct 08, 2020	0.303608	0.321194	0.293857	0.313245	4,900,956	20,512,494
Oct 07, 2020	0.298144	0.305192	0.293112	0.302178	5,275,575	19,787,759
Oct 06, 2020	0.301213	0.306868	0.294828	0.299277	5,874,666	19,597,833
Oct 05, 2020	0.301840	0.306919	0.297394	0.300284	5,427,977	19,663,749
Oct 04, 2020	0.304082	0.309520	0.295482	0.299903	4,683,156	19,638,812
Oct 03, 2020	0.299850	0.305899	0.295065	0.304086	4,453,075	19,912,686
Oct 02, 2020	0.302990	0.308392	0.295146	0.299282	6,139,798	19,598,150
Oct 01, 2020	0.310928	0.320036	0.299918	0.304523	6,073,465	19,941,301
Sep 30, 2020	0.317361	0.320020	0.307519	0.311815	5,816,739	20,418,825
Sep 29, 2020	0.321449	0.321938	0.309114	0.316142	4,267,616	20,702,176
Sep 28, 2020	0.303722	0.323909	0.298946	0.323716	2,983,068	21,198,161
Sep 27, 2020	0.299371	0.306216	0.293162	0.303119	2,122,784	19,849,363
Sep 26, 2020	0.307618	0.310313	0.295850	0.299430	2,160,635	19,607,817
Sep 25, 2020	0.296472	0.308949	0.286659	0.306885	2,257,785	20,095,988
Sep 24, 2020	0.281504	0.299166	0.279283	0.296542	2,263,168	19,418,707
Sep 23, 2020	0.290409	0.301113	0.279560	0.282698	2,338,852	18,512,115
Sep 22, 2020	0.288572	0.294340	0.285249	0.290945	2,052,958	19,052,191
Sep 21, 2020	0.301051	0.311650	0.283689	0.288375	2,397,805	18,883,882
Sep 20, 2020	0.307976	0.317184	0.298480	0.301066	2,525,689	19,714,978
Sep 19, 2020	0.309362	0.313192	0.303857	0.307678	2,248,046	20,147,953
Sep 18, 2020	0.315039	0.320978	0.308048	0.308851	2,442,140	20,224,757
Sep 17, 2020	0.317559	0.322834	0.310285	0.315039	2,189,511	20,629,942
Sep 16, 2020	0.310137	0.324500	0.302193	0.317595	2,647,301	20,797,358
Sep 15, 2020	0.329480	0.330826	0.307826	0.310375	2,757,888	20,324,559
Sep 14, 2020	0.332622	0.334226	0.321037	0.329738	3,305,377	21,592,487
Sep 13, 2020	0.330914	0.362273	0.320340	0.332681	8,477,842	21,785,194
Sep 12, 2020	0.327763	0.341830	0.324207	0.330914	3,640,892	21,669,514
Sep 11, 2020	0.318694	0.340483	0.307382	0.327763	3,699,671	21,463,174
Sep 10, 2020	0.301916	0.322637	0.300267	0.318643	3,024,644	20,865,978
Sep 09, 2020	0.289898	0.306279	0.285693	0.301921	2,691,400	19,770,938
Sep 08, 2020	0.297999	0.302921	0.283702	0.289958	2,955,370	18,987,533
Sep 07, 2020	0.302525	0.304820	0.281983	0.298246	3,692,678	19,530,269
Sep 06, 2020	0.308311	0.310967	0.288987	0.302177	3,441,913	19,787,694
Sep 05, 2020	0.303296	0.352683	0.288857	0.308311	9,285,931	20,189,353
Sep 04, 2020	0.288758	0.312944	0.288500	0.303268	3,010,650	19,859,150
Sep 03, 2020	0.347351	0.349375	0.289436	0.289586	3,442,240	18,963,192
Sep 02, 2020	0.366190	0.371313	0.338358	0.347452	4,010,847	22,752,465
Sep 01, 2020	0.373989	0.380078	0.363773	0.366316	4,245,051	23,987,792
Aug 31, 2020	0.379327	0.382994	0.366130	0.373647	3,466,125	24,467,841
Aug 30, 2020	0.377622	0.383072	0.375735	0.379152	3,124,941	24,828,353
Aug 29, 2020	0.369973	0.379596	0.362613	0.377625	3,913,443	24,728,335
Aug 28, 2020	0.362520	0.382623	0.359808	0.369617	3,921,670	24,203,940
Aug 27, 2020	0.383478	0.383558	0.345329	0.362624	5,173,761	23,745,998
Aug 26, 2020	0.375513	0.386056	0.359761	0.383768	4,684,366	25,130,602
Aug 25, 2020	0.408106	0.412122	0.360695	0.375857	6,348,327	24,612,548
Aug 24, 2020	0.401481	0.415215	0.394138	0.407640	5,458,919	26,693,818
Aug 23, 2020	0.409204	0.421218	0.400171	0.401844	6,489,276	26,314,310
Aug 22, 2020	0.386207	0.463404	0.370560	0.410067	23,297,142	26,852,724
Aug 21, 2020	0.370576	0.398505	0.362294	0.386207	8,379,728	25,290,323
Aug 20, 2020	0.352537	0.371422	0.347320	0.370221	3,933,679	24,243,482
Aug 19, 2020	0.375733	0.376849	0.344357	0.352645	4,776,576	23,092,521
Aug 18, 2020	0.389802	0.395415	0.367747	0.375733	4,542,376	24,604,434
Aug 17, 2020	0.386027	0.397429	0.379172	0.390316	5,744,819	25,559,385
Aug 16, 2020	0.391315	0.392462	0.375119	0.386027	4,859,754	25,278,512
Aug 15, 2020	0.374085	0.393020	0.369583	0.391177	5,127,547	25,615,791
Aug 14, 2020	0.373560	0.391524	0.366084	0.374366	6,450,608	24,514,900
Aug 13, 2020	0.369959	0.375181	0.352565	0.373312	5,344,843	24,445,871
Aug 12, 2020	0.371172	0.376879	0.353993	0.370252	5,524,361	24,245,509
Aug 11, 2020	0.355285	0.384961	0.352866	0.371220	9,447,315	24,308,908
Aug 10, 2020	0.359561	0.360465	0.344773	0.355232	4,781,415	23,261,963
Aug 09, 2020	0.349096	0.360370	0.341590	0.359421	4,297,553	23,536,261
Aug 08, 2020	0.338823	0.352152	0.333575	0.349520	3,298,185	22,887,873
Aug 07, 2020	0.337130	0.341791	0.330164	0.338800	2,984,134	22,185,894
Aug 06, 2020	0.332361	0.339870	0.328092	0.337180	3,050,406	22,079,863
Aug 05, 2020	0.334491	0.336491	0.327878	0.332238	3,278,174	21,756,244
Aug 04, 2020	0.329463	0.338669	0.325873	0.334954	2,809,803	21,934,072
Aug 03, 2020	0.325980	0.332526	0.323176	0.329472	2,945,089	21,575,078
Aug 02, 2020	0.331647	0.341495	0.314682	0.325598	4,252,333	21,321,376
Aug 01, 2020	0.325968	0.332858	0.324655	0.331438	3,081,606	21,703,826
Jul 31, 2020	0.334144	0.336079	0.324300	0.325968	3,113,294	21,345,658
Jul 30, 2020	0.334824	0.349308	0.331443	0.334657	4,111,649	21,914,649
Jul 29, 2020	0.327085	0.346137	0.323706	0.335051	4,472,363	21,940,433
Jul 28, 2020	0.319811	0.330521	0.316029	0.326976	3,874,689	21,411,660
Jul 27, 2020	0.339620	0.339958	0.309091	0.320101	5,479,240	20,961,431
Jul 26, 2020	0.345576	0.360341	0.330576	0.339332	5,334,897	22,220,726
Jul 25, 2020	0.351582	0.366314	0.345429	0.345969	4,095,959	22,655,373
Jul 24, 2020	0.362911	0.363326	0.350744	0.351387	3,822,946	23,010,195
Jul 23, 2020	0.370843	0.390642	0.352675	0.362829	7,788,272	23,759,399
Jul 22, 2020	0.350290	0.382108	0.341639	0.370219	10,696,597	24,243,350
Jul 21, 2020	0.341764	0.354125	0.335905	0.350364	5,045,343	22,943,205
Jul 20, 2020	0.338289	0.354231	0.332037	0.341737	5,982,439	22,378,254
