date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.003690	0.004692	0.003295	0.003622	7,214.72	756,328
Dec 15, 2020	0.003465	0.003709	0.003436	0.003690	354.84	770,191
Dec 14, 2020	0.003254	0.003832	0.003065	0.003466	1,820.80	723,127
Dec 13, 2020	0.003197	0.003479	0.003059	0.003255	959.38	678,850
Dec 12, 2020	0.003070	0.003325	0.002934	0.003196	291.12	666,226
Dec 11, 2020	0.003105	0.003422	0.002846	0.003072	1,206.18	640,250
Dec 10, 2020	0.003340	0.003340	0.002934	0.003106	661.46	647,117
Dec 09, 2020	0.003298	0.003507	0.002912	0.003342	973.80	695,892
Dec 08, 2020	0.003455	0.003462	0.002930	0.003299	1,222.69	686,743
Dec 07, 2020	0.003674	0.003688	0.003244	0.003455	846.78	719,052
Dec 06, 2020	0.003639	0.003854	0.003409	0.003674	638.25	764,259
Dec 05, 2020	0.003366	0.004012	0.003346	0.003638	1,522.20	755,958
Dec 04, 2020	0.003695	0.004049	0.003365	0.003377	1,064.67	701,444
Dec 03, 2020	0.003841	0.004073	0.003048	0.003694	3,176.96	767,117
Dec 02, 2020	0.003385	0.004035	0.003343	0.003841	1,775.86	797,396
Dec 01, 2020	0.003729	0.004507	0.003111	0.003385	6,364.32	702,356
Nov 30, 2020	0.003272	0.003742	0.003136	0.003729	1,141.27	773,533
Nov 29, 2020	0.003366	0.003464	0.003060	0.003272	659.67	678,461
Nov 28, 2020	0.003251	0.003549	0.003045	0.003366	1,474.47	697,756
Nov 27, 2020	0.003086	0.003442	0.002860	0.003251	1,870.36	673,510
Nov 26, 2020	0.003559	0.003947	0.002350	0.003082	3,903.45	638,347
Nov 25, 2020	0.003249	0.003929	0.003159	0.003564	3,736.72	737,896
Nov 24, 2020	0.003490	0.003810	0.002311	0.003245	5,964.07	671,629
Nov 23, 2020	0.003490	0.003909	0.003120	0.003487	1,706.26	721,377
Nov 22, 2020	0.003728	0.004072	0.003466	0.003491	2,918.82	721,864
Nov 21, 2020	0.003724	0.004307	0.003504	0.003728	2,196.12	770,307
Nov 20, 2020	0.003742	0.004090	0.003505	0.003724	1,117.96	769,197
Nov 19, 2020	0.003738	0.003954	0.003588	0.003742	524.76	772,474
Nov 18, 2020	0.003882	0.004310	0.003357	0.003741	1,817.16	771,951
Nov 17, 2020	0.003505	0.003914	0.003482	0.003887	173.22	801,829
Nov 16, 2020	0.003670	0.004103	0.003145	0.003511	3,780.28	724,086
Nov 15, 2020	0.004017	0.004021	0.003486	0.003671	1,416.49	756,787
Nov 14, 2020	0.003916	0.004026	0.003481	0.004019	291.58	828,123
Nov 13, 2020	0.003744	0.004109	0.003539	0.003915	985.19	806,367
Nov 12, 2020	0.003612	0.004004	0.003435	0.003745	2,790.15	771,050
Nov 11, 2020	0.003670	0.003951	0.003364	0.003610	892.53	742,947
Nov 10, 2020	0.003680	0.003846	0.003327	0.003670	1,038.69	755,001
Nov 09, 2020	0.003251	0.003856	0.003238	0.003680	824.27	756,849
Nov 08, 2020	0.003708	0.004164	0.002910	0.003251	2,232.86	668,288
Nov 07, 2020	0.003891	0.004053	0.003606	0.003708	344.46	761,682
Nov 06, 2020	0.004051	0.004135	0.003550	0.003891	638.55	798,983
Nov 05, 2020	0.003816	0.004308	0.003700	0.004051	781.06	831,385
Nov 04, 2020	0.003487	0.004980	0.002746	0.003814	6,498.59	782,567
Nov 03, 2020	0.003658	0.004149	0.003065	0.003479	1,002.29	713,423
Nov 02, 2020	0.003572	0.003711	0.003256	0.003661	117.29	750,497
Nov 01, 2020	0.003307	0.003864	0.003276	0.003565	564.78	730,602
Oct 31, 2020	0.003658	0.003700	0.003232	0.003307	999.50	677,433
Oct 30, 2020	0.003360	0.003718	0.003293	0.003663	573.25	750,142
Oct 29, 2020	0.003451	0.004119	0.003313	0.003362	1,875.82	688,262
Oct 28, 2020	0.003960	0.004013	0.003298	0.003451	1,973.32	706,187
Oct 27, 2020	0.004707	0.004726	0.002873	0.003955	6,578.77	808,993
Oct 26, 2020	0.004561	0.005360	0.004237	0.004706	3,763.61	962,200
Oct 25, 2020	0.004981	0.005091	0.004424	0.004561	1,198.98	932,191
Oct 24, 2020	0.005173	0.005579	0.004921	0.004981	1,029.22	1,017,076
Oct 23, 2020	0.005316	0.005408	0.005148	0.005171	1,023.19	1,055,521
Oct 22, 2020	0.005258	0.005574	0.005214	0.005316	1,100.12	1,083,641
Oct 21, 2020	0.005124	0.005406	0.004879	0.005258	1,461.23	1,071,759
Oct 20, 2020	0.004814	0.005263	0.004791	0.005124	267.88	1,044,502
Oct 19, 2020	0.004708	0.005010	0.004677	0.004814	261.79	980,558
Oct 18, 2020	0.004657	0.004928	0.004653	0.004708	28.06	958,957
Oct 17, 2020	0.004642	0.004779	0.004627	0.004657	221.63	947,794
Oct 16, 2020	0.004598	0.004771	0.004489	0.004642	1,241.15	944,791
Oct 15, 2020	0.004800	0.004800	0.004523	0.004598	1,519.89	935,651
Oct 14, 2020	0.004570	0.004921	0.004436	0.004800	4,603.67	976,440
Oct 13, 2020	0.004622	0.004705	0.004432	0.004570	886.28	929,294
Oct 12, 2020	0.004554	0.004741	0.004428	0.004622	272.65	939,433
Oct 11, 2020	0.004744	0.004776	0.004433	0.004554	675.39	924,502
Oct 10, 2020	0.004536	0.004806	0.004517	0.004744	386.15	962,870
Oct 09, 2020	0.004366	0.004764	0.004235	0.004536	334.14	920,296
Oct 08, 2020	0.004268	0.004692	0.004225	0.004366	470.46	885,432
Oct 07, 2020	0.004242	0.004477	0.004126	0.004268	1,680.34	865,082
Oct 06, 2020	0.004965	0.005171	0.003904	0.004242	2,223.72	859,521
Oct 05, 2020	0.004801	0.005042	0.004786	0.004965	261.19	1,005,660
Oct 04, 2020	0.005064	0.005388	0.004663	0.004801	2,042.88	972,063
Oct 03, 2020	0.005288	0.005703	0.004756	0.005064	5,413.92	1,024,898
Oct 02, 2020	0.004991	0.006199	0.004585	0.005288	12,182.46	1,069,888
Oct 01, 2020	0.005177	0.005357	0.004971	0.004991	201.78	1,009,444
Sep 30, 2020	0.005097	0.005410	0.005097	0.005177	492.85	1,046,580
Sep 29, 2020	0.005676	0.005687	0.005024	0.005097	597.56	1,030,051
Sep 28, 2020	0.005172	0.005801	0.005104	0.005676	2,597.09	1,146,645
Sep 27, 2020	0.005805	0.005831	0.005048	0.005172	1,658.29	1,043,796
Sep 26, 2020	0.005026	0.005807	0.004694	0.005805	6,769.73	1,171,160
Sep 25, 2020	0.004842	0.005028	0.004495	0.005026	1,307.72	1,013,451
Sep 24, 2020	0.004508	0.004847	0.004502	0.004842	991.00	976,058
Sep 23, 2020	0.004846	0.005268	0.004322	0.004508	3,922.25	908,442
Sep 22, 2020	0.005015	0.005669	0.004742	0.004846	6,461.34	976,382
Sep 21, 2020	0.004918	0.005243	0.004532	0.005016	2,080.06	1,010,117
Sep 20, 2020	0.004879	0.005228	0.004667	0.004918	1,235.34	989,976
Sep 19, 2020	0.004921	0.005154	0.004751	0.004879	4,380.39	981,799
Sep 18, 2020	0.004814	0.005042	0.004795	0.004919	755.32	989,530
Sep 17, 2020	0.004934	0.004969	0.004805	0.004814	1,372.35	968,052
Sep 16, 2020	0.005072	0.005087	0.004847	0.004934	4,292.17	991,731
Sep 15, 2020	0.004912	0.005107	0.004790	0.005073	2,786.55	1,019,177
Sep 14, 2020	0.004752	0.005133	0.004726	0.004910	777.44	986,202
Sep 13, 2020	0.004808	0.004961	0.004617	0.004751	1,906.83	953,853
Sep 12, 2020	0.004992	0.004995	0.004657	0.004808	3,007.90	964,279
Sep 11, 2020	0.004864	0.004995	0.004715	0.004991	1,349.78	1,000,624
Sep 10, 2020	0.004809	0.005102	0.004731	0.004864	1,559.56	974,831
Sep 09, 2020	0.004760	0.004937	0.004635	0.004809	409.17	963,373
Sep 08, 2020	0.004873	0.004903	0.004580	0.004760	875.87	953,184
Sep 07, 2020	0.004824	0.004903	0.004560	0.004871	2,210.60	975,129
Sep 06, 2020	0.004880	0.005142	0.004708	0.004824	1,537.99	965,256
Sep 05, 2020	0.005137	0.005177	0.004714	0.004880	1,003.17	976,089
Sep 04, 2020	0.005206	0.005234	0.004882	0.005138	619.89	1,027,404
Sep 03, 2020	0.005695	0.005716	0.004855	0.005204	1,346.36	1,040,124
Sep 02, 2020	0.006087	0.006097	0.005518	0.005695	1,369.60	1,137,896
Sep 01, 2020	0.006066	0.006499	0.005635	0.006087	3,936.74	1,215,549
Aug 31, 2020	0.006090	0.006460	0.005839	0.006068	3,846.39	1,211,381
Aug 30, 2020	0.006666	0.006667	0.005911	0.006088	3,184.75	1,214,967
Aug 29, 2020	0.006458	0.006670	0.006094	0.006669	2,517.65	1,329,482
Aug 28, 2020	0.006447	0.006510	0.006243	0.006456	581.13	1,286,609
Aug 27, 2020	0.006429	0.006458	0.006139	0.006447	270.13	1,284,263
Aug 26, 2020	0.006468	0.006686	0.006381	0.006431	733.46	1,280,542
Aug 25, 2020	0.006826	0.006827	0.006387	0.006476	960.79	1,289,072
Aug 24, 2020	0.006994	0.007402	0.006793	0.006827	659.80	1,358,364
Aug 23, 2020	0.006771	0.007116	0.006530	0.006994	1,330.56	1,391,035
Aug 22, 2020	0.006125	0.007300	0.005897	0.006772	9,680.54	1,346,344
Aug 21, 2020	0.006292	0.006529	0.005964	0.006123	2,471.05	1,216,812
Aug 20, 2020	0.006458	0.006522	0.006166	0.006293	1,323.90	1,250,182
Aug 19, 2020	0.006703	0.006731	0.006209	0.006458	535.64	1,282,405
Aug 18, 2020	0.006612	0.006909	0.006440	0.006704	1,767.33	1,330,689
Aug 17, 2020	0.006667	0.006803	0.006183	0.006614	3,520.17	1,312,333
Aug 16, 2020	0.006770	0.006800	0.006507	0.006667	1,839.76	1,322,358
Aug 15, 2020	0.006822	0.007696	0.006746	0.006771	1,581.36	1,341,691
Aug 14, 2020	0.006125	0.007667	0.005877	0.006823	7,102.89	1,351,400
Aug 13, 2020	0.006136	0.006348	0.005859	0.006127	1,852.05	1,213,106
Aug 12, 2020	0.005811	0.006339	0.005623	0.006136	1,714.12	1,214,452
Aug 11, 2020	0.006301	0.006557	0.005793	0.005808	4,563.07	1,149,143
Aug 10, 2020	0.006313	0.006388	0.005967	0.006299	1,617.26	1,245,612
Aug 09, 2020	0.006587	0.006605	0.005712	0.006311	7,390.45	1,247,522
Aug 08, 2020	0.007078	0.007210	0.006119	0.006584	6,672.50	1,301,117
Aug 07, 2020	0.007300	0.007379	0.006640	0.007074	1,605.94	1,397,398
Aug 06, 2020	0.007399	0.007601	0.007117	0.007301	942.56	1,441,502
Aug 05, 2020	0.006832	0.007483	0.006539	0.007399	1,289.23	1,460,381
Aug 04, 2020	0.007422	0.007526	0.006511	0.006831	1,647.32	1,347,773
Aug 03, 2020	0.006970	0.007541	0.006514	0.007423	4,133.33	1,463,988
Aug 02, 2020	0.007532	0.007561	0.006173	0.006966	6,893.56	1,373,341
Aug 01, 2020	0.007245	0.008677	0.006834	0.007532	11,498.58	1,484,359
Jul 31, 2020	0.005772	0.007943	0.005762	0.007245	22,309.76	1,427,230
Jul 30, 2020	0.005548	0.006567	0.005220	0.005773	4,536.11	1,136,670
Jul 29, 2020	0.005238	0.005656	0.005209	0.005543	654.81	1,091,078
Jul 28, 2020	0.005272	0.006145	0.004997	0.005236	15,892.76	1,030,238
Jul 27, 2020	0.004853	0.005442	0.004809	0.005279	612.72	1,038,289
Jul 26, 2020	0.004840	0.004931	0.004731	0.004853	1,100.03	954,117
Jul 25, 2020	0.004768	0.005006	0.004591	0.004839	1,197.54	950,927
Jul 24, 2020	0.004888	0.005091	0.004561	0.004768	803.24	936,573
Jul 23, 2020	0.005049	0.005059	0.004650	0.004887	2,340.02	959,610
Jul 22, 2020	0.005246	0.005247	0.004760	0.005049	1,323.86	991,129
Jul 21, 2020	0.004574	0.005246	0.004393	0.005246	2,660.29	1,029,325
Jul 20, 2020	0.004690	0.004802	0.004392	0.004574	1,834.50	897,150
Jul 19, 2020	0.004759	0.004983	0.004569	0.004683	889.31	918,166
Jul 18, 2020	0.004940	0.005064	0.004576	0.004759	2,185.46	932,071
Jul 17, 2020	0.005020	0.005072	0.004817	0.004940	772.07	967,101
Jul 16, 2020	0.004869	0.005167	0.004811	0.005020	750.86	982,476
Jul 15, 2020	0.004988	0.005297	0.004698	0.004870	1,757.21	952,582
Jul 14, 2020	0.005077	0.005423	0.004803	0.004988	3,326.84	975,368
Jul 13, 2020	0.005102	0.005323	0.004982	0.005106	1,261.82	998,108
Jul 12, 2020	0.005083	0.005295	0.004882	0.005102	1,696.09	996,885
Jul 11, 2020	0.005104	0.005183	0.004886	0.005083	890.24	992,638
Jul 10, 2020	0.005189	0.005201	0.004861	0.005105	1,517.35	996,557
Jul 09, 2020	0.005470	0.005647	0.005086	0.005188	2,960.76	1,012,360
Jul 08, 2020	0.005646	0.006218	0.005173	0.005470	10,311.00	1,067,015
Jul 07, 2020	0.004748	0.005671	0.004567	0.005645	12,391.64	1,100,548
Jul 06, 2020	0.004530	0.004789	0.004360	0.004748	2,114.26	925,445
Jul 05, 2020	0.004450	0.004649	0.004318	0.004530	266.73	881,888
Jul 04, 2020	0.004445	0.004676	0.004430	0.004466	168.14	869,158
Jul 03, 2020	0.004461	0.004582	0.004089	0.004445	1,293.04	864,738
Jul 02, 2020	0.004797	0.004822	0.004281	0.004462	1,515.98	867,614
Jul 01, 2020	0.004655	0.004931	0.004277	0.004795	2,049.77	932,004
Jun 30, 2020	0.004396	0.004794	0.004275	0.004655	668.11	904,556
Jun 29, 2020	0.004469	0.004509	0.004344	0.004397	150.79	853,955
Jun 28, 2020	0.004511	0.004604	0.004312	0.004469	296.90	867,695
Jun 27, 2020	0.004758	0.004796	0.004285	0.004511	432.90	875,536
Jun 26, 2020	0.004810	0.005015	0.004490	0.004758	538.93	923,072
Jun 25, 2020	0.004653	0.005044	0.004533	0.004811	1,690.51	932,790
Jun 24, 2020	0.004721	0.004829	0.004572	0.004650	1,003.46	901,294
Jun 23, 2020	0.004825	0.005095	0.004422	0.004719	3,632.56	914,256
Jun 22, 2020	0.004463	0.004922	0.004461	0.004922	2,209.11	953,116
Jun 21, 2020	0.004753	0.005495	0.004005	0.004463	10,100.58	863,324
Jun 20, 2020	0.004826	0.004966	0.003897	0.004756	4,625.61	919,658
Jun 19, 2020	0.004993	0.005170	0.004814	0.004826	465.15	932,921
