date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.003288	0.003431	0.003045	0.003192	8,942,654	33,870,994
Dec 15, 2020	0.003140	0.003629	0.003108	0.003305	13,958,904	35,076,268
Dec 14, 2020	0.003263	0.003263	0.003072	0.003131	2,226,505	33,228,437
Dec 13, 2020	0.003184	0.003376	0.003130	0.003263	7,923,761	34,622,598
Dec 12, 2020	0.002986	0.003275	0.002959	0.003184	5,916,327	33,787,303
Dec 11, 2020	0.003199	0.003330	0.002913	0.003013	6,304,334	31,971,901
Dec 10, 2020	0.003390	0.003406	0.003042	0.003199	8,274,111	33,945,667
Dec 09, 2020	0.003317	0.003543	0.002688	0.003408	26,436,360	36,165,199
Dec 08, 2020	0.004281	0.004604	0.003127	0.003308	26,228,719	35,080,192
Dec 07, 2020	0.005050	0.005115	0.004077	0.004272	58,914,963	45,303,396
Dec 06, 2020	0.004058	0.005315	0.003906	0.005032	132,095,094	53,353,200
Dec 05, 2020	0.002264	0.004634	0.002165	0.004014	209,995,377	42,077,460
Dec 04, 2020	0.002398	0.002416	0.002143	0.002255	2,719,454	23,505,032
Dec 03, 2020	0.002208	0.002569	0.002018	0.002398	18,651,461	24,991,329
Dec 02, 2020	0.002449	0.002624	0.001948	0.002226	14,701,410	23,163,228
Dec 01, 2020	0.001532	0.003262	0.001505	0.002431	111,720,735	25,293,000
Nov 30, 2020	0.001480	0.001751	0.001437	0.001523	12,991,898	15,812,144
Nov 29, 2020	0.001419	0.001498	0.001411	0.001471	1,450,297	15,275,458
Nov 28, 2020	0.001392	0.001471	0.001347	0.001428	1,746,386	14,829,397
Nov 27, 2020	0.000806	0.001410	0.000802	0.001392	2,186,948	14,455,201
Nov 26, 2020	0.001092	0.001329	0.000776	0.000806	2,724,109	8,368,267
Nov 25, 2020	0.001297	0.001308	0.001090	0.001092	3,097,059	11,338,136
Nov 24, 2020	0.001169	0.001339	0.001165	0.001296	3,604,901	13,459,824
Nov 23, 2020	0.001034	0.001436	0.000844	0.001169	22,392,856	12,141,227
Nov 22, 2020	0.001052	0.002279	0.000891	0.001034	17,856,916	10,717,125
Nov 21, 2020	0.001206	0.002178	0.001003	0.001052	900,830	10,903,727
Nov 20, 2020	0.001153	0.002077	0.000964	0.001206	1,783,248	12,500,358
Nov 19, 2020	0.001129	0.001173	0.000900	0.001153	652,562	11,957,270
Nov 18, 2020	0.000948	0.001341	0.000699	0.001129	824,930	11,704,675
Nov 17, 2020	0.001288	0.001371	0.000651	0.000947	1,081,783	9,822,281
Nov 16, 2020	0.001190	0.001352	0.001001	0.001046	3,833,448	10,843,751
Nov 15, 2020	0.001254	0.001277	0.000977	0.001190	704,976	12,293,460
Nov 14, 2020	0.001343	0.001352	0.001188	0.001254	1,547,573	12,946,761
Nov 13, 2020	0.001469	0.001469	0.001288	0.001343	5,549,090	13,871,661
Nov 12, 2020	0.001255	0.002063	0.001232	0.001469	36,441,054	15,167,435
Nov 11, 2020	0.001172	0.001292	0.001142	0.001255	1,916,227	12,900,885
Nov 10, 2020	0.001183	0.001183	0.001133	0.001172	874,851	12,050,577
Nov 09, 2020	0.001125	0.001242	0.001099	0.001183	4,605,388	12,155,466
Nov 08, 2020	0.001113	0.001148	0.001078	0.001125	459,349	11,560,305
Nov 07, 2020	0.001200	0.001246	0.001060	0.001113	2,304,908	11,439,131
Nov 06, 2020	0.001117	0.001201	0.001062	0.001200	1,231,062	12,332,105
Nov 05, 2020	0.001126	0.001151	0.001077	0.001117	739,452	11,511,305
Nov 04, 2020	0.001066	0.001158	0.001048	0.001126	656,552	11,602,858
Nov 03, 2020	0.001034	0.001088	0.001019	0.001066	1,494,615	10,992,078
Nov 02, 2020	0.001051	0.001070	0.001006	0.001034	829,887	10,661,878
Nov 01, 2020	0.001077	0.001099	0.001017	0.001050	679,363	10,573,352
Oct 31, 2020	0.001019	0.001172	0.001002	0.001076	4,547,264	10,838,562
Oct 30, 2020	0.001060	0.001068	0.000987	0.001019	1,010,400	10,259,042
Oct 29, 2020	0.001138	0.001157	0.001040	0.001060	925,973	10,674,335
Oct 28, 2020	0.001216	0.001224	0.001110	0.001138	1,029,456	11,368,907
Oct 27, 2020	0.001268	0.001304	0.001199	0.001216	1,577,972	11,983,221
