date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.058381	0.058468	0.044651	0.044940	183,694	7,149,862
Dec 15, 2020	0.065303	0.065303	0.046387	0.058381	273,420	9,288,326
Dec 14, 2020	0.055857	0.065422	0.052166	0.065417	256,117	10,407,746
Dec 13, 2020	0.048084	0.055878	0.044940	0.055858	310,676	8,886,810
Dec 12, 2020	0.048333	0.048931	0.040637	0.048085	159,168	7,650,205
Dec 11, 2020	0.044407	0.048602	0.038999	0.048333	223,671	7,689,630
Dec 10, 2020	0.045968	0.054661	0.044158	0.044406	290,756	7,064,913
Dec 09, 2020	0.046973	0.056568	0.034845	0.045969	458,422	0
Dec 08, 2020	0.046176	0.063944	0.044524	0.046974	682,667	0
Dec 07, 2020	0.030423	0.075509	0.028556	0.046176	1,929,828	0
Dec 06, 2020	0.022737	0.030532	0.020741	0.030422	425,226	0
Dec 05, 2020	0.018119	0.024849	0.016893	0.022735	423,363	0
Dec 04, 2020	0.010294	0.019403	0.010277	0.018126	317,766	0
Dec 03, 2020	0.010169	0.010341	0.009999	0.010294	48,920.53	0
Dec 02, 2020	0.010013	0.010238	0.009928	0.010170	45,017.81	0
Dec 01, 2020	0.010738	0.010753	0.009806	0.010014	48,052.97	0
Nov 30, 2020	0.010618	0.010789	0.010310	0.010737	60,766.95	0
Nov 29, 2020	0.010265	0.010754	0.010189	0.010618	41,588.60	0
Nov 28, 2020	0.010063	0.010399	0.009918	0.010265	33,479.61	0
Nov 27, 2020	0.009485	0.010124	0.009205	0.010063	55,886.45	0
Nov 26, 2020	0.010009	0.010050	0.009301	0.009485	47,262.95	0
Nov 25, 2020	0.010389	0.010459	0.009743	0.010009	35,352.05	0
Nov 24, 2020	0.011093	0.011093	0.010333	0.010390	75,953.62	0
Nov 23, 2020	0.010204	0.011094	0.010163	0.011093	10,810.04	0
Nov 22, 2020	0.009926	0.010952	0.009804	0.010205	85,728.02	0
Nov 21, 2020	0.007855	0.009933	0.007792	0.009926	89,220.12	0
Nov 20, 2020	0.007382	0.008104	0.007382	0.007855	52,163.44	0
Nov 19, 2020	0.007526	0.007658	0.007317	0.007382	50,326.31	0
Nov 18, 2020	0.007691	0.007735	0.007324	0.007526	48,328.13	0
Nov 17, 2020	0.007951	0.008070	0.007408	0.007692	53,945.84	0
Nov 16, 2020	0.008106	0.008336	0.007644	0.007929	48,784.85	0
Nov 15, 2020	0.007928	0.008611	0.007670	0.008106	29,448.68	0
Nov 14, 2020	0.008213	0.008469	0.007842	0.007928	30,904.00	0
Nov 13, 2020	0.008334	0.008397	0.008115	0.008211	3,431.85	0
Nov 12, 2020	0.009035	0.009035	0.008308	0.008335	55,537.88	0
Nov 11, 2020	0.008764	0.009112	0.008764	0.009034	56,823.84	0
Nov 10, 2020	0.009094	0.009812	0.008740	0.008764	62,813.39	0
Nov 09, 2020	0.009220	0.009301	0.008978	0.009094	32,378.25	0
Nov 08, 2020	0.008342	0.009274	0.008264	0.009220	49,229.07	0
Nov 07, 2020	0.008644	0.008828	0.008241	0.008340	16,684.42	0
Nov 06, 2020	0.008514	0.008705	0.008335	0.008644	50,885.64	0
Nov 05, 2020	0.008628	0.008809	0.008356	0.008514	44,182.66	0
Nov 04, 2020	0.008543	0.008695	0.008369	0.008627	45,017.11	0
Nov 03, 2020	0.008412	0.008554	0.008291	0.008534	31,370.61	0
Nov 02, 2020	0.008623	0.008666	0.008344	0.008413	44,654.02	0
Nov 01, 2020	0.008643	0.008677	0.008523	0.008618	43,753.00	0
Oct 31, 2020	0.008618	0.008746	0.008573	0.008642	47,712.80	0
Oct 30, 2020	0.008625	0.008696	0.008488	0.008622	44,738.82	0
Oct 29, 2020	0.008782	0.008809	0.008382	0.008627	44,058.13	0
Oct 28, 2020	0.008697	0.009527	0.008340	0.008782	49,702.57	0
Oct 27, 2020	0.008927	0.009228	0.008675	0.008694	39,475.46	0
Oct 26, 2020	0.008710	0.009054	0.008658	0.008927	43,173.00	0
Oct 25, 2020	0.008758	0.008787	0.008658	0.008708	23,602.21	0
Oct 24, 2020	0.008618	0.009111	0.008596	0.008759	42,957.79	0
Oct 23, 2020	0.009057	0.009085	0.008597	0.008617	38,622.01	0
Oct 22, 2020	0.008775	0.009221	0.008263	0.009057	45,513.11	0
Oct 21, 2020	0.008990	0.009003	0.007183	0.008775	51,614.02	0
Oct 20, 2020	0.009774	0.010033	0.008956	0.008990	38,001.73	0
Oct 19, 2020	0.011058	0.011076	0.008502	0.009774	38,640.28	0
Oct 18, 2020	0.011124	0.012802	0.008469	0.011058	50,847.88	0
Oct 17, 2020	0.011738	0.013271	0.008143	0.011124	40,296.38	0
Oct 16, 2020	0.012180	0.014508	0.011697	0.011738	94,504.27	0
Oct 15, 2020	0.008820	0.014653	0.008797	0.012180	178,093	0
Oct 14, 2020	0.008679	0.008942	0.008597	0.008820	85,782.25	0
Oct 13, 2020	0.011349	0.022172	0.008608	0.008657	219,718	0
Oct 12, 2020	0.036024	0.044970	0.010479	0.011349	126,768	0
Oct 11, 2020	0.041758	0.041924	0.036005	0.036024	33,064.72	0
Oct 10, 2020	0.045843	0.046357	0.041738	0.041758	166,273	0
Oct 09, 2020	0.045540	0.046179	0.045413	0.045839	122,950	0
Oct 08, 2020	0.046651	0.046666	0.045086	0.045540	102,030	0
Oct 07, 2020	0.047083	0.047244	0.046329	0.046651	117,779	0
Oct 06, 2020	0.050517	0.050568	0.046937	0.047083	142,539	0
Oct 05, 2020	0.050967	0.051350	0.050339	0.050517	152,592	0
Oct 04, 2020	0.053117	0.053166	0.050632	0.050952	112,183	0
Oct 03, 2020	0.054930	0.054930	0.052990	0.053116	172,741	0
Oct 02, 2020	0.055681	0.056842	0.054206	0.054926	287,754	0
Oct 01, 2020	0.060313	0.063230	0.055076	0.055681	354,211	0
Sep 30, 2020	0.060946	0.073092	0.056752	0.060359	704,625	0
Sep 29, 2020	0.059777	0.062668	0.059620	0.060682	326,992	0
Sep 28, 2020	0.056230	0.060461	0.056230	0.058894	134,213	0
Sep 27, 2020	0.055453	0.058132	0.049843	0.056230	149,337	0
Sep 26, 2020	0.051123	0.056613	0.050989	0.055453	207,293	0
Sep 25, 2020	0.054670	0.055971	0.050573	0.051123	185,236	0
Sep 24, 2020	0.053344	0.054833	0.053072	0.054670	241,684	0
Sep 23, 2020	0.056372	0.058817	0.052550	0.053344	222,328	0
Sep 22, 2020	0.055796	0.057335	0.055536	0.057036	186,533	0
Sep 21, 2020	0.055062	0.056129	0.052394	0.055757	195,861	0
Sep 20, 2020	0.054811	0.060869	0.051649	0.055062	104,483	0
Sep 19, 2020	0.053834	0.059415	0.053761	0.054806	69,443.17	0
Sep 18, 2020	0.062124	0.067079	0.052058	0.053833	116,267	0
Sep 17, 2020	0.063432	0.065664	0.057368	0.062113	106,976	0
Sep 16, 2020	0.071497	0.071515	0.059069	0.063435	108,660	0
Sep 15, 2020	0.070463	0.077111	0.055916	0.071498	62,091.73	0
Sep 14, 2020	0.054255	0.071412	0.054043	0.070463	132,965	0
Sep 13, 2020	0.056783	0.068790	0.051361	0.054293	190,200	0
Sep 12, 2020	0.054586	0.067648	0.054340	0.056775	157,982	0
Sep 11, 2020	0.063453	0.063614	0.051341	0.054595	26,400.65	0
Sep 10, 2020	0.059118	0.067170	0.059118	0.063244	27,815.41	0
Sep 09, 2020	0.054614	0.061462	0.054303	0.059118	29,915.99	0
Sep 08, 2020	0.066868	0.067245	0.054289	0.054615	100,395	0
Sep 07, 2020	0.048021	0.066897	0.044523	0.066848	327,035	0
Sep 06, 2020	0.060098	0.068838	0.047549	0.048020	40,886.38	0
Sep 05, 2020	0.059054	0.072436	0.050814	0.060065	24,552.78	0
Sep 04, 2020	0.063229	0.080316	0.052790	0.059062	334,301	0
Sep 03, 2020	0.063621	0.083739	0.048453	0.063239	354,275	0
Sep 02, 2020	0.070050	0.099471	0.057259	0.063533	81,307.78	0
Sep 01, 2020	0.032207	0.131614	0.030688	0.070080	384,261	0
Aug 31, 2020	0.031093	0.053089	0.026500	0.032208	25,007.19	0
Aug 30, 2020	0.029828	0.034289	0.025320	0.031091	311,293	0
Aug 29, 2020	0.035329	0.035342	0.026922	0.029842	457,696	0
Aug 28, 2020	0.033807	0.041520	0.028834	0.035327	982,489	0
Aug 27, 2020	0.034450	0.043770	0.030280	0.033803	956,327	0
Aug 26, 2020	0.036317	0.041288	0.032875	0.034463	1,135,296	0
Aug 25, 2020	0.036096	0.042410	0.029478	0.036334	1,008,451	0
Aug 24, 2020	0.031647	0.043474	0.031462	0.036094	1,172,122	0
Aug 23, 2020	0.035456	0.035559	0.029670	0.031660	748,991	0
Aug 22, 2020	0.042821	0.050362	0.029548	0.035465	729,407	0
Aug 21, 2020	0.051851	0.062439	0.042693	0.042817	1,036,463	0
Aug 20, 2020	0.017490	0.051888	0.017112	0.051867	642,209	0
Aug 19, 2020	0.020281	0.020359	0.017158	0.017490	298,485	0
Aug 18, 2020	0.021375	0.021909	0.018311	0.020282	321,785	0
Aug 17, 2020	0.018530	0.024319	0.018530	0.021377	334,504	0
Aug 16, 2020	0.016627	0.018839	0.015584	0.018530	94,548.26	0
Aug 15, 2020	0.017388	0.019534	0.015856	0.016613	85,167.46	0
Aug 14, 2020	0.015480	0.019727	0.015250	0.017388	87,425.95	0
