date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.306651	0.313666	0.299219	0.308967	1,658,762	17,799,167
Dec 15, 2020	0.311386	0.314677	0.303791	0.306936	1,555,679	17,679,631
Dec 14, 2020	0.311860	0.314119	0.305159	0.311433	1,512,405	17,936,090
Dec 13, 2020	0.301796	0.322643	0.301462	0.311740	1,901,872	17,951,187
Dec 12, 2020	0.292213	0.305171	0.291838	0.301475	1,474,417	17,356,680
Dec 11, 2020	0.302128	0.302444	0.284750	0.291955	1,621,713	16,806,172
Dec 10, 2020	0.307540	0.311860	0.295728	0.301978	1,757,154	17,380,696
Dec 09, 2020	0.307695	0.313982	0.293421	0.307382	1,854,400	17,689,191
Dec 08, 2020	0.316390	0.320596	0.305547	0.307733	1,191,526	17,706,834
Dec 07, 2020	0.325530	0.326290	0.311958	0.316271	1,812,679	18,195,517
Dec 06, 2020	0.335718	0.337752	0.317827	0.325303	1,902,346	18,712,456
Dec 05, 2020	0.314542	0.342834	0.311163	0.335259	1,966,446	19,282,438
Dec 04, 2020	0.322837	0.343573	0.312286	0.315103	2,201,170	18,120,579
Dec 03, 2020	0.323361	0.325777	0.318120	0.322834	2,172,066	18,562,506
Dec 02, 2020	0.310246	0.326073	0.302608	0.323547	2,529,667	18,600,844
Dec 01, 2020	0.324320	0.332550	0.294929	0.310444	2,664,641	17,844,972
Nov 30, 2020	0.316870	0.326080	0.310026	0.325094	1,795,217	18,684,426
Nov 29, 2020	0.313002	0.324552	0.310049	0.316955	1,251,158	18,214,053
Nov 28, 2020	0.306789	0.325595	0.305327	0.313162	1,769,899	17,993,513
Nov 27, 2020	0.314908	0.329997	0.296857	0.306815	2,137,525	17,626,341
Nov 26, 2020	0.363097	0.370713	0.300494	0.315012	2,158,973	18,094,643
Nov 25, 2020	0.363228	0.394751	0.348955	0.363601	3,726,835	20,882,632
Nov 24, 2020	0.342838	0.370495	0.339270	0.363167	2,103,430	20,854,739
Nov 23, 2020	0.319642	0.343754	0.314698	0.343565	2,331,345	19,726,309
Nov 22, 2020	0.328240	0.339840	0.309025	0.319508	2,297,796	18,342,118
Nov 21, 2020	0.303061	0.329408	0.302652	0.328238	2,100,759	18,840,568
Nov 20, 2020	0.294001	0.304471	0.293658	0.303067	1,090,709	17,393,276
Nov 19, 2020	0.295750	0.328855	0.288322	0.294006	2,879,690	16,870,880
Nov 18, 2020	0.308156	0.311245	0.289376	0.295742	1,763,738	16,968,074
Nov 17, 2020	0.299618	0.312261	0.299526	0.308152	1,732,897	17,677,556
Nov 16, 2020	0.288374	0.308663	0.287526	0.299070	1,865,465	17,154,108
Nov 15, 2020	0.283353	0.324616	0.279469	0.288375	4,437,157	16,538,291
Nov 14, 2020	0.290193	0.293642	0.278751	0.283375	1,502,703	16,249,238
Nov 13, 2020	0.284816	0.292252	0.278285	0.290180	1,359,671	16,637,059
Nov 12, 2020	0.297174	0.298804	0.278081	0.284831	1,289,778	16,328,048
Nov 11, 2020	0.302910	0.315218	0.296126	0.297133	1,924,780	17,030,826
Nov 10, 2020	0.286213	0.305080	0.284178	0.302902	1,855,677	17,359,013
Nov 09, 2020	0.297067	0.301666	0.281015	0.286217	1,452,579	16,400,481
Nov 08, 2020	0.279305	0.301823	0.278525	0.297065	1,622,637	17,019,593
Nov 07, 2020	0.304214	0.308473	0.272734	0.279304	1,384,592	15,999,756
Nov 06, 2020	0.281137	0.311152	0.280421	0.304214	2,092,270	17,424,198
Nov 05, 2020	0.272555	0.329965	0.258331	0.281139	4,102,772	16,100,233
Nov 04, 2020	0.250522	0.342828	0.239015	0.272554	2,883,369	15,606,385
Nov 03, 2020	0.262309	0.262396	0.243256	0.250520	1,491,880	14,342,668
Nov 02, 2020	0.271819	0.274066	0.253946	0.262309	1,035,165	15,015,448
Nov 01, 2020	0.267487	0.276354	0.265932	0.271819	1,221,145	15,557,602
Oct 31, 2020	0.276737	0.278974	0.266890	0.267487	1,457,400	15,307,453
Oct 30, 2020	0.274251	0.278280	0.260125	0.276737	1,717,149	15,834,512
Oct 29, 2020	0.289839	0.294992	0.274171	0.274252	1,371,374	15,690,070
Oct 28, 2020	0.303775	0.309217	0.285493	0.289839	1,702,332	16,579,411
Oct 27, 2020	0.304796	0.308473	0.298750	0.303775	1,617,254	17,374,096
Oct 26, 2020	0.310631	0.316600	0.297968	0.304796	1,545,593	17,430,035
Oct 25, 2020	0.319615	0.321129	0.308647	0.310631	1,498,058	17,761,120
Oct 24, 2020	0.319347	0.324957	0.317416	0.319615	1,662,532	18,272,236
Oct 23, 2020	0.325954	0.328043	0.317177	0.319347	1,665,187	18,254,238
Oct 22, 2020	0.317192	0.329597	0.316617	0.325651	1,780,081	18,607,712
Oct 21, 2020	0.311000	0.331095	0.310604	0.317157	1,955,126	18,122,353
Oct 20, 2020	0.321300	0.324404	0.310265	0.311036	1,397,934	17,771,541
Oct 19, 2020	0.325234	0.325810	0.316025	0.321468	1,228,192	18,364,952
Oct 18, 2020	0.326164	0.329299	0.323538	0.325151	1,064,249	18,572,700
Oct 17, 2020	0.312911	0.326742	0.312689	0.326261	1,117,564	18,633,414
Oct 16, 2020	0.331024	0.333933	0.311462	0.313046	1,413,154	16,263,573
Oct 15, 2020	0.337788	0.344110	0.329580	0.332404	1,522,997	17,269,260
Oct 14, 2020	0.347682	0.349069	0.332767	0.337741	1,427,892	17,546,494
Oct 13, 2020	0.342311	0.352619	0.339399	0.347693	1,132,319	18,063,565
Oct 12, 2020	0.338491	0.351229	0.337632	0.343126	1,082,185	17,826,299
Oct 11, 2020	0.334837	0.340525	0.334628	0.338902	1,084,030	17,606,810
Oct 10, 2020	0.338580	0.348406	0.334471	0.334471	1,148,605	17,376,625
Oct 09, 2020	0.329521	0.342360	0.326239	0.338599	1,008,151	17,591,096
Oct 08, 2020	0.323446	0.336675	0.317704	0.329547	1,145,745	17,120,807
Oct 07, 2020	0.314862	0.324143	0.303959	0.323568	982,234	16,810,189
Oct 06, 2020	0.339376	0.342231	0.314636	0.314636	1,807,227	16,346,172
Oct 05, 2020	0.347499	0.351007	0.335809	0.339461	1,627,906	17,635,896
Oct 04, 2020	0.345055	0.349483	0.336572	0.347373	1,541,260	18,046,907
Oct 03, 2020	0.344603	0.351240	0.343512	0.344975	1,495,679	17,922,351
Oct 02, 2020	0.353995	0.359580	0.330077	0.344392	1,856,211	17,892,080
Oct 01, 2020	0.383470	0.387918	0.345751	0.353903	2,199,850	18,386,166
Sep 30, 2020	0.377849	0.383246	0.366686	0.382999	2,774,307	19,897,775
Sep 29, 2020	0.336936	0.382809	0.334197	0.377849	2,297,909	19,630,237
Sep 28, 2020	0.338318	0.346198	0.337711	0.337819	1,577,346	17,550,567
Sep 27, 2020	0.346999	0.348881	0.329812	0.338000	1,670,871	17,559,978
Sep 26, 2020	0.339146	0.348172	0.337568	0.347119	1,849,446	18,033,741
Sep 25, 2020	0.334725	0.342684	0.329798	0.339170	1,902,124	17,620,778
Sep 24, 2020	0.308675	0.335097	0.304511	0.334725	1,564,299	17,389,846
Sep 23, 2020	0.329069	0.330554	0.307884	0.308588	1,953,077	16,031,922
Sep 22, 2020	0.331711	0.336345	0.320429	0.329388	2,019,169	17,112,549
Sep 21, 2020	0.364360	0.370601	0.322725	0.331907	2,059,671	17,243,405
Sep 20, 2020	0.379800	0.393697	0.361975	0.364300	2,035,142	18,926,308
Sep 19, 2020	0.379421	0.381931	0.368669	0.379663	1,589,120	19,724,480
Sep 18, 2020	0.381714	0.385171	0.371492	0.379921	1,701,056	19,737,869
Sep 17, 2020	0.390661	0.399144	0.377776	0.381714	2,390,339	19,831,027
Sep 16, 2020	0.384548	0.393592	0.377255	0.390731	2,731,948	20,299,494
Sep 15, 2020	0.406246	0.409827	0.378195	0.384408	2,642,077	19,970,972
Sep 14, 2020	0.392220	0.421590	0.387097	0.406285	3,423,515	21,107,565
Sep 13, 2020	0.422743	0.422766	0.384192	0.391968	3,165,112	20,363,766
Sep 12, 2020	0.425175	0.456765	0.417819	0.422743	4,447,507	21,962,617
Sep 11, 2020	0.387719	0.430832	0.375784	0.425175	4,283,147	22,088,965
Sep 10, 2020	0.362468	0.394179	0.362468	0.387719	3,408,440	20,142,997
Sep 09, 2020	0.361952	0.371905	0.350235	0.362471	2,613,082	18,831,315
Sep 08, 2020	0.366463	0.373230	0.348798	0.361924	2,728,275	18,802,875
Sep 07, 2020	0.366929	0.372151	0.339188	0.366497	2,751,873	19,040,492
Sep 06, 2020	0.342249	0.375395	0.326706	0.367354	3,100,900	19,084,995
Sep 05, 2020	0.393879	0.403616	0.319145	0.342249	3,361,314	17,780,705
Sep 04, 2020	0.368601	0.399757	0.360271	0.393794	3,801,909	20,458,641
Sep 03, 2020	0.478603	0.479538	0.355469	0.369305	4,750,986	19,186,340
Sep 02, 2020	0.529057	0.530137	0.458813	0.479016	4,723,080	24,886,126
Sep 01, 2020	0.544127	0.550485	0.526880	0.529220	4,386,356	27,494,354
Aug 31, 2020	0.545229	0.553542	0.538527	0.545422	4,397,251	28,336,068
Aug 30, 2020	0.539721	0.563973	0.538450	0.545570	4,725,013	28,343,774
Aug 29, 2020	0.534156	0.549540	0.530650	0.540691	4,172,374	28,090,313
Aug 28, 2020	0.520102	0.542302	0.517690	0.533737	3,716,766	27,729,032
Aug 27, 2020	0.546260	0.551370	0.501860	0.519790	4,465,729	27,004,424
Aug 26, 2020	0.540797	0.553963	0.530802	0.546425	3,869,565	28,388,194
Aug 25, 2020	0.581761	0.582397	0.522333	0.541149	5,128,996	28,114,093
Aug 24, 2020	0.596848	0.597078	0.574234	0.581618	4,520,703	30,216,556
Aug 23, 2020	0.572373	0.599599	0.559415	0.596848	5,568,401	31,007,785
Aug 22, 2020	0.542973	0.582456	0.523456	0.573100	5,141,543	29,774,026
Aug 21, 2020	0.549876	0.613639	0.533003	0.543053	8,903,169	28,213,011
Aug 20, 2020	0.516611	0.549167	0.508755	0.549167	3,933,448	28,530,653
Aug 19, 2020	0.539925	0.550750	0.504461	0.516526	4,262,676	26,834,842
Aug 18, 2020	0.546766	0.564299	0.527399	0.539925	5,285,033	28,050,496
Aug 17, 2020	0.541028	0.565189	0.534372	0.548730	5,368,842	28,507,936
Aug 16, 2020	0.526483	0.552743	0.520766	0.541028	4,653,071	28,107,806
Aug 15, 2020	0.536048	0.540001	0.514027	0.526258	4,400,765	27,340,478
Aug 14, 2020	0.538449	0.562681	0.526445	0.536048	6,020,484	27,849,068
Aug 13, 2020	0.540419	0.541306	0.506406	0.538454	7,146,631	27,974,073
Aug 12, 2020	0.543813	0.543813	0.493738	0.540575	8,954,120	28,084,258
Aug 11, 2020	0.577829	0.578474	0.512472	0.545475	13,037,460	28,338,852
Aug 10, 2020	0.472895	0.661820	0.471192	0.579118	30,327,980	30,086,694
Aug 09, 2020	0.469841	0.477756	0.460299	0.473449	6,610,449	24,596,925
Aug 08, 2020	0.448447	0.470016	0.446031	0.469443	5,724,256	24,388,804
Aug 07, 2020	0.452176	0.465851	0.437627	0.448085	5,320,856	23,279,198
Aug 06, 2020	0.455484	0.460618	0.449646	0.452420	5,127,090	23,504,370
Aug 05, 2020	0.459088	0.461106	0.449691	0.455558	5,177,959	23,667,435
Aug 04, 2020	0.442861	0.463724	0.442642	0.458698	5,715,814	23,830,534
Aug 03, 2020	0.430569	0.454035	0.428071	0.442875	5,583,684	23,008,519
Aug 02, 2020	0.439061	0.465380	0.412947	0.430315	7,355,992	22,355,993
Aug 01, 2020	0.427628	0.448342	0.426149	0.438459	5,068,839	22,779,095
Jul 31, 2020	0.431140	0.439710	0.420040	0.427628	5,727,354	22,216,370
Jul 30, 2020	0.432044	0.439279	0.422294	0.431152	5,543,840	22,399,487
Jul 29, 2020	0.442186	0.449984	0.431504	0.432122	5,832,278	22,449,866
Jul 28, 2020	0.422358	0.448183	0.420716	0.442446	6,683,962	22,986,227
Jul 27, 2020	0.458907	0.460956	0.408524	0.421409	8,975,840	21,893,279
Jul 26, 2020	0.472397	0.474138	0.450863	0.458935	7,167,766	23,842,864
Jul 25, 2020	0.479039	0.487468	0.459670	0.472218	7,727,698	24,532,924
Jul 24, 2020	0.484258	0.486643	0.473354	0.478985	6,819,473	24,884,535
Jul 23, 2020	0.506142	0.512767	0.482290	0.484095	8,877,947	25,149,975
Jul 22, 2020	0.499497	0.516769	0.492000	0.506145	10,238,096	26,295,562
Jul 21, 2020	0.481168	0.516641	0.476012	0.499652	11,685,426	25,958,219
Jul 20, 2020	0.480593	0.519468	0.468346	0.480851	10,431,088	24,981,433
Jul 19, 2020	0.475597	0.491384	0.466888	0.480116	6,847,807	24,943,278
Jul 18, 2020	0.467428	0.491036	0.463522	0.475476	6,388,006	24,702,185
Jul 17, 2020	0.455828	0.467644	0.446215	0.467308	5,547,229	24,277,835
Jul 16, 2020	0.481450	0.482706	0.444045	0.455794	6,850,229	23,679,683
Jul 15, 2020	0.496188	0.506900	0.479851	0.481254	7,956,110	25,002,411
Jul 14, 2020	0.461978	0.508424	0.455021	0.495712	9,527,415	25,753,513
Jul 13, 2020	0.476579	0.494776	0.459902	0.462508	8,268,003	24,028,487
Jul 12, 2020	0.512059	0.519823	0.459832	0.476579	10,211,300	24,759,496
Jul 11, 2020	0.455600	0.546142	0.444478	0.510504	11,994,150	26,522,017
Jul 10, 2020	0.418673	0.462222	0.411132	0.455647	8,594,633	23,672,045
Jul 09, 2020	0.436292	0.436556	0.406018	0.418413	8,059,444	21,737,642
Jul 08, 2020	0.428701	0.448514	0.427282	0.436292	6,990,584	22,666,486
Jul 07, 2020	0.422786	0.448481	0.420592	0.428619	7,921,791	22,267,862
Jul 06, 2020	0.389767	0.427330	0.383867	0.423264	9,922,440	21,989,637
Jul 05, 2020	0.372020	0.398990	0.365155	0.389767	8,761,371	20,249,424
Jul 04, 2020	0.364631	0.374665	0.361902	0.372457	5,011,047	19,350,089
Jul 03, 2020	0.364705	0.374068	0.361869	0.364835	4,814,943	18,954,117
Jul 02, 2020	0.373500	0.378638	0.352442	0.365066	3,512,223	18,966,125
Jul 01, 2020	0.367257	0.376907	0.361410	0.371999	4,993,013	19,326,297
Jun 30, 2020	0.373438	0.381768	0.364971	0.367185	6,626,272	19,076,221
Jun 29, 2020	0.354746	0.380970	0.354030	0.373858	6,958,390	19,422,907
Jun 28, 2020	0.352809	0.362107	0.343928	0.354746	4,294,626	18,429,969
Jun 27, 2020	0.374177	0.376691	0.342871	0.352809	5,108,921	18,329,338
Jun 26, 2020	0.388559	0.391628	0.372908	0.374201	5,036,288	19,440,694
Jun 25, 2020	0.387622	0.391436	0.366920	0.388890	5,041,424	20,203,859
Jun 24, 2020	0.409402	0.428750	0.374847	0.387639	5,559,902	20,138,863
Jun 23, 2020	0.386736	0.414616	0.383705	0.409170	7,131,681	21,257,452
Jun 22, 2020	0.362488	0.387966	0.362033	0.387158	7,263,857	20,113,882
Jun 21, 2020	0.366018	0.369464	0.361914	0.362508	5,280,582	18,833,242
Jun 20, 2020	0.364583	0.370249	0.357876	0.366344	5,824,048	19,032,543
Jun 19, 2020	0.369481	0.370266	0.360284	0.364583	6,292,485	18,941,027
Jun 18, 2020	0.376558	0.378248	0.365146	0.369372	4,797,144	19,189,829
Jun 17, 2020	0.368469	0.376947	0.360997	0.376558	4,686,048	19,563,146
Jun 16, 2020	0.358715	0.368946	0.353769	0.368300	4,877,642	19,134,144
Jun 15, 2020	0.370418	0.370421	0.331749	0.358886	5,313,618	18,645,049
Jun 14, 2020	0.385461	0.387398	0.368279	0.370418	3,911,451	19,244,179
Jun 13, 2020	0.382647	0.386322	0.376521	0.385652	4,904,164	20,035,615
Jun 12, 2020	0.357731	0.384181	0.356199	0.382713	5,347,037	19,882,945
Jun 11, 2020	0.393614	0.410951	0.355976	0.357249	5,276,118	18,560,018
