date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001942	0.001997	0.001701	0.001853	5,569.02	136,863
Dec 15, 2020	0.001925	0.001953	0.001718	0.001942	3,814.46	143,447
Dec 14, 2020	0.001914	0.001930	0.001714	0.001925	2,724.62	142,167
Dec 13, 2020	0.001692	0.001938	0.001686	0.001914	3,325.79	141,380
Dec 12, 2020	0.000903	0.001883	0.000902	0.001693	4,312.21	125,013
Dec 11, 2020	0.001096	0.001652	0.000881	0.000903	3.06	66,689.00
Dec 10, 2020	0.001136	0.001697	0.001094	0.001096	10.85	80,941.30
Dec 09, 2020	0.001110	0.001699	0.001078	0.001136	0	83,893.41
Dec 08, 2020	0.001237	0.001858	0.001106	0.001110	0	81,976.57
Dec 07, 2020	0.001253	0.001878	0.001222	0.001238	0	91,414.72
Dec 06, 2020	0.001241	0.001879	0.001220	0.001252	0	92,501.29
Dec 05, 2020	0.001198	0.001858	0.001189	0.001241	0	91,658.16
Dec 04, 2020	0.001167	0.001898	0.001138	0.001199	0	88,529.98
Dec 03, 2020	0.001813	0.001918	0.001155	0.001167	27.25	86,188.83
Dec 02, 2020	0.001129	0.001830	0.001109	0.001813	0.119717	133,922
Dec 01, 2020	0.001178	0.001933	0.001099	0.001129	9.33	83,410.50
Nov 30, 2020	0.001187	0.001899	0.001102	0.001178	4.04	86,984.62
Nov 29, 2020	0.001701	0.001781	0.001054	0.001187	0	87,712.27
Nov 28, 2020	0.001027	0.001720	0.001015	0.001701	0	125,675
Nov 27, 2020	0.001201	0.001669	0.000840	0.001027	248.02	75,822.02
Nov 26, 2020	0.001801	0.001815	0.001108	0.001200	43.09	88,647.55
Nov 25, 2020	0.001529	0.001880	0.001185	0.001803	0	133,154
Nov 24, 2020	0.001469	0.001893	0.001450	0.001527	0.001524	112,801
Nov 23, 2020	0.001764	0.001863	0.001157	0.001468	117.04	108,444
Nov 22, 2020	0.001176	0.001798	0.001109	0.001764	0	130,303
Nov 21, 2020	0.001136	0.001768	0.001125	0.001176	0	86,890.31
Nov 20, 2020	0.001782	0.001827	0.001103	0.001136	0	83,879.24
Nov 19, 2020	0.001780	0.001812	0.001060	0.001782	13.90	131,607
Nov 18, 2020	0.001455	0.001812	0.001437	0.001780	10.69	131,494
Nov 17, 2020	0.000925	0.001460	0.000918	0.001455	0.240517	107,503
Nov 16, 2020	0.001755	0.001790	0.000896	0.000923	0	68,142.65
Nov 15, 2020	0.001607	0.001930	0.000889	0.001756	102.65	129,692
Nov 14, 2020	0.001377	0.001629	0.001324	0.001608	3.86	118,739
Nov 13, 2020	0.000907	0.001793	0.000904	0.001377	0	101,673
Nov 12, 2020	0.000887	0.001363	0.000876	0.000907	0	67,023.07
Nov 11, 2020	0.001295	0.002056	0.000883	0.000888	0	65,554.87
Nov 10, 2020	0.001985	0.002002	0.000852	0.001295	0	95,672.35
Nov 09, 2020	0.001987	0.002052	0.000895	0.001986	234.24	146,689
Nov 08, 2020	0.001928	0.002033	0.001911	0.001988	0	146,849
Nov 07, 2020	0.002024	0.002044	0.001875	0.001930	319.35	142,584
Nov 06, 2020	0.002025	0.002067	0.001935	0.002022	353.40	149,342
Nov 05, 2020	0.001837	0.002042	0.001786	0.002025	432.43	149,603
Nov 04, 2020	0.001813	0.001848	0.001707	0.001837	427.34	135,712
Nov 03, 2020	0.001761	0.001818	0.001680	0.001809	278.47	133,613
Nov 02, 2020	0.001786	0.001795	0.001691	0.001763	272.88	130,194
Nov 01, 2020	0.001792	0.001802	0.001715	0.001786	376.35	131,903
Oct 31, 2020	0.001704	0.001824	0.001696	0.001792	425.55	132,330
Oct 30, 2020	0.001747	0.001772	0.001669	0.001707	0	126,067
Oct 29, 2020	0.001725	0.001770	0.001687	0.001747	359.92	129,035
Oct 28, 2020	0.001764	0.001799	0.001508	0.001725	386.72	127,438
Oct 27, 2020	0.001581	0.001772	0.001440	0.001762	403.32	130,161
Oct 26, 2020	0.001564	0.001607	0.001546	0.001580	3,901.59	116,727
Oct 25, 2020	0.001590	0.001622	0.001557	0.001563	1,746.67	115,450
Oct 24, 2020	0.001566	0.001600	0.001552	0.001590	2,539.48	117,464
Oct 23, 2020	0.001556	0.001575	0.001537	0.001565	3,290.43	115,613
Oct 22, 2020	0.001546	0.001590	0.001527	0.001556	3,106.64	114,924
Oct 21, 2020	0.001526	0.001597	0.001463	0.001546	3,704.69	114,224
Oct 20, 2020	0.001526	0.001554	0.001405	0.001526	1,271.54	112,698
Oct 19, 2020	0.001393	0.001548	0.001369	0.001526	2,724.16	112,750
Oct 18, 2020	0.001501	0.001509	0.001374	0.001393	4,189.40	102,881
Oct 17, 2020	0.001359	0.001570	0.001355	0.001501	2,247.45	110,899
Oct 16, 2020	0.001393	0.001497	0.001356	0.001359	1,500.18	100,355
Oct 15, 2020	0.001372	0.001515	0.001366	0.001393	3,381.50	102,899
Oct 14, 2020	0.001472	0.001491	0.001357	0.001372	998.32	101,307
Oct 13, 2020	0.001502	0.001502	0.001359	0.001472	2,504.46	108,698
Oct 12, 2020	0.001480	0.001521	0.001349	0.001502	2,924.66	110,957
Oct 11, 2020	0.001271	0.001481	0.001244	0.001480	3,633.49	109,314
Oct 10, 2020	0.001549	0.001596	0.001219	0.001271	4,309.07	93,884.12
Oct 09, 2020	0.001268	0.001610	0.001265	0.001562	2,822.54	115,374
Oct 08, 2020	0.001524	0.001533	0.001163	0.001268	1,671.18	93,661.29
Oct 07, 2020	0.001213	0.001525	0.001210	0.001524	3,608.19	112,533
Oct 06, 2020	0.001334	0.001595	0.001158	0.001213	2,457.01	89,578.68
Oct 05, 2020	0.001494	0.001902	0.001176	0.001334	1,221.78	98,501.68
Oct 04, 2020	0.001160	0.001988	0.001159	0.001493	105.60	110,314
Oct 03, 2020	0.001163	0.001462	0.001156	0.001160	264.79	85,712.96
Oct 02, 2020	0.001168	0.001449	0.001146	0.001163	213.63	85,929.44
Oct 01, 2020	0.001186	0.001523	0.001152	0.001168	261.25	86,282.88
Sep 30, 2020	0.001269	0.001298	0.001174	0.001186	619.03	87,627.19
Sep 29, 2020	0.001264	0.001402	0.001171	0.001269	1,288.38	93,769.02
Sep 28, 2020	0.001276	0.001295	0.001194	0.001264	1,623.96	93,364.13
Sep 27, 2020	0.001183	0.001284	0.001171	0.001276	2,005.25	94,266.31
Sep 26, 2020	0.001176	0.001370	0.001173	0.001183	3,163.94	87,349.29
Sep 25, 2020	0.001269	0.001499	0.001175	0.001176	1,764.30	86,877.99
Sep 24, 2020	0.001311	0.001498	0.001132	0.001269	1,186.83	93,719.92
Sep 23, 2020	0.001349	0.001469	0.001309	0.001311	2,602.54	96,867.75
Sep 22, 2020	0.001245	0.001353	0.001150	0.001352	3,056.94	99,887.70
Sep 21, 2020	0.001302	0.001498	0.001245	0.001246	2,838.40	91,998.64
Sep 20, 2020	0.001486	0.001486	0.001191	0.001302	2,675.92	96,140.05
Sep 19, 2020	0.001203	0.001509	0.001200	0.001486	1,528.52	109,738
Sep 18, 2020	0.001409	0.001509	0.001192	0.001203	2,574.37	88,841.59
Sep 17, 2020	0.001535	0.001546	0.001080	0.001409	2,248.76	104,073
Sep 16, 2020	0.001403	0.001546	0.001098	0.001535	2,975.94	113,389
Sep 15, 2020	0.001495	0.001499	0.001277	0.001403	1,785.12	103,634
Sep 14, 2020	0.001136	0.001499	0.000942	0.001495	2,230.62	110,419
Sep 13, 2020	0.001568	0.001585	0.001129	0.001136	1,829.18	83,918.87
Sep 12, 2020	0.001560	0.001573	0.001133	0.001568	841.36	115,800
Sep 11, 2020	0.001241	0.001561	0.001025	0.001560	1,330.91	115,202
Sep 10, 2020	0.001738	0.001768	0.001026	0.001241	1,587.58	91,682.08
Sep 09, 2020	0.001722	0.001746	0.001329	0.001738	2,493.44	128,367
Sep 08, 2020	0.001452	0.001756	0.001294	0.001722	860.82	127,166
Sep 07, 2020	0.001232	0.001456	0.001002	0.001451	1,750.56	107,178
Sep 06, 2020	0.001322	0.001747	0.001117	0.001232	715.37	90,971.91
Sep 05, 2020	0.001049	0.001575	0.001042	0.001320	1,339.66	97,526.22
Sep 04, 2020	0.001447	0.001805	0.001046	0.001049	2,482.57	77,462.15
Sep 03, 2020	0.001439	0.001531	0.001040	0.001447	1,252.48	106,856
Sep 02, 2020	0.001313	0.001825	0.001044	0.001439	1,640.75	106,306
Sep 01, 2020	0.001689	0.001875	0.001312	0.001313	2,737.81	96,969.66
Aug 31, 2020	0.001083	0.001924	0.001081	0.001690	2,501.33	124,795
Aug 30, 2020	0.001264	0.001687	0.001069	0.001082	2,345.18	79,944.74
Aug 29, 2020	0.001448	0.001862	0.000919	0.001245	2,463.13	91,981.06
Aug 28, 2020	0.001011	0.001453	0.000910	0.001448	2,947.78	106,928
Aug 27, 2020	0.001287	0.001430	0.001006	0.001011	4,065.64	74,672.43
Aug 26, 2020	0.000908	0.001505	0.000903	0.001287	1,685.19	95,094.49
Aug 25, 2020	0.001101	0.001450	0.000909	0.000909	3,065.37	67,137.81
Aug 24, 2020	0.000933	0.001102	0.000929	0.001101	434.27	81,344.46
Aug 23, 2020	0.000934	0.000936	0.000923	0.000933	339.94	68,900.33
Aug 22, 2020	0.000925	0.000934	0.000915	0.000934	287.33	68,992.39
Aug 21, 2020	0.000950	0.000951	0.000923	0.000924	250.34	68,263.85
Aug 20, 2020	0.000822	0.000951	0.000819	0.000950	278.06	70,163.32
Aug 19, 2020	0.000958	0.000962	0.000711	0.000822	251.09	60,707.73
Aug 18, 2020	0.000980	0.000987	0.000954	0.000958	257.71	70,736.30
Aug 17, 2020	0.001240	0.001438	0.000977	0.000980	1,767.83	72,372.75
Aug 16, 2020	0.001354	0.001363	0.001222	0.001240	1,834.26	91,614.22
Aug 15, 2020	0.001257	0.001478	0.001257	0.001355	2,376.20	100,058
Aug 14, 2020	0.001281	0.001499	0.001256	0.001256	1,745.59	92,778.66
Aug 13, 2020	0.001329	0.001454	0.001189	0.001282	2,872.01	94,669.72
