date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.025190	0.026873	0.023685	0.025782	47,448.59	1,804,752
Dec 15, 2020	0.025033	0.025463	0.024486	0.025124	23,719.46	1,758,702
Dec 14, 2020	0.025124	0.025391	0.024445	0.025034	16,736.94	1,752,353
Dec 13, 2020	0.023449	0.025424	0.023418	0.025123	27,028.14	1,758,623
Dec 12, 2020	0.020549	0.027183	0.020398	0.023423	19,295.17	1,639,603
Dec 11, 2020	0.024848	0.027621	0.018794	0.020469	76,070.42	1,432,819
Dec 10, 2020	0.023778	0.025075	0.023743	0.024896	32,615.61	1,742,748
Dec 09, 2020	0.024322	0.024749	0.023778	0.023778	21,410.66	1,664,476
Dec 08, 2020	0.026331	0.027438	0.024148	0.024328	19,594.00	1,702,974
Dec 07, 2020	0.026006	0.027986	0.025898	0.026321	9,421.29	1,842,447
Dec 06, 2020	0.026269	0.026697	0.025068	0.025988	7,060.31	1,819,153
Dec 05, 2020	0.026374	0.026691	0.025671	0.026269	6,857.96	1,838,857
Dec 04, 2020	0.027418	0.028713	0.026016	0.026366	15,090.22	1,845,621
Dec 03, 2020	0.025210	0.028553	0.024799	0.027425	13,933.60	1,919,729
Dec 02, 2020	0.024618	0.025482	0.024332	0.025210	12,990.83	1,764,678
Dec 01, 2020	0.028017	0.029549	0.023997	0.024617	22,406.72	1,723,218
Nov 30, 2020	0.027899	0.028986	0.024827	0.027978	25,605.04	1,958,450
Nov 29, 2020	0.026828	0.027954	0.026142	0.027899	10,819.83	1,952,947
Nov 28, 2020	0.027708	0.027824	0.025951	0.026808	12,969.48	1,876,537
Nov 27, 2020	0.027864	0.028022	0.025222	0.027688	19,723.93	1,938,158
Nov 26, 2020	0.024296	0.028081	0.024091	0.027793	44,219.03	1,945,523
Nov 25, 2020	0.024658	0.024956	0.024073	0.024325	16,791.06	1,702,783
Nov 24, 2020	0.024349	0.025142	0.023878	0.024658	24,820.49	1,726,037
Nov 23, 2020	0.024091	0.024950	0.023772	0.024378	16,460.88	1,706,428
Nov 22, 2020	0.024924	0.025421	0.023859	0.024091	14,471.04	1,686,359
Nov 21, 2020	0.025314	0.025635	0.024556	0.024924	15,466.38	1,744,661
Nov 20, 2020	0.023746	0.026234	0.023725	0.025314	16,351.64	1,771,955
Nov 19, 2020	0.024140	0.024747	0.023481	0.023746	19,443.94	1,662,219
Nov 18, 2020	0.023676	0.025289	0.023658	0.024140	32,304.43	1,689,779
Nov 17, 2020	0.027622	0.027935	0.022517	0.023676	19,355.33	1,657,290
Nov 16, 2020	0.020383	0.027693	0.019453	0.027677	13,815.53	1,937,382
Nov 15, 2020	0.024786	0.024788	0.018292	0.020383	1,431.05	1,426,814
Nov 14, 2020	0.026394	0.026399	0.024766	0.024786	139.06	1,735,029
Nov 13, 2020	0.023649	0.027033	0.023552	0.026394	15,606.47	1,847,565
Nov 12, 2020	0.024620	0.027468	0.021527	0.023649	20,134.95	1,655,424
Nov 11, 2020	0.026060	0.026505	0.024541	0.024620	14,482.13	1,723,401
Nov 10, 2020	0.026617	0.026827	0.026025	0.026060	12,305.55	1,824,180
Nov 09, 2020	0.021603	0.026819	0.021442	0.026617	24,432.74	1,863,215
Nov 08, 2020	0.023045	0.023287	0.021595	0.021603	326.17	1,512,228
Nov 07, 2020	0.023347	0.023684	0.022828	0.023045	6,479.71	1,613,115
Nov 06, 2020	0.023011	0.024087	0.021581	0.023347	28,235.63	1,634,268
Nov 05, 2020	0.023319	0.023562	0.021528	0.023011	35,186.58	1,610,782
Nov 04, 2020	0.020827	0.026628	0.020826	0.023319	21,995.08	1,632,343
Nov 03, 2020	0.021074	0.021341	0.020819	0.020827	184.53	1,457,855
Nov 02, 2020	0.020832	0.021074	0.020817	0.021074	321.86	1,475,190
Nov 01, 2020	0.020715	0.024586	0.020712	0.020832	23.45	1,458,232
Oct 31, 2020	0.020776	0.021496	0.020715	0.020715	8,901.91	1,450,033
Oct 30, 2020	0.022296	0.023124	0.020756	0.020776	22,063.89	1,454,325
Oct 29, 2020	0.020345	0.022296	0.020185	0.022296	19,511.01	1,560,727
Oct 28, 2020	0.023298	0.023702	0.019967	0.020345	25,024.83	1,424,175
Oct 27, 2020	0.022666	0.023662	0.022636	0.023298	26,147.79	1,630,893
Oct 26, 2020	0.020641	0.027692	0.020321	0.022666	19,678.86	1,586,610
Oct 25, 2020	0.021120	0.026986	0.019742	0.020641	14,567.63	1,444,865
Oct 24, 2020	0.021517	0.023390	0.021004	0.021120	10,866.40	1,478,374
Oct 23, 2020	0.023485	0.023692	0.021487	0.021517	14,917.16	1,506,166
