date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001221	0.001233	0.000959	0.000965	1,573,920	6,854,887
Dec 15, 2020	0.001310	0.001458	0.001072	0.001213	3,156,706	8,611,591
Dec 14, 2020	0.001904	0.001952	0.001233	0.001301	4,539,819	9,241,032
Dec 13, 2020	0.000767	0.002603	0.000737	0.001918	16,260,842	13,620,856
Dec 12, 2020	0.001203	0.001203	0.000451	0.000783	1,048,124	5,507,907
Dec 11, 2020	0.001586	0.001608	0.000446	0.000497	120,033	3,500,204
Dec 10, 2020	0.002853	0.002857	0.001401	0.001586	0	11,160,215
Dec 09, 2020	0.003861	0.004385	0.002842	0.002842	0	20,000,762
Dec 08, 2020	0.004233	0.004469	0.003819	0.003855	0	27,130,932
Dec 07, 2020	0.004744	0.004744	0.003872	0.004252	0	29,928,390
Dec 06, 2020	0.004398	0.004921	0.004236	0.004747	0	33,408,897
Dec 05, 2020	0.004108	0.004541	0.003968	0.004398	0	30,953,955
Dec 04, 2020	0.003896	0.004282	0.003409	0.004108	0	28,914,378
Dec 03, 2020	0.004265	0.004627	0.003779	0.003900	0	27,449,054
Dec 02, 2020	0.003669	0.004265	0.003565	0.004264	0	30,012,963
Dec 01, 2020	0.004037	0.004278	0.003487	0.003670	0	25,831,116
Nov 30, 2020	0.002683	0.004281	0.002577	0.004032	0	28,379,830
Nov 29, 2020	0.003816	0.003943	0.002661	0.002683	0	18,882,907
Nov 28, 2020	0.000450	0.003915	0.000426	0.003815	0	26,851,230
Nov 27, 2020	0.000403	0.000465	0.000392	0.000451	109,785	3,172,356
Nov 26, 2020	0.000516	0.000518	0.000375	0.000403	121,914	2,834,866
Nov 25, 2020	0.000511	0.000550	0.000468	0.000517	156,676	3,635,550
Nov 24, 2020	0.000451	0.000550	0.000442	0.000503	169,144	3,543,568
Nov 23, 2020	0.000450	0.000471	0.000439	0.000452	101,256	3,181,002
Nov 22, 2020	0.000464	0.000471	0.000418	0.000450	59,783.85	3,167,726
Nov 21, 2020	0.000425	0.000466	0.000421	0.000464	40,566.56	3,264,055
Nov 20, 2020	0.000421	0.000470	0.000409	0.000425	101,050	2,988,901
Nov 19, 2020	0.000410	0.000432	0.000389	0.000421	41,354.72	2,963,981
Nov 18, 2020	0.000423	0.000459	0.000393	0.000410	53,297.07	2,884,315
Nov 17, 2020	0.000425	0.000438	0.000395	0.000423	40,287.63	2,974,070
Nov 16, 2020	0.000409	0.000448	0.000397	0.000402	36,696.97	2,827,195
Nov 15, 2020	0.000414	0.000473	0.000399	0.000409	74,068.73	2,877,493
Nov 14, 2020	0.000410	0.000424	0.000394	0.000414	39,262.84	2,911,566
Nov 13, 2020	0.000413	0.000424	0.000386	0.000410	55,682.99	2,883,741
Nov 12, 2020	0.000416	0.000429	0.000400	0.000413	37,233.24	2,908,003
Nov 11, 2020	0.000429	0.000443	0.000410	0.000416	44,553.48	2,924,895
Nov 10, 2020	0.000448	0.000455	0.000418	0.000429	68,054.51	3,022,658
Nov 09, 2020	0.000468	0.000471	0.000434	0.000448	48,280.88	3,152,302
Nov 08, 2020	0.000446	0.000471	0.000438	0.000468	26,475.71	3,291,655
Nov 07, 2020	0.000489	0.000497	0.000435	0.000446	50,557.53	3,141,930
Nov 06, 2020	0.000466	0.000491	0.000448	0.000488	47,831.83	3,426,391
Nov 05, 2020	0.000426	0.000467	0.000411	0.000466	83,320.68	3,268,086
Nov 04, 2020	0.000437	0.000462	0.000413	0.000426	48,062.22	2,992,891
Nov 03, 2020	0.000440	0.000457	0.000404	0.000437	29,167.61	3,067,142
Nov 02, 2020	0.000440	0.000450	0.000420	0.000440	20,705.82	3,084,664
Nov 01, 2020	0.000472	0.000472	0.000425	0.000440	19,623.96	3,089,635
Oct 31, 2020	0.000413	0.000472	0.000413	0.000472	33,091.24	3,309,181
Oct 30, 2020	0.000460	0.000484	0.000410	0.000413	57,111.14	2,899,005
Oct 29, 2020	0.000462	0.000492	0.000422	0.000460	45,486.93	3,227,472
Oct 28, 2020	0.000504	0.000504	0.000420	0.000462	70,632.68	3,244,560
Oct 27, 2020	0.000487	0.000504	0.000453	0.000504	26,333.00	3,535,140
Oct 26, 2020	0.000502	0.000502	0.000469	0.000487	37,150.61	3,420,416
Oct 25, 2020	0.000504	0.000507	0.000483	0.000502	55,392.08	3,521,621
Oct 24, 2020	0.000513	0.000513	0.000485	0.000504	92,426.53	3,540,362
Oct 23, 2020	0.000506	0.000520	0.000503	0.000513	55,893.19	3,600,973
