date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.035037	0.037789	0.033141	0.036609	8,845,632	64,020,933
Dec 15, 2020	0.035077	0.035351	0.033045	0.035038	4,159,929	61,273,354
Dec 14, 2020	0.035419	0.035830	0.032985	0.035076	3,388,069	61,339,945
Dec 13, 2020	0.034194	0.036509	0.032540	0.035421	8,565,940	61,942,142
Dec 12, 2020	0.033739	0.036181	0.032750	0.034176	3,053,451	59,766,462
Dec 11, 2020	0.034752	0.035691	0.032560	0.033739	23,348,205	59,000,760
Dec 10, 2020	0.035949	0.036603	0.033780	0.034750	25,681,704	60,769,467
Dec 09, 2020	0.036015	0.036645	0.033544	0.035951	25,852,578	62,869,371
Dec 08, 2020	0.036429	0.037607	0.034452	0.036016	30,678,901	62,984,217
Dec 07, 2020	0.035236	0.037325	0.034463	0.036427	7,541,996	63,701,973
Dec 06, 2020	0.036970	0.037933	0.034995	0.035238	23,529,990	61,623,084
Dec 05, 2020	0.036745	0.038129	0.035616	0.036970	16,981,108	64,652,209
Dec 04, 2020	0.039335	0.040778	0.035815	0.036760	17,425,530	64,284,329
Dec 03, 2020	0.036212	0.041780	0.035561	0.039341	27,144,351	68,798,642
Dec 02, 2020	0.036228	0.037069	0.035406	0.036211	19,599,503	63,323,910
Dec 01, 2020	0.036025	0.039011	0.035492	0.036220	20,453,926	63,339,631
Nov 30, 2020	0.036722	0.037955	0.035262	0.036031	15,434,473	63,009,295
Nov 29, 2020	0.037692	0.037692	0.035673	0.036723	7,467,662	64,219,131
Nov 28, 2020	0.036977	0.038347	0.035652	0.037696	17,515,668	65,921,138
Nov 27, 2020	0.037090	0.038435	0.035467	0.036969	23,958,494	64,650,348
Nov 26, 2020	0.041976	0.043384	0.035422	0.037030	40,961,026	64,757,443
Nov 25, 2020	0.047648	0.049715	0.039976	0.041984	44,603,453	73,420,736
Nov 24, 2020	0.042978	0.050358	0.042105	0.047635	60,106,627	83,301,538
Nov 23, 2020	0.037925	0.045657	0.035698	0.042970	53,277,738	75,144,364
Nov 22, 2020	0.037984	0.039757	0.036015	0.037925	35,671,584	66,322,137
Nov 21, 2020	0.038054	0.039701	0.035694	0.037984	34,857,771	66,425,021
Nov 20, 2020	0.037836	0.039669	0.036545	0.038054	28,349,325	66,547,239
Nov 19, 2020	0.037949	0.040517	0.035896	0.037836	30,333,315	66,166,682
Nov 18, 2020	0.039347	0.042873	0.036857	0.037949	34,927,927	66,364,194
Nov 17, 2020	0.037522	0.041801	0.036592	0.039347	34,298,981	68,808,699
Nov 16, 2020	0.039086	0.040958	0.036310	0.037386	31,721,334	65,380,109
Nov 15, 2020	0.035261	0.041615	0.032852	0.039086	36,406,582	68,352,493
Nov 14, 2020	0.035560	0.038962	0.032344	0.035261	25,617,244	61,663,147
Nov 13, 2020	0.035874	0.039848	0.035035	0.035560	31,292,166	62,185,980
Nov 12, 2020	0.037513	0.038806	0.034998	0.035874	28,294,123	62,735,614
Nov 11, 2020	0.036755	0.041128	0.036586	0.037513	29,146,436	65,601,562
Nov 10, 2020	0.035825	0.039474	0.034921	0.036755	29,634,407	64,276,037
Nov 09, 2020	0.037063	0.038833	0.034289	0.035825	24,332,440	62,649,669
Nov 08, 2020	0.037725	0.039899	0.034823	0.037063	30,387,259	64,814,487
Nov 07, 2020	0.042154	0.044957	0.036826	0.037725	39,813,758	65,971,603
Nov 06, 2020	0.034339	0.043446	0.032981	0.042154	41,661,222	73,717,163
Nov 05, 2020	0.034916	0.036656	0.031335	0.034339	27,151,061	60,051,007
Nov 04, 2020	0.036312	0.037609	0.032269	0.034916	34,312,289	61,060,487
Nov 03, 2020	0.037983	0.038756	0.032063	0.036312	35,043,151	63,501,727
Nov 02, 2020	0.041887	0.043057	0.034961	0.037983	30,274,131	66,422,544
Nov 01, 2020	0.041444	0.042863	0.038163	0.041887	27,535,636	73,249,632
Oct 31, 2020	0.040835	0.043444	0.039292	0.041444	28,548,179	72,476,160
Oct 30, 2020	0.042194	0.044180	0.039365	0.040834	29,457,508	71,409,366
Oct 29, 2020	0.043196	0.044723	0.040832	0.042194	28,104,553	73,786,556
Oct 28, 2020	0.046460	0.048169	0.040933	0.043196	30,269,285	75,538,817
Oct 27, 2020	0.047449	0.047940	0.043639	0.046460	31,528,060	81,247,541
Oct 26, 2020	0.050561	0.050791	0.043874	0.047449	32,801,656	82,976,395
Oct 25, 2020	0.051492	0.053716	0.048965	0.050561	17,058,171	88,419,731
Oct 24, 2020	0.052577	0.054375	0.050592	0.051492	29,152,196	90,047,088
Oct 23, 2020	0.056269	0.058105	0.050480	0.052577	32,335,858	91,945,371
Oct 22, 2020	0.052288	0.058843	0.052142	0.056293	33,131,330	98,443,483
Oct 21, 2020	0.052930	0.053964	0.050437	0.052382	30,585,752	91,603,715
Oct 20, 2020	0.055269	0.056140	0.051319	0.052935	25,162,933	92,570,731
Oct 19, 2020	0.055600	0.056517	0.052711	0.054840	26,212,661	95,902,133
Oct 18, 2020	0.054850	0.058150	0.054179	0.055924	28,129,442	97,798,448
Oct 17, 2020	0.057077	0.058838	0.051985	0.055265	27,172,995	96,646,002
Oct 16, 2020	0.061420	0.062978	0.055252	0.057062	29,717,798	99,787,976
