date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002906	0.003145	0.002643	0.003143	23,140.66	0
Dec 15, 2020	0.002871	0.002955	0.002668	0.002906	21,420.55	0
Dec 14, 2020	0.002913	0.002935	0.002702	0.002871	20,732.07	0
Dec 13, 2020	0.002809	0.002944	0.002424	0.002913	21,367.94	0
Dec 12, 2020	0.002603	0.002838	0.002196	0.002809	20,201.03	0
Dec 11, 2020	0.002686	0.002748	0.002328	0.002603	19,022.99	0
Dec 10, 2020	0.002810	0.002844	0.002410	0.002687	20,170.75	0
Dec 09, 2020	0.002586	0.002853	0.002426	0.002810	21,696.33	0
Dec 08, 2020	0.002870	0.002947	0.002192	0.002585	18,702.95	0
Dec 07, 2020	0.002967	0.003002	0.002341	0.002871	22,126.73	0
Dec 06, 2020	0.002905	0.003001	0.000278	0.002966	24,062.45	0
Dec 05, 2020	0.002716	0.002964	0.000150	0.002905	32,203.35	0
Dec 04, 2020	0.002917	0.003083	0.000153	0.002716	22,895.18	0
Dec 03, 2020	0.002633	0.003069	0.002400	0.002917	23,136.52	0
Dec 02, 2020	0.002496	0.002948	0.000129	0.002633	38,708.50	0
Dec 01, 2020	0.000535	0.002938	0.000383	0.002497	100,315	0
Nov 30, 2020	0.000507	0.000535	0.000497	0.000535	21,024.17	0
Nov 29, 2020	0.000441	0.000507	0.000436	0.000507	20,550.20	0
Nov 28, 2020	0.000414	0.000449	0.000408	0.000441	20,407.17	0
Nov 27, 2020	0.000415	0.000425	0.000398	0.000414	19,593.81	0
Nov 26, 2020	0.000457	0.000461	0.000388	0.000415	19,570.99	0
Nov 25, 2020	0.000483	0.000484	0.000448	0.000457	21,638.06	0
Nov 24, 2020	0.000487	0.000497	0.000475	0.000483	22,762.82	0
Nov 23, 2020	0.000446	0.000488	0.000441	0.000486	22,924.34	0
Nov 22, 2020	0.000440	0.000464	0.000412	0.000446	21,101.33	0
Nov 21, 2020	0.000296	0.000440	0.000295	0.000440	21,928.76	0
Nov 20, 2020	0.000259	0.000317	0.000259	0.000296	14,821.21	0
Nov 19, 2020	0.000264	0.000264	0.000256	0.000259	17,737.35	0
Nov 18, 2020	0.000264	0.000271	0.000256	0.000264	18,020.63	0
Nov 17, 2020	0.000255	0.000265	0.000253	0.000264	18,139.77	0
Nov 16, 2020	0.000251	0.000255	0.000246	0.000253	16,620.64	0
Nov 15, 2020	0.000253	0.000254	0.000244	0.000251	14,508.82	0
Nov 14, 2020	0.000261	0.000261	0.000249	0.000253	17,233.56	0
Nov 13, 2020	0.000254	0.000261	0.000252	0.000261	17,829.67	0
Nov 12, 2020	0.000255	0.000257	0.000249	0.000254	17,363.40	0
Nov 11, 2020	0.000247	0.000260	0.000247	0.000255	17,506.32	0
Nov 10, 2020	0.000244	0.000250	0.000242	0.000247	16,933.31	0
Nov 09, 2020	0.000245	0.000252	0.000239	0.000244	16,751.94	0
Nov 08, 2020	0.000235	0.000247	0.000234	0.000245	17,144.09	0
Nov 07, 2020	0.000246	0.000251	0.000231	0.000235	16,314.30	0
Nov 06, 2020	0.000236	0.000254	0.000235	0.000245	14,729.09	0
Nov 05, 2020	0.000253	0.000255	0.000229	0.000236	13,316.30	0
Nov 04, 2020	0.000527	0.000535	0.000186	0.000253	12,583.11	0
Nov 03, 2020	0.000510	0.000533	0.000489	0.000527	14,952.06	0
Nov 02, 2020	0.000515	0.000530	0.000504	0.000510	14,598.31	0
Nov 01, 2020	0.000518	0.000530	0.000506	0.000514	14,599.15	0
Oct 31, 2020	0.000498	0.000534	0.000496	0.000518	14,666.47	0
Oct 30, 2020	0.000499	0.000505	0.000453	0.000498	14,974.70	0
Oct 29, 2020	0.000501	0.000520	0.000496	0.000499	14,426.10	0
Oct 28, 2020	0.000529	0.000540	0.000494	0.000501	14,461.48	0
Oct 27, 2020	0.000540	0.000549	0.000527	0.000529	14,879.56	0
Oct 26, 2020	0.000536	0.000543	0.000514	0.000540	15,281.51	0
Oct 25, 2020	0.000561	0.000569	0.000535	0.000536	14,813.16	0
Oct 24, 2020	0.000582	0.000582	0.000540	0.000561	15,786.40	0
Oct 23, 2020	0.000575	0.000598	0.000563	0.000582	15,637.39	0
Oct 22, 2020	0.000533	0.000584	0.000514	0.000575	16,133.39	0
Oct 21, 2020	0.000520	0.000547	0.000008	0.000533	13,866.14	0
Oct 20, 2020	0.000551	0.000554	0.000517	0.000520	13,803.60	0
Oct 19, 2020	0.000571	0.002259	0.000519	0.000555	14,215.46	0
Oct 18, 2020	0.000557	0.000601	0.000547	0.000571	14,205.37	0
Oct 17, 2020	0.000630	0.000633	0.000552	0.000557	13,001.84	0
Oct 16, 2020	0.000604	0.000631	0.000560	0.000626	14,031.82	0
Oct 15, 2020	0.000562	0.000614	0.000546	0.000604	14,040.52	0
Oct 14, 2020	0.000564	0.000624	0.000550	0.000562	12,580.02	0
Oct 13, 2020	0.000597	0.000627	0.000554	0.000568	13,212.95	0
Oct 12, 2020	0.000578	0.000637	0.000562	0.000620	14,471.93	0
Oct 11, 2020	0.000601	0.000609	0.000568	0.000581	13,549.57	0
Oct 10, 2020	0.000294	0.000608	0.000294	0.000568	10,412.87	0
Oct 09, 2020	0.000282	0.000296	0.000280	0.000294	0	0
Oct 08, 2020	0.000275	0.000284	0.000270	0.000282	0	0
Oct 07, 2020	0.000274	0.000276	0.000269	0.000275	0	0
Oct 06, 2020	0.000285	0.000286	0.000272	0.000274	0	0
Oct 05, 2020	0.000284	0.000286	0.000281	0.000285	0	0
Oct 04, 2020	0.000279	0.000285	0.000278	0.000284	0	0
Oct 03, 2020	0.000279	0.000283	0.000277	0.000279	0	0
Oct 02, 2020	0.000284	0.000285	0.000271	0.000279	0	0
Oct 01, 2020	0.000290	0.000297	0.000279	0.000284	0	0
Sep 30, 2020	0.000572	0.000572	0.000284	0.000290	0	0
Sep 29, 2020	0.000565	0.000573	0.000560	0.000572	8.13	0
