date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.084048	0.084052	0.004989	0.041839	97.60	8,980,859
Dec 15, 2020	0.008135	0.085166	0.008132	0.084051	5,580.36	18,042,021
Dec 14, 2020	0.091712	0.097780	0.008128	0.008135	62.49	1,746,243
Dec 13, 2020	0.029827	0.091984	0.022578	0.091705	1,053.84	19,684,951
Dec 12, 2020	0.052508	0.055384	0.023882	0.029833	37.38	6,403,762
Dec 11, 2020	0.002804	0.085946	0.002724	0.052504	251.59	11,270,188
Dec 10, 2020	0.108961	0.109174	0.002779	0.002804	0.008426	601,914
Dec 09, 2020	0.104862	0.111201	0.098072	0.108956	1,880.26	23,387,919
Dec 08, 2020	0.028665	0.109373	0.027699	0.104837	799.39	22,503,789
Dec 07, 2020	0.034911	0.034969	0.028354	0.028669	128.05	6,153,841
Dec 06, 2020	0.024317	0.051725	0.023943	0.034898	138.17	7,491,016
Dec 05, 2020	0.029191	0.029407	0.021206	0.024312	25.70	5,218,750
Dec 04, 2020	0.258557	0.259435	0.011008	0.029196	126.80	6,267,049
Dec 03, 2020	0.253866	0.260507	0.011251	0.258590	14,606.51	55,507,513
Dec 02, 2020	0.244551	0.254305	0.226231	0.253889	10,323.23	54,498,487
Dec 01, 2020	0.193361	0.265971	0.191571	0.244570	25,451.84	52,498,044
Nov 30, 2020	0.020147	0.205672	0.020147	0.193375	6,616.70	41,508,828
Nov 29, 2020	0.244833	0.247002	0.001167	0.020148	118.19	4,324,854
Nov 28, 2020	0.154500	0.248634	0.002482	0.244840	22,838.64	52,556,064
Nov 27, 2020	0.232828	0.238386	0.000548	0.154477	15,832.62	33,159,270
Nov 26, 2020	0.255970	0.258192	0.217881	0.232758	18,621.11	49,962,689
Nov 25, 2020	0.255350	0.267907	0.245108	0.256029	17,013.18	54,957,900
Nov 24, 2020	0.259297	0.306986	0.253087	0.255317	43,336.54	54,805,081
Nov 23, 2020	0.258320	0.295958	0.224210	0.259358	32,337.98	55,672,457
Nov 22, 2020	0.216185	0.273055	0.212977	0.258339	38,594.92	55,453,724
Nov 21, 2020	0.237974	0.260434	0.211543	0.216181	45,979.69	46,404,322
Nov 20, 2020	0.202146	0.259168	0.202052	0.237985	130,107	51,084,624
Nov 19, 2020	0.207579	0.208379	0.199664	0.202152	139,883	43,392,899
Nov 18, 2020	0.196842	0.208558	0.190693	0.207558	156,285	44,553,248
Nov 17, 2020	0.177897	0.198526	0.175031	0.196834	219,029	42,251,461
Nov 16, 2020	0.149713	0.177499	0.148307	0.174323	243,530	37,419,378
Nov 15, 2020	0.153138	0.154951	0.144606	0.149714	209,428	32,136,796
Nov 14, 2020	0.154695	0.155050	0.143144	0.153131	214,205	32,870,298
