date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002239	0.002448	0.002194	0.002415	1,510,180	16,956,136
Dec 15, 2020	0.002319	0.002323	0.002238	0.002238	1,091,765	15,706,755
Dec 14, 2020	0.002378	0.002382	0.002307	0.002319	1,028,319	16,263,127
Dec 13, 2020	0.002373	0.002395	0.002325	0.002377	974,886	16,662,685
Dec 12, 2020	0.002272	0.002395	0.002271	0.002371	977,483	16,603,375
Dec 11, 2020	0.002318	0.002318	0.002243	0.002271	1,210,704	15,897,604
Dec 10, 2020	0.002384	0.002384	0.002257	0.002317	969,663	16,208,355
Dec 09, 2020	0.002409	0.002416	0.002285	0.002383	1,239,073	16,655,078
Dec 08, 2020	0.002496	0.002512	0.002408	0.002409	1,175,303	16,826,390
Dec 07, 2020	0.002499	0.002594	0.002466	0.002496	1,279,158	17,428,466
Dec 06, 2020	0.002590	0.002614	0.002431	0.002499	1,133,431	17,433,860
Dec 05, 2020	0.002503	0.002611	0.002485	0.002589	1,140,292	18,050,830
Dec 04, 2020	0.002644	0.002659	0.002498	0.002502	1,436,788	17,436,039
Dec 03, 2020	0.002587	0.002663	0.002528	0.002641	1,240,087	18,386,766
Dec 02, 2020	0.002611	0.002680	0.002456	0.002586	1,443,637	17,998,310
Dec 01, 2020	0.002797	0.002826	0.002556	0.002612	1,456,160	18,164,349
Nov 30, 2020	0.002513	0.002799	0.002488	0.002796	1,449,276	19,430,130
Nov 29, 2020	0.002617	0.002625	0.002463	0.002512	1,313,014	17,444,479
Nov 28, 2020	0.002511	0.002634	0.002475	0.002616	1,302,143	18,157,738
Nov 27, 2020	0.002572	0.002601	0.002445	0.002513	1,327,657	17,431,828
Nov 26, 2020	0.002994	0.002996	0.002414	0.002573	1,573,357	17,833,565
Nov 25, 2020	0.002690	0.003097	0.002654	0.002990	1,694,163	20,711,693
Nov 24, 2020	0.002431	0.002861	0.002391	0.002689	1,897,522	18,612,481
Nov 23, 2020	0.002385	0.002455	0.002327	0.002431	1,420,927	16,817,151
Nov 22, 2020	0.002365	0.002413	0.002276	0.002387	1,283,389	16,500,349
Nov 21, 2020	0.002509	0.002545	0.002308	0.002365	1,256,756	16,340,511
Nov 20, 2020	0.002175	0.002515	0.002165	0.002510	1,642,608	17,325,811
Nov 19, 2020	0.002255	0.002261	0.002131	0.002175	1,767,447	15,006,198
Nov 18, 2020	0.002361	0.002366	0.002198	0.002255	1,931,070	15,546,180
Nov 17, 2020	0.002371	0.002428	0.002301	0.002361	1,941,387	16,267,504
Nov 16, 2020	0.002402	0.002447	0.002382	0.002393	1,694,242	16,474,205
Nov 15, 2020	0.002573	0.002579	0.002395	0.002402	1,288,000	16,530,365
Nov 14, 2020	0.002496	0.002585	0.002457	0.002572	1,640,274	17,689,568
Nov 13, 2020	0.002521	0.002539	0.002436	0.002496	1,609,864	17,153,071
Nov 12, 2020	0.002624	0.002632	0.002515	0.002521	1,701,711	17,314,924
Nov 11, 2020	0.002779	0.002817	0.002600	0.002624	1,567,298	18,007,251
Nov 10, 2020	0.002618	0.002811	0.002590	0.002779	874,412	19,062,304
Nov 09, 2020	0.002514	0.002798	0.002499	0.002618	965,055	17,940,213
Nov 08, 2020	0.002353	0.002548	0.002336	0.002514	825,716	17,217,898
Nov 07, 2020	0.002171	0.002549	0.002160	0.002353	899,567	16,104,692
Nov 06, 2020	0.002160	0.002194	0.002104	0.002171	963,857	14,848,425
Nov 05, 2020	0.002172	0.002199	0.002099	0.002158	1,251,950	14,751,963
Nov 04, 2020	0.002203	0.002210	0.002141	0.002172	1,056,316	14,839,107
Nov 03, 2020	0.002259	0.002259	0.002164	0.002203	919,536	15,041,133
Nov 02, 2020	0.002252	0.002284	0.002209	0.002259	1,000,601	15,406,466
Nov 01, 2020	0.002301	0.002310	0.002226	0.002252	881,924	15,354,498
Oct 31, 2020	0.002302	0.002360	0.002256	0.002301	851,269	15,677,319
Oct 30, 2020	0.002383	0.002388	0.002281	0.002302	552,359	15,674,825
Oct 29, 2020	0.002567	0.002583	0.002360	0.002383	1,181,415	16,214,805
Oct 28, 2020	0.002794	0.002801	0.002504	0.002567	1,326,429	17,449,620
Oct 27, 2020	0.002459	0.003132	0.002437	0.002794	1,721,790	18,982,814
Oct 26, 2020	0.002188	0.002511	0.002163	0.002459	1,043,592	16,694,531
Oct 25, 2020	0.002062	0.002229	0.002062	0.002188	874,396	14,844,020
Oct 24, 2020	0.002047	0.002091	0.002032	0.002062	672,710	13,977,824
Oct 23, 2020	0.002001	0.002068	0.001993	0.002047	698,860	13,872,145
Oct 22, 2020	0.001960	0.002019	0.001960	0.001994	774,095	13,483,614
Oct 21, 2020	0.001959	0.002010	0.001853	0.001987	1,022,618	13,438,914
Oct 20, 2020	0.002044	0.002145	0.001950	0.001960	770,847	13,250,334
Oct 19, 2020	0.002265	0.002315	0.002034	0.002105	910,975	14,224,098
Oct 18, 2020	0.002317	0.002365	0.002271	0.002286	718,769	15,438,366
Oct 17, 2020	0.002296	0.002330	0.002269	0.002317	589,411	15,634,161
Oct 16, 2020	0.002321	0.002403	0.002269	0.002294	841,367	15,469,523
Oct 15, 2020	0.002458	0.002460	0.002321	0.002322	708,630	15,644,247
Oct 14, 2020	0.002436	0.002529	0.002394	0.002460	642,744	16,567,732
Oct 13, 2020	0.002558	0.002601	0.002407	0.002439	579,830	16,415,525
Oct 12, 2020	0.002577	0.002594	0.002491	0.002558	696,955	17,199,813
Oct 11, 2020	0.002459	0.002622	0.002410	0.002554	830,085	17,160,786
Oct 10, 2020	0.002526	0.002584	0.002405	0.002470	818,349	16,581,435
Oct 09, 2020	0.002397	0.002583	0.002355	0.002548	892,645	17,091,591
Oct 08, 2020	0.002359	0.002413	0.002328	0.002397	835,662	16,071,631
Oct 07, 2020	0.002417	0.002493	0.002301	0.002359	829,540	15,805,536
Oct 06, 2020	0.002659	0.002659	0.002416	0.002417	894,951	16,180,287
Oct 05, 2020	0.002619	0.002660	0.002570	0.002659	940,303	17,792,740
Oct 04, 2020	0.002402	0.002633	0.002397	0.002618	893,995	17,504,390
Oct 03, 2020	0.002499	0.002499	0.002395	0.002406	749,256	15,879,077
Oct 02, 2020	0.002629	0.002683	0.002457	0.002499	915,318	16,479,517
Oct 01, 2020	0.002656	0.002798	0.002618	0.002628	955,131	17,315,081
Sep 30, 2020	0.002672	0.002752	0.002637	0.002656	889,795	17,491,819
Sep 29, 2020	0.002790	0.002848	0.002585	0.002650	742,920	17,437,339
Sep 28, 2020	0.002772	0.002875	0.002664	0.002790	858,948	18,348,483
Sep 27, 2020	0.002817	0.002870	0.002753	0.002757	784,583	18,118,451
Sep 26, 2020	0.002811	0.002876	0.002592	0.002799	794,712	18,381,618
Sep 25, 2020	0.002773	0.002838	0.002641	0.002811	847,346	18,442,651
Sep 24, 2020	0.002764	0.002800	0.002628	0.002771	934,880	18,167,458
Sep 23, 2020	0.003010	0.003032	0.002734	0.002764	959,718	18,110,922
Sep 22, 2020	0.002939	0.003200	0.002898	0.003007	1,007,723	19,695,665
Sep 21, 2020	0.003623	0.003741	0.002862	0.002944	1,576,016	19,271,128
