date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.060258	0.061120	0.049587	0.059919	46,755.42	2,893,339
Dec 15, 2020	0.058032	0.062193	0.057146	0.060266	18,744.42	2,909,628
Dec 14, 2020	0.059802	0.059930	0.056278	0.058033	16,438.63	2,801,313
Dec 13, 2020	0.066632	0.066632	0.057711	0.059797	30,274.20	2,885,953
Dec 12, 2020	0.064629	0.067351	0.063950	0.066641	19,141.49	3,215,698
Dec 11, 2020	0.066406	0.066445	0.062738	0.064623	17,887.14	3,117,782
Dec 10, 2020	0.066013	0.067353	0.064220	0.066404	19,209.84	3,203,155
Dec 09, 2020	0.063249	0.066894	0.062158	0.066011	16,484.10	3,183,617
Dec 08, 2020	0.073587	0.074249	0.063209	0.063261	19,655.70	3,050,470
Dec 07, 2020	0.083250	0.085229	0.071936	0.073608	26,143.54	3,548,753
Dec 06, 2020	0.067070	0.086573	0.064333	0.079024	29,542.21	3,809,230
Dec 05, 2020	0.063990	0.070042	0.063632	0.067046	20,973.33	3,231,307
Dec 04, 2020	0.067200	0.067707	0.063084	0.064113	17,568.15	3,089,387
Dec 03, 2020	0.065517	0.067554	0.062344	0.067191	21,976.84	3,237,158
Dec 02, 2020	0.069519	0.070161	0.062610	0.065527	20,105.38	3,156,490
Dec 01, 2020	0.074637	0.075768	0.068462	0.069534	12,111.20	3,348,916
Nov 30, 2020	0.069513	0.075502	0.067624	0.074633	14,812.10	3,593,875
Nov 29, 2020	0.071936	0.073161	0.065932	0.069516	15,639.03	3,346,882
Nov 28, 2020	0.064256	0.074611	0.063292	0.071943	16,970.96	3,463,106
Nov 27, 2020	0.061546	0.065206	0.060303	0.064263	13,568.68	3,092,536
Nov 26, 2020	0.084248	0.084658	0.059446	0.061491	19,564.59	2,958,638
Nov 25, 2020	0.079864	0.087625	0.076729	0.084261	20,849.56	4,053,505
Nov 24, 2020	0.075311	0.096421	0.069516	0.079867	70,069.65	3,853,389
Nov 23, 2020	0.073733	0.092940	0.066055	0.075250	90,810.44	3,615,024
Nov 22, 2020	0.085345	0.089327	0.066093	0.073738	73,529.15	3,541,780
Nov 21, 2020	0.069264	0.089125	0.058695	0.085343	87,830.98	4,098,469
Nov 20, 2020	0.053520	0.070313	0.052177	0.069266	89,875.73	3,325,816
Nov 19, 2020	0.059552	0.065663	0.052350	0.053521	79,812.47	2,569,367
Nov 18, 2020	0.060470	0.069462	0.053893	0.059547	88,969.96	2,858,169
Nov 17, 2020	0.065040	0.068585	0.050825	0.060467	98,919.89	2,901,864
Nov 16, 2020	0.054375	0.068823	0.052927	0.063460	82,804.49	3,044,942
Nov 15, 2020	0.054131	0.061206	0.053156	0.054375	79,572.97	2,608,580
Nov 14, 2020	0.054526	0.062032	0.053280	0.054128	76,473.73	2,596,279
Nov 13, 2020	0.059765	0.062701	0.053596	0.054526	76,615.52	2,614,876
Nov 12, 2020	0.067817	0.068214	0.039666	0.059764	132,525	2,865,592
Nov 11, 2020	0.064534	0.072397	0.057865	0.067824	155,612	3,251,479
Nov 10, 2020	0.071045	0.072201	0.063037	0.064538	119,441	3,093,400
Nov 09, 2020	0.065674	0.075058	0.060058	0.071060	145,172	3,405,421
Nov 08, 2020	0.073121	0.076306	0.061685	0.065671	132,617	3,146,617
Nov 07, 2020	0.083546	0.088315	0.067923	0.073120	154,401	3,502,918
Nov 06, 2020	0.087634	0.089885	0.074209	0.083546	133,152	4,001,705
Nov 05, 2020	0.074193	0.088045	0.068689	0.087528	119,368	4,191,673
Nov 04, 2020	0.076137	0.079603	0.068647	0.074156	144,311	3,550,745
Nov 03, 2020	0.072443	0.078256	0.064034	0.076135	111,624	3,644,841
Nov 02, 2020	0.076891	0.077250	0.066150	0.072439	136,260	3,467,321
Nov 01, 2020	0.068755	0.077341	0.068031	0.076888	133,170	3,679,614
Oct 31, 2020	0.073741	0.079827	0.067553	0.068756	120,890	3,289,866
Oct 30, 2020	0.070800	0.086251	0.066709	0.073740	134,441	3,527,720
Oct 29, 2020	0.086212	0.089004	0.069506	0.070800	110,447	3,386,491
Oct 28, 2020	0.073713	0.093445	0.071621	0.086214	135,560	4,123,032
Oct 27, 2020	0.066863	0.076328	0.066863	0.073643	137,876	3,521,195
Oct 26, 2020	0.066606	0.071294	0.063455	0.066853	127,691	3,166,672
Oct 25, 2020	0.065725	0.072484	0.061708	0.066580	155,999	3,153,740
Oct 24, 2020	0.069035	0.077331	0.062836	0.065741	108,707	3,114,030
Oct 23, 2020	0.074633	0.079804	0.065380	0.069020	125,437	3,269,339
Oct 22, 2020	0.070057	0.078156	0.065404	0.074570	106,626	3,532,202
Oct 21, 2020	0.056923	0.074660	0.056853	0.070054	124,078	3,318,317
Oct 20, 2020	0.064510	0.075472	0.056789	0.057498	120,332	2,723,545
Oct 19, 2020	0.069038	0.075749	0.062823	0.064530	123,889	3,056,630
Oct 18, 2020	0.064515	0.073826	0.062598	0.069083	120,613	3,272,327
Oct 17, 2020	0.066137	0.074452	0.060342	0.064544	111,055	3,057,325
Oct 16, 2020	0.061824	0.073575	0.059290	0.066012	110,093	3,126,862
Oct 15, 2020	0.062969	0.074501	0.059275	0.061823	123,249	2,928,425
Oct 14, 2020	0.072836	0.073618	0.056664	0.062986	137,680	2,983,534
Oct 13, 2020	0.063012	0.077723	0.060845	0.072736	112,016	3,445,370
Oct 12, 2020	0.066176	0.077976	0.062077	0.062990	135,602	2,983,711
Oct 11, 2020	0.078559	0.087451	0.063909	0.066009	106,187	3,126,719
Oct 10, 2020	0.076562	0.085138	0.065850	0.078784	120,367	3,731,841
Oct 09, 2020	0.070810	0.083721	0.070539	0.076562	106,931	3,626,602
Oct 08, 2020	0.062136	0.083402	0.062136	0.070810	126,958	3,354,125
Oct 07, 2020	0.088773	0.089291	0.062121	0.062122	114,297	2,942,576
Oct 06, 2020	0.086915	0.090200	0.079450	0.088722	114,115	4,202,590
Oct 05, 2020	0.081992	0.090564	0.076621	0.086978	122,538	4,119,963
Oct 04, 2020	0.060363	0.088279	0.060363	0.084992	108,421	4,025,881
Oct 03, 2020	0.088190	0.090369	0.058705	0.060363	122,901	2,859,290
Oct 02, 2020	0.085554	0.093373	0.080235	0.088194	115,775	4,177,583
Oct 01, 2020	0.086560	0.098705	0.079939	0.085572	128,476	4,053,372
Sep 30, 2020	0.078778	0.087057	0.077118	0.086549	128,358	4,099,630
Sep 29, 2020	0.080056	0.089550	0.077737	0.078955	130,006	3,739,918
Sep 28, 2020	0.093476	0.098585	0.078660	0.078744	112,381	3,729,939
Sep 27, 2020	0.100782	0.100782	0.081975	0.093363	130,607	4,422,394
Sep 26, 2020	0.097881	0.101816	0.081018	0.100738	113,164	4,771,752
Sep 25, 2020	0.100281	0.105257	0.091357	0.097881	114,733	4,636,415
Sep 24, 2020	0.095309	0.100651	0.086257	0.099979	143,029	4,735,778
Sep 23, 2020	0.103082	0.106351	0.092890	0.095309	103,712	4,514,570
Sep 22, 2020	0.102349	0.107151	0.100339	0.103141	100,723	4,885,569
Sep 21, 2020	0.113525	0.128273	0.101361	0.102439	94,599.78	4,852,331
Sep 20, 2020	0.112055	0.133320	0.108324	0.113525	91,241.86	5,377,435
Sep 19, 2020	0.109488	0.130251	0.105494	0.112068	89,201.38	5,308,436
Sep 18, 2020	0.111875	0.136772	0.104382	0.109474	121,686	5,185,538
Sep 17, 2020	0.115285	0.127410	0.102315	0.111875	122,228	5,299,267
Sep 16, 2020	0.120867	0.129211	0.094434	0.115285	76,589.46	5,460,810
Sep 15, 2020	0.129155	0.138693	0.112980	0.120898	105,168	5,726,676
Sep 14, 2020	0.113271	0.137967	0.112588	0.127379	111,373	6,033,668
Sep 13, 2020	0.119984	0.139303	0.112489	0.113312	107,873	5,367,347
Sep 12, 2020	0.126810	0.131124	0.110189	0.119980	100,615	5,683,193
Sep 11, 2020	0.111380	0.130950	0.108566	0.126851	111,593	6,008,663
Sep 10, 2020	0.111909	0.130993	0.107921	0.111281	114,048	5,271,147
Sep 09, 2020	0.105135	0.115249	0.101913	0.111906	117,624	5,300,765
Sep 08, 2020	0.110760	0.115818	0.102910	0.105141	97,475.83	4,980,285
Sep 07, 2020	0.130799	0.130818	0.104726	0.110709	116,021	5,244,061
Sep 06, 2020	0.134302	0.135162	0.124062	0.130789	104,956	6,195,186
Sep 05, 2020	0.141583	0.161465	0.116806	0.134302	149,198	6,361,588
Sep 04, 2020	0.144414	0.155775	0.140923	0.141575	110,356	6,706,121
Sep 03, 2020	0.182092	0.183069	0.143144	0.144350	96,167.09	6,242,436
Sep 02, 2020	0.198420	0.208205	0.157713	0.182148	142,186	7,876,999
Sep 01, 2020	0.167193	0.225005	0.158366	0.198415	299,293	8,580,474
Aug 31, 2020	0.149275	0.173982	0.138531	0.167263	167,356	7,233,311
Aug 30, 2020	0.153068	0.167515	0.136804	0.149237	173,528	6,453,789
