date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.064069	0.070793	0.063665	0.070295	0	0
Dec 15, 2020	0.063497	0.064413	0.062944	0.064073	0	0
Dec 14, 2020	0.063145	0.063687	0.062723	0.063523	0	0
Dec 13, 2020	0.062039	0.063940	0.061805	0.063165	0	0
Dec 12, 2020	0.059571	0.062390	0.059534	0.062014	0	0
Dec 11, 2020	0.060256	0.060268	0.058127	0.059618	0	0
Dec 10, 2020	0.061209	0.061209	0.059240	0.060252	0	0
Dec 09, 2020	0.060441	0.061448	0.059180	0.061208	0	0
Dec 08, 2020	0.063313	0.063616	0.060273	0.060438	0	0
Dec 07, 2020	0.070397	0.070640	0.062454	0.063319	0.126663	0
Dec 06, 2020	0.072784	0.073447	0.068769	0.070374	0.625164	0
Dec 05, 2020	0.074808	0.076642	0.072353	0.072753	0.014549	0
Dec 04, 2020	0.077791	0.078046	0.074789	0.075036	0	0
Dec 03, 2020	0.076811	0.078265	0.075703	0.077771	0	0
Dec 02, 2020	0.075218	0.077233	0.073391	0.076827	0	0
Dec 01, 2020	0.078503	0.079384	0.073407	0.075218	0	0
Nov 30, 2020	0.072710	0.078997	0.072710	0.078510	0	0
Nov 29, 2020	0.070870	0.073131	0.070236	0.072713	0	0
Nov 28, 2020	0.068434	0.071416	0.067643	0.070872	0	0
Nov 27, 2020	0.068580	0.069780	0.066106	0.068435	0	0
Nov 26, 2020	0.074928	0.075465	0.065404	0.068491	0	0
Nov 25, 2020	0.076430	0.077564	0.074325	0.074935	0	0
Nov 24, 2020	0.073471	0.077393	0.072515	0.076437	0	0
Nov 23, 2020	0.073485	0.074846	0.072003	0.073408	0	0
Nov 22, 2020	0.074567	0.074756	0.070686	0.073576	0	0
Nov 21, 2020	0.182489	0.185579	0.074015	0.074557	1.13	0
Nov 20, 2020	0.093094	0.184545	0.092826	0.182496	18.23	0
Nov 19, 2020	0.093026	0.094675	0.090824	0.093097	0	0
Nov 18, 2020	0.092197	0.096108	0.090669	0.093017	0	0
Nov 17, 2020	0.087198	0.092916	0.086550	0.092193	0	0
Nov 16, 2020	0.083368	0.087865	0.082977	0.087335	0	0
Nov 15, 2020	0.142749	0.143238	0.081793	0.083368	0.717257	0
Nov 14, 2020	0.144967	0.144967	0.139916	0.142742	0	0
Nov 13, 2020	0.144599	0.146259	0.142074	0.144968	0	0
Nov 12, 2020	0.139491	0.144854	0.138011	0.144598	0	0
Nov 11, 2020	0.135844	0.141400	0.135836	0.139508	0	0
Nov 10, 2020	0.085098	0.137261	0.061235	0.135854	10.49	0
Nov 09, 2020	0.385271	0.387448	0.005104	0.085119	8.09	0
Nov 08, 2020	0.369197	0.389197	0.366966	0.385253	0	0
Nov 07, 2020	0.387419	0.391681	0.358979	0.369192	0	0
Nov 06, 2020	0.387767	0.395821	0.378981	0.387420	0	0
Nov 05, 2020	0.170608	0.390917	0.091490	0.387772	9.94	0
Nov 04, 2020	0.335268	0.466491	0.168992	0.170604	14.76	0
Nov 03, 2020	0.516382	0.524829	0.328414	0.335257	0.010618	0
Nov 02, 2020	0.578863	0.581883	0.318273	0.516724	2.07	0
Nov 01, 2020	0.580740	0.584146	0.574300	0.577831	0	0
Oct 31, 2020	0.570850	0.591149	0.567100	0.580649	0	0
Oct 30, 2020	0.566279	0.575274	0.553559	0.570843	0	0
Oct 29, 2020	0.559252	0.573612	0.546980	0.566763	0	0
Oct 28, 2020	0.577558	0.585307	0.547008	0.559269	1.12	0
Oct 27, 2020	0.553034	0.582006	0.552447	0.576885	0	0
Oct 26, 2020	0.551200	0.559404	0.542361	0.552930	0	0
Oct 25, 2020	0.554450	0.563798	0.546070	0.550938	0	0
Oct 24, 2020	0.404254	0.556010	0.402808	0.554633	31.22	0
Oct 23, 2020	0.405314	0.406879	0.398648	0.404142	0	0
Oct 22, 2020	0.380735	0.411431	0.377571	0.405314	0.405315	0
Oct 21, 2020	0.353796	0.391444	0.353339	0.380736	0	0
Oct 20, 2020	0.380559	0.380863	0.349311	0.353796	4.80	0
Oct 19, 2020	0.372176	0.382409	0.369743	0.380560	0	0
Oct 18, 2020	0.368116	0.372176	0.367775	0.372176	0	0
Oct 17, 2020	0.366950	0.369029	0.365758	0.368116	0	0
Oct 16, 2020	0.256346	0.367801	0.250273	0.366950	0.366950	0
Oct 15, 2020	0.483468	0.483468	0.250885	0.255997	4.23	0
Oct 14, 2020	0.114385	0.561267	0.114385	0.483469	24.63	0
Oct 13, 2020	1.15	1.15	0.002356	0.114385	93.72	0
Oct 12, 2020	0.958434	1.17	0.474020	1.15	70.21	0
Oct 11, 2020	0.951041	0.962192	0.950409	0.958437	0	0
Oct 10, 2020	0.931069	0.963320	0.930884	0.951041	0	0
Oct 09, 2020	0.460314	0.933596	0.457412	0.931517	1.11	0
Oct 08, 2020	1.06	1.06	0.445541	0.460311	43.66	0
Oct 07, 2020	1.32	1.32	0.447056	1.06	533.44	0
Oct 06, 2020	1.34	1.34	1.31	1.32	0	0
Oct 05, 2020	0.450229	1.34	0.448461	1.34	1.08	0
Oct 04, 2020	0.444865	0.450602	0.444235	0.449888	0	0
Oct 03, 2020	1.35	1.35	0.444169	0.444865	2.11	0
Oct 02, 2020	0.973485	1.36	0.971531	1.35	1.06	0
Oct 01, 2020	1.02	1.04	0.967113	0.973485	148.67	0
Sep 30, 2020	1.00	1.03	0.984245	1.02	37.75	0
Sep 29, 2020	0.996747	1.01	0.985465	1.00	101.94	0
Sep 28, 2020	0.270729	1.02	0.270729	0.996748	2.14	0
Sep 27, 2020	1.02	1.02	0.269901	0.270734	3.23	0
Sep 26, 2020	0.769876	1.02	0.534667	1.02	10.75	0
Sep 25, 2020	0.774725	0.775994	0.761682	0.769876	8.55	0
Sep 24, 2020	0.737725	0.775516	0.736667	0.774725	0	0
Sep 23, 2020	1.05	1.05	0.734246	0.737725	101.44	0
Sep 22, 2020	1.66	1.66	0.752994	1.05	523.06	0
Sep 21, 2020	1.75	1.75	1.66	1.66	0	0
Sep 20, 2020	1.33	1.76	0.760202	1.75	22,985.60	0
Sep 19, 2020	1.63	1.64	0.775107	1.33	185.47	0
Sep 18, 2020	1.81	1.81	0.547598	1.63	659.84	0
Sep 17, 2020	2.07	2.09	1.07	1.81	2,845.25	0
Sep 16, 2020	1.83	2.16	1.21	2.07	3,357.38	0
Sep 15, 2020	2.00	2.01	1.07	1.83	389.09	0
Sep 14, 2020	2.06	2.17	1.04	2.00	1,402.92	0
Sep 13, 2020	2.18	2.21	1.03	2.06	616.86	0
Sep 12, 2020	2.60	2.60	1.25	2.18	303.19	0
Sep 11, 2020	2.59	6.69	0.514333	2.60	5,952.33	0
Sep 10, 2020	3.11	3.25	2.58	2.59	500.51	0
