date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.125588	0.131875	0.116114	0.131367	89.94	0
Dec 15, 2020	0.129990	0.144903	0.111115	0.125592	24,216.33	0
Dec 14, 2020	0.132113	0.144890	0.123217	0.129987	78,349.64	0
Dec 13, 2020	0.141072	0.141075	0.123752	0.132117	166,993	0
Dec 12, 2020	0.144656	0.144995	0.120667	0.141077	30,970.80	0
Dec 11, 2020	0.132623	0.144665	0.113225	0.144655	43,174.88	0
Dec 10, 2020	0.170032	0.176034	0.126242	0.132614	520,968	0
Dec 09, 2020	0.177921	0.186973	0.166029	0.170039	453,492	0
Dec 08, 2020	0.214420	0.214420	0.160754	0.177927	1,389,653	0
Dec 07, 2020	0.217156	0.286349	0.187253	0.214409	2,312,385	0
Dec 06, 2020	0.185524	0.220372	0.179467	0.217150	1,157,212	0
Dec 05, 2020	0.172535	0.190068	0.169034	0.185524	374,375	0
Dec 04, 2020	0.175807	0.179781	0.165002	0.172537	723,903	0
Dec 03, 2020	0.110735	0.187621	0.109210	0.175806	1,287,913	0
Dec 02, 2020	0.087114	0.116088	0.087101	0.110732	514,952	0
Dec 01, 2020	0.091033	0.093017	0.087109	0.087111	80,568.66	0
Nov 30, 2020	0.090084	0.093104	0.089069	0.091034	84,917.41	0
Nov 29, 2020	0.091071	0.092073	0.088055	0.090084	53,577.06	0
Nov 28, 2020	0.092043	0.094113	0.087127	0.091069	86,956.57	0
Nov 27, 2020	0.089166	0.094082	0.088096	0.092042	103,275	0
Nov 26, 2020	0.076988	0.095090	0.076984	0.089158	329,753	0
Nov 25, 2020	0.080992	0.080992	0.074995	0.076989	122,369	0
Nov 24, 2020	0.082003	0.084018	0.078013	0.080991	205,406	0
Nov 23, 2020	0.084927	0.086971	0.079946	0.082002	115,044	0
Nov 22, 2020	0.087887	0.090949	0.078015	0.084927	186,372	0
Nov 21, 2020	0.097010	0.097035	0.085967	0.087887	240,433	0
Nov 20, 2020	0.082044	0.104050	0.080037	0.097010	348,046	0
Nov 19, 2020	0.073084	0.093911	0.070048	0.082044	385,126	0
Nov 18, 2020	0.118195	0.122135	0.042128	0.073084	1,112,856	0
Nov 17, 2020	0.122049	0.127797	0.117038	0.118194	194,336	0
Nov 16, 2020	0.131925	0.131925	0.121122	0.122098	191,628	0
