date	open	high	low	close	volume	market_cap
Dec 16, 2020	7.80e-7	7.80e-7	5.80e-7	6.40e-7	1.12	0
Dec 15, 2020	7.70e-7	7.80e-7	7.60e-7	7.80e-7	0	0
Dec 14, 2020	5.70e-7	7.70e-7	5.70e-7	7.70e-7	0.481734	0
Dec 13, 2020	5.60e-7	5.80e-7	5.60e-7	5.70e-7	4.70	0
Dec 12, 2020	5.40e-7	5.70e-7	5.40e-7	5.60e-7	0	0
Dec 11, 2020	5.50e-7	5.50e-7	5.30e-7	5.40e-7	0	0
Dec 10, 2020	5.60e-7	5.60e-7	5.40e-7	5.50e-7	0	0
Dec 09, 2020	5.50e-7	5.60e-7	5.40e-7	5.60e-7	0	0
Dec 08, 2020	5.80e-7	5.80e-7	5.50e-7	5.50e-7	0.006522	0
Dec 07, 2020	5.80e-7	5.80e-7	5.70e-7	5.80e-7	0.009497	0
Dec 06, 2020	5.70e-7	5.80e-7	5.70e-7	5.80e-7	0	0
Dec 05, 2020	5.60e-7	5.70e-7	5.60e-7	5.70e-7	0	0
Dec 04, 2020	5.80e-7	5.90e-7	5.60e-7	5.60e-7	0	0
Dec 03, 2020	5.80e-7	5.90e-7	5.70e-7	5.80e-7	0.058270	0
Dec 02, 2020	5.60e-7	5.80e-7	5.50e-7	5.80e-7	0.288103	0
Dec 01, 2020	5.90e-7	6.00e-7	5.50e-7	5.60e-7	0	0
Nov 30, 2020	5.50e-7	7.90e-7	5.50e-7	5.90e-7	28.11	0
Nov 29, 2020	5.30e-7	7.30e-7	5.30e-7	5.50e-7	3.20	0
Nov 28, 2020	5.10e-7	7.10e-7	5.10e-7	5.30e-7	1.39	0
Nov 27, 2020	6.90e-7	7.00e-7	5.00e-7	5.10e-7	0.059418	0
Nov 26, 2020	5.60e-7	7.50e-7	4.90e-7	6.80e-7	0.607347	0
Nov 25, 2020	5.70e-7	7.80e-7	5.60e-7	5.60e-7	32.87	0
Nov 24, 2020	5.50e-7	7.70e-7	5.40e-7	5.70e-7	2.98	0
Nov 23, 2020	5.50e-7	7.40e-7	5.40e-7	5.50e-7	4.25	0
Nov 22, 2020	7.50e-7	7.50e-7	5.30e-7	5.50e-7	35.72	0
Nov 21, 2020	5.60e-7	7.50e-7	5.50e-7	7.50e-7	0.361245	0
Nov 20, 2020	7.10e-7	7.50e-7	5.60e-7	5.60e-7	2.36	0
Nov 19, 2020	5.30e-7	7.20e-7	5.20e-7	7.10e-7	0.071120	0
Nov 18, 2020	5.30e-7	5.50e-7	5.20e-7	5.30e-7	1.56	0
Nov 17, 2020	5.00e-7	5.30e-7	5.00e-7	5.30e-7	0	0
Nov 16, 2020	6.40e-7	6.60e-7	4.90e-7	5.00e-7	0.015128	0
Nov 15, 2020	4.80e-7	6.40e-7	4.80e-7	6.40e-7	4.71	0
Nov 14, 2020	4.90e-7	4.90e-7	4.70e-7	4.80e-7	1.66	0
Nov 13, 2020	4.90e-7	4.90e-7	4.80e-7	4.90e-7	3.82	0
Nov 12, 2020	4.70e-7	4.90e-7	4.70e-7	4.90e-7	0	0
Nov 11, 2020	6.10e-7	6.20e-7	4.60e-7	4.70e-7	18.43	0
Nov 10, 2020	4.60e-7	6.20e-7	3.00e-7	6.10e-7	250.44	0
Nov 09, 2020	7.70e-7	7.80e-7	4.50e-7	4.60e-7	1.23	0
Nov 08, 2020	4.50e-7	7.80e-7	4.40e-7	7.70e-7	0.827835	0
Nov 07, 2020	4.70e-7	4.70e-7	4.30e-7	4.50e-7	0.459842	0
Nov 06, 2020	7.80e-7	8.00e-7	4.60e-7	4.70e-7	0.633640	0
Nov 05, 2020	7.10e-7	7.90e-7	7.10e-7	7.80e-7	0.678370	0
