date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.078613	0.079386	0.075812	0.077067	1,861,075	0
Dec 15, 2020	0.080052	0.080123	0.077557	0.078602	2,947,214	0
Dec 14, 2020	0.081513	0.084149	0.078470	0.080000	1,698,871	0
Dec 13, 2020	0.077378	0.081809	0.076845	0.081501	2,431,829	0
Dec 12, 2020	0.071742	0.077449	0.071638	0.077411	2,183,094	0
Dec 11, 2020	0.081854	0.081854	0.071462	0.071769	2,595,498	0
Dec 10, 2020	0.088568	0.088936	0.081859	0.081859	3,917,751	0
Dec 09, 2020	0.085431	0.088693	0.081855	0.088600	2,187,421	0
Dec 08, 2020	0.089090	0.093270	0.085485	0.085485	1,755,376	0
Dec 07, 2020	0.095563	0.096992	0.088639	0.089083	5,137,855	0
Dec 06, 2020	0.102372	0.102919	0.093559	0.095578	4,336,397	0
Dec 05, 2020	0.096425	0.104747	0.090043	0.102376	3,386,388	0
Dec 04, 2020	0.090335	0.103943	0.086041	0.096399	7,238,292	0
Dec 03, 2020	0.066021	0.090367	0.065952	0.090365	5,530,412	0
Dec 02, 2020	0.068653	0.069673	0.065141	0.066011	2,380,031	0
Dec 01, 2020	0.073682	0.074006	0.067788	0.068552	3,882,393	0
Nov 30, 2020	0.070305	0.073698	0.070098	0.073698	7,097,685	0
Nov 29, 2020	0.068971	0.070980	0.068460	0.070327	2,699,755	0
Nov 28, 2020	0.068630	0.069404	0.066151	0.068946	2,675,977	0
Nov 27, 2020	0.066770	0.069400	0.066587	0.068644	1,405,198	0
Nov 26, 2020	0.078033	0.078205	0.065541	0.066697	2,624,907	0
Nov 25, 2020	0.077722	0.082630	0.076691	0.077996	4,637,300	0
Nov 24, 2020	0.073927	0.077721	0.072421	0.077721	6,190,336	0
Nov 23, 2020	0.072984	0.075003	0.071409	0.073920	3,948,830	0
Nov 22, 2020	0.072598	0.074975	0.067473	0.072984	3,559,041	0
Nov 21, 2020	0.069984	0.073804	0.068422	0.072598	3,649,892	0
Nov 20, 2020	0.062414	0.070972	0.062414	0.069984	4,107,107	0
Nov 19, 2020	0.065434	0.066913	0.060917	0.062414	2,517,402	0
Nov 18, 2020	0.080838	0.080968	0.061423	0.065432	3,306,521	0
