date	open	high	low	close	volume	market_cap
Dec 16, 2020	2.96	2.98	2.92	2.92	786,713	1,645,785
Dec 15, 2020	2.92	2.98	2.91	2.96	696,224	1,667,086
Dec 14, 2020	2.95	2.96	2.92	2.92	699,859	1,642,961
Dec 13, 2020	2.77	2.97	2.59	2.95	706,278	1,658,759
Dec 12, 2020	2.86	2.88	2.53	2.77	743,833	1,556,446
Dec 11, 2020	2.88	2.89	2.85	2.86	711,886	1,610,561
Dec 10, 2020	2.87	2.89	2.85	2.88	744,374	1,621,061
Dec 09, 2020	2.98	3.00	2.86	2.87	796,216	1,612,929
Dec 08, 2020	2.95	3.00	2.95	2.98	763,069	1,676,378
Dec 07, 2020	3.23	3.25	2.86	2.95	643,433	1,662,504
Dec 06, 2020	3.25	3.25	3.23	3.23	730,300	1,820,443
Dec 05, 2020	3.24	3.25	3.23	3.25	679,077	1,826,430
Dec 04, 2020	3.23	3.25	3.23	3.24	695,463	1,823,456
Dec 03, 2020	3.24	3.25	3.22	3.23	745,598	1,820,197
Dec 02, 2020	3.06	3.25	3.03	3.24	271,903	1,821,418
Dec 01, 2020	3.08	3.09	3.02	3.06	228,380	1,720,455
Nov 30, 2020	3.00	3.09	2.83	3.08	462,222	1,731,082
Nov 29, 2020	3.19	3.20	2.99	3.00	394,871	1,686,791
Nov 28, 2020	3.25	3.26	3.18	3.19	420,913	1,793,765
Nov 27, 2020	3.25	3.26	3.24	3.25	467,618	1,830,470
Nov 26, 2020	3.24	3.27	3.24	3.25	454,566	1,829,627
Nov 25, 2020	3.25	3.29	3.24	3.24	483,767	1,823,864
Nov 24, 2020	3.49	3.52	3.25	3.25	2,697,818	1,829,488
Nov 23, 2020	3.49	3.52	3.48	3.49	522,567	1,963,133
Nov 22, 2020	3.49	3.52	3.48	3.49	533,273	1,962,317
Nov 21, 2020	3.51	3.52	3.48	3.49	569,166	1,965,704
Nov 20, 2020	3.49	3.52	3.49	3.51	498,220	1,973,835
Nov 19, 2020	3.49	3.52	3.49	3.49	513,182	1,964,945
Nov 18, 2020	3.57	3.64	3.49	3.49	1,933,776	1,966,611
Nov 17, 2020	3.58	3.63	3.57	3.57	468,661	2,010,283
Nov 16, 2020	3.61	3.64	3.57	3.60	483,037	2,026,310
Nov 15, 2020	3.58	3.64	3.57	3.61	492,021	2,031,797
Nov 14, 2020	3.62	3.64	3.56	3.58	473,906	2,016,600
Nov 13, 2020	3.49	3.64	3.49	3.62	444,595	2,035,912
Nov 12, 2020	3.50	3.56	3.49	3.49	247,515	1,966,907
Nov 11, 2020	3.65	3.72	3.49	3.50	239,388	1,970,036
Nov 10, 2020	3.67	3.72	3.64	3.65	249,108	2,054,967
Nov 09, 2020	3.66	3.72	3.61	3.67	254,118	2,065,635
Nov 08, 2020	4.21	4.25	3.30	3.66	248,270	2,062,543
Nov 07, 2020	4.17	4.25	4.08	4.21	295,393	2,370,916
Nov 06, 2020	4.39	4.41	4.07	4.17	280,857	2,347,198
Nov 05, 2020	4.44	4.52	4.29	4.39	310,426	2,469,899
Nov 04, 2020	3.35	4.77	3.33	4.44	302,354	2,498,339
Nov 03, 2020	3.35	3.40	3.33	3.35	228,330	1,882,479
Nov 02, 2020	3.35	3.39	3.29	3.35	239,915	1,887,105
