date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.007962	0.008459	0.006534	0.006819	52.03	0
Dec 15, 2020	0.007891	0.008005	0.007823	0.007963	0	0
Dec 14, 2020	0.007848	0.007915	0.007795	0.007891	0	0
Dec 13, 2020	0.007710	0.007946	0.007681	0.007848	0	0
Dec 12, 2020	0.007404	0.007757	0.007399	0.007710	0	0
Dec 11, 2020	0.007489	0.007490	0.007226	0.007404	0	0
Dec 10, 2020	0.007607	0.007607	0.007362	0.007488	0	0
Dec 09, 2020	0.007511	0.007637	0.007355	0.007607	492.76	0
Dec 08, 2020	0.007869	0.007906	0.007491	0.007514	11,121.47	0
Dec 07, 2020	0.006575	0.011159	0.004994	0.007871	42,461.82	0
Dec 06, 2020	0.004980	0.006589	0.004914	0.006575	21,593.33	0
Dec 05, 2020	0.007481	0.007715	0.004684	0.004978	20,248.30	0
Dec 04, 2020	0.007974	0.007994	0.007479	0.007504	44,104.17	0
Dec 03, 2020	0.007873	0.008022	0.007570	0.007972	37,483.93	0
Dec 02, 2020	0.007522	0.007915	0.007339	0.007875	29,495.16	0
Dec 01, 2020	0.007850	0.008137	0.007341	0.007522	57,946.50	0
Nov 30, 2020	0.007271	0.008097	0.007271	0.007851	64,031.63	0
Nov 29, 2020	0.007264	0.007496	0.007024	0.007271	42,974.51	0
Nov 28, 2020	0.007014	0.007320	0.006765	0.007264	22,080.42	0
Nov 27, 2020	0.007032	0.007152	0.006776	0.007015	22,457.07	0
Nov 26, 2020	0.007680	0.007735	0.006704	0.007029	92,862.93	0
Nov 25, 2020	0.007834	0.007950	0.007618	0.007681	40,291.89	0
Nov 24, 2020	0.007531	0.007933	0.007433	0.007835	81,832.12	0
Nov 23, 2020	0.007532	0.007671	0.007380	0.007524	44,911.17	0
Nov 22, 2020	0.007643	0.007662	0.007245	0.007532	47,854.89	0
Nov 21, 2020	0.009311	0.009468	0.007487	0.007643	48,527.04	0
Nov 20, 2020	0.009443	0.009701	0.008705	0.009311	62,468.93	0
Nov 19, 2020	0.008724	0.009593	0.008518	0.009433	34,486.61	0
Nov 18, 2020	0.008646	0.009749	0.008550	0.008723	69,085.86	0
Nov 17, 2020	0.008845	0.009425	0.008387	0.008646	116,722	0
Nov 16, 2020	0.008456	0.008913	0.008417	0.008859	87,947.03	0
Nov 15, 2020	0.010122	0.010292	0.008371	0.008460	42,070.43	0
Nov 14, 2020	0.009954	0.010361	0.009850	0.010128	45,882.88	0
Nov 13, 2020	0.010091	0.010207	0.009812	0.009950	54,307.54	0
Nov 12, 2020	0.008636	0.010478	0.008544	0.010091	94,285.96	0
Nov 11, 2020	0.008410	0.008754	0.008410	0.008637	66,309.62	0
Nov 10, 2020	0.008433	0.008498	0.008319	0.008411	39,674.43	0
Nov 09, 2020	0.010061	0.010440	0.007528	0.008435	67,232.02	0
Nov 08, 2020	0.009790	0.010321	0.009731	0.010066	70,964.07	0
Nov 07, 2020	0.009807	0.010244	0.008798	0.009800	101,862	0
Nov 06, 2020	0.011217	0.011450	0.009634	0.009798	81,768.45	0
Nov 05, 2020	0.011590	0.011755	0.009846	0.011218	152,879	0
Nov 04, 2020	0.013810	0.013834	0.011168	0.011589	77,505.24	0
Nov 03, 2020	0.013414	0.013845	0.013192	0.013776	0	0
Nov 02, 2020	0.013737	0.013808	0.012859	0.013423	6,274.38	0
Nov 01, 2020	0.014057	0.014139	0.013628	0.013737	40,891.57	0
Oct 31, 2020	0.013817	0.014205	0.013549	0.014057	82,470.77	0
Oct 30, 2020	0.013707	0.013925	0.013161	0.013817	0	0
Oct 29, 2020	0.013404	0.013884	0.013110	0.013707	106,561	0
Oct 28, 2020	0.013928	0.014113	0.013108	0.013404	147,153	0
Oct 27, 2020	0.013205	0.014035	0.013191	0.013911	187,457	0
Oct 26, 2020	0.013161	0.013490	0.012952	0.013203	161,072	0
Oct 25, 2020	0.013370	0.013588	0.013046	0.013162	94,301.80	0
Oct 24, 2020	0.013579	0.013906	0.013045	0.013370	61,260.69	0
Oct 23, 2020	0.013614	0.016096	0.013400	0.013575	32,482.42	0
Oct 22, 2020	0.013465	0.013820	0.013353	0.013614	20,725.44	0
Oct 21, 2020	0.012512	0.013844	0.012496	0.013465	95,193.81	0
Oct 20, 2020	0.012329	0.012600	0.012269	0.012512	0	0
Oct 19, 2020	0.012058	0.012389	0.011979	0.012329	0	0
Oct 18, 2020	0.011926	0.012058	0.011915	0.012058	0	0
