date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.030029	0.037292	0.028843	0.037067	24,146.06	1,231,965
Dec 15, 2020	0.036445	0.036882	0.029609	0.030033	20,486.54	997,956
Dec 14, 2020	0.030882	0.036576	0.030569	0.036446	13,016.64	1,210,779
Dec 13, 2020	0.031758	0.032329	0.030691	0.030880	20,307.45	1,025,672
Dec 12, 2020	0.028667	0.034529	0.028450	0.031761	20,601.82	1,054,670
Dec 11, 2020	0.030392	0.033020	0.027603	0.028665	19,221.71	951,677
Dec 10, 2020	0.031855	0.032702	0.029870	0.030390	19,343.91	1,008,694
Dec 09, 2020	0.029343	0.034071	0.029231	0.031855	20,183.73	1,057,096
Dec 08, 2020	0.031402	0.031554	0.029199	0.029351	19,870.80	973,799
Dec 07, 2020	0.035177	0.035666	0.030481	0.031406	22,959.48	1,041,732
Dec 06, 2020	0.034115	0.035567	0.033282	0.035175	25,917.57	1,166,477
Dec 05, 2020	0.034473	0.037317	0.033564	0.034108	23,666.75	1,130,827
Dec 04, 2020	0.038841	0.039372	0.034088	0.034532	23,648.55	1,144,656
Dec 03, 2020	0.038472	0.040931	0.037104	0.038836	25,334.28	1,287,009
Dec 02, 2020	0.040142	0.040550	0.037844	0.038476	25,870.81	1,274,825
Dec 01, 2020	0.038955	0.041313	0.037157	0.040143	27,807.14	1,329,759
Nov 30, 2020	0.033533	0.039155	0.033533	0.038957	28,844.69	1,290,172
Nov 29, 2020	0.033111	0.034637	0.032846	0.033534	22,619.12	1,110,315
Nov 28, 2020	0.032555	0.034338	0.032316	0.033111	22,844.61	1,096,084
Nov 27, 2020	0.033388	0.034175	0.032011	0.032555	21,736.83	1,077,432
Nov 26, 2020	0.036099	0.037375	0.032000	0.033363	23,117.03	1,103,915
Nov 25, 2020	0.037150	0.038542	0.036102	0.036102	21,041.54	1,194,273
Nov 24, 2020	0.037306	0.039458	0.032843	0.037152	24,230.46	1,228,711
Nov 23, 2020	0.038324	0.038598	0.036279	0.037288	23,108.87	1,232,965
Nov 22, 2020	0.033288	0.038356	0.029953	0.038325	27,090.67	1,266,953
Nov 21, 2020	0.032759	0.034097	0.030899	0.033288	23,440.90	1,100,179
