date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.172959	0.180367	0.170296	0.173485	236,630	0
Dec 15, 2020	0.217785	0.227977	0.169308	0.172964	92,213.61	0
Dec 14, 2020	0.225589	0.228751	0.212551	0.217780	228,908	0
Dec 13, 2020	0.222103	0.229925	0.212182	0.225596	273,965	0
Dec 12, 2020	0.223402	0.229963	0.211835	0.222111	257,729	0
Dec 11, 2020	0.228958	0.229922	0.218629	0.223400	216,857	0
Dec 10, 2020	0.230889	0.230994	0.227671	0.228943	170,270	0
Dec 09, 2020	0.240029	0.241392	0.230334	0.230898	227,951	0
Dec 08, 2020	0.234634	0.242702	0.232319	0.240037	269,029	0
Dec 07, 2020	0.236284	0.243240	0.231128	0.234622	229,328	0
Dec 06, 2020	0.241932	0.242928	0.231534	0.236280	279,872	0
Dec 05, 2020	0.242757	0.243077	0.240053	0.241932	229,040	0
Dec 04, 2020	0.239701	0.242763	0.238780	0.242760	246,287	0
Dec 03, 2020	0.238260	0.241827	0.230500	0.239701	258,655	0
Dec 02, 2020	0.232507	0.240433	0.232400	0.238253	263,984	0
Dec 01, 2020	0.238390	0.242013	0.231383	0.232498	301,999	0
Nov 30, 2020	0.238312	0.241804	0.235014	0.238391	293,157	0
Nov 29, 2020	0.234234	0.241967	0.231674	0.238314	300,943	0
Nov 28, 2020	0.230076	0.234743	0.229961	0.234230	345,152	0
Nov 27, 2020	0.225658	0.232124	0.223603	0.230073	300,651	0
Nov 26, 2020	0.231912	0.233768	0.218928	0.225639	257,736	0
Nov 25, 2020	0.230556	0.232027	0.228981	0.231916	315,839	0
Nov 24, 2020	0.219320	0.231486	0.219221	0.230553	263,377	0
Nov 23, 2020	0.218526	0.221938	0.216882	0.219317	328,303	0
Nov 22, 2020	0.217155	0.219844	0.214400	0.218526	300,076	0
Nov 21, 2020	0.208989	0.219875	0.208775	0.217155	258,345	0
Nov 20, 2020	0.202858	0.210896	0.200385	0.208989	280,091	0
Nov 19, 2020	0.194278	0.205419	0.194022	0.202858	308,309	0
Nov 18, 2020	0.191761	0.194326	0.191319	0.194278	223,515	0
Nov 17, 2020	0.184782	0.191762	0.181882	0.191761	250,279	0
Nov 16, 2020	0.184519	0.188792	0.180989	0.187077	232,685	0
Nov 15, 2020	0.185153	0.191812	0.182409	0.184519	234,002	0
Nov 14, 2020	0.198769	0.206141	0.183201	0.185153	193,798	0
Nov 13, 2020	0.206105	0.215591	0.183087	0.198769	266,179	0
Nov 12, 2020	0.217914	0.219770	0.184519	0.206105	193,381	0
Nov 11, 2020	0.190014	0.219948	0.186878	0.217914	248,344	0
Nov 10, 2020	0.218743	0.219943	0.183863	0.190014	242,283	0
Nov 09, 2020	0.213280	0.220081	0.198724	0.218743	274,019	0
Nov 08, 2020	0.213736	0.219880	0.184472	0.213280	271,958	0
Nov 07, 2020	0.205161	0.220296	0.184649	0.213736	306,028	0
Nov 06, 2020	0.210588	0.210595	0.202813	0.205161	274,497	0
Nov 05, 2020	0.211928	0.219243	0.191642	0.210588	242,366	0
Nov 04, 2020	0.191906	0.212707	0.191503	0.211928	239,297	0
Nov 03, 2020	0.277145	0.293048	0.191899	0.191906	194,691	0
Nov 02, 2020	0.337328	0.337506	0.220363	0.277145	256,241	0
Nov 01, 2020	0.333367	0.338272	0.327877	0.337328	372,183	0
Oct 31, 2020	0.327096	0.335191	0.322073	0.333367	370,251	0
Oct 30, 2020	0.322613	0.327523	0.317876	0.327096	320,845	0
Oct 29, 2020	0.322110	0.326074	0.311404	0.322613	231,583	0
Oct 28, 2020	0.307368	0.327993	0.306335	0.322110	175,036	0
Oct 27, 2020	0.300888	0.309114	0.300575	0.307368	200,564	0
Oct 26, 2020	0.296714	0.302152	0.296414	0.300888	181,795	0
Oct 25, 2020	0.298071	0.298318	0.292599	0.296714	141,998	0
Oct 24, 2020	0.281485	0.302177	0.281393	0.298071	142,974	0
Oct 23, 2020	0.280606	0.282532	0.278742	0.281485	59,713.23	0
Oct 22, 2020	0.278510	0.280621	0.277664	0.280606	74,593.48	0
Oct 21, 2020	0.278172	0.279043	0.276022	0.278510	40,664.13	0
Oct 20, 2020	0.270731	0.278782	0.270404	0.276372	36,972.50	0
Oct 19, 2020	0.263707	0.273834	0.263034	0.270631	41,783.48	0
Oct 18, 2020	0.254182	0.265002	0.252586	0.264007	33,718.95	0
Oct 17, 2020	0.232043	0.256971	0.230799	0.253977	49,802.31	0
Oct 16, 2020	0.224779	0.232051	0.218790	0.232043	30,656.32	0
Oct 15, 2020	0.220222	0.225705	0.220222	0.225079	42,524.64	0
Oct 14, 2020	0.215239	0.222058	0.214937	0.220222	35,135.90	0
Oct 13, 2020	0.214980	0.216657	0.212293	0.215239	29,327.38	0
Oct 12, 2020	0.211755	0.216554	0.211755	0.215080	30,062.98	0
Oct 11, 2020	0.195273	0.212681	0.193978	0.211755	34,071.73	0
Oct 10, 2020	0.195530	0.200101	0.194843	0.195473	25,853.03	0
Oct 09, 2020	0.194043	0.196318	0.193010	0.195530	28,590.78	0
Oct 08, 2020	0.185431	0.194236	0.184323	0.193943	26,942.50	0
Oct 07, 2020	0.177680	0.185561	0.177107	0.185131	26,139.74	0
Oct 06, 2020	0.172249	0.178204	0.172021	0.177680	25,715.74	0
Oct 05, 2020	0.168529	0.173112	0.167970	0.172249	15,023.57	0
Oct 04, 2020	0.169989	0.171282	0.168019	0.168529	4,427.42	0
Oct 03, 2020	0.162871	0.170077	0.162871	0.169788	9,505.75	0
Oct 02, 2020	0.157807	0.163475	0.155623	0.162871	15,662.13	0
Oct 01, 2020	0.152608	0.159395	0.152539	0.157810	12,556.32	0
Sep 30, 2020	0.151529	0.152611	0.149642	0.152608	13,123.67	0
Sep 29, 2020	0.152271	0.160583	0.151329	0.151329	14,002.18	0
Sep 28, 2020	0.139307	0.152488	0.138613	0.152271	14,321.96	0
Sep 27, 2020	0.142861	0.143925	0.139000	0.139707	17,132.45	0
Sep 26, 2020	0.144812	0.145172	0.141644	0.142861	19,085.25	0
Sep 25, 2020	0.148188	0.148430	0.144340	0.144912	20,770.43	0
Sep 24, 2020	0.150639	0.152298	0.147948	0.148388	18,784.43	0
Sep 23, 2020	0.153677	0.160566	0.149914	0.150639	18,864.37	0
Sep 22, 2020	0.161660	0.162496	0.151825	0.153827	23,087.95	0
Sep 21, 2020	0.169950	0.170348	0.159653	0.161171	24,732.11	0
Sep 20, 2020	0.175309	0.176196	0.167572	0.169950	14,009.87	0
Sep 19, 2020	0.167246	0.176612	0.166938	0.175093	21,427.26	0
Sep 18, 2020	0.165536	0.177421	0.156405	0.167246	19,255.36	0
Sep 17, 2020	0.171126	0.176514	0.164004	0.165519	27,559.85	0
Sep 16, 2020	0.269762	0.299586	0.169750	0.171057	25,959.62	0
Sep 15, 2020	0.357116	0.377602	0.262735	0.272888	43,849.08	0
Sep 14, 2020	0.422421	0.429201	0.353860	0.357116	69,970.66	0
Sep 13, 2020	0.474814	0.489905	0.420682	0.422200	63,248.48	0
Sep 12, 2020	0.438170	0.514300	0.434405	0.474518	61,051.72	0
Sep 11, 2020	0.938694	0.957315	0.420304	0.438933	67,594.00	0
Sep 10, 2020	1.01	1.01	0.934915	0.939081	137,551	0
Sep 09, 2020	1.03	1.04	1.00	1.01	137,411	0
Sep 08, 2020	1.42	1.42	1.02	1.03	152,595	0
Sep 07, 2020	1.15	2.01	1.00	1.42	349,581	0
Sep 06, 2020	1.17	1.21	1.06	1.15	271,052	0
Sep 05, 2020	1.34	1.34	1.15	1.17	239,518	0
Sep 04, 2020	1.56	1.57	1.33	1.34	203,867	0
Sep 03, 2020	1.56	1.60	1.55	1.57	303,887	0
