date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002687	0.002819	0.002659	0.002677	300,148	52,684.73
Dec 15, 2020	0.002670	0.002870	0.002632	0.002687	250,162	52,802.51
Dec 14, 2020	0.002749	0.002757	0.002637	0.002670	201,914	52,379.91
Dec 13, 2020	0.002908	0.002911	0.002720	0.002749	236,317	53,845.57
Dec 12, 2020	0.002809	0.003079	0.002808	0.002908	225,312	56,885.85
Dec 11, 2020	0.002896	0.003384	0.002768	0.002809	249,987	54,861.01
Dec 10, 2020	0.002964	0.002964	0.002895	0.002896	197,250	56,488.21
Dec 09, 2020	0.002805	0.002987	0.002805	0.002964	183,501	57,722.04
Dec 08, 2020	0.002881	0.002881	0.002628	0.002805	146,233	54,546.45
Dec 07, 2020	0.002774	0.002881	0.002706	0.002881	227,799	55,938.06
Dec 06, 2020	0.002796	0.002797	0.002672	0.002774	189,786	53,791.13
Dec 05, 2020	0.003200	0.003211	0.002777	0.002796	164,401	54,140.69
Dec 04, 2020	0.003384	0.003408	0.003199	0.003200	196,214	61,877.73
Dec 03, 2020	0.003511	0.003523	0.003331	0.003384	142,581	65,336.08
Dec 02, 2020	0.003468	0.003632	0.003422	0.003511	63,604.49	67,684.38
Dec 01, 2020	0.003594	0.003680	0.003462	0.003468	129,049	66,763.64
Nov 30, 2020	0.003649	0.003687	0.003551	0.003595	184,854	69,096.02
Nov 29, 2020	0.003693	0.003708	0.003556	0.003649	96,808.12	70,044.64
Nov 28, 2020	0.003402	0.003704	0.003281	0.003693	73,527.92	70,786.79
Nov 27, 2020	0.003627	0.003764	0.003312	0.003402	91,412.67	65,108.18
Nov 26, 2020	0.003597	0.004128	0.003113	0.003624	214,305	69,248.90
Nov 25, 2020	0.003208	0.004196	0.003137	0.003597	93,211.42	68,633.24
Nov 24, 2020	0.003154	0.003321	0.003012	0.003208	184,565	61,131.29
Nov 23, 2020	0.003386	0.003410	0.002997	0.003151	104,763	59,948.40
Nov 22, 2020	0.003378	0.003666	0.003281	0.003386	117,173	64,321.38
Nov 21, 2020	0.003547	0.003679	0.003174	0.003378	139,723	64,078.78
Nov 20, 2020	0.003273	0.003799	0.003230	0.003548	148,430	67,191.74
Nov 19, 2020	0.003764	0.003843	0.003213	0.003273	114,227	61,893.31
Nov 18, 2020	0.003436	0.003915	0.002874	0.003763	361,304	71,068.86
Nov 17, 2020	0.003452	0.003600	0.003434	0.003436	225,681	64,785.05
Nov 16, 2020	0.003475	0.003499	0.003451	0.003468	176,452	65,302.35
Nov 15, 2020	0.003471	0.003488	0.003470	0.003475	129,895	65,330.25
Nov 14, 2020	0.003539	0.003589	0.003469	0.003471	124,700	65,155.34
Nov 13, 2020	0.003434	0.003574	0.003434	0.003539	120,173	66,326.33
Nov 12, 2020	0.003427	0.003484	0.003383	0.003434	190,601	64,275.81
Nov 11, 2020	0.003503	0.003568	0.003196	0.003427	136,207	64,045.47
Nov 10, 2020	0.003671	0.003693	0.003149	0.003503	88,134.88	65,353.29
Nov 09, 2020	0.003689	0.003802	0.003403	0.003671	137,799	68,397.66
Nov 08, 2020	0.003558	0.003814	0.003382	0.003690	109,558	68,640.89
Nov 07, 2020	0.003728	0.004026	0.002986	0.003560	121,405	66,116.48
Nov 06, 2020	0.003863	0.004006	0.003687	0.003727	127,295	69,112.70
Nov 05, 2020	0.003507	0.003957	0.002984	0.003863	202,408	71,525.85
Nov 04, 2020	0.003655	0.003838	0.003493	0.003507	163,922	64,847.56
Nov 03, 2020	0.003060	0.004159	0.002999	0.003652	144,619	67,413.77
Nov 02, 2020	0.003560	0.003757	0.002860	0.003060	187,544	56,409.92
Nov 01, 2020	0.003911	0.004069	0.003492	0.003558	83,246.28	65,479.51
Oct 31, 2020	0.003173	0.004169	0.002952	0.003910	97,273.57	71,861.80
Oct 30, 2020	0.003763	0.004204	0.002952	0.003173	21,310.23	58,216.58
Oct 29, 2020	0.004200	0.004307	0.003122	0.003764	102,822	68,956.81
Oct 28, 2020	0.004226	0.004954	0.003644	0.004200	143,585	76,834.88
Oct 27, 2020	0.003804	0.004848	0.003453	0.004224	186,933	77,148.83
Oct 26, 2020	0.002857	0.004702	0.002758	0.003804	169,212	69,372.12
Oct 25, 2020	0.004726	0.004779	0.002680	0.002857	120,706	52,009.99
Oct 24, 2020	0.004176	0.004771	0.004050	0.004726	88,417.27	85,921.84
Oct 23, 2020	0.004723	0.004723	0.003964	0.004175	88,584.48	75,784.87
Oct 22, 2020	0.004854	0.004988	0.004664	0.004722	108,055	85,362.16
Oct 21, 2020	0.004803	0.005035	0.004689	0.004906	229,887	88,690.05
Oct 20, 2020	0.004941	0.005151	0.004292	0.004803	159,220	86,774.72
Oct 19, 2020	0.004479	0.004948	0.004473	0.004874	235,071	87,927.68
Oct 18, 2020	0.004363	0.004542	0.004314	0.004477	114,933	80,636.19
Oct 17, 2020	0.004362	0.004410	0.004067	0.004362	69,515.46	78,444.61
Oct 16, 2020	0.005156	0.005158	0.004336	0.004360	141,635	78,271.38
Oct 15, 2020	0.005266	0.005352	0.005010	0.005138	149,265	92,107.93
Oct 14, 2020	0.005276	0.005361	0.005175	0.005268	120,499	94,293.22
Oct 13, 2020	0.005617	0.005640	0.005072	0.005276	120,728	94,286.51
Oct 12, 2020	0.004741	0.005667	0.004627	0.005613	155,722	100,126
Oct 11, 2020	0.004223	0.004761	0.004203	0.004708	78,645.54	83,807.80
