date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000129	0.000139	0.000125	0.000139	1,888.83	115,697
Dec 15, 2020	0.000127	0.000140	0.000120	0.000129	2,069.34	107,478
Dec 14, 2020	0.000123	0.000127	0.000119	0.000127	1,134.96	105,784
Dec 13, 2020	0.000126	0.000126	0.000119	0.000123	1,203.31	102,460
Dec 12, 2020	0.000128	0.000133	0.000120	0.000126	2,102.30	105,347
Dec 11, 2020	0.000125	0.000131	0.000119	0.000128	696.88	106,258
Dec 10, 2020	0.000132	0.000132	0.000118	0.000125	781.74	103,731
Dec 09, 2020	0.000118	0.000132	0.000118	0.000132	856.24	109,922
Dec 08, 2020	0.000132	0.000132	0.000116	0.000118	1,130.11	98,020.68
Dec 07, 2020	0.000112	0.000132	0.000103	0.000132	2,010.00	110,020
Dec 06, 2020	0.000112	0.000120	0.000107	0.000112	522.28	93,489.78
Dec 05, 2020	0.000112	0.000112	0.000106	0.000112	960.67	93,098.66
Dec 04, 2020	0.000112	0.000112	0.000103	0.000112	831.36	92,905.93
Dec 03, 2020	0.000100	0.000112	0.000095	0.000112	929.67	92,959.95
Dec 02, 2020	0.000113	0.000120	0.000091	0.000100	2,195.36	83,355.91
Dec 01, 2020	0.000130	0.000130	0.000110	0.000113	765.71	94,335.80
Nov 30, 2020	0.000133	0.000133	0.000118	0.000130	602.84	108,084
Nov 29, 2020	0.000135	0.000135	0.000111	0.000133	1,811.86	110,808
Nov 28, 2020	0.000112	0.000145	0.000101	0.000135	2,119.41	112,569
Nov 27, 2020	0.000105	0.000120	0.000100	0.000112	850.95	93,409.55
Nov 26, 2020	0.000122	0.000128	0.000100	0.000105	1,108.09	87,637.87
Nov 25, 2020	0.000122	0.000129	0.000120	0.000122	1,509.57	101,969
Nov 24, 2020	0.000136	0.000136	0.000122	0.000122	1,202.54	101,608
Nov 23, 2020	0.000135	0.000147	0.000125	0.000136	1,198.06	113,297
Nov 22, 2020	0.000127	0.000148	0.000121	0.000135	860.46	112,285
Nov 21, 2020	0.000130	0.000173	0.000111	0.000127	1,726.96	106,174
Nov 20, 2020	0.000098	0.000180	0.000091	0.000130	1,882.40	108,339
Nov 19, 2020	0.000115	0.000124	0.000090	0.000098	1,833.45	81,699.96
Nov 18, 2020	0.000148	0.000176	0.000110	0.000115	2,985.29	95,835.86
Nov 17, 2020	0.000200	0.000200	0.000110	0.000148	3,518.87	123,141
Nov 16, 2020	0.000220	0.000225	0.000178	0.000200	3,083.43	166,673
Nov 15, 2020	0.000190	0.000349	0.000120	0.000220	6,245.25	0
Nov 14, 2020	0.000100	0.000500	0.000076	0.000190	7,229.00	0
Nov 13, 2020	0.000095	0.000100	0.000088	0.000100	3,368.74	0
