date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.015498	0.016519	0.014982	0.016415	9,312.36	1,388,456
Dec 15, 2020	0.015550	0.016075	0.015236	0.015501	15,194.39	1,311,157
Dec 14, 2020	0.015086	0.015597	0.014566	0.015550	6,533.53	1,315,332
Dec 13, 2020	0.014723	0.016563	0.014470	0.015085	8,729.68	1,275,958
Dec 12, 2020	0.015738	0.016168	0.014405	0.014725	5,728.54	1,245,528
Dec 11, 2020	0.015662	0.015838	0.013481	0.015736	12,200.20	1,331,094
Dec 10, 2020	0.015906	0.016139	0.014776	0.015661	5,898.84	1,324,680
Dec 09, 2020	0.015357	0.016378	0.015048	0.015906	11,326.61	1,345,421
Dec 08, 2020	0.016429	0.017875	0.015318	0.015357	8,513.56	1,298,953
Dec 07, 2020	0.016639	0.017498	0.015560	0.016430	9,534.01	1,389,787
Dec 06, 2020	0.015117	0.018577	0.015103	0.016633	18,230.32	1,406,934
Dec 05, 2020	0.014595	0.015641	0.014513	0.015117	9,985.79	1,278,662
Dec 04, 2020	0.017582	0.017642	0.014501	0.014597	5,487.61	1,234,701
Dec 03, 2020	0.015850	0.019323	0.014937	0.017584	8,961.78	1,487,400
Dec 02, 2020	0.014131	0.015882	0.013790	0.015851	11,463.41	1,340,772
Dec 01, 2020	0.014510	0.015152	0.013581	0.014132	10,937.33	1,195,372
Nov 30, 2020	0.013282	0.014754	0.013033	0.014512	6,240.73	1,227,476
Nov 29, 2020	0.013301	0.013394	0.012800	0.013282	11,452.90	1,123,514
Nov 28, 2020	0.012830	0.013476	0.012029	0.013302	13,291.63	1,125,150
Nov 27, 2020	0.011149	0.013410	0.011100	0.012831	8,132.22	1,085,293
Nov 26, 2020	0.015561	0.015561	0.009971	0.011145	7,794.25	942,716
Nov 25, 2020	0.013313	0.016595	0.012922	0.015581	9,804.02	1,317,892
Nov 24, 2020	0.013786	0.014847	0.012463	0.013299	7,678.48	1,124,831
Nov 23, 2020	0.014279	0.014888	0.012447	0.013774	12,496.57	1,163,030
Nov 22, 2020	0.014852	0.015283	0.014015	0.014280	6,720.94	1,205,722
Nov 21, 2020	0.017040	0.017364	0.014388	0.014852	5,971.46	1,252,697
Nov 20, 2020	0.015533	0.019003	0.015489	0.017040	6,551.70	1,436,450
Nov 19, 2020	0.016962	0.017164	0.015453	0.015533	10,712.72	1,308,667
Nov 18, 2020	0.017575	0.019912	0.016698	0.016961	6,748.68	1,428,133
Nov 17, 2020	0.018568	0.019058	0.017427	0.017575	4,661.84	1,478,768
Nov 16, 2020	0.017462	0.019798	0.017373	0.018898	7,441.60	1,589,118
Nov 15, 2020	0.014086	0.020209	0.013777	0.017462	15,064.31	1,467,103
Nov 14, 2020	0.013691	0.014640	0.013020	0.014086	10,961.20	1,182,395
Nov 13, 2020	0.013653	0.014633	0.012704	0.013691	7,796.57	1,148,240
Nov 12, 2020	0.012355	0.013837	0.012226	0.013653	11,055.30	1,143,931
Nov 11, 2020	0.011329	0.012715	0.011328	0.012356	8,519.29	1,034,389
