date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.79	1.81	1.73	1.73	6,065.13	0
Dec 15, 2020	2.39	2.39	1.58	1.79	68,979.35	0
Dec 14, 2020	2.27	2.52	2.21	2.39	56,548.62	0
Dec 13, 2020	2.25	2.34	2.01	2.27	45,137.17	0
Dec 12, 2020	2.42	2.44	2.10	2.25	38,767.72	0
Dec 11, 2020	2.42	2.74	2.08	2.42	87,072.86	0
Dec 10, 2020	2.45	2.54	1.87	2.42	95,812.09	0
Dec 09, 2020	2.49	2.87	2.31	2.45	69,062.80	0
Dec 08, 2020	2.44	2.56	2.35	2.49	110,014	0
Dec 07, 2020	2.05	2.47	2.05	2.44	72,383.27	0
Dec 06, 2020	2.25	2.54	2.05	2.05	96,563.70	0
Dec 05, 2020	1.66	2.42	1.61	2.25	100,419	0
Dec 04, 2020	1.38	1.66	1.37	1.66	13,871.79	0
Dec 03, 2020	1.39	1.44	1.35	1.38	15,051.02	0
Dec 02, 2020	1.30	1.40	1.30	1.39	24,153.19	0
