date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.377037	0.394854	0.372370	0.379207	305,551	24,587,403
Dec 15, 2020	0.382861	0.387925	0.375397	0.377075	96,628.30	24,449,172
Dec 14, 2020	0.380330	0.386832	0.371924	0.382853	200,948	24,823,772
Dec 13, 2020	0.368741	0.384311	0.364918	0.380306	164,269	24,658,640
Dec 12, 2020	0.368030	0.381778	0.366942	0.368773	210,679	23,910,824
Dec 11, 2020	0.366717	0.411709	0.341042	0.368279	1,273,464	23,878,801
Dec 10, 2020	0.379070	0.382514	0.365796	0.366703	193,389	23,776,653
Dec 09, 2020	0.370567	0.389152	0.357506	0.381221	253,285	24,717,940
Dec 08, 2020	0.392410	0.405570	0.366483	0.370633	296,112	24,031,463
Dec 07, 2020	0.398674	0.404488	0.389883	0.392462	186,855	25,446,793
Dec 06, 2020	0.397765	0.402810	0.388004	0.396327	125,463	25,677,666
Dec 05, 2020	0.371439	0.415705	0.368042	0.397744	1,265,187	25,769,526
Dec 04, 2020	0.390342	0.397802	0.372113	0.372113	233,727	24,108,890
Dec 03, 2020	0.385671	0.395715	0.371449	0.390286	251,947	25,286,279
Dec 02, 2020	0.372481	0.388684	0.364252	0.385715	367,200	24,990,166
Dec 01, 2020	0.392143	0.402604	0.364069	0.372486	482,719	24,133,049
Nov 30, 2020	0.379096	0.423498	0.374879	0.392288	881,888	25,415,993
Nov 29, 2020	0.394533	0.396442	0.376855	0.379107	221,569	24,560,891
Nov 28, 2020	0.360599	0.411240	0.357619	0.394541	1,036,163	25,558,089
Nov 27, 2020	0.362800	0.406476	0.351405	0.360597	1,011,771	23,356,648
Nov 26, 2020	0.408388	0.422692	0.339401	0.362520	1,394,736	23,478,656
Nov 25, 2020	0.440695	0.611729	0.387162	0.408406	10,150,935	26,447,605
Nov 24, 2020	0.332656	0.478017	0.325968	0.440368	3,388,817	28,514,288
Nov 23, 2020	0.315631	0.339989	0.312127	0.332445	291,996	21,523,902
Nov 22, 2020	0.322943	0.324363	0.301054	0.315793	272,710	20,443,565
Nov 21, 2020	0.299837	0.326953	0.293358	0.322917	253,768	20,902,537
Nov 20, 2020	0.289815	0.306229	0.289552	0.299862	144,118	19,408,042
Nov 19, 2020	0.290784	0.301156	0.282800	0.289622	250,730	18,743,255
Nov 18, 2020	0.306801	0.308171	0.279337	0.290762	354,926	18,815,018
Nov 17, 2020	0.316866	0.326654	0.305795	0.306789	313,895	17,419,848
Nov 16, 2020	0.294132	0.311185	0.292967	0.311014	78,007.22	17,659,724
Nov 15, 2020	0.306957	0.425968	0.290833	0.294132	47,795.29	16,701,178
Nov 14, 2020	0.312206	0.397924	0.302309	0.306947	47,663.97	17,428,837
Nov 13, 2020	0.299613	0.352035	0.296406	0.312207	135,653	17,727,460
Nov 12, 2020	0.302158	0.303600	0.294090	0.299595	92,340.51	17,011,341
Nov 11, 2020	0.329368	0.333734	0.302065	0.302170	261,671	17,157,538
Nov 10, 2020	0.300621	0.343495	0.297220	0.329380	323,778	18,702,584
Nov 09, 2020	0.304978	0.312776	0.295000	0.300669	104,057	17,072,336
Nov 08, 2020	0.277875	0.310536	0.277118	0.305070	135,020	17,322,215
Nov 07, 2020	0.301951	0.312240	0.273019	0.278058	215,689	15,788,466
Nov 06, 2020	0.278020	0.305496	0.277768	0.301770	167,866	17,134,856
Nov 05, 2020	0.274324	0.283394	0.267402	0.278021	121,160	15,786,376
Nov 04, 2020	0.280194	0.281124	0.270373	0.274318	83,792.44	15,576,080
Nov 03, 2020	0.301866	0.306164	0.270219	0.280179	259,498	15,908,862
