date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000256	0.000353	0.000255	0.000342	7,917.54	20,348.21
Dec 15, 2020	0.000299	0.000415	0.000256	0.000256	6,109.77	15,252.90
Dec 14, 2020	0.000279	0.000378	0.000278	0.000299	6,828.92	17,813.01
Dec 13, 2020	0.000402	0.000404	0.000228	0.000279	7,321.55	16,614.78
Dec 12, 2020	0.000404	0.000404	0.000396	0.000402	8,745.06	23,956.89
Dec 11, 2020	0.000406	0.000408	0.000396	0.000404	12,405.34	24,078.81
Dec 10, 2020	0.000244	0.000541	0.000244	0.000406	11,222.68	24,210.98
Dec 09, 2020	0.000495	0.000605	0.000244	0.000244	15,882.49	14,520.99
Dec 08, 2020	0.000522	0.000764	0.000233	0.000495	8,924.31	29,509.24
Dec 07, 2020	0.000400	0.000835	0.000397	0.000522	4,937.68	31,094.67
Dec 06, 2020	0.000378	0.000441	0.000358	0.000400	7,268.35	23,804.22
Dec 05, 2020	0.000370	0.000429	0.000337	0.000378	12,071.32	22,545.47
Dec 04, 2020	0.000293	0.000441	0.000283	0.000370	10,236.66	22,061.66
Dec 03, 2020	0.000367	0.000463	0.000292	0.000293	9,474.20	17,473.21
Dec 02, 2020	0.000367	0.000463	0.000349	0.000367	11,965.21	21,866.63
Dec 01, 2020	0.000462	0.000463	0.000338	0.000367	12,881.36	21,836.47
Nov 30, 2020	0.000327	0.007084	0.000253	0.000462	17,967.90	27,544.78
Nov 29, 2020	0.000326	0.000371	0.000278	0.000327	11,898.70	19,464.19
Nov 28, 2020	0.000328	0.000404	0.000279	0.000326	11,397.81	19,434.72
Nov 27, 2020	0.000276	0.000375	0.000229	0.000328	10,027.95	19,508.83
Nov 26, 2020	0.000388	0.000388	0.000276	0.000276	14,210.04	16,452.28
Nov 25, 2020	0.000280	0.000431	0.000276	0.000388	14,700.08	23,083.18
Nov 24, 2020	0.000258	0.000468	0.000227	0.000280	15,186.59	16,648.94
Nov 23, 2020	0.000265	0.000342	0.000247	0.000258	8,523.50	15,377.32
Nov 22, 2020	0.000253	0.000337	0.000247	0.000265	8,527.36	15,762.23
Nov 21, 2020	0.000275	0.000323	0.000251	0.000253	9,710.73	15,065.80
Nov 20, 2020	0.000233	0.000319	0.000233	0.000275	6,583.57	16,391.84
Nov 19, 2020	0.000233	0.000285	0.000232	0.000233	5,291.14	13,860.89
Nov 18, 2020	0.000233	0.000308	0.000232	0.000233	4,176.08	13,858.47
Nov 17, 2020	0.000273	0.000318	0.000232	0.000233	7,483.89	13,867.73
Nov 16, 2020	0.000241	0.000308	0.000240	0.000259	5,443.13	15,442.51
Nov 15, 2020	0.000262	0.000322	0.000239	0.000241	3,655.07	14,349.17
Nov 14, 2020	0.000268	0.000321	0.000261	0.000262	5,435.61	15,598.99
Nov 13, 2020	0.000356	0.000475	0.000247	0.000268	6,205.84	15,960.25
Nov 12, 2020	0.000228	0.002735	0.000227	0.000356	5,540.80	21,217.12
Nov 11, 2020	0.000168	0.000355	0.000165	0.000228	3,792.95	13,554.29
Nov 10, 2020	0.000163	0.000352	0.000163	0.000168	3,157.95	10,026.75
Nov 09, 2020	0.000164	0.000329	0.000162	0.000163	3,592.16	9,713.08
Nov 08, 2020	0.000142	0.000281	0.000128	0.000164	3,480.50	9,739.46
Nov 07, 2020	0.000314	0.000315	0.000080	0.000142	6,456.74	8,437.47
Nov 06, 2020	0.000316	0.000317	0.000292	0.000314	6,998.67	18,732.28
Nov 05, 2020	0.000318	0.000385	0.000291	0.000316	6,427.55	18,845.03
Nov 04, 2020	0.000364	0.000368	0.000311	0.000318	3,272.58	18,916.14
Nov 03, 2020	0.000283	0.000365	0.000279	0.000364	26.32	21,668.56
Nov 02, 2020	0.000324	0.000326	0.000283	0.000283	34.61	16,881.74
Nov 01, 2020	0.000299	0.000325	0.000296	0.000324	3.24	19,292.04
Oct 31, 2020	0.000313	0.000334	0.000295	0.000300	334.15	17,859.25
Oct 30, 2020	0.000312	0.000324	0.000298	0.000313	314.77	18,665.27
Oct 29, 2020	0.000310	0.000336	0.000309	0.000312	7,483.63	18,601.08
Oct 28, 2020	0.000312	0.000336	0.000310	0.000310	7,606.99	18,444.96
Oct 27, 2020	0.000333	0.000333	0.000309	0.000312	6,848.65	18,608.48
Oct 26, 2020	0.000330	0.000340	0.000311	0.000333	8,081.73	19,812.10
Oct 25, 2020	0.000330	0.000333	0.000310	0.000330	6,303.48	19,683.69
Oct 24, 2020	0.000320	0.000345	0.000309	0.000330	5,737.03	19,667.45
Oct 23, 2020	0.000306	0.000341	0.000304	0.000320	194.78	19,067.22
Oct 22, 2020	0.000257	0.000308	0.000253	0.000306	3,743.45	18,240.88
Oct 21, 2020	0.000257	0.000259	0.000255	0.000258	5,974.55	15,340.34
Oct 20, 2020	0.000255	0.000367	0.000255	0.000258	5,464.03	15,371.59
Oct 19, 2020	0.000258	0.000409	0.000255	0.000255	4,408.42	15,209.25
Oct 18, 2020	0.000381	0.000432	0.000246	0.000258	3,631.28	15,342.43
Oct 17, 2020	0.000253	0.000423	0.000247	0.000381	120.36	22,709.10
Oct 16, 2020	0.000251	0.000451	0.000246	0.000356	183.64	21,209.03
Oct 15, 2020	0.000249	0.000476	0.000248	0.000250	6,538.14	14,901.72
Oct 14, 2020	0.000254	0.000454	0.000247	0.000249	6,131.09	14,831.65
Oct 13, 2020	0.000399	0.000446	0.000247	0.000254	5,509.37	15,145.37
Oct 12, 2020	0.000251	0.000452	0.000246	0.000251	6,077.50	14,962.19
Oct 11, 2020	0.000237	0.000427	0.000234	0.000251	4,383.01	14,948.87
Oct 10, 2020	0.000234	0.000435	0.000233	0.000237	4,553.50	14,114.91
Oct 09, 2020	0.000235	0.000426	0.000233	0.000235	6,566.12	14,012.68
Oct 08, 2020	0.000234	0.000367	0.000233	0.000235	6,548.78	13,969.62
Oct 07, 2020	0.000233	0.000373	0.000232	0.000234	8,241.16	13,916.75
Oct 06, 2020	0.000235	0.000367	0.000233	0.000233	6,873.76	13,875.10
Oct 05, 2020	0.000234	0.000366	0.000234	0.000235	3,569.27	14,007.40
Oct 04, 2020	0.000233	0.000374	0.000233	0.000234	4,187.38	13,950.31
Oct 03, 2020	0.000235	0.000416	0.000233	0.000233	4,460.06	13,904.33
Oct 02, 2020	0.000241	0.000382	0.000233	0.000234	5,656.87	13,935.27
