date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000194	0.000215	0.000193	0.000213	0	3,644.57
Dec 15, 2020	0.000192	0.000195	0.000191	0.000194	0	3,318.91
Dec 14, 2020	0.000191	0.000193	0.000190	0.000192	0	3,289.28
Dec 13, 2020	0.000188	0.000194	0.000187	0.000191	1.50e-7	3,271.08
Dec 12, 2020	0.000181	0.000189	0.000180	0.000188	0	3,213.78
Dec 11, 2020	0.000183	0.000183	0.000176	0.000181	0	3,085.94
Dec 10, 2020	0.000186	0.000186	0.000180	0.000183	0	3,121.20
Dec 09, 2020	0.000183	0.000186	0.000179	0.000186	0	3,170.72
Dec 08, 2020	0.000192	0.000193	0.000183	0.000183	0	3,130.82
Dec 07, 2020	0.000193	0.000194	0.000189	0.000192	0	3,280.07
Dec 06, 2020	0.000192	0.000194	0.000189	0.000193	0	3,304.91
Dec 05, 2020	0.000187	0.000192	0.000186	0.000192	0	3,273.30
Dec 04, 2020	0.000194	0.000195	0.000187	0.000187	0	3,196.08
Dec 03, 2020	0.000192	0.000196	0.000189	0.000194	0	3,323.55
Dec 02, 2020	0.000188	0.000193	0.000183	0.000192	2.00e-8	3,282.37
Dec 01, 2020	0.000196	0.000198	0.000183	0.000188	0	3,213.60
Nov 30, 2020	0.000182	0.000197	0.000182	0.000196	1.30e-7	3,354.24
Nov 29, 2020	0.000177	0.000183	0.000176	0.000182	3.90e-7	3,106.59
Nov 28, 2020	0.000171	0.000179	0.000169	0.000177	0	3,027.92
Nov 27, 2020	0.000171	0.000174	0.000165	0.000171	0	2,923.80
Nov 26, 2020	0.000187	0.000189	0.000164	0.000171	0	2,926.20
Nov 25, 2020	0.000191	0.000194	0.000186	0.000187	1.00e-7	3,201.51
Nov 24, 2020	0.000184	0.000193	0.000181	0.000191	0	3,265.71
Nov 23, 2020	0.000184	0.000187	0.000180	0.000184	0	3,138.98
Nov 22, 2020	0.000186	0.000187	0.000177	0.000184	0	3,139.59
Nov 21, 2020	0.000186	0.000189	0.000184	0.000186	0	3,185.82
Nov 20, 2020	0.000178	0.000188	0.000178	0.000186	0	3,182.44
Nov 19, 2020	0.000178	0.000181	0.000174	0.000178	0	3,044.95
Nov 18, 2020	0.000176	0.000184	0.000174	0.000178	0	3,042.35
Nov 17, 2020	0.000167	0.000178	0.000166	0.000176	0	3,015.41
Nov 16, 2020	0.000160	0.000168	0.000159	0.000167	0	2,856.51
Nov 15, 2020	0.000161	0.000161	0.000158	0.000160	0	2,726.75
Nov 14, 2020	0.000163	0.000163	0.000157	0.000161	0	2,745.85
Nov 13, 2020	0.000163	0.000165	0.000160	0.000163	0	2,788.66
Nov 12, 2020	0.000157	0.000163	0.000155	0.000163	0	2,781.54
Nov 11, 2020	0.000153	0.000159	0.000153	0.000157	0	2,683.62
Nov 10, 2020	0.000153	0.000155	0.000151	0.000153	0	2,613.33
Nov 09, 2020	0.000155	0.000158	0.000149	0.000153	0	2,620.99
Nov 08, 2020	0.000148	0.000156	0.000147	0.000155	0	2,645.27
Nov 07, 2020	0.000156	0.000157	0.000144	0.000148	2.30e-7	2,534.99
Nov 06, 2020	0.000156	0.000159	0.000152	0.000156	5.70e-7	2,660.15
Nov 05, 2020	0.000141	0.000157	0.000141	0.000156	0	2,658.57
Nov 04, 2020	0.000140	0.000142	0.000136	0.000141	0	2,414.32
Nov 03, 2020	0.000136	0.000140	0.000133	0.000140	0	2,383.98
Nov 02, 2020	0.000137	0.000138	0.000132	0.000136	0	2,315.60
Nov 01, 2020	0.000138	0.000139	0.000136	0.000137	0	2,347.54
Oct 31, 2020	0.000135	0.000140	0.000135	0.000138	0	2,355.15
Oct 30, 2020	0.000134	0.000137	0.000131	0.000135	0	2,315.02
Oct 29, 2020	0.000133	0.000136	0.000130	0.000134	0	2,296.51
Oct 28, 2020	0.000137	0.000138	0.000129	0.000133	0	2,268.49
Oct 27, 2020	0.000131	0.000138	0.000131	0.000136	0	2,330.78
Oct 26, 2020	0.000130	0.000132	0.000128	0.000131	0	2,234.00
Oct 25, 2020	0.000131	0.000133	0.000129	0.000130	0	2,225.95
Oct 24, 2020	0.000129	0.000131	0.000129	0.000131	0	2,240.88
Oct 23, 2020	0.000130	0.000130	0.000128	0.000129	0	2,209.42
Oct 22, 2020	0.000128	0.000132	0.000127	0.000130	0	2,215.82
Oct 21, 2020	0.000119	0.000132	0.000119	0.000128	0	2,191.52
Oct 20, 2020	0.000117	0.000120	0.000117	0.000119	0	2,036.45
Oct 19, 2020	0.000115	0.000118	0.000114	0.000117	0	2,006.67
Oct 18, 2020	0.000114	0.000115	0.000113	0.000115	0	1,962.46
Oct 17, 2020	0.000113	0.000114	0.000113	0.000114	0	1,941.05
Oct 16, 2020	0.000115	0.000115	0.000112	0.000113	0	1,934.91
Oct 15, 2020	0.000114	0.000116	0.000113	0.000115	0	1,964.47
Oct 14, 2020	0.000114	0.000115	0.000113	0.000114	0	1,953.26
Oct 13, 2020	0.000116	0.000116	0.000113	0.000114	0	1,952.67
Oct 12, 2020	0.000114	0.000117	0.000112	0.000116	0	1,974.76
Oct 11, 2020	0.000113	0.000114	0.000113	0.000114	0	1,945.52
Oct 10, 2020	0.000111	0.000114	0.000111	0.000113	0	1,930.50
Oct 09, 2020	0.000109	0.000111	0.000108	0.000111	0	1,890.87
Oct 08, 2020	0.000107	0.000109	0.000106	0.000109	0	1,865.43
Oct 07, 2020	0.000106	0.000107	0.000106	0.000107	0	1,823.29
Oct 06, 2020	0.000108	0.000108	0.000105	0.000106	0	1,812.24
