date	open	high	low	close	volume	market_cap
Dec 16, 2020	13.65	15.19	13.52	14.37	19,287.93	0
Dec 15, 2020	13.76	13.76	12.78	13.65	22,005.84	0
Dec 14, 2020	16.35	16.67	13.30	13.76	25,140.06	0
Dec 13, 2020	14.16	16.41	14.01	16.35	14,574.63	0
Dec 12, 2020	13.40	14.45	12.19	14.16	32,598.22	0
Dec 11, 2020	16.61	16.68	11.90	13.40	46,634.05	0
Dec 10, 2020	16.03	16.77	15.07	16.61	14,444.75	0
Dec 09, 2020	16.31	16.85	13.57	16.02	30,535.73	0
Dec 08, 2020	17.06	18.33	16.22	16.31	25,732.66	0
Dec 07, 2020	14.22	21.80	14.21	17.06	63,333.51	0
Dec 06, 2020	19.20	19.56	13.83	14.22	43,444.76	0
Dec 05, 2020	13.31	23.01	13.01	19.20	107,347	0
Dec 04, 2020	13.80	14.79	12.97	13.31	17,329.82	0
Dec 03, 2020	15.68	15.68	13.80	13.80	18,970.47	0
Dec 02, 2020	13.63	15.74	13.42	15.68	27,823.14	0
Dec 01, 2020	12.29	16.48	9.59	13.63	50,531.52	0
Nov 30, 2020	13.26	13.61	11.16	12.29	20,537.65	0
Nov 29, 2020	12.99	13.71	11.87	13.26	25,033.65	0
Nov 28, 2020	12.49	14.85	11.54	12.98	31,659.10	0
Nov 27, 2020	13.34	14.84	11.18	12.49	58,588.60	0
Nov 26, 2020	14.30	14.38	11.01	13.34	28,052.04	0
Nov 25, 2020	17.51	17.58	14.17	14.30	37,936.52	0
Nov 24, 2020	15.55	18.91	13.59	17.51	67,594.82	0
Nov 23, 2020	17.03	17.13	12.95	15.55	97,708.67	0
Nov 22, 2020	18.72	18.92	15.06	17.03	66,468.50	0
Nov 21, 2020	17.33	22.94	14.05	18.72	104,831	0
Nov 20, 2020	17.68	19.88	16.64	17.33	28,047.77	0
Nov 19, 2020	18.60	20.27	15.37	17.68	92,367.80	0
Nov 18, 2020	17.78	19.78	16.58	18.60	57,795.16	0
Nov 17, 2020	22.30	27.23	16.81	17.79	140,984	0
Nov 16, 2020	27.13	27.13	20.18	20.18	97,352.26	0
Nov 15, 2020	26.82	29.76	24.80	27.13	105,983	0
Nov 14, 2020	24.74	34.16	18.53	26.82	250,878	0
Nov 13, 2020	22.56	26.51	16.97	24.73	92,565.70	0
Nov 12, 2020	13.66	24.21	11.48	22.57	239,558	0
Nov 11, 2020	11.66	13.93	11.02	13.66	48,444.36	0
Nov 10, 2020	10.33	13.32	9.87	11.67	51,400.76	0
Nov 09, 2020	12.51	12.86	9.64	10.33	61,705.41	0
Nov 08, 2020	8.66	15.50	8.00	12.51	133,342	0
Nov 07, 2020	9.71	10.25	8.63	8.65	39,527.92	0
Nov 06, 2020	12.27	12.27	9.38	9.71	68,977.16	0
Nov 05, 2020	11.18	12.86	10.40	12.27	73,482.05	0
Nov 04, 2020	12.74	13.87	10.15	11.18	61,432.12	0
Nov 03, 2020	12.82	14.07	9.95	12.74	127,805	0
Nov 02, 2020	15.87	16.26	11.81	12.82	96,688.61	0
Nov 01, 2020	16.89	20.40	14.18	15.87	145,015	0
Oct 31, 2020	21.54	24.49	15.22	16.89	196,088	0
Oct 30, 2020	22.72	28.52	16.12	21.54	395,216	0
Oct 29, 2020	17.19	22.95	12.06	22.72	308,317	0
Oct 28, 2020	20.35	22.74	8.19	17.19	589,336	0
Oct 27, 2020	19.25	26.12	18.19	20.35	298,681	0
Oct 26, 2020	29.07	31.72	16.28	19.25	570,112	0
Oct 25, 2020	30.17	39.60	19.82	29.07	840,246	0
Oct 24, 2020	57.67	64.71	23.00	30.17	1,232,719	0
Oct 23, 2020	38.85	78.01	32.75	57.67	0	0
Oct 22, 2020	23.18	44.46	16.55	36.05	1,091,160	0
Oct 21, 2020	11.63	26.46	10.96	25.99	1,332,040	0
