date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.00	1.02	0.996291	1.01	0	0
Dec 15, 2020	1.00	1.03	0.995033	1.00	70,482.52	0
Dec 14, 2020	0.999615	1.03	0.996016	1.00	81,478.15	0
Dec 13, 2020	1.00	1.00	0.996124	0.999594	79,205.80	0
Dec 12, 2020	0.999693	1.00	0.997048	1.00	69,618.30	0
Dec 11, 2020	0.999197	1.01	0.996638	0.999650	73,437.30	0
Dec 10, 2020	1.00	1.01	0.981241	0.999179	68,092.58	0
Dec 09, 2020	0.999031	1.01	0.992886	1.00	68,495.40	0
Dec 08, 2020	0.999865	1.00	0.993699	0.998938	75,714.17	0
Dec 07, 2020	0.998942	1.00	0.996160	0.999898	76,687.22	0
Dec 06, 2020	1.00	1.01	0.996500	0.998766	76,377.82	0
Dec 05, 2020	0.997655	1.01	0.995255	1.00	80,648.68	0
Dec 04, 2020	0.999633	1.00	0.989328	0.997757	71,335.08	0
Dec 03, 2020	0.999744	1.01	0.993502	0.999674	80,635.39	0
Dec 02, 2020	0.998264	1.01	0.993677	0.999756	77,787.36	0
Dec 01, 2020	0.999937	1.09	0.974423	0.998413	67,343.78	0
Nov 30, 2020	1.00	1.01	0.994613	0.999846	81,685.51	0
Nov 29, 2020	0.997224	1.03	0.996119	1.00	72,904.48	0
Nov 28, 2020	1.00	1.01	0.996027	0.997295	62,508.08	0
Nov 27, 2020	0.998643	1.01	0.994227	1.00	64,436.69	0
Nov 26, 2020	0.998562	1.02	0.977565	0.998464	67,560.23	0
Nov 25, 2020	1.00	1.01	0.994287	0.998675	67,640.36	0
Nov 24, 2020	1.00	1.01	0.991459	1.00	70,302.62	0
Nov 23, 2020	0.995350	1.01	0.990861	1.00	78,444.90	0
Nov 22, 2020	0.999698	1.01	0.991242	0.995383	71,230.36	0
Nov 21, 2020	1.00	1.01	0.993250	0.999688	76,762.81	0
Nov 20, 2020	1.00	1.01	0.995573	1.00	75,058.54	0
Nov 19, 2020	0.999967	1.01	0.997181	1.00	68,893.22	0
Nov 18, 2020	0.999654	1.01	0.984747	0.999918	69,367.98	0
Nov 17, 2020	0.999514	1.02	0.995102	0.999636	65,964.16	0
Nov 16, 2020	0.999541	1.00	0.983457	1.00	67,248.36	0
Nov 15, 2020	0.999726	1.01	0.993671	0.999543	60,480.24	0
Nov 14, 2020	0.999983	1.00	0.991664	0.999705	60,776.49	0
Nov 13, 2020	0.999389	1.01	0.997183	0.999984	65,769.92	0
Nov 12, 2020	1.00	1.00	0.993576	0.999386	61,120.53	0
Nov 11, 2020	0.999080	1.02	0.996060	1.00	63,507.30	0
Nov 10, 2020	1.00	1.01	0.997137	0.999109	0	0
Nov 09, 2020	0.998735	1.00	0.995090	1.00	60,913.45	0
Nov 08, 2020	0.999194	1.00	0.996372	0.998735	59,895.97	0
Nov 07, 2020	1.00	1.08	0.985738	0.999194	54,472.36	0
Nov 06, 2020	1.00	1.07	0.995229	1.00	56,639.94	0
Nov 05, 2020	1.00	1.01	0.994143	1.00	63,585.48	0
Nov 04, 2020	0.999108	1.01	0.996052	1.00	58,388.14	0
Nov 03, 2020	0.999701	1.00	0.985977	0.999094	54,236.55	0
Nov 02, 2020	1.00	1.00	0.993431	0.999676	52,010.62	0
Nov 01, 2020	1.00	1.00	0.997109	1.00	53,820.15	0
Oct 31, 2020	0.999462	1.00	0.997011	1.00	53,196.15	0
Oct 30, 2020	0.999714	1.01	0.979544	0.999455	54,856.53	0
Oct 29, 2020	0.999746	1.01	0.994160	0.999721	95,804.26	0
Oct 28, 2020	1.00	1.01	0.990916	0.999764	50,175.36	0
Oct 27, 2020	1.00	1.01	0.978069	1.00	52,814.16	0
Oct 26, 2020	0.999638	1.01	0.992432	1.00	51,324.65	0
Oct 25, 2020	0.999953	1.00	0.992703	0.999645	48,818.71	0
Oct 24, 2020	1.00	1.00	0.997160	0.999958	54,103.00	0
Oct 23, 2020	0.999970	1.05	0.993716	1.00	50,338.19	0
Oct 22, 2020	1.00	1.05	0.995097	0.999718	51,993.27	0
Oct 21, 2020	1.00	1.01	0.991286	1.00	50,159.56	0
Oct 20, 2020	0.999919	1.00	0.991931	1.00	45,843.49	0
Oct 19, 2020	1.00	1.02	0.997895	1.00	44,483.91	0
Oct 18, 2020	0.999999	1.00	0.989012	0.999980	40,294.31	0
Oct 17, 2020	0.999529	1.00	0.998465	1.00	48,017.87	0
Oct 16, 2020	1.00	1.01	0.986867	0.999366	45,412.08	0
Oct 15, 2020	1.00	1.01	0.996575	1.00	48,960.13	0
Oct 14, 2020	0.999497	1.00	0.993251	1.00	44,127.28	0
Oct 13, 2020	0.999970	1.01	0.996836	0.999151	46,001.60	0
Oct 12, 2020	1.00	1.01	0.994734	1.00	49,298.27	0
Oct 11, 2020	0.999871	1.00	0.997157	1.00	43,443.98	0
Oct 10, 2020	0.999740	1.01	0.996680	0.999416	41,942.89	0
Oct 09, 2020	1.00	1.00	0.997592	0.999740	40,709.46	0
Oct 08, 2020	1.00	1.00	0.997598	1.00	38,615.78	0
Oct 07, 2020	1.00	1.00	0.995837	1.00	38,226.56	0
Oct 06, 2020	1.00	1.01	0.995580	1.00	37,655.42	0
Oct 05, 2020	0.999940	1.00	0.998220	1.00	40,860.31	0
Oct 04, 2020	0.999883	1.00	0.998352	1.00	44,840.94	0
Oct 03, 2020	1.00	1.00	0.997760	0.999639	43,233.78	0
Oct 02, 2020	1.00	1.00	0.993242	1.00	43,147.71	0
Oct 01, 2020	0.999044	1.00	0.990794	1.00	40,461.14	0
Sep 30, 2020	1.00	1.00	0.994166	0.998689	45,689.21	0
Sep 29, 2020	0.999351	1.00	0.992071	1.00	0	0
