date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.20e-7	1.30e-7	1.20e-7	1.30e-7	0	0
Dec 15, 2020	1.20e-7	1.20e-7	1.20e-7	1.20e-7	0	0
Dec 14, 2020	1.20e-7	1.20e-7	1.20e-7	1.20e-7	0	0
Dec 13, 2020	1.10e-7	1.20e-7	1.10e-7	1.20e-7	0	0
Dec 12, 2020	1.10e-7	1.10e-7	1.10e-7	1.10e-7	0	0
Dec 11, 2020	1.10e-7	1.10e-7	1.10e-7	1.10e-7	0	0
Dec 10, 2020	1.10e-7	1.10e-7	1.10e-7	1.10e-7	0	0
Dec 09, 2020	1.10e-7	1.20e-7	1.10e-7	1.10e-7	0	0
Dec 08, 2020	1.20e-7	1.20e-7	1.10e-7	1.10e-7	0.002542	0
Dec 07, 2020	1.20e-7	1.20e-7	1.20e-7	1.20e-7	0	0
Dec 06, 2020	6.00e-8	1.20e-7	6.00e-8	1.20e-7	0.010029	0
Dec 05, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Dec 04, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Dec 03, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Dec 02, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Dec 01, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Nov 30, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Nov 29, 2020	5.00e-8	6.00e-8	5.00e-8	6.00e-8	0	0
Nov 28, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 27, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 26, 2020	6.00e-8	6.00e-8	5.00e-8	5.00e-8	0	0
Nov 25, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Nov 24, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Nov 23, 2020	6.00e-8	6.00e-8	6.00e-8	6.00e-8	0	0
Nov 22, 2020	5.00e-8	6.00e-8	5.00e-8	6.00e-8	0	0
Nov 21, 2020	5.00e-8	6.00e-8	5.00e-8	5.00e-8	0	0
Nov 20, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 19, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 18, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 17, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 16, 2020	4.00e-8	5.00e-8	4.00e-8	5.00e-8	0	0
Nov 15, 2020	5.00e-8	5.00e-8	4.00e-8	4.00e-8	0	0
Nov 14, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 13, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 12, 2020	5.00e-8	5.00e-8	5.00e-8	5.00e-8	0	0
Nov 11, 2020	4.00e-8	5.00e-8	4.00e-8	5.00e-8	0	0
Nov 10, 2020	4.00e-8	5.00e-8	4.00e-8	4.00e-8	0	0
Nov 09, 2020	9.00e-8	9.00e-8	4.00e-8	4.00e-8	0.995100	0
Nov 08, 2020	9.00e-8	9.00e-8	9.00e-8	9.00e-8	0	0
Nov 07, 2020	9.00e-8	9.00e-8	9.00e-8	9.00e-8	0	0
Nov 06, 2020	8.00e-8	9.00e-8	8.00e-8	9.00e-8	0	0
Nov 05, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Nov 04, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Nov 03, 2020	8.00e-8	8.00e-8	7.00e-8	8.00e-8	0	0
Nov 02, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Nov 01, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 31, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 30, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 29, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 28, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 27, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 26, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 25, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 24, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 23, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 22, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 21, 2020	7.00e-8	8.00e-8	7.00e-8	8.00e-8	0	0
Oct 20, 2020	8.00e-8	8.00e-8	7.00e-8	7.00e-8	0	0
Oct 19, 2020	8.00e-8	8.00e-8	7.00e-8	8.00e-8	0	0
Oct 18, 2020	7.00e-8	8.00e-8	7.00e-8	8.00e-8	0	0
Oct 17, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 16, 2020	8.00e-8	8.00e-8	7.00e-8	7.00e-8	0	0
Oct 15, 2020	8.00e-8	8.00e-8	7.00e-8	8.00e-8	0	0
Oct 14, 2020	8.00e-8	8.00e-8	7.00e-8	8.00e-8	0	0
Oct 13, 2020	8.00e-8	8.00e-8	8.00e-8	8.00e-8	0	0
Oct 12, 2020	8.00e-8	8.00e-8	7.00e-8	8.00e-8	0	0
Oct 11, 2020	7.00e-8	8.00e-8	7.00e-8	8.00e-8	0	0
Oct 10, 2020	7.00e-8	8.00e-8	7.00e-8	7.00e-8	0	0
Oct 09, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 08, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 07, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 06, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 05, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 04, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 03, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 02, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Oct 01, 2020	7.00e-8	7.00e-8	7.00e-8	7.00e-8	0	0
Sep 30, 2020	4.00e-8	7.00e-8	4.00e-8	7.00e-8	57.91	0
Sep 29, 2020	4.00e-8	4.00e-8	4.00e-8	4.00e-8	0	0
Sep 28, 2020	4.00e-8	4.00e-8	4.00e-8	4.00e-8	0	0
Sep 27, 2020	4.00e-8	4.00e-8	3.00e-8	4.00e-8	0	0
Sep 26, 2020	4.00e-8	4.00e-8	3.00e-8	4.00e-8	0	0
Sep 25, 2020	3.00e-8	4.00e-8	3.00e-8	4.00e-8	0	0
Sep 24, 2020	3.00e-8	4.00e-8	3.00e-8	3.00e-8	0	0
Sep 23, 2020	3.00e-8	3.00e-8	3.00e-8	3.00e-8	0	0
Sep 22, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 21, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 20, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 19, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 18, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 17, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 16, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 15, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 14, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 13, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 12, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 11, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 10, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 09, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 08, 2020	3.44e-8	3.44e-8	3.44e-8	3.44e-8	0	0
Sep 07, 2020	3.54e-8	3.58e-8	3.40e-8	3.44e-8	0	0
Sep 06, 2020	4.33e-8	4.33e-8	3.29e-8	3.54e-8	0.000776	0
Sep 05, 2020	4.33e-8	4.33e-8	4.33e-8	4.33e-8	0	0
Sep 04, 2020	4.33e-8	4.33e-8	4.33e-8	4.33e-8	0	0
Sep 03, 2020	4.33e-8	4.33e-8	4.33e-8	4.33e-8	0	0
Sep 02, 2020	4.33e-8	4.33e-8	4.33e-8	4.33e-8	0	0
Sep 01, 2020	4.33e-8	4.33e-8	4.33e-8	4.33e-8	0	0
Aug 31, 2020	4.29e-8	4.34e-8	4.20e-8	4.33e-8	0	0
Aug 30, 2020	4.11e-8	4.29e-8	4.07e-8	4.28e-8	0.000428	0
Aug 29, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 28, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 27, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 26, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 25, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 24, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 23, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 22, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 21, 2020	4.11e-8	4.11e-8	4.11e-8	4.11e-8	0	0
Aug 20, 2020	4.06e-8	4.14e-8	4.04e-8	4.11e-8	0	0
Aug 19, 2020	4.35e-8	4.35e-8	3.97e-8	4.06e-8	0.000861	0
Aug 18, 2020	4.35e-8	4.35e-8	4.35e-8	4.35e-8	0	0
Aug 17, 2020	4.35e-8	4.35e-8	4.35e-8	4.35e-8	0	0
Aug 16, 2020	4.35e-8	4.35e-8	4.35e-8	4.35e-8	0	0
Aug 15, 2020	4.38e-8	4.42e-8	4.31e-8	4.35e-8	0	0
Aug 14, 2020	3.96e-8	4.45e-8	3.96e-8	4.37e-8	0.003788	0
Aug 13, 2020	3.96e-8	3.96e-8	3.96e-8	3.96e-8	0	0
Aug 12, 2020	3.96e-8	3.96e-8	3.96e-8	3.96e-8	0	0
Aug 11, 2020	3.96e-8	3.96e-8	3.96e-8	3.96e-8	0	0
Aug 10, 2020	3.91e-8	3.99e-8	3.91e-8	3.96e-8	0	0
Aug 09, 2020	3.57e-8	3.94e-8	3.57e-8	3.91e-8	0.391143	0
Aug 08, 2020	3.57e-8	3.57e-8	3.57e-8	3.57e-8	0	0
Aug 07, 2020	3.57e-8	3.57e-8	3.57e-8	3.57e-8	0	0
Aug 06, 2020	3.57e-8	3.57e-8	3.57e-8	3.57e-8	0	0
Aug 05, 2020	3.57e-8	3.57e-8	3.57e-8	3.57e-8	0	0
Aug 04, 2020	3.57e-8	3.57e-8	3.57e-8	3.57e-8	0	0
Aug 03, 2020	3.57e-8	3.57e-8	3.57e-8	3.57e-8	0	0
Aug 02, 2020	3.57e-8	3.57e-8	3.57e-8	3.57e-8	0	0
Aug 01, 2020	3.46e-8	3.59e-8	3.44e-8	3.57e-8	0	0
Jul 31, 2020	3.35e-8	3.49e-8	3.29e-8	3.46e-8	0.038015	0
Jul 30, 2020	3.18e-8	3.39e-8	3.16e-8	3.35e-8	0.036819	0
Jul 29, 2020	3.17e-8	3.24e-8	3.13e-8	3.18e-8	0.035009	0
Jul 28, 2020	3.22e-8	3.26e-8	3.08e-8	3.17e-8	0.034828	0
Jul 27, 2020	3.10e-8	3.31e-8	3.10e-8	3.22e-8	0.035412	0
Jul 26, 2020	3.04e-8	3.16e-8	3.00e-8	3.10e-8	0.034078	0
Jul 25, 2020	2.79e-8	3.07e-8	2.79e-8	3.04e-8	0.033449	0
Jul 24, 2020	2.75e-8	2.86e-8	2.69e-8	2.79e-8	0.030700	0
Jul 23, 2020	2.36e-8	2.78e-8	2.36e-8	2.75e-8	0.030219	0
Jul 22, 2020	2.36e-8	2.36e-8	2.36e-8	2.36e-8	0	0
Jul 21, 2020	2.36e-8	2.36e-8	2.36e-8	2.36e-8	0	0
Jul 20, 2020	2.36e-8	2.36e-8	2.36e-8	2.36e-8	0	0
Jul 19, 2020	2.36e-8	2.36e-8	2.36e-8	2.36e-8	0	0
Jul 18, 2020	2.33e-8	2.36e-8	2.32e-8	2.36e-8	0	0
Jul 17, 2020	4.67e-8	4.67e-8	2.32e-8	2.33e-8	0.002328	0
Jul 16, 2020	4.77e-8	4.78e-8	4.63e-8	4.67e-8	0	0
Jul 15, 2020	4.80e-8	4.80e-8	4.74e-8	4.77e-8	0.119282	0
Jul 14, 2020	4.79e-8	4.82e-8	4.76e-8	4.80e-8	0	0
Jul 13, 2020	7.26e-8	7.28e-8	2.39e-8	4.79e-8	137.85	0
Jul 12, 2020	7.18e-8	7.26e-8	4.76e-8	7.26e-8	0.048328	0
Jul 11, 2020	2.41e-8	7.19e-8	2.38e-8	7.18e-8	0.024734	0
