date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.31	1.43	1.30	1.34	36,041.98	0
Dec 15, 2020	1.26	1.41	1.25	1.31	27,892.92	0
Dec 14, 2020	1.25	1.26	1.21	1.26	7,377.29	0
Dec 13, 2020	1.09	1.32	1.08	1.25	17,643.57	0
Dec 12, 2020	1.09	1.13	1.09	1.09	3,571.60	0
Dec 11, 2020	1.09	1.11	1.04	1.09	26,071.69	0
Dec 10, 2020	1.09	1.10	1.04	1.09	2,518.39	0
Dec 09, 2020	1.10	1.19	0.957860	1.09	26,895.45	0
Dec 08, 2020	1.15	1.15	1.09	1.10	4,895.68	0
Dec 07, 2020	1.11	1.16	0.029728	1.15	6,642.14	0
Dec 06, 2020	1.12	1.14	1.09	1.11	4,619.28	0
Dec 05, 2020	1.09	1.12	1.08	1.12	6,118.79	0
Dec 04, 2020	1.09	1.14	1.06	1.09	7,149.46	0
Dec 03, 2020	1.08	1.15	0.581844	1.09	7,963.26	0
Dec 02, 2020	1.04	1.08	1.02	1.08	1,954.83	0
Dec 01, 2020	1.16	1.17	1.00	1.04	8,520.81	0
Nov 30, 2020	1.13	1.18	1.10	1.16	7,203.21	0
Nov 29, 2020	1.05	1.13	1.03	1.13	3,778.88	0
Nov 28, 2020	0.938543	1.07	0.934636	1.05	5,438.58	0
Nov 27, 2020	0.890931	0.939551	0.856226	0.938401	6,097.34	0
Nov 26, 2020	1.07	1.08	0.886610	0.890666	33,737.67	0
Nov 25, 2020	1.13	1.24	1.05	1.07	29,139.56	0
Nov 24, 2020	1.11	1.13	1.02	1.13	14,071.00	0
Nov 23, 2020	1.09	1.13	1.02	1.11	15,251.29	0
Nov 22, 2020	1.12	1.14	1.00	1.09	19,502.05	0
Nov 21, 2020	0.941712	1.13	0.938626	1.12	8,405.12	0
Nov 20, 2020	1.06	1.08	0.909287	0.941754	23,166.54	0
Nov 19, 2020	0.949638	1.06	0.879188	1.06	13,976.84	0
Nov 18, 2020	0.984175	0.996824	0.897277	0.949539	21,405.31	0
Nov 17, 2020	0.953350	1.01	0.937981	0.984137	10,427.45	0
Nov 16, 2020	0.943947	0.996393	0.934786	0.979238	5,674.43	0
Nov 15, 2020	0.939366	0.963500	0.919116	0.943952	5,439.87	0
Nov 14, 2020	0.951878	0.964535	0.912252	0.939324	9,020.20	0
Nov 13, 2020	0.927280	0.973157	0.909162	0.951880	7,599.84	0
Nov 12, 2020	0.876870	0.928881	0.859567	0.927272	12,114.87	0
Nov 11, 2020	0.963408	0.985942	0.830378	0.876877	21,383.42	0
Nov 10, 2020	1.02	1.05	0.921406	0.963470	21,222.33	0
Nov 09, 2020	1.05	1.06	0.972872	1.02	13,505.82	0
Nov 08, 2020	1.01	1.06	1.00	1.05	4,124.83	0
Nov 07, 2020	1.06	1.08	0.978257	1.01	3,543.00	0
Nov 06, 2020	0.978498	1.14	0.975934	1.06	13,470.77	0
Nov 05, 2020	0.894671	0.983393	0.856903	0.978513	6,849.42	0
Nov 04, 2020	0.859371	0.944702	0.837699	0.894646	7,514.52	0
Nov 03, 2020	0.870235	0.888150	0.834815	0.859346	7,947.71	0
Nov 02, 2020	0.854627	0.879876	0.801546	0.870188	4,971.30	0
Nov 01, 2020	0.809198	0.856262	0.799859	0.854601	668.59	0
Oct 31, 2020	0.793039	0.821974	0.772303	0.809213	3,576.48	0
Oct 30, 2020	0.863252	0.864512	0.764940	0.793027	14,462.37	0
Oct 29, 2020	0.866198	0.874264	0.849653	0.863264	2,190.27	0
Oct 28, 2020	0.848254	0.869031	0.812547	0.866231	2,954.90	0
Oct 27, 2020	0.845737	0.855221	0.799963	0.848275	8,765.59	0
Oct 26, 2020	0.841304	0.847338	0.811694	0.845700	3,153.12	0
Oct 25, 2020	0.859035	0.868828	0.841154	0.841318	2,761.62	0
Oct 24, 2020	0.911446	0.926490	0.850607	0.859044	4,035.97	0
Oct 23, 2020	0.841032	0.911834	0.800110	0.911479	6,817.63	0
Oct 22, 2020	0.828191	0.875259	0.810159	0.841032	4,740.42	0
Oct 21, 2020	0.794567	0.846008	0.777083	0.828191	4,482.47	0
Oct 20, 2020	0.909065	0.922597	0.792565	0.794567	7,486.34	0
Oct 19, 2020	0.840111	0.909421	0.811187	0.909065	36,001.15	0
Oct 18, 2020	0.798478	0.881418	0.796905	0.840111	12,862.11	0
Oct 17, 2020	0.758310	0.820015	0.722188	0.798478	26,632.60	0
