date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.004928	0.005323	0.004713	0.004989	187,492	2,150,601
Dec 15, 2020	0.004685	0.005225	0.004000	0.004928	164,157	2,124,349
Dec 14, 2020	0.004255	0.005345	0.003903	0.004685	157,061	2,019,552
Dec 13, 2020	0.004391	0.005459	0.003502	0.004255	238,681	1,834,324
Dec 12, 2020	0.006788	0.006810	0.003402	0.004391	348,896	1,893,071
Dec 11, 2020	0.007170	0.007279	0.005210	0.006788	350,629	2,926,374
Dec 10, 2020	0.006676	0.007993	0.005876	0.007169	297,014	3,090,751
Dec 09, 2020	0.004237	0.008004	0.003408	0.006676	372.84	2,877,993
Dec 08, 2020	0.003647	0.004410	0.003566	0.004237	0	1,837,515
Dec 07, 2020	0.003676	0.003690	0.003598	0.003647	1.18	1,581,745
Dec 06, 2020	0.001538	0.003686	0.000756	0.003676	75.13	1,593,918
Dec 05, 2020	0.001877	0.003559	0.001524	0.001537	495.95	666,663
Dec 04, 2020	0.004305	0.004576	0.001877	0.001877	37.79	814,057
Dec 03, 2020	0.004308	0.004412	0.001989	0.004305	41.76	1,866,906
Dec 02, 2020	0.001925	0.004428	0.001897	0.004308	52.46	1,868,359
Dec 01, 2020	0.005103	0.006247	0.001918	0.001926	186.97	835,030
Nov 30, 2020	0.007332	0.007335	0.004058	0.005103	114.95	2,213,072
Nov 29, 2020	0.007075	0.007360	0.005212	0.007332	35,233.94	3,179,592
Nov 28, 2020	0.007993	0.007998	0.002980	0.007075	31,514.30	3,068,107
Nov 27, 2020	0.005807	0.007994	0.001722	0.007993	28,673.64	3,466,004
Nov 26, 2020	0.006970	0.006975	0.003685	0.005806	42,098.86	2,517,978
Nov 25, 2020	0.005849	0.006978	0.005847	0.006970	30,966.72	3,022,804
Nov 24, 2020	0.007472	0.007835	0.005767	0.005849	34,301.73	2,536,379
Nov 23, 2020	0.006395	0.008007	0.002902	0.007471	32,148.69	3,240,017
Nov 22, 2020	0.006185	0.007984	0.003046	0.006395	30,904.59	2,773,070
Nov 21, 2020	0.005514	0.008900	0.001819	0.006185	24,689.83	2,681,964
Nov 20, 2020	0.007717	0.008572	0.001528	0.005514	25,019.74	2,391,299
Nov 19, 2020	0.007122	0.008499	0.001490	0.007717	21,798.68	3,346,740
Nov 18, 2020	0.007880	0.008991	0.005537	0.007122	16,303.41	3,088,571
Nov 17, 2020	0.007256	0.008999	0.003101	0.007880	17,101.58	3,417,051
Nov 16, 2020	0.008464	0.008599	0.004157	0.007256	21,430.58	3,146,613
Nov 15, 2020	0.007180	0.008480	0.006078	0.008464	16,076.16	3,670,678
Nov 14, 2020	0.006466	0.008679	0.005782	0.007180	19,095.13	3,113,687
Nov 13, 2020	0.009003	0.009008	0.005843	0.006466	1,917.78	2,804,129
Nov 12, 2020	0.007453	0.009010	0.001200	0.009003	8,064.17	3,904,034
Nov 11, 2020	0.007028	0.008149	0.001211	0.007453	15,805.27	3,232,225
Nov 10, 2020	0.006373	0.008314	0.004158	0.007028	18,966.90	3,047,680
Nov 09, 2020	0.004066	0.007383	0.004066	0.006373	14,344.41	2,763,742
Nov 08, 2020	0.005089	0.005368	0.001562	0.004066	12,838.30	1,763,440
Nov 07, 2020	0.005195	0.005364	0.001913	0.005089	17,693.21	2,206,921
Nov 06, 2020	0.005151	0.005384	0.004081	0.005195	15,744.18	2,252,650
Nov 05, 2020	0.004956	0.005372	0.004629	0.005151	14,781.36	2,233,838
Nov 04, 2020	0.004649	0.005465	0.004153	0.004956	17,702.39	2,149,353
Nov 03, 2020	0.004052	0.005993	0.003897	0.004649	21,686.22	2,015,880
Nov 02, 2020	0.003003	0.007000	0.002976	0.004052	14,729.90	1,757,197
