date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002303	0.002445	0.002300	0.002435	193,729	2,434,873
Dec 15, 2020	0.002144	0.002325	0.002122	0.002309	151,985	2,308,525
Dec 14, 2020	0.002261	0.002288	0.002108	0.002143	103,304	2,143,412
Dec 13, 2020	0.002142	0.002331	0.002108	0.002261	136,036	2,260,824
Dec 12, 2020	0.001997	0.002247	0.001980	0.002141	105,664	2,141,429
Dec 11, 2020	0.002016	0.002359	0.001928	0.002014	171,846	2,013,789
Dec 10, 2020	0.002132	0.002149	0.001940	0.002013	87,033.47	2,013,410
Dec 09, 2020	0.002175	0.002185	0.002082	0.002132	54,642.10	2,132,045
Dec 08, 2020	0.002258	0.002299	0.002105	0.002166	69,528.28	2,165,867
Dec 07, 2020	0.002280	0.002375	0.002215	0.002258	286,395	2,258,282
Dec 06, 2020	0.002296	0.002308	0.002214	0.002279	137,218	2,279,154
Dec 05, 2020	0.002196	0.002332	0.002178	0.002295	63,399.01	2,295,444
Dec 04, 2020	0.002589	0.002618	0.002197	0.002197	103,726	2,196,653
Dec 03, 2020	0.002663	0.002689	0.002562	0.002589	96,278.57	2,589,247
Dec 02, 2020	0.002861	0.002910	0.002624	0.002663	65,910.64	2,663,265
Dec 01, 2020	0.003070	0.003295	0.002827	0.002862	128,164	2,861,631
Nov 30, 2020	0.003188	0.003312	0.002976	0.003070	22,775.38	3,069,932
Nov 29, 2020	0.003428	0.003474	0.002948	0.003188	102,799	3,188,028
Nov 28, 2020	0.003277	0.003470	0.003141	0.003428	86,234.79	3,428,490
Nov 27, 2020	0.002769	0.003287	0.002324	0.003276	69,374.73	3,276,441
Nov 26, 2020	0.002863	0.003069	0.002510	0.002767	145,388	2,767,234
Nov 25, 2020	0.002873	0.003011	0.002777	0.002863	98,093.00	2,863,470
Nov 24, 2020	0.002783	0.003131	0.002459	0.002873	119,042	2,872,704
Nov 23, 2020	0.002543	0.003074	0.002406	0.002784	88,267.57	2,783,873
Nov 22, 2020	0.002939	0.003007	0.002396	0.002543	109,311	2,543,209
Nov 21, 2020	0.002855	0.002960	0.002464	0.002939	98,173.98	2,939,199
Nov 20, 2020	0.002077	0.002964	0.002049	0.002855	108,343	2,854,909
Nov 19, 2020	0.002088	0.002237	0.002038	0.002076	64,417.63	2,075,747
Nov 18, 2020	0.001923	0.002143	0.001885	0.002088	133,226	2,087,825
Nov 17, 2020	0.001710	0.001929	0.001698	0.001923	175,193	1,923,008
Nov 16, 2020	0.001748	0.001854	0.001616	0.001706	146,250	1,705,597
Nov 15, 2020	0.001753	0.001811	0.001730	0.001748	77,628.57	1,747,765
Nov 14, 2020	0.001855	0.001862	0.001706	0.001753	85,126.54	1,753,061
Nov 13, 2020	0.001801	0.001885	0.001759	0.001855	81,614.07	1,855,399
Nov 12, 2020	0.001754	0.001845	0.001728	0.001801	156,646	1,801,041
Nov 11, 2020	0.001774	0.001786	0.001693	0.001754	107,760	1,754,119
Nov 10, 2020	0.001678	0.001822	0.001650	0.001774	69,985.11	1,773,877
Nov 09, 2020	0.001834	0.001867	0.001593	0.001678	114,357	1,677,831
Nov 08, 2020	0.001505	0.001876	0.001497	0.001834	99,768.13	1,834,180
Nov 07, 2020	0.001618	0.001655	0.001494	0.001505	90,343.54	1,505,141
Nov 06, 2020	0.001549	0.001635	0.001515	0.001618	99,609.20	1,618,152
Nov 05, 2020	0.001547	0.001602	0.001447	0.001548	164,837	1,548,311
Nov 04, 2020	0.001610	0.001638	0.001449	0.001547	137,652	1,547,136
Nov 03, 2020	0.001631	0.001692	0.001596	0.001610	123,484	1,610,152
Nov 02, 2020	0.001620	0.001672	0.001600	0.001631	157,663	1,630,855
Nov 01, 2020	0.001601	0.001665	0.001573	0.001620	64,970.54	1,620,141
Oct 31, 2020	0.001604	0.001745	0.001580	0.001601	67,064.49	1,600,801
Oct 30, 2020	0.001680	0.001719	0.001548	0.001604	8,775.19	1,603,703
Oct 29, 2020	0.001746	0.001747	0.001623	0.001680	75,754.07	1,679,519
Oct 28, 2020	0.001757	0.001759	0.001682	0.001746	118,793	1,745,740
Oct 27, 2020	0.001742	0.001807	0.001722	0.001757	151,089	1,757,450
Oct 26, 2020	0.001748	0.001780	0.001666	0.001742	132,207	1,742,446
Oct 25, 2020	0.001724	0.001778	0.001691	0.001748	79,025.02	1,748,034
Oct 24, 2020	0.001691	0.001785	0.001677	0.001725	68,385.38	1,724,521
Oct 23, 2020	0.001784	0.001894	0.001619	0.001691	60,977.43	1,690,581
Oct 22, 2020	0.001779	0.001862	0.001743	0.001784	79,759.83	1,784,242
Oct 21, 2020	0.001784	0.001804	0.001744	0.001782	177,666	1,782,253
Oct 20, 2020	0.001834	0.001886	0.001752	0.001787	121,652	1,787,251
Oct 19, 2020	0.001946	0.001962	0.001829	0.001831	172,045	1,831,094
Oct 18, 2020	0.001890	0.001995	0.001825	0.001947	87,244.06	1,947,369
Oct 17, 2020	0.001871	0.001892	0.001832	0.001890	50,583.00	1,890,484
Oct 16, 2020	0.001914	0.001999	0.001834	0.001870	106,111	1,870,474
Oct 15, 2020	0.001967	0.002010	0.001893	0.001918	108,652	1,917,657
Oct 14, 2020	0.001942	0.002019	0.001911	0.001967	81,896.96	1,966,650
Oct 13, 2020	0.001950	0.002142	0.001909	0.001940	87,177.31	1,939,757
Oct 12, 2020	0.001956	0.002156	0.001869	0.001958	149,994	1,949,039
Oct 11, 2020	0.001958	0.001987	0.001888	0.001965	25,511.42	1,956,707
Oct 10, 2020	0.001888	0.002149	0.001870	0.001882	84,297.40	1,873,894
Oct 09, 2020	0.001946	0.002081	0.001843	0.001891	103,075	1,882,381
Oct 08, 2020	0.001878	0.002074	0.001834	0.001939	116,139	1,930,043
Oct 07, 2020	0.001935	0.001976	0.001783	0.001878	80,909.13	1,869,620
Oct 06, 2020	0.002028	0.002087	0.001886	0.001937	131,693	1,928,010
Oct 05, 2020	0.002145	0.002174	0.002005	0.002024	134,827	2,015,606
Oct 04, 2020	0.002181	0.002194	0.002002	0.002139	96,148.45	2,129,524
Oct 03, 2020	0.002112	0.002205	0.002075	0.002181	53,780.77	2,171,642
Oct 02, 2020	0.002119	0.002167	0.002006	0.002112	97,122.10	2,102,843
Oct 01, 2020	0.002216	0.002314	0.002110	0.002118	132,335	2,108,280
Sep 30, 2020	0.002188	0.002273	0.002122	0.002216	99,390.40	2,206,581
Sep 29, 2020	0.002210	0.002305	0.002137	0.002188	91,463.63	2,178,414
Sep 28, 2020	0.002184	0.002296	0.002117	0.002165	128,509	2,155,668
Sep 27, 2020	0.002182	0.002311	0.002072	0.002182	98,895.44	2,172,806
Sep 26, 2020	0.002116	0.002404	0.002110	0.002142	64,865.00	2,132,820
Sep 25, 2020	0.002179	0.002219	0.002060	0.002116	78,261.25	2,106,955
Sep 24, 2020	0.002009	0.002243	0.001999	0.002207	129,633	2,197,625
Sep 23, 2020	0.002169	0.002171	0.002009	0.002009	90,944.58	2,000,079
Sep 22, 2020	0.002140	0.002209	0.001998	0.002164	60,727.87	2,154,508
Sep 21, 2020	0.002183	0.002319	0.002046	0.002142	156,419	2,132,401
Sep 20, 2020	0.002274	0.002274	0.002167	0.002183	54,502.93	2,173,398
Sep 19, 2020	0.002295	0.002331	0.002135	0.002274	83,301.50	2,263,546
Sep 18, 2020	0.002212	0.002312	0.001868	0.002310	84,366.75	2,299,529
Sep 17, 2020	0.002261	0.002338	0.002165	0.002212	61,694.61	2,201,828
Sep 16, 2020	0.002302	0.002330	0.002198	0.002239	95,503.06	2,229,503
Sep 15, 2020	0.002320	0.002345	0.002216	0.002306	82,519.98	2,295,930
