date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000019	0.000021	0.000019	0.000021	9.87	21,302.32
Dec 15, 2020	0.000019	0.000020	0.000019	0.000019	29.08	19,391.98
Dec 14, 2020	0.000019	0.000019	0.000019	0.000019	0	19,211.95
Dec 13, 2020	0.000019	0.000019	0.000019	0.000019	3.57	19,098.79
Dec 12, 2020	0.000018	0.000019	0.000018	0.000019	0.002082	18,757.45
Dec 11, 2020	0.000018	0.000018	0.000018	0.000018	0.002092	18,004.78
Dec 10, 2020	0.000019	0.000019	0.000018	0.000018	0	18,203.96
Dec 09, 2020	0.000018	0.000019	0.000018	0.000019	0.005614	18,486.06
Dec 08, 2020	0.000019	0.000019	0.000018	0.000018	0.006000	18,246.89
Dec 07, 2020	0.000019	0.000019	0.000019	0.000019	4.79	19,109.81
Dec 06, 2020	0.000019	0.000019	0.000019	0.000019	0	19,247.60
Dec 05, 2020	0.000019	0.000019	0.000019	0.000019	1.92	19,056.66
Dec 04, 2020	0.000019	0.000020	0.000019	0.000019	0.469347	18,600.36
Dec 03, 2020	0.000019	0.000020	0.000019	0.000019	0.002445	19,335.25
Dec 02, 2020	0.000019	0.000019	0.000018	0.000019	0	19,084.87
Dec 01, 2020	0.000020	0.000020	0.000018	0.000019	0.001881	18,678.80
Nov 30, 2020	0.000018	0.000020	0.000018	0.000020	0.001982	19,492.76
Nov 29, 2020	0.000018	0.000018	0.000018	0.000018	0.002194	18,047.03
Nov 28, 2020	0.000017	0.000018	0.000017	0.000018	38.25	17,583.62
Nov 27, 2020	0.000017	0.000017	0.000017	0.000017	0.003531	16,972.75
Nov 26, 2020	0.000019	0.000019	0.000016	0.000017	0.001709	17,002.69
Nov 25, 2020	0.000019	0.000019	0.000019	0.000019	0.002265	18,595.62
Nov 24, 2020	0.000018	0.000019	0.000018	0.000019	0.192455	18,917.10
Nov 23, 2020	0.000018	0.000019	0.000018	0.000018	0.001850	18,179.68
Nov 22, 2020	0.000019	0.000019	0.000018	0.000018	0.002038	18,192.15
Nov 21, 2020	0.000019	0.000019	0.000018	0.000019	0.002344	18,453.27
Nov 20, 2020	0.000018	0.000019	0.000018	0.000019	2.08	18,426.96
Nov 19, 2020	0.000018	0.000018	0.000017	0.000018	0.004014	17,624.49
Nov 18, 2020	0.000018	0.000018	0.000017	0.000018	57.16	17,603.02
Nov 17, 2020	0.000033	0.000036	0.000017	0.000018	19.74	17,440.79
Nov 16, 2020	0.000032	0.000034	0.000016	0.000033	0.063774	33,031.44
Nov 15, 2020	0.000032	0.000032	0.000016	0.000032	2.66	31,519.60
Nov 14, 2020	0.000016	0.000032	0.000016	0.000032	0.025369	31,728.83
Nov 13, 2020	0.000016	0.000033	0.000016	0.000016	11.11	16,105.85
Nov 12, 2020	0.000016	0.000032	0.000016	0.000016	81.85	16,058.91
Nov 11, 2020	0.000015	0.000031	0.000015	0.000016	0.221616	15,488.00
Nov 10, 2020	0.000031	0.000031	0.000015	0.000015	0.464039	15,076.85
Nov 09, 2020	0.000015	0.000031	0.000015	0.000031	0.075964	30,231.07
Nov 08, 2020	0.000015	0.000031	0.000015	0.000015	0.460523	15,250.01
Nov 07, 2020	0.000031	0.000031	0.000015	0.000015	0.326005	14,608.96
Nov 06, 2020	0.000031	0.000032	0.000030	0.000031	0.628072	30,649.32
Nov 05, 2020	0.000028	0.000031	0.000014	0.000031	0.057950	30,619.99
Nov 04, 2020	0.000028	0.000028	0.000014	0.000028	0.432944	27,796.72
Nov 03, 2020	0.000014	0.000028	0.000013	0.000028	0.011971	27,437.38
Nov 02, 2020	0.000027	0.000028	0.000013	0.000014	11.50	13,320.38
Nov 01, 2020	0.000028	0.000028	0.000014	0.000027	0.051100	26,950.27
Oct 31, 2020	0.000027	0.000028	0.000027	0.000028	0	27,071.82
Oct 30, 2020	0.000027	0.000027	0.000013	0.000027	0.041775	26,646.83
Oct 29, 2020	0.000027	0.000027	0.000013	0.000027	20.97	26,404.84
Oct 28, 2020	0.000027	0.000028	0.000014	0.000027	0.005437	26,050.71
Oct 27, 2020	0.000026	0.000028	0.000014	0.000027	0.050212	26,787.49
Oct 26, 2020	0.000026	0.000026	0.000013	0.000026	5.21	25,640.53
Oct 25, 2020	0.000026	0.000027	0.000013	0.000026	7.10	25,546.05
Oct 24, 2020	0.000026	0.000026	0.000026	0.000026	8.28	25,687.23
Oct 23, 2020	0.000026	0.000026	0.000013	0.000026	0.411990	25,332.52
Oct 22, 2020	0.000038	0.000039	0.000013	0.000026	0.053666	25,374.86
Oct 21, 2020	0.000036	0.000040	0.000036	0.000038	0	37,644.93
Oct 20, 2020	0.000023	0.000036	0.000023	0.000036	2.24	34,975.78
Oct 19, 2020	0.000034	0.000035	0.000023	0.000023	0.560859	22,967.61
Oct 18, 2020	0.000023	0.000034	0.000023	0.000034	0.509608	33,680.28
Oct 17, 2020	0.000034	0.000034	0.000023	0.000023	0.266370	22,200.43
Oct 16, 2020	0.000034	0.000035	0.000023	0.000034	0.308132	33,183.01
Oct 15, 2020	0.000034	0.000035	0.000023	0.000034	0.290978	33,677.67
Oct 14, 2020	0.000023	0.000034	0.000023	0.000034	0.622141	33,473.22
Oct 13, 2020	0.000023	0.000034	0.000023	0.000023	0.105966	22,300.17
Oct 12, 2020	0.000034	0.000035	0.000022	0.000023	11.75	22,543.89
Oct 11, 2020	0.000023	0.000034	0.000011	0.000034	68.05	33,298.59
