date	open	high	low	close	volume	market_cap
Dec 16, 2020	42,026.46	46,527.09	36,493.31	43,711.50	14,701.59	0
Dec 15, 2020	42,851.98	49,280.29	41,371.65	42,025.01	15,347.80	0
Dec 14, 2020	45,247.13	50,420.39	42,260.03	42,853.49	11,315.98	0
Dec 13, 2020	46,039.06	49,869.26	42,182.81	45,246.33	12,786.98	0
Dec 12, 2020	51,832.88	52,927.18	43,263.61	46,037.89	21,451.67	0
Dec 11, 2020	49,562.45	52,673.13	35,803.58	51,831.61	11,933.02	0
Dec 10, 2020	47,290.62	52,718.05	45,839.91	49,564.22	8,907.62	0
Dec 09, 2020	53,622.64	66,218.02	42,282.02	47,289.36	20,687.33	0
Dec 08, 2020	45,339.39	60,561.49	44,031.97	53,622.54	24,345.03	0
Dec 07, 2020	44,184.47	47,137.72	41,329.04	45,340.30	11,668.49	0
Dec 06, 2020	41,764.02	51,333.43	37,046.41	44,183.50	29,791.08	0
Dec 05, 2020	50,573.21	60,776.77	38,533.19	41,764.62	41,968.09	0
Dec 04, 2020	67,698.84	76,471.41	48,438.74	50,573.44	54,894.18	0
Dec 03, 2020	45,815.23	78,125.77	39,409.20	67,698.91	124,022	0
Dec 02, 2020	24,608.10	48,912.30	22,564.83	45,816.30	50,500.79	0
Dec 01, 2020	21,566.07	36,661.27	20,499.53	24,607.77	47,649.40	0
Nov 30, 2020	20,288.67	21,825.75	20,235.86	21,567.24	3,038.19	0
Nov 29, 2020	20,691.91	21,635.17	20,088.31	20,288.53	4,214.37	0
Nov 28, 2020	19,872.59	20,956.84	18,933.99	20,691.58	26,446.27	0
Nov 27, 2020	20,425.99	21,851.53	19,301.70	19,871.93	17,524.87	0
Nov 26, 2020	22,385.26	22,385.26	17,962.33	20,424.61	29,215.84	0
Nov 25, 2020	23,928.06	24,433.74	21,403.31	22,385.29	40,153.83	0
Nov 24, 2020	25,045.33	25,454.81	21,558.77	23,928.12	30,437.74	0
Nov 23, 2020	23,550.55	25,491.49	23,282.42	25,045.99	21,795.20	0
Nov 22, 2020	30,048.94	30,634.66	21,849.02	23,551.81	60,295.37	0
Nov 21, 2020	28,677.59	32,758.04	27,301.13	30,049.36	26,852.36	0
Nov 20, 2020	27,374.67	32,405.82	26,140.59	28,679.21	46,217.68	0
Nov 19, 2020	24,763.24	29,744.29	19,549.35	27,374.36	34,102.46	0
Nov 18, 2020	26,679.62	27,903.97	23,336.69	24,760.70	5,580.15	0
Nov 17, 2020	27,365.12	27,387.85	24,654.72	26,692.57	13,474.61	0
Nov 16, 2020	26,292.53	27,952.75	25,304.00	26,947.99	18,037.11	0
Nov 15, 2020	31,887.30	31,887.30	25,502.16	26,291.16	10,259.47	0
Nov 14, 2020	32,588.26	32,633.75	27,778.94	31,885.90	8,514.32	0
Nov 13, 2020	28,284.24	32,645.68	25,714.64	32,571.45	14,091.82	0
Nov 12, 2020	28,030.74	29,199.35	23,743.72	28,294.39	18,527.57	0
Nov 11, 2020	26,593.88	29,243.56	25,427.13	28,030.85	12,564.64	0
Nov 10, 2020	30,911.59	31,273.81	25,430.91	26,606.40	11,842.15	0
Nov 09, 2020	37,224.32	37,586.25	26,595.25	30,912.01	22,352.72	0
Nov 08, 2020	34,332.76	42,034.14	32,992.37	37,221.13	19,209.38	0
Nov 07, 2020	30,972.66	48,784.52	28,092.46	34,290.09	26,436.72	0
Nov 06, 2020	20,770.20	31,103.19	18,793.53	30,963.52	8,211.63	0
Nov 05, 2020	18,150.47	20,917.24	17,868.21	20,770.41	3,909.43	0
Nov 04, 2020	18,743.41	19,817.43	18,039.76	18,150.12	9,245.79	0
