date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.040630	0.042257	0.034284	0.038339	2,581,810	34,324,873
Dec 15, 2020	0.033895	0.040822	0.030009	0.040635	3,128,759	36,381,142
Dec 14, 2020	0.036305	0.036498	0.030486	0.033895	2,177,300	30,346,833
Dec 13, 2020	0.036623	0.037841	0.030228	0.036302	2,369,413	32,501,406
Dec 12, 2020	0.036686	0.037861	0.029750	0.036628	3,927,229	32,793,299
Dec 11, 2020	0.036259	0.039847	0.030236	0.036683	1,836,802	32,842,849
Dec 10, 2020	0.030238	0.036625	0.029149	0.036259	2,619,352	32,462,976
Dec 09, 2020	0.030360	0.031835	0.028336	0.030238	1,949,039	27,072,258
Dec 08, 2020	0.032617	0.032737	0.029306	0.030364	2,408,245	27,185,526
Dec 07, 2020	0.033269	0.033386	0.029705	0.032623	1,243,100	29,207,765
Dec 06, 2020	0.033195	0.033412	0.029699	0.033265	1,246,436	29,782,468
Dec 05, 2020	0.028916	0.033265	0.028689	0.033183	1,472,525	29,709,443
Dec 04, 2020	0.034066	0.034205	0.028918	0.028975	1,385,119	25,941,617
Dec 03, 2020	0.029229	0.035642	0.024545	0.034058	784,726	30,492,501
Dec 02, 2020	0.028696	0.029686	0.023585	0.029233	1,127,424	26,172,511
Dec 01, 2020	0.031230	0.031832	0.023599	0.028702	1,089,899	25,697,630
Nov 30, 2020	0.037896	0.038728	0.021561	0.031231	1,327,917	27,961,733
Nov 29, 2020	0.043066	0.043688	0.029434	0.037898	981,989	33,930,540
Nov 28, 2020	0.045568	0.046983	0.037014	0.043069	977,583	38,559,810
Nov 27, 2020	0.047468	0.048514	0.031465	0.045566	1,162,753	40,795,667
Nov 26, 2020	0.038831	0.052352	0.038646	0.047420	1,057,813	42,455,382
Nov 25, 2020	0.054733	0.062400	0.038480	0.038835	786,402	34,769,329
Nov 24, 2020	0.059066	0.062890	0.038876	0.054733	2,052,891	49,003,043
Nov 23, 2020	0.054742	0.066902	0.053256	0.059079	1,333,839	52,894,058
Nov 22, 2020	0.064534	0.073802	0.050653	0.054789	1,530,088	49,053,003
Nov 21, 2020	0.092127	0.097151	0.059986	0.064533	482,127	57,777,139
Nov 20, 2020	0.081733	0.092672	0.056736	0.092131	2,329,488	82,486,193
Nov 19, 2020	0.074203	0.088141	0.067042	0.081735	1,276,352	73,178,257
Nov 18, 2020	0.088620	0.105603	0.061570	0.074195	1,359,990	66,427,793
Nov 17, 2020	0.100352	0.113527	0.048064	0.088616	41,003.89	79,339,228
Nov 16, 2020	0.082147	0.110932	0.050909	0.095762	703,115	85,736,819
Nov 15, 2020	0.075661	0.133033	0.065616	0.082148	1,259,791	73,547,732
Nov 14, 2020	0.044164	0.098786	0.037688	0.075657	892,138	67,736,662
Nov 13, 2020	0.034874	0.044510	0.030454	0.044164	222,065	39,540,726
Nov 12, 2020	0.032826	0.035154	0.031490	0.034873	435,716	31,222,537
Nov 11, 2020	0.035493	0.040353	0.032434	0.032830	484,783	29,392,606
Nov 10, 2020	0.033150	0.038226	0.030554	0.035496	305,492	31,779,737
Nov 09, 2020	0.038409	0.038819	0.029142	0.033151	277,856	29,680,663
Nov 08, 2020	0.031934	0.040994	0.031831	0.038407	360,209	34,386,284
Nov 07, 2020	0.041342	0.041558	0.025950	0.031934	331,269	28,590,657
