date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.070922	0.074061	0.069185	0.072420	1,562,806	134,184
Dec 15, 2020	0.085304	0.086385	0.070723	0.070931	1,466,408	131,426
Dec 14, 2020	0.078333	0.085545	0.076612	0.085310	1,446,762	158,069
Dec 13, 2020	0.078011	0.093816	0.074251	0.078327	1,456,074	145,130
Dec 12, 2020	0.065746	0.078473	0.065699	0.078020	1,416,771	144,560
Dec 11, 2020	0.088729	0.088773	0.065530	0.065741	1,383,236	121,809
Dec 10, 2020	0.097861	0.097895	0.088727	0.088727	1,445,984	164,399
Dec 09, 2020	0.095089	0.098211	0.090343	0.097859	1,488,959	181,320
Dec 08, 2020	0.116448	0.116564	0.094008	0.095102	1,379,712	176,212
Dec 07, 2020	0.129749	0.130431	0.115779	0.116467	1,526,766	215,799
Dec 06, 2020	0.128240	0.130114	0.127756	0.129726	1,528,809	240,366
Dec 05, 2020	0.118566	0.160291	0.117732	0.128205	1,534,334	237,547
Dec 04, 2020	0.102882	0.120311	0.101318	0.118787	1,284,783	220,097
Dec 03, 2020	0.112055	0.162856	0.098628	0.102872	1,557,403	190,608
Dec 02, 2020	0.119790	0.128825	0.110053	0.112069	1,483,606	207,649
Dec 01, 2020	0.134228	0.137152	0.119526	0.119802	1,493,038	221,978
Nov 30, 2020	0.138636	0.148414	0.132527	0.134211	765,505	248,675
Nov 29, 2020	0.133904	0.142479	0.133061	0.138634	1,460,182	256,870
Nov 28, 2020	0.136726	0.137302	0.127763	0.133913	1,436,177	248,123
Nov 27, 2020	0.144657	0.159705	0.133480	0.136720	1,367,449	253,325
Nov 26, 2020	0.141549	0.145249	0.126573	0.144532	1,381,963	267,799
Nov 25, 2020	0.153440	0.154585	0.140124	0.141573	1,468,102	262,317
Nov 24, 2020	0.166863	0.168395	0.145698	0.153446	1,465,754	284,316
Nov 23, 2020	0.180707	0.182119	0.154080	0.166750	1,484,733	308,966
Nov 22, 2020	0.180895	0.184788	0.164525	0.180717	1,473,290	334,845
Nov 21, 2020	0.169599	0.181130	0.167211	0.180881	1,465,611	335,148
Nov 20, 2020	0.176289	0.181431	0.168623	0.169615	1,439,843	314,274
Nov 19, 2020	0.178659	0.179883	0.169558	0.176287	1,359,794	326,637
Nov 18, 2020	0.159384	0.178831	0.156126	0.178652	1,383,236	331,019
Nov 17, 2020	0.151497	0.164798	0.150367	0.159381	1,358,577	295,312
Nov 16, 2020	0.145532	0.153741	0.145009	0.150794	1,309,630	279,402
Nov 15, 2020	0.149711	0.150295	0.140337	0.145532	1,215,353	269,653
Nov 14, 2020	0.152597	0.152669	0.146276	0.149704	1,087,064	277,382
Nov 13, 2020	0.172703	0.173659	0.139565	0.152597	1,124,155	282,743
Nov 12, 2020	0.165999	0.172958	0.163615	0.172709	1,289,748	320,007
Nov 11, 2020	0.149670	0.167431	0.149339	0.166016	1,287,215	307,607
Nov 10, 2020	0.152571	0.153660	0.149329	0.149661	1,046,856	277,303
Nov 09, 2020	0.150902	0.153120	0.143679	0.152547	1,258,754	282,650
Nov 08, 2020	0.157024	0.165484	0.145626	0.150899	1,245,135	279,596
Nov 07, 2020	0.171294	0.173450	0.156090	0.157023	1,208,384	290,943
Nov 06, 2020	0.172030	0.175839	0.148801	0.171294	1,232,922	317,386
Nov 05, 2020	0.165145	0.173279	0.164142	0.172032	1,209,531	318,753
Nov 04, 2020	0.160896	0.166288	0.159735	0.165121	1,114,332	305,948
Nov 03, 2020	0.160852	0.168083	0.160792	0.160935	2,204,121	298,192
Nov 02, 2020	0.160061	0.176968	0.155309	0.160852	1,092,282	298,037
Nov 01, 2020	0.170034	0.181198	0.150062	0.160061	931,100	296,571
Oct 31, 2020	0.167784	0.185620	0.163655	0.170034	921,792	315,051
Oct 30, 2020	0.183942	0.184619	0.164194	0.168049	17,422.98	311,373
Oct 29, 2020	0.181886	0.185390	0.180015	0.183932	1,146,169	340,803
Oct 28, 2020	0.185635	0.185733	0.170016	0.181882	1,106,373	337,004
Oct 27, 2020	0.172182	0.185825	0.170088	0.185636	1,156,933	343,959
Oct 26, 2020	0.170405	0.173238	0.160116	0.172185	1,108,918	319,036
Oct 25, 2020	0.189584	0.190182	0.166155	0.170405	1,136,273	315,739
Oct 24, 2020	0.181530	0.189759	0.169855	0.189584	555,009	351,275
Oct 23, 2020	0.181913	0.182133	0.180102	0.181530	1,120,742	336,351
Oct 22, 2020	0.174053	0.182029	0.173758	0.181913	1,135,381	337,061
Oct 21, 2020	0.165852	0.174150	0.165173	0.174053	1,119,673	322,498
Oct 20, 2020	0.161815	0.167896	0.160490	0.165852	1,042,672	307,302
Oct 19, 2020	0.138932	0.161858	0.136079	0.161834	1,043,387	299,857
Oct 18, 2020	0.120078	0.138972	0.120067	0.138932	64,189,934	257,422
Oct 17, 2020	0.112605	0.125505	0.112598	0.120078	832,318	222,488
Oct 16, 2020	0.122606	0.122615	0.112523	0.112605	990,686	208,642
Oct 15, 2020	0.111857	0.122621	0.111635	0.122608	1,017,284	227,177
Oct 14, 2020	0.114535	0.118443	0.111849	0.111857	1,034,252	207,257
Oct 13, 2020	0.126659	0.126861	0.114422	0.114534	1,050,181	212,217
Oct 12, 2020	0.127868	0.127949	0.124686	0.126668	1,066,752	234,699
Oct 11, 2020	0.127974	0.128241	0.127843	0.127868	1,038,716	236,924
Oct 10, 2020	0.127970	0.129879	0.127656	0.127974	1,046,850	237,118
Oct 09, 2020	0.126992	0.128496	0.126902	0.127970	1,021,434	237,111
Oct 08, 2020	0.130076	0.130135	0.126961	0.126987	1,012,738	235,291
Oct 07, 2020	0.128692	0.131906	0.127583	0.130076	826,394	241,013
Oct 06, 2020	0.129126	0.129360	0.128620	0.128691	1,012,306	238,448
Oct 05, 2020	0.129175	0.131187	0.128801	0.129126	1,028,851	239,254
Oct 04, 2020	0.123774	0.129215	0.123774	0.129201	1,028,661	239,393
Oct 03, 2020	0.123498	0.127472	0.123439	0.123774	1,008,083	229,337
Oct 02, 2020	0.129204	0.129589	0.120437	0.123498	879,573	228,826
Oct 01, 2020	0.130656	0.131695	0.129144	0.129198	944,371	239,388
Sep 30, 2020	0.120502	0.130684	0.119927	0.130658	1,007,801	242,093
Sep 29, 2020	0.125170	0.125641	0.120315	0.120527	1,061,279	223,320
Sep 28, 2020	0.130344	0.130402	0.124104	0.125175	1,004,717	231,934
Sep 27, 2020	0.131386	0.131458	0.119049	0.130344	1,003,131	241,511
Sep 26, 2020	0.143232	0.143258	0.130823	0.131386	944,975	243,442
Sep 25, 2020	0.127373	0.143252	0.127371	0.143232	979,848	265,391
Sep 24, 2020	0.128099	0.142134	0.125860	0.127377	948,829	236,013
Sep 23, 2020	0.126650	0.146470	0.122717	0.128051	990,785	237,262
Sep 22, 2020	0.113859	0.192370	0.112173	0.129171	974,584	239,375
Sep 21, 2020	0.125113	0.125880	0.112986	0.113979	912,535	211,223
Sep 20, 2020	0.133640	0.133649	0.125083	0.125113	952,879	231,854
Sep 19, 2020	0.120410	0.133655	0.120004	0.133648	962,582	247,467
Sep 18, 2020	0.116537	0.129221	0.115755	0.120403	1,017,668	222,653
Sep 17, 2020	0.119441	0.123552	0.114817	0.116537	995,506	215,233
Sep 16, 2020	0.107170	0.122851	0.106094	0.119441	1,010,237	220,308
Sep 15, 2020	0.113495	0.117271	0.106126	0.107174	952,903	197,425
Sep 14, 2020	0.095809	0.113676	0.095090	0.113495	777,007	208,795
Sep 13, 2020	0.113599	0.127034	0.094703	0.095877	989,792	176,156
Sep 12, 2020	0.113141	0.128657	0.112550	0.113598	1,022,099	208,444
Sep 11, 2020	0.117256	0.118619	0.112353	0.113184	995,735	207,411
Sep 10, 2020	0.101498	0.117549	0.098545	0.117256	1,997,822	214,594
Sep 09, 2020	0.092576	0.101517	0.091871	0.101498	10,416.97	185,509
Sep 08, 2020	0.097727	0.098184	0.092595	0.092600	1,517,108	169,015
Sep 07, 2020	0.097881	0.102170	0.094965	0.096340	429,238	175,625
Sep 06, 2020	0.097355	0.098115	0.085841	0.097877	1,953,639	178,206
Sep 05, 2020	0.097810	0.098566	0.082908	0.097355	12,115.71	177,033
Sep 04, 2020	0.092468	0.102913	0.088494	0.097830	1,015,159	177,677
Sep 03, 2020	0.114646	0.115246	0.092420	0.092437	1,001,532	167,675
Sep 02, 2020	0.122303	0.122467	0.114635	0.114635	1,104,918	207,682
Sep 01, 2020	0.129538	0.133272	0.121594	0.122314	1,147,422	221,317
Aug 31, 2020	0.127686	0.130467	0.126576	0.129612	1,111,052	234,228
Aug 30, 2020	0.129899	0.130743	0.126567	0.127663	1,100,931	230,419
Aug 29, 2020	0.128881	0.131677	0.128630	0.129995	1,342,052	234,333
Aug 28, 2020	0.127708	0.132891	0.126727	0.130909	558,954	235,690
Aug 27, 2020	0.130775	0.132955	0.126405	0.127694	1,048,537	229,614
Aug 26, 2020	0.328684	0.328684	0.128129	0.130826	2,142,102	234,951
Aug 25, 2020	0.141127	0.329703	0.133498	0.328996	34,701.88	590,105
Aug 24, 2020	0.138890	0.187029	0.137601	0.141164	1,125,434	252,880
Aug 23, 2020	0.139796	0.140109	0.135228	0.138971	1,108,911	248,638
Aug 22, 2020	0.145055	0.146861	0.137882	0.139834	1,112,866	249,865
Aug 21, 2020	0.150060	0.155356	0.137894	0.145019	1,098,509	258,805
Aug 20, 2020	0.146574	0.158191	0.146190	0.150081	1,127,975	267,500
Aug 19, 2020	0.147628	0.151411	0.142543	0.146574	1,110,864	260,919
Aug 18, 2020	0.154365	0.155234	0.139529	0.147630	1,133,724	262,466
Aug 17, 2020	0.151639	0.159622	0.147876	0.154375	1,150,976	274,108
Aug 16, 2020	0.140430	0.368287	0.139571	0.151639	1,156,253	268,909
Aug 15, 2020	0.141909	0.143783	0.135472	0.140431	1,135,312	248,714
Aug 14, 2020	0.152916	0.153689	0.137800	0.141866	1,166,917	250,935
Aug 13, 2020	0.140577	0.154170	0.138900	0.152966	1,133,914	270,226
Aug 12, 2020	0.148618	0.365435	0.140542	0.140542	1,083,020	247,959
Aug 11, 2020	0.158224	0.158469	0.143816	0.148619	1,116,270	261,877
Aug 10, 2020	0.161736	0.384574	0.158151	0.158168	1,112,709	278,346
Aug 09, 2020	0.150371	0.161736	0.140844	0.161736	1,108,679	284,229
Aug 08, 2020	0.147261	0.376938	0.145855	0.150288	1,106,699	263,768
Aug 07, 2020	0.146334	0.154116	0.138292	0.147247	1,091,341	258,099
Aug 06, 2020	0.151116	0.154454	0.144707	0.146331	1,109,502	256,163
Aug 05, 2020	0.139637	0.166088	0.139003	0.151116	1,705,644	264,197
Aug 04, 2020	0.159112	0.161819	0.139585	0.139623	1,088,480	243,790
Aug 03, 2020	0.193574	0.195448	0.159045	0.159133	1,110,529	277,496
Aug 02, 2020	0.214441	0.221388	0.193418	0.193559	1,069,350	337,094
Aug 01, 2020	0.394642	0.395918	0.204472	0.214483	2,208,761	373,050
Jul 31, 2020	0.224692	0.395640	0.217760	0.394637	43,884.05	685,496
