date	open	high	low	close	volume	market_cap
Oct 23, 2020	0.001655	0.001661	0.001640	0.001661	0	146,391
Oct 22, 2020	0.001569	0.001681	0.001565	0.001655	0	145,878
Oct 21, 2020	0.001477	0.001603	0.001475	0.001569	0	138,269
Oct 20, 2020	0.001520	0.001523	0.001470	0.001477	0	130,141
Oct 19, 2020	0.001513	0.001533	0.001495	0.001520	0	133,948
Oct 18, 2020	0.001475	0.001514	0.001473	0.001513	0	133,342
Oct 17, 2020	0.001465	0.001479	0.001458	0.001475	0	130,042
Oct 16, 2020	0.001510	0.001520	0.001450	0.001465	0	129,116
Oct 15, 2020	0.001518	0.001525	0.001485	0.001510	0	133,069
Oct 14, 2020	0.001525	0.001549	0.001497	0.001518	0	133,789
Oct 13, 2020	0.001551	0.001551	0.001502	0.001525	0	134,391
Oct 12, 2020	0.001501	0.001580	0.001467	0.001551	0	136,697
Oct 11, 2020	0.001484	0.001509	0.001479	0.001501	0	132,258
Oct 10, 2020	0.001462	0.001513	0.001461	0.001484	0	130,786
Oct 09, 2020	0.001403	0.001473	0.001393	0.001462	0	128,891
Oct 08, 2020	0.001367	0.001409	0.001343	0.001403	0	123,664
Oct 07, 2020	0.001363	0.001370	0.001338	0.001367	0	120,506
Oct 06, 2020	0.001416	0.001420	0.001352	0.001363	0	120,156
Oct 05, 2020	0.001410	0.001421	0.001399	0.001416	0	124,788
Oct 04, 2020	0.001386	0.001416	0.001381	0.001410	0	124,301
Oct 03, 2020	0.001385	0.001405	0.001379	0.001386	0	122,168
Oct 02, 2020	0.001413	0.001416	0.001346	0.001385	0	122,068
Oct 01, 2020	0.001440	0.001477	0.001386	0.001413	0	124,525
Sep 30, 2020	0.001439	0.001445	0.001413	0.001440	0	126,898
Sep 29, 2020	0.001421	0.001441	0.001409	0.001439	0	126,834
Sep 28, 2020	0.001430	0.001466	0.001418	0.001421	0	125,213
Sep 27, 2020	0.001422	0.001448	0.001399	0.001430	0	126,017
Sep 26, 2020	0.001409	0.001423	0.001392	0.001422	0	125,329
Sep 25, 2020	0.001397	0.001431	0.001356	0.001409	0	124,164
Sep 24, 2020	0.001284	0.001406	0.001274	0.001397	0	123,167
Sep 23, 2020	0.001377	0.001379	0.001276	0.001284	0	113,211
Sep 22, 2020	0.001623	0.001623	0.001623	0.001623	0	143,064
Sep 21, 2020	0.001623	0.001623	0.001623	0.001623	0	143,064
Sep 20, 2020	0.001623	0.001623	0.001623	0.001623	0	143,064
Sep 19, 2020	0.001623	0.001623	0.001623	0.001623	0	143,064
Sep 18, 2020	0.001623	0.001623	0.001623	0.001623	0	143,064
Sep 17, 2020	0.001623	0.001623	0.001623	0.001623	0	143,064
Sep 16, 2020	0.001623	0.001623	0.001623	0.001623	0	143,064
Sep 15, 2020	0.001623	0.001623	0.001623	0.001623	0	143,064
