date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.44	1.45	1.38	1.44	486,196	0
Dec 15, 2020	1.44	1.44	1.43	1.44	606,170	0
Dec 14, 2020	1.43	1.44	1.41	1.44	646,895	0
Dec 13, 2020	1.44	1.44	1.41	1.43	321,873	0
Dec 12, 2020	1.44	1.44	1.43	1.43	249,614	0
Dec 11, 2020	1.43	1.44	1.41	1.44	351,686	0
Dec 10, 2020	1.44	1.44	1.42	1.43	254,469	0
Dec 09, 2020	1.44	1.44	1.43	1.44	564,264	0
Dec 08, 2020	1.44	1.44	1.43	1.43	272,378	0
Dec 07, 2020	1.44	1.44	1.42	1.44	190,322	0
Dec 06, 2020	1.44	1.44	1.43	1.44	384,559	0
Dec 05, 2020	1.44	1.44	1.43	1.44	178,610	0
Dec 04, 2020	1.43	1.44	1.42	1.44	268,010	0
Dec 03, 2020	1.43	1.44	1.43	1.43	488,881	0
Dec 02, 2020	1.43	1.44	1.42	1.43	378,923	0
Dec 01, 2020	1.43	1.44	1.41	1.43	766,052	0
Nov 30, 2020	1.43	1.43	1.42	1.42	637,633	0
Nov 29, 2020	1.43	1.43	1.42	1.43	390,765	0
Nov 28, 2020	1.43	1.43	1.42	1.43	496,364	0
Nov 27, 2020	1.43	1.43	1.42	1.43	424,172	0
Nov 26, 2020	1.42	1.43	1.38	1.43	834,309	0
Nov 25, 2020	1.42	1.43	1.40	1.42	433,394	0
Nov 24, 2020	1.42	1.42	1.27	1.42	666,140	0
Nov 23, 2020	1.42	1.43	1.36	1.42	388,713	0
Nov 22, 2020	1.43	1.43	1.41	1.42	257,577	0
Nov 21, 2020	1.42	1.44	1.41	1.43	317,016	0
Nov 20, 2020	1.42	1.43	1.41	1.42	355,914	0
Nov 19, 2020	1.42	1.43	1.41	1.42	330,669	0
Nov 18, 2020	1.42	1.43	1.38	1.42	788,098	0
Nov 17, 2020	1.42	1.43	1.40	1.42	418,957	0
Nov 16, 2020	1.42	1.43	1.41	1.42	417,186	0
Nov 15, 2020	1.42	1.42	1.41	1.42	258,115	0
Nov 14, 2020	1.42	1.42	1.39	1.42	309,658	0
Nov 13, 2020	1.42	1.42	1.40	1.42	376,939	0
Nov 12, 2020	1.42	1.42	1.38	1.42	505,713	0
Nov 11, 2020	1.42	1.42	1.41	1.41	308,155	0
Nov 10, 2020	1.41	1.42	1.40	1.42	466,201	0
Nov 09, 2020	1.42	1.43	1.41	1.41	706,377	0
Nov 08, 2020	1.42	1.43	1.41	1.42	338,911	0
Nov 07, 2020	1.43	1.43	1.40	1.42	817,617	0
Nov 06, 2020	1.42	1.43	1.38	1.43	782,844	0
Nov 05, 2020	1.42	1.42	1.41	1.42	1,187,887	0
Nov 04, 2020	1.42	1.42	1.40	1.42	731,761	0
Nov 03, 2020	1.41	1.42	1.41	1.42	571,825	0
Nov 02, 2020	1.41	1.41	1.40	1.41	556,095	0
Nov 01, 2020	1.41	1.41	1.39	1.41	357,703	0
Oct 31, 2020	1.41	1.41	1.39	1.41	606,804	0
Oct 30, 2020	1.41	1.41	1.41	1.41	592,362	0
Oct 29, 2020	1.41	1.42	1.40	1.41	495,709	0
Oct 28, 2020	1.42	1.42	1.41	1.41	649,186	0
Oct 27, 2020	1.42	1.42	1.41	1.42	451,805	0
Oct 26, 2020	1.42	1.42	1.41	1.42	569,399	0
Oct 25, 2020	1.42	1.42	1.39	1.42	425,559	0
Oct 24, 2020	1.42	1.42	1.41	1.42	375,803	0
Oct 23, 2020	1.42	1.42	1.41	1.42	292,235	0
Oct 22, 2020	1.43	1.44	1.41	1.42	621,338	0
Oct 21, 2020	1.42	1.43	1.41	1.43	1,064,471	0
Oct 20, 2020	1.41	1.42	1.41	1.42	614,707	0
Oct 19, 2020	1.41	1.42	1.41	1.41	414,268	0
Oct 18, 2020	1.41	1.41	1.41	1.41	234,689	0
Oct 17, 2020	1.41	1.41	1.33	1.41	186,702	0
Oct 16, 2020	1.41	1.41	1.39	1.41	499,690	0
Oct 15, 2020	1.42	1.42	1.37	1.41	431,746	0
Oct 14, 2020	1.41	1.42	1.40	1.42	218,100	0
Oct 13, 2020	1.52	1.52	1.38	1.41	13,856.91	0
Oct 12, 2020	1.49	1.54	1.46	1.52	0	0
Oct 11, 2020	1.48	1.49	1.47	1.49	0	0
Oct 10, 2020	1.42	1.49	1.42	1.48	0	0
Oct 09, 2020	1.40	1.44	1.40	1.42	16,388.81	0
Oct 08, 2020	1.41	1.42	0.434156	1.40	123,065	0
Oct 07, 2020	1.41	1.42	1.41	1.41	4,511.45	0
