date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.007671	0.011927	0.007647	0.011926	25.42	0
Dec 15, 2020	0.015079	0.015234	0.007660	0.007672	57.00	0
Dec 14, 2020	0.015081	0.015089	0.015074	0.015079	87.99	0
Dec 13, 2020	0.015088	0.015091	0.015080	0.015082	88.00	0
Dec 12, 2020	0.015088	0.015094	0.015087	0.015089	88.04	0
Dec 11, 2020	0.012149	0.015168	0.012128	0.015088	88.04	0
Dec 10, 2020	0.008905	0.013110	0.008898	0.012149	59.74	0
Dec 09, 2020	0.008900	0.008912	0.008900	0.008905	19.34	0
Dec 08, 2020	0.008756	0.008906	0.008748	0.008901	19.33	0
Dec 07, 2020	0.008754	0.008766	0.007741	0.008756	125.72	0
Dec 06, 2020	0.008321	0.009808	0.008319	0.008754	54.74	0
Dec 05, 2020	0.008318	0.008323	0.008316	0.008321	61.58	0
Dec 04, 2020	0.008321	0.008326	0.008315	0.008318	61.56	0
Dec 03, 2020	0.008318	0.008324	0.008317	0.008321	61.58	0
Dec 02, 2020	0.008322	0.008324	0.008314	0.008318	61.55	0
Dec 01, 2020	0.008313	0.008325	0.008309	0.008321	61.58	0
Nov 30, 2020	0.008739	0.008745	0.007720	0.008313	61.52	0
Nov 29, 2020	0.008588	0.008741	0.007890	0.008739	111.23	0
Nov 28, 2020	0.007235	0.008590	0.007181	0.008588	102.94	0
Nov 27, 2020	0.008101	0.008268	0.007231	0.007235	45.52	0
Nov 26, 2020	0.008086	0.008104	0.008083	0.008100	103.79	0
Nov 25, 2020	0.008270	0.008279	0.008085	0.008086	103.60	0
Nov 24, 2020	0.009813	0.009828	0.008263	0.008270	108.98	0
Nov 23, 2020	0.010158	0.010174	0.009802	0.009813	51.26	0
Nov 22, 2020	0.012997	0.013000	0.010096	0.010158	109.95	0
Nov 21, 2020	0.016865	0.016866	0.010432	0.012997	81.05	0
Nov 20, 2020	0.015645	0.016872	0.015602	0.016865	95.62	0
Nov 19, 2020	0.015721	0.015721	0.015447	0.015645	3,907.85	0
Nov 18, 2020	0.015750	0.015805	0.015715	0.015721	3,877.82	0
Nov 17, 2020	0.015732	0.015771	0.015730	0.015750	3,886.10	0
Nov 16, 2020	0.015719	0.015757	0.015675	0.015729	3,881.01	0
Nov 15, 2020	0.015722	0.015722	0.015710	0.015719	3,874.87	0
Nov 14, 2020	0.015726	0.015726	0.015642	0.015722	3,896.24	0
Nov 13, 2020	0.016022	0.016261	0.015726	0.015726	3,896.13	0
Nov 12, 2020	0.015712	0.017909	0.014816	0.016019	2,706.35	0
Nov 11, 2020	0.015687	0.015755	0.015671	0.015712	2,503.68	0
Nov 10, 2020	0.015618	0.015715	0.015618	0.015687	2,489.90	0
Nov 09, 2020	0.015681	0.015819	0.015606	0.015619	2,477.22	0
Nov 08, 2020	0.015811	0.016167	0.015452	0.015681	2,716.05	0
Nov 07, 2020	0.015896	0.015904	0.015406	0.015811	39,766.01	0
Nov 06, 2020	0.014675	0.016109	0.014663	0.015896	31,233.19	0
Nov 05, 2020	0.014713	0.015646	0.014145	0.014675	44,958.33	0
Nov 04, 2020	0.013224	0.014965	0.012563	0.014713	37,316.88	0
Nov 03, 2020	0.014869	0.015267	0.012709	0.013224	44,777.47	0
Nov 02, 2020	0.010206	0.015947	0.010206	0.014870	18,317.26	0
Nov 01, 2020	0.010205	0.010208	0.010204	0.010206	20,529.42	0
Oct 31, 2020	0.011673	0.011678	0.010197	0.010205	20,527.55	0
