date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.021102	0.022806	0.020922	0.022806	0	59,464.21
Dec 15, 2020	0.018670	0.021258	0.018507	0.021104	0	54,977.28
Dec 14, 2020	0.036942	0.123082	0.018555	0.018678	5.09	48,612.55
Dec 13, 2020	0.036107	0.037406	0.035970	0.036953	7.17	96,083.29
Dec 12, 2020	0.288918	0.293477	0.036067	0.036092	180.79	93,766.51
Dec 11, 2020	0.023743	0.290455	0.022905	0.289145	1,445.49	750,476
Dec 10, 2020	0.123801	0.123804	0.023344	0.023754	2.58	61,597.49
Dec 09, 2020	0.122117	0.124285	0.119659	0.123871	0	320,884
Dec 08, 2020	0.128224	0.128775	0.121737	0.122108	0	314,703
Dec 07, 2020	0.129347	0.129779	0.126504	0.128235	0	330,495
Dec 06, 2020	0.128058	0.129624	0.126329	0.129305	0	333,253
Dec 05, 2020	0.124941	0.128071	0.124183	0.128055	0	330,030
Dec 04, 2020	0.015362	0.125317	0.014775	0.124955	0	322,041
Dec 03, 2020	0.036482	0.036919	0.015206	0.015364	10.97	39,582.51
Dec 02, 2020	0.018991	0.036545	0.018531	0.036485	19.20	93,893.77
Dec 01, 2020	0.097661	0.344390	0.018951	0.018992	2.10	48,832.16
Nov 30, 2020	0.032719	0.140900	0.024944	0.097666	886.38	250,880
Nov 29, 2020	0.031891	0.032909	0.031606	0.032721	76.27	83,975.47
Nov 28, 2020	0.112719	0.113237	0.019250	0.031892	173.66	81,767.05
Nov 27, 2020	0.112987	0.114948	0.108865	0.112720	0	288,732
Nov 26, 2020	0.021519	0.118462	0.018607	0.112952	0	289,082
Nov 25, 2020	0.028054	0.127518	0.020849	0.021529	55.67	55,037.40
Nov 24, 2020	0.122633	0.124443	0.025613	0.028033	51.95	71,600.41
Nov 23, 2020	0.001837	0.122804	0.001800	0.122504	0	312,599
Nov 22, 2020	0.022551	0.022750	0.001837	0.001837	152.80	4,683.66
Nov 21, 2020	0.139455	0.141821	0.018948	0.022551	107.54	57,438.13
Nov 20, 2020	0.053451	0.140568	0.053297	0.139460	0	354,886
Nov 19, 2020	0.032047	0.054359	0.031710	0.053453	53.39	135,897
Nov 18, 2020	0.121900	0.126818	0.031235	0.032044	2.13	81,387.27
Nov 17, 2020	0.117140	0.122801	0.019877	0.121895	0	309,271
Nov 16, 2020	0.023933	0.117681	0.023821	0.117257	0	297,202
Nov 15, 2020	0.112847	0.113314	0.023690	0.023933	26.92	60,611.03
Nov 14, 2020	0.114562	0.114564	0.110695	0.112841	0	285,505
Nov 13, 2020	0.024415	0.114704	0.023988	0.114562	0	289,588
Nov 12, 2020	0.023552	0.113451	0.023302	0.024414	0.292740	61,656.72
Nov 11, 2020	0.022936	0.108866	0.022935	0.023555	15.67	59,430.56
Nov 10, 2020	0.024533	0.024703	0.022687	0.022938	11.47	57,804.25
Nov 09, 2020	0.054178	0.054485	0.022298	0.024539	25.16	61,786.14
Nov 08, 2020	0.105527	0.107349	0.015069	0.054176	404.49	136,283
Nov 07, 2020	0.026462	0.109487	0.025821	0.105526	0	265,205
Nov 06, 2020	0.111561	0.113853	0.025886	0.026462	2.65	66,441.43
Nov 05, 2020	0.015728	0.112438	0.015660	0.111401	0	279,448
Nov 04, 2020	0.113999	0.114000	0.015484	0.015727	0.062891	39,414.77
Nov 03, 2020	0.025610	0.114031	0.025185	0.113997	2.33	285,367
Nov 02, 2020	0.105853	0.106398	0.025609	0.025609	31.80	64,047.21
Nov 01, 2020	0.048234	0.106649	0.047699	0.105673	0	264,035
Oct 31, 2020	0.095630	0.096218	0.007808	0.048227	60.76	120,386
Oct 30, 2020	0.095068	0.096357	0.092923	0.095773	0	238,848
Oct 29, 2020	0.020571	0.095707	0.020119	0.095145	0	237,062
Oct 28, 2020	0.030722	0.100002	0.020328	0.020575	33.00	51,215.62
Oct 27, 2020	0.092340	0.096218	0.029468	0.030723	11.29	76,386.44
Oct 26, 2020	0.092079	0.093398	0.090589	0.092336	0	229,362
Oct 25, 2020	0.019269	0.092247	0.019040	0.092080	0	228,508
Oct 24, 2020	0.091368	0.091828	0.018983	0.019269	290.28	47,703.41
Oct 23, 2020	0.019035	0.091602	0.015156	0.091371	0	226,202
Oct 22, 2020	0.044883	0.045203	0.019035	0.019035	88.53	47,033.82
Oct 21, 2020	0.046355	0.137946	0.044800	0.044883	0.065401	110,900
Oct 20, 2020	0.046851	0.130536	0.026319	0.046355	137.79	114,467
Oct 19, 2020	0.045819	0.047078	0.045519	0.046851	120.42	115,583
Oct 18, 2020	0.125453	0.126431	0.045397	0.045819	0.278012	112,928
