date	open	high	low	close	volume	market_cap
Dec 16, 2020	3.34	3.34	2.55	2.92	891.88	0
Dec 15, 2020	4.75	5.11	3.25	3.34	3,045.66	0
Dec 14, 2020	7.17	7.79	4.75	4.75	2,555.55	0
Dec 13, 2020	8.64	10.14	6.30	7.17	10,357.55	0
Dec 12, 2020	8.82	8.90	8.18	8.64	538.53	0
Dec 11, 2020	9.37	9.64	2.92	8.82	18,182.56	0
Dec 10, 2020	9.66	9.83	9.34	9.37	289.37	0
Dec 09, 2020	8.03	9.70	7.71	9.66	747.14	0
Dec 08, 2020	8.62	8.84	7.99	8.03	587.59	0
Dec 07, 2020	7.86	9.48	7.71	8.62	2,125.27	0
Dec 06, 2020	8.64	9.70	7.54	7.86	1,982.07	0
Dec 05, 2020	9.65	10.05	8.56	8.64	790.46	0
Dec 04, 2020	10.36	10.37	9.61	9.65	37.33	0
Dec 03, 2020	11.38	11.52	9.94	10.36	1,012.30	0
Dec 02, 2020	10.41	11.42	10.24	11.38	599.82	0
Dec 01, 2020	14.39	14.84	10.24	10.41	2,322.40	0
Nov 30, 2020	14.39	14.77	12.35	14.39	1,432.04	0
Nov 29, 2020	15.05	15.05	13.76	14.39	166.36	0
Nov 28, 2020	15.30	15.31	13.62	15.05	832.82	0
Nov 27, 2020	13.55	15.29	13.13	15.29	668.92	0
Nov 26, 2020	15.24	15.24	12.46	13.54	42.97	0
Nov 25, 2020	17.26	17.26	12.62	15.24	2,966.57	0
Nov 24, 2020	17.00	17.54	16.74	17.26	224.98	0
Nov 23, 2020	15.98	17.01	15.81	17.00	378.05	0
Nov 22, 2020	15.84	16.55	14.86	15.98	33.71	0
Nov 21, 2020	12.50	15.84	11.46	15.84	2,099.16	0
Nov 20, 2020	12.98	13.71	9.40	12.50	3,929.83	0
Nov 19, 2020	15.40	15.45	9.45	12.98	8,343.85	0
Nov 18, 2020	14.27	15.83	13.90	15.40	5,903.80	0
Nov 17, 2020	13.49	15.30	8.70	14.27	9,831.18	0
Nov 16, 2020	11.84	14.17	10.82	13.28	2,148.02	0
Nov 15, 2020	11.88	12.24	8.97	11.84	5,666.99	0
Nov 14, 2020	12.21	12.23	11.71	11.88	5.39	0
Nov 13, 2020	11.58	12.44	8.57	12.20	8,147.79	0
Nov 12, 2020	12.76	12.78	11.41	11.59	273.89	0
Nov 11, 2020	12.31	13.01	12.31	12.76	4.36	0
Nov 10, 2020	12.19	12.45	12.10	12.32	0	0
Nov 09, 2020	13.37	19.21	7.25	12.19	19,895.98	0
Nov 08, 2020	13.31	13.96	13.21	13.37	197.19	0
Nov 07, 2020	13.31	13.62	6.77	13.29	6,738.37	0
Nov 06, 2020	11.35	13.38	6.91	13.31	5,817.43	0
Nov 05, 2020	11.56	11.63	10.69	11.35	181.89	0
Nov 04, 2020	11.73	11.73	10.72	11.56	554.61	0
Nov 03, 2020	15.07	15.07	11.38	11.73	64.49	0
Nov 02, 2020	11.28	15.21	10.95	15.07	2,069.66	0
Nov 01, 2020	10.96	11.32	10.93	11.28	15.28	0
Oct 31, 2020	10.18	11.12	10.17	10.96	3.60	0
Oct 30, 2020	11.70	11.70	9.14	10.18	901.85	0
Oct 29, 2020	11.58	11.90	11.22	11.70	274.96	0
Oct 28, 2020	10.14	12.25	10.13	11.58	0	0
Oct 27, 2020	9.87	10.28	9.81	10.14	0	0
Oct 26, 2020	10.19	10.40	9.65	9.87	0	0
Oct 25, 2020	10.33	10.45	10.18	10.19	0	0
Oct 24, 2020	10.25	10.43	10.24	10.33	0	0
Oct 23, 2020	9.36	10.54	9.36	10.25	0	0
Oct 22, 2020	8.39	10.58	8.39	9.36	1,989.28	0
Oct 21, 2020	11.10	11.11	6.65	8.39	17,954.00	0
Oct 20, 2020	11.52	11.52	10.97	11.10	459.02	0
Oct 19, 2020	10.95	12.77	10.83	11.52	2,197.45	0
Oct 18, 2020	10.20	10.96	10.20	10.95	188.23	0
Oct 17, 2020	10.35	10.51	9.78	10.21	675.71	0
Oct 16, 2020	12.19	12.19	10.35	10.35	745.03	0
Oct 15, 2020	9.51	12.27	9.51	12.19	1,821.39	0
Oct 14, 2020	9.88	10.54	9.02	9.51	1,675.80	0
Oct 13, 2020	11.19	11.34	9.78	9.88	1,442.16	0
Oct 12, 2020	10.70	11.28	10.50	11.19	486.21	0
Oct 11, 2020	10.81	10.81	10.34	10.70	946.17	0
Oct 10, 2020	10.70	10.85	10.52	10.81	269.52	0
