date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.019956	0.021299	0.019429	0.020493	1,280.00	1,271,491
Dec 15, 2020	0.020936	0.021217	0.018050	0.019957	1,168.22	1,238,230
Dec 14, 2020	0.020149	0.020998	0.018047	0.020945	402.66	1,299,514
Dec 13, 2020	0.020096	0.020760	0.017891	0.020155	536.86	1,250,508
Dec 12, 2020	0.020771	0.021153	0.019698	0.020088	811.46	1,246,348
Dec 11, 2020	0.020096	0.021083	0.019000	0.020787	402.55	1,289,694
Dec 10, 2020	0.020643	0.022549	0.017029	0.020102	541.02	1,247,200
Dec 09, 2020	0.019341	0.020900	0.019024	0.020653	442.63	1,281,386
Dec 08, 2020	0.019809	0.020899	0.017240	0.019349	1,533.62	1,200,426
Dec 07, 2020	0.020277	0.022167	0.018394	0.019812	1,078.77	1,229,165
Dec 06, 2020	0.025939	0.026628	0.018767	0.020276	3,196.02	1,257,906
Dec 05, 2020	0.019769	0.028060	0.019671	0.025933	4,468.76	1,608,831
Dec 04, 2020	0.019865	0.021042	0.019077	0.019821	2,153.31	1,229,671
Dec 03, 2020	0.015181	0.020206	0.014236	0.019861	676.06	1,232,124
Dec 02, 2020	0.019493	0.020247	0.015096	0.015182	0	941,842
Dec 01, 2020	0.020803	0.021035	0.018143	0.019494	293.50	1,209,367
Nov 30, 2020	0.019758	0.021407	0.017500	0.020805	669.36	1,290,633
Nov 29, 2020	0.017307	0.019868	0.017000	0.019759	773.44	1,225,750
Nov 28, 2020	0.018645	0.019430	0.017307	0.017307	204.91	1,073,641
Nov 27, 2020	0.019434	0.019845	0.017188	0.018645	1,703.63	1,156,640
Nov 26, 2020	0.018280	0.022069	0.017000	0.019413	592.27	1,204,285
Nov 25, 2020	0.020922	0.022149	0.017824	0.018285	0	1,134,255
Nov 24, 2020	0.021907	0.022246	0.017000	0.020908	1,205.32	1,296,962
Nov 23, 2020	0.019787	0.022914	0.019687	0.021889	749.66	1,357,787
Nov 22, 2020	0.021788	0.022440	0.019320	0.019787	12.66	1,227,386
Nov 21, 2020	0.021750	0.022858	0.019585	0.021787	882.56	1,351,466
Nov 20, 2020	0.021379	0.022418	0.014821	0.021751	1,244.92	1,349,185
Nov 19, 2020	0.018527	0.029177	0.017892	0.021380	4,198.52	1,326,149
Nov 18, 2020	0.021515	0.021516	0.018532	0.018532	19.43	1,149,497
Nov 17, 2020	0.020137	0.022375	0.017812	0.021539	897.65	1,335,938
Nov 16, 2020	0.013433	0.020392	0.009197	0.020297	619.84	1,258,975
Nov 15, 2020	0.020722	0.025853	0.011162	0.013438	1,253.63	833,506
Nov 14, 2020	0.018577	0.021963	0.017052	0.020732	584.06	1,285,944
Nov 13, 2020	0.020476	0.024401	0.018324	0.018576	423.87	1,152,231
Nov 12, 2020	0.021646	0.022334	0.017614	0.020479	1,360.37	1,270,225
Nov 11, 2020	0.019901	0.022415	0.018489	0.021635	454.16	1,341,889
Nov 10, 2020	0.021308	0.022287	0.019636	0.019898	6.96	1,225,593
Nov 09, 2020	0.021208	0.024726	0.020649	0.021309	1,056.32	1,303,349
Nov 08, 2020	0.023103	0.033205	0.019880	0.021208	679.72	1,297,158
Nov 07, 2020	0.023857	0.024755	0.019605	0.023103	719.16	1,413,021
Nov 06, 2020	0.025409	0.025453	0.019027	0.023857	964.55	1,459,091
Nov 05, 2020	0.019645	0.027092	0.019008	0.025409	1,114.61	1,554,021
Nov 04, 2020	0.019108	0.019695	0.018776	0.019637	298.44	1,200,998
Nov 03, 2020	0.018870	0.019421	0.018042	0.019064	379.04	1,165,950
Nov 02, 2020	0.017469	0.019546	0.017469	0.018882	643.00	1,154,745
Nov 01, 2020	0.017606	0.019297	0.017180	0.017441	361.96	1,066,612
Oct 31, 2020	0.018855	0.019163	0.017599	0.017603	469.14	1,076,539
Oct 30, 2020	0.019351	0.020004	0.017261	0.018856	67.80	1,153,148
Oct 29, 2020	0.018315	0.019994	0.017619	0.019367	314.66	1,184,421
Oct 28, 2020	0.017642	0.019764	0.016834	0.018318	433.09	1,120,271
Oct 27, 2020	0.018139	0.019024	0.017272	0.017626	656.64	1,077,891
Oct 26, 2020	0.019000	0.020305	0.014479	0.018137	765.39	1,109,189
Oct 25, 2020	0.018481	0.023079	0.016645	0.019000	141.49	1,161,905
Oct 24, 2020	0.017174	0.023117	0.016052	0.018481	1,027.17	1,130,176
Oct 23, 2020	0.022846	0.023111	0.016176	0.017170	559.22	1,049,958
Oct 22, 2020	0.022017	0.023009	0.017885	0.022846	22.92	1,397,042
Oct 21, 2020	0.018947	0.022957	0.018922	0.022017	1,442.57	1,346,382
Oct 20, 2020	0.021018	0.021359	0.018636	0.018947	290.53	1,158,615
Oct 19, 2020	0.018488	0.021074	0.018157	0.021018	4.70	1,285,266
Oct 18, 2020	0.017590	0.019000	0.017310	0.018488	315.98	1,130,545
Oct 17, 2020	0.018944	0.019000	0.016335	0.017590	1,594.20	1,075,634
Oct 16, 2020	0.018667	0.020067	0.017288	0.018944	0	1,158,370
Oct 15, 2020	0.019316	0.020018	0.017515	0.018667	703.66	1,141,429
Oct 14, 2020	0.019230	0.020115	0.017403	0.019316	716.14	1,181,098
Oct 13, 2020	0.017217	0.021388	0.016869	0.019230	943.58	1,175,849
Oct 12, 2020	0.020827	0.021510	0.017199	0.017217	3.46	1,052,773
Oct 11, 2020	0.020350	0.020954	0.019244	0.020827	534.07	1,273,471
