date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000001	0.000002	0.000001	0.000002	0	127,455
Dec 15, 2020	0.000001	0.000001	0.000001	0.000001	0	118,070
Dec 14, 2020	0.000001	0.000001	0.000001	0.000001	0	117,393
Dec 13, 2020	0.000001	0.000001	0.000001	0.000001	0	118,117
Dec 12, 2020	0.000001	0.000001	0.000001	0.000001	0	113,923
Dec 11, 2020	0.000001	0.000001	0.000001	0.000001	0	109,330
Dec 10, 2020	0.000001	0.000001	0.000001	0.000001	0	112,124
Dec 09, 2020	0.000001	0.000001	0.000001	0.000001	0	114,879
Dec 08, 2020	0.000001	0.000001	0.000001	0.000001	0	111,121
Dec 07, 2020	0.000001	0.000001	0.000001	0.000001	0	118,579
Dec 06, 2020	0.000001	0.000001	0.000001	0.000001	0	120,536
Dec 05, 2020	0.000001	0.000001	0.000001	0.000001	0	119,495
Dec 04, 2020	0.000001	0.000001	0.000001	0.000001	0	114,082
Dec 03, 2020	0.000001	0.000001	0.000001	0.000001	0	123,556
Dec 02, 2020	0.000001	0.000001	0.000001	0.000001	0	119,874
Dec 01, 2020	0.000001	0.000002	0.000001	0.000001	0	117,702
Nov 30, 2020	0.000001	0.000001	0.000001	0.000001	0	123,146
Nov 29, 2020	0.000001	0.000001	0.000001	0.000001	0	115,349
Nov 28, 2020	0.000001	0.000001	0.000001	0.000001	0	107,842
Nov 27, 2020	0.000001	0.000001	0.000001	0.000001	0	103,654
Nov 26, 2020	0.000001	0.000001	0.000001	0.000001	0	103,900
Nov 25, 2020	0.000001	0.000001	0.000001	0.000001	0	114,352
Nov 24, 2020	0.000001	0.000001	0.000001	0.000001	0	120,963
Nov 23, 2020	0.000001	0.000001	0.000001	0.000001	0	121,920
Nov 22, 2020	0.000001	0.000001	0.000001	0.000001	0	111,806
Nov 21, 2020	0.000001	0.000001	0.000001	0.000001	0	110,076
Nov 20, 2020	0.000001	0.000001	0.000001	0.000001	0	102,121
Nov 19, 2020	0.000001	0.000001	0.000001	0.000001	0	94,484.20
Nov 18, 2020	0.000001	0.000001	0.000001	0.000001	0	96,044.64
Nov 17, 2020	0.000001	0.000001	0.000001	0.000001	0	96,226.47
Nov 16, 2020	0.000001	0.000001	0.000001	0.000001	0	92,132.98
Nov 15, 2020	0.000001	0.000001	0.000001	0.000001	0	89,659.66
Nov 14, 2020	0.000001	0.000001	0.000001	0.000001	0	92,177.29
Nov 13, 2020	0.000001	0.000001	0.000001	0.000001	0	95,081.79
Nov 12, 2020	0.000001	0.000001	0.000001	0.000001	0	92,352.07
