date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.017315	0.017322	0.016595	0.016746	2,253,820	0
Dec 15, 2020	0.017210	0.017598	0.016973	0.017316	2,631,762	0
Dec 14, 2020	0.017180	0.017673	0.017026	0.017210	3,199,967	0
Dec 13, 2020	0.017185	0.017354	0.017074	0.017180	1,363,546	0
Dec 12, 2020	0.016859	0.017268	0.016443	0.017185	848,001	0
Dec 11, 2020	0.017585	0.017722	0.016855	0.016855	1,235,101	0
Dec 10, 2020	0.016978	0.017659	0.016739	0.017580	802,730	0
Dec 09, 2020	0.017570	0.017700	0.015814	0.016978	1,322,235	0
Dec 08, 2020	0.017868	0.018128	0.017552	0.017570	1,630,870	0
Dec 07, 2020	0.017517	0.018205	0.017424	0.017866	1,437,364	0
Dec 06, 2020	0.017500	0.017639	0.017266	0.017517	1,408,955	0
Dec 05, 2020	0.017452	0.017682	0.017331	0.017503	894,944	0
Dec 04, 2020	0.017493	0.018028	0.017256	0.017449	1,444,909	0
Dec 03, 2020	0.017247	0.017986	0.016645	0.017493	919,968	0
Dec 02, 2020	0.016381	0.017406	0.015993	0.017247	1,674,754	0
Dec 01, 2020	0.015737	0.016443	0.015077	0.016381	2,051,119	0
Nov 30, 2020	0.016239	0.016239	0.015505	0.015738	2,004,667	0
Nov 29, 2020	0.016196	0.016679	0.015482	0.016239	1,254,023	0
Nov 28, 2020	0.016132	0.016327	0.015513	0.016196	1,105,428	0
Nov 27, 2020	0.016278	0.016669	0.015580	0.016132	749,713	0
Nov 26, 2020	0.016602	0.017207	0.015494	0.016272	1,213,560	0
Nov 25, 2020	0.016737	0.017358	0.016113	0.016610	1,299,347	0
Nov 24, 2020	0.018273	0.018400	0.016586	0.016723	1,676,062	0
Nov 23, 2020	0.018787	0.019679	0.018233	0.018296	1,518,352	0
Nov 22, 2020	0.018743	0.019681	0.018248	0.018787	971,583	0
Nov 21, 2020	0.019932	0.020185	0.018605	0.018743	1,588,083	0
Nov 20, 2020	0.020377	0.020490	0.019828	0.019932	1,154,961	0
Nov 19, 2020	0.020789	0.020818	0.019929	0.020377	1,331,276	0
Nov 18, 2020	0.021368	0.021464	0.020336	0.020788	1,375,660	0
Nov 17, 2020	0.021271	0.022140	0.020417	0.021368	1,374,066	0
Nov 16, 2020	0.022000	0.022000	0.019714	0.021087	1,474,366	0
Nov 15, 2020	0.022077	0.022505	0.021623	0.022000	981,706	0
Nov 14, 2020	0.020622	0.022460	0.020608	0.022077	1,000,777	0
Nov 13, 2020	0.020353	0.020636	0.020067	0.020622	1,542,381	0
Nov 12, 2020	0.019917	0.020605	0.019385	0.020350	1,826,477	0
Nov 11, 2020	0.018217	0.020541	0.018217	0.019917	1,801,535	0
Nov 10, 2020	0.018061	0.018387	0.017887	0.018217	816,693	0
Nov 09, 2020	0.017670	0.018388	0.017610	0.018061	1,472,652	0
Nov 08, 2020	0.017163	0.017681	0.017163	0.017670	802,216	0
Nov 07, 2020	0.017009	0.017716	0.016871	0.017163	1,063,304	0
Nov 06, 2020	0.016498	0.017623	0.016119	0.017009	1,172,116	0
Nov 05, 2020	0.017362	0.017376	0.016090	0.016498	1,324,102	0
Nov 04, 2020	0.016853	0.017553	0.016330	0.017362	1,657,474	0
Nov 03, 2020	0.015896	0.017385	0.015895	0.016853	1,579,222	0
Nov 02, 2020	0.014916	0.016183	0.014831	0.015897	2,241,533	0
Nov 01, 2020	0.014434	0.014951	0.014365	0.014916	1,061,570	0
Oct 31, 2020	0.014432	0.014671	0.014119	0.014434	1,379,558	0
Oct 30, 2020	0.014485	0.014733	0.014328	0.014432	1,193,047	0
Oct 29, 2020	0.014458	0.014890	0.014148	0.014484	815,152	0
Oct 28, 2020	0.014880	0.014973	0.013851	0.014457	1,625,872	0
Oct 27, 2020	0.015106	0.016699	0.014812	0.014879	2,845,626	0
Oct 26, 2020	0.014767	0.015380	0.014647	0.015106	2,682,077	0
Oct 25, 2020	0.015119	0.015156	0.014651	0.014767	788,437	0
Oct 24, 2020	0.015046	0.015277	0.014838	0.015119	666,923	0
Oct 23, 2020	0.015272	0.015605	0.014788	0.015046	614,397	0
Oct 22, 2020	0.015964	0.015964	0.014963	0.015319	986,819	0
Oct 21, 2020	0.016094	0.016478	0.015189	0.015619	1,231,843	0
Oct 20, 2020	0.016781	0.016859	0.015043	0.016135	2,078,887	0
Oct 19, 2020	0.017455	0.017698	0.016353	0.016760	1,835,763	0
Oct 18, 2020	0.017165	0.018293	0.017038	0.017456	961,236	0
Oct 17, 2020	0.018247	0.018450	0.016215	0.017171	1,722,097	0
Oct 16, 2020	0.018467	0.018846	0.018167	0.018247	1,632,421	0
Oct 15, 2020	0.018529	0.019911	0.017874	0.018494	1,707,337	0
Oct 14, 2020	0.019187	0.021010	0.017771	0.018530	2,294,882	0
Oct 13, 2020	0.021056	0.021452	0.019198	0.019218	2,735,371	0
Oct 12, 2020	0.016921	0.023516	0.016626	0.020962	10,662,815	0
Oct 11, 2020	0.015894	0.016963	0.014960	0.016914	2,324,818	0
Oct 10, 2020	0.015160	0.016654	0.014849	0.015932	2,288,592	0
Oct 09, 2020	0.014092	0.015521	0.014019	0.015131	1,025,099	0
Oct 08, 2020	0.013392	0.014276	0.013303	0.014070	1,007,002	0
Oct 07, 2020	0.013066	0.013443	0.012988	0.013393	639,592	0
Oct 06, 2020	0.013940	0.013943	0.012673	0.013053	1,663,437	0
Oct 05, 2020	0.014653	0.014715	0.013875	0.013955	1,891,636	0
Oct 04, 2020	0.014494	0.014871	0.013870	0.014650	1,613,045	0
Oct 03, 2020	0.014694	0.015127	0.014401	0.014494	1,286,408	0
Oct 02, 2020	0.014380	0.015244	0.014173	0.014694	1,209,003	0
Oct 01, 2020	0.015349	0.016435	0.013863	0.014380	11,737,396	0
Sep 30, 2020	0.014603	0.015723	0.014549	0.015349	2,156,743	0
Sep 29, 2020	0.014495	0.015280	0.014118	0.014574	3,639,737	0
Sep 28, 2020	0.014619	0.015594	0.014457	0.014501	7,815,163	0
Sep 27, 2020	0.013920	0.014580	0.013733	0.014534	5,735,408	0
Sep 26, 2020	0.013417	0.014037	0.013409	0.013918	3,960,617	0
Sep 25, 2020	0.013299	0.013573	0.013159	0.013372	4,682,303	0
Sep 24, 2020	0.012747	0.013371	0.012705	0.013172	5,349,557	0
Sep 23, 2020	0.012560	0.013573	0.012560	0.012763	6,143,698	0
Sep 22, 2020	0.011764	0.012860	0.011761	0.012562	3,859,889	0
Sep 21, 2020	0.012674	0.012758	0.011659	0.011758	7,397,542	0
Sep 20, 2020	0.012803	0.013054	0.012398	0.012674	5,201,106	0
Sep 19, 2020	0.013429	0.013829	0.012760	0.012802	1,427,832	0
Sep 18, 2020	0.011844	0.013524	0.011844	0.013405	986,199	0
Sep 17, 2020	0.011767	0.011891	0.011625	0.011844	5,425,718	0
Sep 16, 2020	0.011773	0.012042	0.011611	0.011767	6,517,896	0
Sep 15, 2020	0.011691	0.012174	0.011631	0.011773	6,427,362	0
Sep 14, 2020	0.011732	0.011843	0.011425	0.011691	5,905,088	0
Sep 13, 2020	0.011624	0.012033	0.011510	0.011790	6,239,316	0
Sep 12, 2020	0.011571	0.011821	0.011551	0.011631	5,892,431	0
Sep 11, 2020	0.011598	0.011813	0.011448	0.011571	3,524,156	0
Sep 10, 2020	0.011303	0.011951	0.011205	0.011598	6,005,890	0
Sep 09, 2020	0.011044	0.011748	0.010758	0.011303	3,905,538	0
Sep 08, 2020	0.011678	0.011685	0.011033	0.011057	4,196,587	0
Sep 07, 2020	0.010829	0.011670	0.010734	0.011639	3,350,840	0
Sep 06, 2020	0.010994	0.011103	0.010719	0.010830	3,709,262	0
Sep 05, 2020	0.011185	0.011580	0.010758	0.010994	4,930,086	0
Sep 04, 2020	0.011225	0.011771	0.010312	0.011183	3,517,281	0
Sep 03, 2020	0.012718	0.012803	0.011247	0.011247	5,675,866	0
Sep 02, 2020	0.013187	0.013233	0.012355	0.012741	4,341,646	0
Sep 01, 2020	0.013459	0.013529	0.012917	0.013156	6,804,660	0
Aug 31, 2020	0.013759	0.013904	0.013407	0.013460	5,454,452	0
Aug 30, 2020	0.013886	0.014103	0.013542	0.013760	3,866,013	0
Aug 29, 2020	0.013180	0.014054	0.013138	0.013845	2,716,946	0
Aug 28, 2020	0.013082	0.013241	0.012920	0.013182	2,778,838	0
Aug 27, 2020	0.012911	0.013158	0.012683	0.013082	6,083,774	0
Aug 26, 2020	0.013014	0.013314	0.012778	0.012917	4,449,876	0
Aug 25, 2020	0.012878	0.013080	0.012594	0.013017	6,735,187	0
Aug 24, 2020	0.013341	0.013385	0.012603	0.012877	7,090,538	0
Aug 23, 2020	0.013106	0.013392	0.012819	0.013334	5,085,401	0
Aug 22, 2020	0.013167	0.013251	0.012857	0.013114	4,818,491	0
Aug 21, 2020	0.013714	0.014127	0.013073	0.013164	5,562,493	0
Aug 20, 2020	0.013572	0.013754	0.013117	0.013707	4,926,626	0
Aug 19, 2020	0.013932	0.014007	0.013316	0.013572	4,143,116	0
Aug 18, 2020	0.014275	0.014335	0.013761	0.013934	4,626,809	0
Aug 17, 2020	0.014582	0.014637	0.014078	0.014281	8,881,222	0
Aug 16, 2020	0.014528	0.014634	0.014341	0.014582	5,166,263	0
Aug 15, 2020	0.014928	0.015744	0.014417	0.014532	5,716,646	0
Aug 14, 2020	0.013862	0.015218	0.013645	0.014966	4,561,542	0
Aug 13, 2020	0.013730	0.013959	0.013647	0.013849	4,185,825	0
Aug 12, 2020	0.013972	0.014017	0.013273	0.013732	4,443,550	0
Aug 11, 2020	0.014009	0.014223	0.013850	0.013973	7,135,153	0
Aug 10, 2020	0.014073	0.014230	0.013885	0.014015	7,218,875	0
Aug 09, 2020	0.013901	0.014265	0.013859	0.014073	6,188,792	0
Aug 08, 2020	0.013986	0.014169	0.013790	0.013924	4,428,165	0
Aug 07, 2020	0.014371	0.014475	0.013505	0.013981	6,242,320	0
Aug 06, 2020	0.012809	0.014922	0.012795	0.014371	6,519,251	0
Aug 05, 2020	0.012481	0.012853	0.012269	0.012809	6,268,031	0
Aug 04, 2020	0.013222	0.013231	0.012367	0.012480	5,242,994	0
Aug 03, 2020	0.012941	0.013327	0.012876	0.013221	4,852,678	0
Aug 02, 2020	0.013619	0.013619	0.012791	0.012934	6,616,361	0
Aug 01, 2020	0.013929	0.014100	0.013573	0.013615	5,342,369	0
Jul 31, 2020	0.014285	0.014302	0.013821	0.013951	5,527,955	0
Jul 30, 2020	0.014447	0.014729	0.013730	0.014285	5,054,876	0
Jul 29, 2020	0.013672	0.015233	0.013353	0.014447	5,854,152	0
Jul 28, 2020	0.014072	0.014563	0.013448	0.013666	4,299,192	0
Jul 27, 2020	0.014851	0.015043	0.013389	0.014076	7,499,822	0
Jul 26, 2020	0.014985	0.015299	0.014632	0.014851	7,408,314	0
Jul 25, 2020	0.015012	0.015141	0.014682	0.015007	5,079,767	0
Jul 24, 2020	0.015376	0.015578	0.014914	0.015003	5,746,291	0
Jul 23, 2020	0.015617	0.015675	0.015203	0.015376	5,463,337	0
Jul 22, 2020	0.015764	0.015886	0.015395	0.015617	6,190,236	0
