date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.501487	0.717194	0.491838	0.715555	1,088,576	143,112,205
Dec 15, 2020	0.669135	0.687651	0.494310	0.501487	154,280	100,298,267
Dec 14, 2020	0.626164	0.686839	0.498489	0.669125	285,324	133,826,159
Dec 13, 2020	0.589803	0.690548	0.573496	0.626170	489,022	125,235,191
Dec 12, 2020	0.534852	0.663774	0.499216	0.589813	351,018	117,963,574
Dec 11, 2020	0.536723	0.559219	0.404277	0.534849	237,028	106,970,849
Dec 10, 2020	0.538028	0.646020	0.509325	0.536689	223,908	107,338,701
Dec 09, 2020	0.560644	0.670354	0.532388	0.538055	239,770	107,611,910
Dec 08, 2020	0.620740	0.714957	0.535183	0.560661	199,838	112,133,245
Dec 07, 2020	0.692416	0.706328	0.552516	0.620735	155,260	124,148,115
Dec 06, 2020	0.621755	0.704558	0.604321	0.692392	251,639	138,479,643
Dec 05, 2020	0.613526	0.716653	0.613526	0.621764	413,087	124,353,831
Dec 04, 2020	0.591340	0.708755	0.573324	0.613540	379,739	122,709,163
Dec 03, 2020	0.616677	0.708418	0.549428	0.591340	258,317	118,269,141
Dec 02, 2020	0.684606	0.722225	0.549736	0.616667	391,440	123,334,450
Dec 01, 2020	0.741171	0.744551	0.584151	0.684759	1,216,011	136,953,074
Nov 30, 2020	0.747663	0.749137	0.691889	0.741176	2,014,066	148,236,600
Nov 29, 2020	0.742873	0.753050	0.708367	0.747668	2,011,146	149,534,861
Nov 28, 2020	0.734379	0.762557	0.579713	0.742866	1,537,294	148,574,551
Nov 27, 2020	0.677551	0.767832	0.513613	0.734376	2,079,473	146,876,448
Nov 26, 2020	0.667269	0.730461	0.551252	0.677493	626,820	135,499,730
Nov 25, 2020	0.752803	0.810210	0.551491	0.667281	736,101	133,457,363
Nov 24, 2020	0.786947	0.818848	0.598328	0.752802	2,668,396	150,561,669
Nov 23, 2020	0.762512	0.821424	0.593755	0.787114	3,342,897	157,424,138
Nov 22, 2020	0.762011	0.804587	0.663483	0.762539	6,199,404	152,509,155
Nov 21, 2020	0.767209	0.799105	0.567098	0.761920	6,350,258	152,385,299
Nov 20, 2020	0.717891	0.769845	0.605718	0.767209	1,384,523	153,443,164
Nov 19, 2020	0.715915	0.767294	0.541188	0.717893	1,751,668	143,579,909
Nov 18, 2020	0.657193	0.768346	0.575497	0.716033	982,815	143,207,969
Nov 17, 2020	0.693205	0.725223	0.645008	0.657207	838,420	131,442,493
Nov 16, 2020	0.706461	0.725408	0.619161	0.690266	1,274,069	138,054,512
Nov 15, 2020	0.642713	0.733533	0.637011	0.706457	1,053,547	141,292,743
Nov 14, 2020	0.710760	0.731719	0.626662	0.642883	442,466	128,577,818
Nov 13, 2020	0.659357	0.735460	0.620660	0.710760	1,419,697	142,153,191
Nov 12, 2020	0.708993	0.730611	0.545998	0.659355	646,853	131,872,215
Nov 11, 2020	0.715537	0.737493	0.663043	0.708990	1,409,538	141,799,355
Nov 10, 2020	0.731097	0.745598	0.704039	0.715523	1,910,728	143,105,941
Nov 09, 2020	0.752306	0.752306	0.716611	0.731107	1,379,077	146,222,648
Nov 08, 2020	0.730172	0.752294	0.712902	0.752294	1,158,384	150,460,148
Nov 07, 2020	0.710288	0.745936	0.533539	0.730172	1,599,281	146,035,711
Nov 06, 2020	0.678063	0.758162	0.511703	0.710286	1,355,762	142,058,577
Nov 05, 2020	0.643348	0.714904	0.525287	0.678066	527,703	135,614,413
Nov 04, 2020	0.611327	0.726049	0.547996	0.643348	247,784	128,670,860
Nov 03, 2020	0.617657	0.734998	0.585200	0.611327	211,163	122,266,455
Nov 02, 2020	0.537784	0.724136	0.530036	0.617657	115,315	123,532,586
Nov 01, 2020	0.600499	0.719523	0.534464	0.537765	39,343.22	107,553,904
Oct 31, 2020	0.606544	0.681011	0.600513	0.600513	7,837.86	120,103,671
Oct 30, 2020	0.637817	0.690794	0.564310	0.606532	231,075	121,307,581
Oct 29, 2020	0.628569	0.691412	0.612700	0.637828	1,540,083	127,566,767
Oct 28, 2020	0.685469	0.740688	0.627783	0.628569	1,897,519	125,714,878
Oct 27, 2020	0.680927	0.775220	0.615261	0.685469	432,552	137,095,117
Oct 26, 2020	0.581101	0.752221	0.550370	0.680927	332,169	136,186,661
Oct 25, 2020	0.575406	0.733753	0.559934	0.581101	210,741	116,221,241
Oct 24, 2020	0.726732	0.739584	0.562611	0.575406	216,185	115,082,147
Oct 23, 2020	0.794842	0.810525	0.547987	0.726732	1,363,098	145,347,768
Oct 22, 2020	0.767585	0.797365	0.753449	0.797350	6,883,943	159,471,436
Oct 21, 2020	0.772133	0.799725	0.762057	0.778204	5,028,043	155,642,198
Oct 20, 2020	0.772286	0.793581	0.769902	0.786908	3,918,516	157,383,029
Oct 19, 2020	0.765977	0.788050	0.745266	0.774989	3,701,712	154,999,218
Oct 18, 2020	0.775486	0.806575	0.752865	0.765864	1,811,586	153,174,212
Oct 17, 2020	0.805825	0.816491	0.773337	0.775447	2,666,277	155,090,758
Oct 16, 2020	0.799039	0.819815	0.784335	0.801924	4,984,175	160,386,230
Oct 15, 2020	0.794955	0.819674	0.788925	0.799009	5,173,539	159,803,154
Oct 14, 2020	0.808744	0.820705	0.785300	0.794956	5,315,952	158,992,565
Oct 13, 2020	0.800751	0.823012	0.662108	0.808431	7,732,995	161,687,667
Oct 12, 2020	0.785440	0.820879	0.598070	0.783331	5,617,839	156,667,534
Oct 11, 2020	0.806499	0.821489	0.766954	0.786237	3,893,279	157,248,920
Oct 10, 2020	0.781016	0.831438	0.746008	0.795004	4,855,687	159,002,200
Oct 09, 2020	0.813077	0.829002	0.605952	0.791373	3,385,618	158,276,041
Oct 08, 2020	0.821431	0.837935	0.695149	0.810299	4,105,430	162,061,173
Oct 07, 2020	0.808063	0.848837	0.785617	0.821919	7,989,365	164,385,265
Oct 06, 2020	0.836203	0.847991	0.802761	0.807885	8,910,101	161,578,370
Oct 05, 2020	0.815228	0.844774	0.813847	0.835285	6,457,260	167,058,450
Oct 04, 2020	0.803164	0.849281	0.785032	0.814952	2,931,024	162,991,836
Oct 03, 2020	0.832437	0.849717	0.784187	0.802895	2,439,079	160,580,531
Oct 02, 2020	0.831924	0.851564	0.794150	0.822438	5,330,861	164,489,074
Oct 01, 2020	0.830584	0.851126	0.790640	0.830749	2,836,824	166,151,220
Sep 30, 2020	0.851944	0.871244	0.819164	0.830634	3,033,666	166,128,367
Sep 29, 2020	0.852978	0.874912	0.842560	0.851465	3,572,022	170,294,537
Sep 28, 2020	0.854934	0.870720	0.844348	0.853772	3,231,771	170,755,946
Sep 27, 2020	0.835762	0.871267	0.549765	0.845218	2,907,219	169,045,067
Sep 26, 2020	0.850272	0.869946	0.808823	0.836937	4,247,063	167,388,914
Sep 25, 2020	0.847285	0.874996	0.835575	0.849558	5,114,246	169,913,050
Sep 24, 2020	0.845759	0.870185	0.593849	0.848591	5,316,035	169,719,735
Sep 23, 2020	0.862901	0.883572	0.830463	0.851944	3,278,513	170,390,375
Sep 22, 2020	0.885677	0.891904	0.843644	0.866916	4,410,246	173,384,778
Sep 21, 2020	0.880182	0.893129	0.845423	0.883676	6,714,875	176,736,829
Sep 20, 2020	0.872454	0.890368	0.859431	0.880182	2,677,800	176,037,992
Sep 19, 2020	0.883332	0.890417	0.867452	0.871538	3,971,852	174,309,078
Sep 18, 2020	0.894465	0.902274	0.852852	0.884593	4,236,370	176,920,292
Sep 17, 2020	0.878265	0.902065	0.872913	0.894465	6,863,057	178,894,609
Sep 16, 2020	0.885728	0.907103	0.860423	0.878265	4,524,921	175,654,503
Sep 15, 2020	0.848980	0.903323	0.847241	0.885817	4,851,212	177,165,031
Sep 14, 2020	0.858005	0.884635	0.836414	0.848980	4,099,768	169,797,596
Sep 13, 2020	0.858090	0.875792	0.820037	0.853046	4,368,257	170,610,701
Sep 12, 2020	0.850727	0.870215	0.830878	0.857675	2,775,744	171,536,645
Sep 11, 2020	0.867867	0.871429	0.823301	0.849473	3,484,041	169,896,154
Sep 10, 2020	0.813639	0.869555	0.790173	0.867867	4,829,518	173,574,889
Sep 09, 2020	0.793778	0.824604	0.761538	0.813639	4,236,282	162,729,218
Sep 08, 2020	0.790554	0.804955	0.763354	0.793775	5,753,480	158,756,425
Sep 07, 2020	0.778690	0.824195	0.761742	0.790656	6,737,757	158,132,553
Sep 06, 2020	0.785778	0.819852	0.764071	0.778510	9,803,739	155,703,348
Sep 05, 2020	0.799817	0.808363	0.770382	0.785794	8,061,504	157,160,277
Sep 04, 2020	0.812518	0.830666	0.780625	0.799878	12,897,170	159,977,142
Sep 03, 2020	0.841363	0.845172	0.780399	0.814189	8,228,431	162,839,214
Sep 02, 2020	0.841371	0.879402	0.816232	0.841567	11,858,114	168,314,865
