date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.049559	0.052462	0.046748	0.047341	55,275.86	2,729,620
Dec 15, 2020	0.054391	0.055673	0.046907	0.049811	31,825.45	2,870,647
Dec 14, 2020	0.048665	0.054937	0.047319	0.054339	106,849	3,130,062
Dec 13, 2020	0.046305	0.052451	0.046305	0.048647	40,027.79	2,800,792
Dec 12, 2020	0.048493	0.049104	0.046251	0.046309	69,333.34	2,664,886
Dec 11, 2020	0.051625	0.053517	0.048123	0.048510	88,885.36	2,790,205
Dec 10, 2020	0.040271	0.055169	0.040153	0.051635	385,234	2,968,492
Dec 09, 2020	0.039816	0.041254	0.038295	0.040346	108,611	2,318,372
Dec 08, 2020	0.041771	0.042615	0.039141	0.039846	76,260.83	2,288,539
Dec 07, 2020	0.045330	0.046127	0.040849	0.041753	63,589.90	2,396,874
Dec 06, 2020	0.044320	0.047522	0.043933	0.045305	124,730	2,486,260
Dec 05, 2020	0.034142	0.047139	0.031002	0.044367	299,774	2,433,602
Dec 04, 2020	0.036839	0.037712	0.033969	0.034217	62,410.73	1,875,953
Dec 03, 2020	0.040300	0.041381	0.036484	0.036831	46,949.13	2,018,229
Dec 02, 2020	0.038814	0.040626	0.038150	0.040288	34,808.48	2,206,587
Dec 01, 2020	0.047946	0.047952	0.037093	0.038843	87,439.77	2,126,452
Nov 30, 2020	0.046652	0.047486	0.044889	0.047486	28,081.83	2,598,317
Nov 29, 2020	0.042492	0.047139	0.042316	0.046654	14,812.34	2,551,562
Nov 28, 2020	0.042257	0.045180	0.040122	0.042492	33,673.51	2,322,803
Nov 27, 2020	0.041547	0.044317	0.039803	0.042255	37,420.71	2,308,708
Nov 26, 2020	0.050243	0.050788	0.039728	0.041556	48,707.80	2,269,395
Nov 25, 2020	0.054019	0.055858	0.050224	0.050264	8,250.71	2,617,941
Nov 24, 2020	0.054004	0.058113	0.050825	0.053982	52,283.26	2,810,226
Nov 23, 2020	0.051262	0.054639	0.051262	0.054021	22,422.02	2,810,902
Nov 22, 2020	0.052123	0.054181	0.049967	0.051266	58,503.31	2,666,210
Nov 21, 2020	0.051168	0.053663	0.048932	0.052122	43,786.43	2,709,410
Nov 20, 2020	0.049615	0.053014	0.048554	0.051170	66,284.41	2,658,663
Nov 19, 2020	0.054916	0.057107	0.049540	0.049616	112,423	2,576,647
Nov 18, 2020	0.072953	0.078077	0.048060	0.054910	220,389	2,850,097
Nov 17, 2020	0.071979	0.078229	0.069633	0.072949	72,860.50	3,759,183
Nov 16, 2020	0.078499	0.079257	0.071311	0.072373	103,860	3,003,926
Nov 15, 2020	0.071377	0.079716	0.069949	0.078499	101,290	3,256,615
Nov 14, 2020	0.067807	0.074545	0.066320	0.071373	71,078.37	2,959,553
Nov 13, 2020	0.065448	0.072514	0.062999	0.067807	138,934	2,810,296
Nov 12, 2020	0.065697	0.087707	0.065317	0.065443	516,947	2,704,276
Nov 11, 2020	0.052777	0.071909	0.052055	0.065697	367,144	2,713,479
Nov 10, 2020	0.044295	0.053349	0.043800	0.052780	101,673	2,178,898
Nov 09, 2020	0.043532	0.044710	0.040518	0.044298	40,084.79	1,827,841
Nov 08, 2020	0.040552	0.043617	0.040225	0.043530	47,689.78	1,795,256
Nov 07, 2020	0.037636	0.042676	0.037272	0.040551	78,874.57	1,671,613
Nov 06, 2020	0.035148	0.039675	0.034703	0.037636	37,029.94	1,550,680
Nov 05, 2020	0.033557	0.035177	0.032422	0.035149	25,990.34	1,447,499
Nov 04, 2020	0.032014	0.033623	0.031520	0.033556	17,459.71	1,381,209
Nov 03, 2020	0.032122	0.032267	0.030351	0.032013	59,347.83	1,317,063
Nov 02, 2020	0.034327	0.036301	0.032051	0.032121	20,262.96	1,320,857
Nov 01, 2020	0.035569	0.038273	0.033017	0.034326	24,917.59	1,410,848
Oct 31, 2020	0.037177	0.039132	0.032519	0.035569	67,887.78	1,461,235
Oct 30, 2020	0.040287	0.040762	0.036735	0.037176	36,987.45	1,526,502
Oct 29, 2020	0.041112	0.041280	0.039577	0.040288	11,686.50	1,653,473
Oct 28, 2020	0.044454	0.045807	0.040072	0.041114	35,204.14	1,686,539
Oct 27, 2020	0.058259	0.059054	0.044428	0.044455	96,760.79	1,822,698
Oct 26, 2020	0.055699	0.058791	0.055396	0.058256	35,690.49	2,387,422
Oct 25, 2020	0.056345	0.057195	0.054647	0.055700	42,114.95	2,281,541
Oct 24, 2020	0.057286	0.058390	0.056156	0.056345	45,311.71	2,306,846
Oct 23, 2020	0.058246	0.061437	0.055581	0.057288	50,125.22	2,344,285
Oct 22, 2020	0.064369	0.066864	0.054850	0.058252	88,596.92	2,381,442
