date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.019110	0.020503	0.006428	0.006606	0.054412	76,103.15
Dec 15, 2020	0.018939	0.019213	0.018775	0.019111	0	220,183
Dec 14, 2020	0.018835	0.018996	0.018709	0.018947	0	218,294
Dec 13, 2020	0.018505	0.019071	0.018435	0.018840	1.13	217,064
Dec 12, 2020	0.017768	0.018617	0.017757	0.018497	0	213,107
Dec 11, 2020	0.017972	0.017976	0.017338	0.017782	0	204,875
Dec 10, 2020	0.018257	0.018257	0.017670	0.017980	0	207,151
Dec 09, 2020	0.001264	0.018328	0.001248	0.018268	1,528.67	210,467
Dec 08, 2020	0.001324	0.001331	0.001261	0.001264	0	14,563.71
Dec 07, 2020	0.001335	0.001339	0.001306	0.001324	0	15,257.98
Dec 06, 2020	0.001322	0.001338	0.001304	0.001334	0	15,373.54
Dec 05, 2020	0.001290	0.001322	0.001283	0.001322	0	15,226.50
Dec 04, 2020	0.001342	0.001346	0.001290	0.001290	0	14,867.28
Dec 03, 2020	0.001325	0.001350	0.001306	0.001342	0.721134	15,460.26
Dec 02, 2020	0.003197	0.003282	0.001301	0.001325	8.27	15,265.53
Dec 01, 2020	0.003336	0.003374	0.003115	0.003197	0	36,830.33
Nov 30, 2020	0.003090	0.003357	0.003090	0.003337	0	38,442.18
Nov 29, 2020	0.003455	0.003555	0.003060	0.003090	12.17	35,603.87
Nov 28, 2020	0.007870	0.008162	0.003447	0.003455	3.45	39,805.58
Nov 27, 2020	0.008575	0.008723	0.007602	0.007870	38.53	90,671.30
Nov 26, 2020	0.009366	0.009433	0.008176	0.008573	0	98,765.81
Nov 25, 2020	0.009554	0.009695	0.009291	0.009367	0	107,917
Nov 24, 2020	0.009182	0.009674	0.009064	0.009555	0	110,081
Nov 23, 2020	0.009186	0.009356	0.009000	0.009176	0	105,719
Nov 22, 2020	0.009601	0.009625	0.009101	0.009197	4.30	105,960
Nov 21, 2020	0.009590	0.009752	0.009499	0.009601	0	110,610
Nov 20, 2020	0.003189	0.009668	0.003180	0.009590	1,074.28	110,492
Nov 19, 2020	0.003187	0.003243	0.003111	0.003189	0	36,745.02
Nov 18, 2020	0.003158	0.003293	0.003106	0.003188	0	36,734.01
Nov 17, 2020	0.002987	0.003183	0.002965	0.003162	0	36,435.28
Nov 16, 2020	0.002856	0.003010	0.002843	0.002993	0	34,482.69
Nov 15, 2020	0.002876	0.002886	0.002827	0.002857	0	32,918.49
Nov 14, 2020	0.002921	0.002921	0.002819	0.002878	0	33,152.26
Nov 13, 2020	0.001628	0.002925	0.001610	0.002920	11.78	33,639.09
Nov 12, 2020	0.001570	0.001631	0.001553	0.001628	6.11	18,758.11
Nov 11, 2020	0.001254	0.001592	0.001254	0.001569	2.60	18,081.23
Nov 10, 2020	0.001257	0.001267	0.001240	0.001254	0	14,444.83
Nov 09, 2020	0.001269	0.001294	0.001219	0.001257	0	14,485.67
Nov 08, 2020	0.001216	0.001282	0.001209	0.001269	0	14,623.43
Nov 07, 2020	0.001276	0.001290	0.001183	0.001216	0	14,013.80
Nov 06, 2020	0.001278	0.001304	0.001249	0.001276	0	14,705.67
Nov 05, 2020	0.001159	0.001288	0.001156	0.001278	0	14,719.06
Nov 04, 2020	0.001144	0.001166	0.001114	0.001158	0	13,346.70
Nov 03, 2020	0.001111	0.001147	0.001093	0.001141	0	13,145.83
Nov 02, 2020	0.001126	0.001132	0.001086	0.001112	0.012604	12,809.46
Nov 01, 2020	0.001130	0.001137	0.001118	0.001124	7.22	12,954.40
Oct 31, 2020	0.001111	0.001150	0.001104	0.001130	41.09	13,017.56
Oct 30, 2020	0.002486	0.002521	0.001111	0.001113	41.38	12,817.95
Oct 29, 2020	0.001274	0.002508	0.001246	0.002488	4.31	28,666.55
Oct 28, 2020	0.001311	0.001328	0.001242	0.001274	0	14,681.56
Oct 27, 2020	0.001242	0.001321	0.001241	0.001309	1.18	15,084.73
Oct 26, 2020	0.001955	0.001984	0.001218	0.001242	6.01	14,307.74
Oct 25, 2020	0.001966	0.001999	0.001937	0.001955	0	22,520.48
Oct 24, 2020	0.001940	0.001972	0.001933	0.001966	0	22,653.28
Oct 23, 2020	0.001945	0.001952	0.001913	0.001939	0	22,342.60
Oct 22, 2020	0.001924	0.001974	0.001908	0.001945	0	22,407.35
Oct 21, 2020	0.001787	0.001978	0.001785	0.001924	0.591868	22,161.65
Oct 20, 2020	0.001761	0.001800	0.001752	0.001787	0	20,593.53
Oct 19, 2020	0.001723	0.001770	0.001711	0.001761	0	20,292.30
Oct 18, 2020	0.001704	0.001723	0.001702	0.001723	0	19,845.27
Oct 17, 2020	0.001076	0.002157	0.001072	0.001704	2.67	19,628.81
Oct 16, 2020	0.001644	0.001650	0.001073	0.001076	4.82	12,392.20
Oct 15, 2020	0.001600	0.001655	0.001583	0.001644	7.36	18,938.56
Oct 14, 2020	0.001600	0.001616	0.001583	0.001600	0	18,435.43
Oct 13, 2020	0.001618	0.001618	0.001585	0.001600	0	18,429.58
Oct 12, 2020	0.001594	0.001638	0.001574	0.001618	0	18,638.38
Oct 11, 2020	0.001073	0.001595	0.001072	0.001594	0.398447	18,362.33
Oct 10, 2020	0.001051	0.001087	0.001050	0.001073	0	12,364.00
Oct 09, 2020	0.001037	0.001055	0.001030	0.001051	0	12,110.18
Oct 08, 2020	0.001014	0.001040	0.001003	0.001037	0	11,947.27
Oct 07, 2020	0.001007	0.001015	0.001003	0.001014	0	11,677.35
Oct 06, 2020	0.001025	0.001026	0.001000	0.001007	0	11,606.61
Oct 05, 2020	0.001248	0.001255	0.001014	0.001025	14.03	11,813.15
Oct 04, 2020	0.001287	0.001300	0.001238	0.001248	37.34	14,380.80
Oct 03, 2020	0.001290	0.001293	0.001282	0.001287	1.05	14,827.97
Oct 02, 2020	0.001296	0.001300	0.001271	0.001290	0	14,865.42
Oct 01, 2020	0.001316	0.001334	0.001278	0.001296	2.12	14,926.56
Sep 30, 2020	0.001345	0.001345	0.001304	0.001316	0	15,159.12
Sep 29, 2020	0.001328	0.001347	0.001321	0.001345	0	15,492.94
Sep 28, 2020	0.001336	0.001357	0.001327	0.001328	0	15,300.10
Sep 27, 2020	0.001290	0.001388	0.001278	0.001336	6.47	15,393.63
Sep 26, 2020	0.001283	0.001293	0.001280	0.001290	0	14,863.32
Sep 25, 2020	0.001291	0.001293	0.001269	0.001283	0	14,783.12
Sep 24, 2020	0.001230	0.001293	0.001228	0.001291	0	14,876.24
Sep 23, 2020	0.001759	0.001760	0.001224	0.001230	0	14,165.78
Sep 22, 2020	0.001253	0.001262	0.001245	0.001258	0	14,492.55
Sep 21, 2020	0.001826	0.001826	0.001245	0.001254	7.95	14,443.62
Sep 20, 2020	0.001826	0.001826	0.001826	0.001826	0	21,039.96
Sep 19, 2020	0.001826	0.001826	0.001826	0.001826	0	21,039.96
Sep 18, 2020	0.001827	0.001842	0.001809	0.001826	0	21,039.96
Sep 17, 2020	0.001360	0.001831	0.001302	0.001827	20.47	21,052.47
Sep 16, 2020	0.001358	0.001397	0.001358	0.001360	5.56	15,664.31
Sep 15, 2020	0.001345	0.001377	0.001341	0.001358	0	15,641.81
Sep 14, 2020	0.001302	0.001354	0.001294	0.001345	0.223829	15,496.10
Sep 13, 2020	0.001306	0.001321	0.001290	0.001301	0.217004	14,993.58
Sep 12, 2020	0.001456	0.001457	0.001288	0.001306	90.26	15,051.99
Sep 11, 2020	0.001563	0.001567	0.001325	0.001456	31.62	16,771.23
Sep 10, 2020	0.001842	0.001886	0.001558	0.001563	4.90	18,004.62
Sep 09, 2020	0.002026	0.002057	0.001837	0.001842	5.46	21,218.44
Sep 08, 2020	0.002385	0.002400	0.001980	0.002025	1.01	23,335.74
Sep 07, 2020	0.002156	0.002392	0.002155	0.002384	1.66	27,464.58
Sep 06, 2020	0.002033	0.003678	0.001811	0.002155	40.08	24,832.09
Sep 05, 2020	0.003156	0.003180	0.001867	0.002033	29.50	23,425.91
Sep 04, 2020	0.002317	0.003197	0.002309	0.003156	11.18	36,366.27
Sep 03, 2020	0.006835	0.006836	0.002296	0.002316	53.57	26,686.86
Sep 02, 2020	0.005565	0.006853	0.005464	0.006837	4.72	78,775.87
Sep 01, 2020	0.005565	0.005565	0.005565	0.005565	0	64,115.18
Aug 31, 2020	0.005563	0.005591	0.005506	0.005565	0	64,115.18
