date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.123515	0.141642	0.109619	0.136372	3,458.01	1,702,510
Dec 15, 2020	0.122990	0.124114	0.112821	0.123523	974.93	1,542,105
Dec 14, 2020	0.116759	0.126811	0.111034	0.123041	1,416.15	1,536,088
Dec 13, 2020	0.115090	0.128718	0.107664	0.116795	3,445.59	1,458,111
Dec 12, 2020	0.125860	0.128204	0.112327	0.115042	5,165.89	1,436,228
Dec 11, 2020	0.130221	0.136350	0.118424	0.125959	8,392.34	1,572,514
Dec 10, 2020	0.147872	0.159011	0.119958	0.130282	6,364.24	1,626,486
Dec 09, 2020	0.138316	0.148033	0.126087	0.147962	1,052.33	1,847,212
Dec 08, 2020	0.152779	0.154846	0.137938	0.138374	247.47	1,727,510
Dec 07, 2020	0.162252	0.168828	0.144296	0.152809	682.43	1,907,722
Dec 06, 2020	0.148633	0.163964	0.148632	0.162241	1,980.70	2,025,468
Dec 05, 2020	0.138020	0.189319	0.129504	0.148569	7,541.72	1,854,792
Dec 04, 2020	0.146637	0.205602	0.137985	0.138441	12,475.13	1,728,341
Dec 03, 2020	0.118098	0.186271	0.101266	0.146598	69,583.51	1,830,184
Dec 02, 2020	0.115450	0.122111	0.110075	0.118122	460.30	1,474,676
Dec 01, 2020	0.128942	0.129193	0.096663	0.115459	3,833.07	1,441,431
Nov 30, 2020	0.110883	0.129692	0.110883	0.128952	1,675.23	1,609,879
Nov 29, 2020	0.113037	0.116580	0.110367	0.110887	157.72	1,384,353
Nov 28, 2020	0.111205	0.118876	0.104601	0.113040	742.21	1,411,233
Nov 27, 2020	0.115044	0.122514	0.108702	0.111206	504.30	1,388,335
Nov 26, 2020	0.117825	0.151190	0.105968	0.114893	1,166.32	1,434,367
Nov 25, 2020	0.121141	0.158683	0.115985	0.117835	3,421.08	1,471,092
Nov 24, 2020	0.127631	0.128439	0.110166	0.121153	1,987.04	1,512,519
Nov 23, 2020	0.120691	0.130428	0.105817	0.127656	4,206.03	1,593,702
Nov 22, 2020	0.164238	0.164402	0.112615	0.120700	4,766.70	1,506,857
Nov 21, 2020	0.149529	0.224626	0.149529	0.164235	12,749.29	2,050,364
Nov 20, 2020	0.139151	0.176514	0.138852	0.149535	18,044.76	1,866,848
Nov 19, 2020	0.103619	0.162787	0.097948	0.139155	11,069.36	1,737,262
Nov 18, 2020	0.084345	0.154013	0.078971	0.103610	76,499.54	1,293,499
Nov 17, 2020	0.077435	0.086681	0.076928	0.084342	251.63	1,052,950
Nov 16, 2020	0.072119	0.086983	0.071781	0.077557	1,302.50	968,249
Nov 15, 2020	0.070860	0.077857	0.069542	0.072119	591.37	900,364
Nov 14, 2020	0.068208	0.073611	0.067392	0.070857	419.02	884,603
Nov 13, 2020	0.068035	0.068816	0.066847	0.068209	525.64	851,540
Nov 12, 2020	0.065632	0.068155	0.064935	0.068035	287.41	849,367
Nov 11, 2020	0.065139	0.066530	0.063701	0.065640	40.98	819,468
Nov 10, 2020	0.058725	0.069693	0.058028	0.065144	435.39	813,275
Nov 09, 2020	0.058203	0.066825	0.056567	0.058740	346.28	733,327
Nov 08, 2020	0.061412	0.069310	0.056468	0.058200	770.60	726,594
Nov 07, 2020	0.064598	0.066193	0.055295	0.061411	687.41	766,675
Nov 06, 2020	0.070265	0.071345	0.058856	0.064598	1,188.83	806,469
Nov 05, 2020	0.067983	0.070836	0.061199	0.070266	622.05	877,226
Nov 04, 2020	0.063753	0.081684	0.054455	0.067981	2,434.57	848,704
Nov 03, 2020	0.066126	0.076644	0.060799	0.063591	972.08	793,888
Nov 02, 2020	0.070609	0.072971	0.063403	0.066167	307.00	826,048
Nov 01, 2020	0.065322	0.071146	0.064303	0.070606	283.19	881,475
Oct 31, 2020	0.065565	0.071544	0.063571	0.065323	247.77	815,514
Oct 30, 2020	0.068264	0.080644	0.057614	0.065564	1,796.88	818,528
Oct 29, 2020	0.071134	0.072094	0.068062	0.068265	631.27	852,246
Oct 28, 2020	0.074417	0.082581	0.066883	0.071136	695.71	888,089
Oct 27, 2020	0.074134	0.076223	0.073938	0.074330	160.52	927,965
Oct 26, 2020	0.075061	0.076839	0.073519	0.074120	40.44	925,336
Oct 25, 2020	0.078256	0.089139	0.073381	0.075025	492.86	936,637
Oct 24, 2020	0.074488	0.080217	0.070982	0.078282	340.68	977,296
Oct 23, 2020	0.068590	0.080149	0.067570	0.074468	524.45	929,680
Oct 22, 2020	0.076044	0.087492	0.068590	0.068590	629.24	856,298
Oct 21, 2020	0.069234	0.087409	0.066378	0.076045	1,559.30	949,371
Oct 20, 2020	0.077263	0.082865	0.069106	0.069234	497.41	864,340
Oct 19, 2020	0.081187	0.089101	0.071813	0.077263	953.45	964,572
Oct 18, 2020	0.081551	0.086664	0.079102	0.081187	234.38	1,013,571
Oct 17, 2020	0.083218	0.086303	0.077336	0.081551	209.92	1,018,113
Oct 16, 2020	0.085985	0.086660	0.077214	0.083218	218.93	1,038,917
Oct 15, 2020	0.089722	0.096217	0.077825	0.085985	858.90	1,073,470
Oct 14, 2020	0.091750	0.098486	0.086603	0.089722	172.63	1,120,118
Oct 13, 2020	0.087936	0.094362	0.087033	0.091750	337.77	1,145,438
Oct 12, 2020	0.085268	0.095651	0.081179	0.087821	1,167.82	1,096,384
Oct 11, 2020	0.086417	0.089267	0.080990	0.085268	680.93	1,064,512
Oct 10, 2020	0.086192	0.103363	0.076846	0.086417	1,663.06	1,078,862
Oct 09, 2020	0.083396	0.086461	0.075461	0.086192	1,632.00	1,076,052
Oct 08, 2020	0.082151	0.084340	0.080330	0.083395	115.71	1,041,135
Oct 07, 2020	0.085684	0.085942	0.080241	0.082150	103.49	1,025,586
Oct 06, 2020	0.089477	0.097707	0.081045	0.085683	1,443.24	1,069,691
Oct 05, 2020	0.089198	0.093639	0.080918	0.089475	681.04	1,117,032
Oct 04, 2020	0.085872	0.089264	0.085750	0.089188	1,010.24	1,113,454
Oct 03, 2020	0.086088	0.089137	0.085714	0.085872	31.65	1,072,050
Oct 02, 2020	0.086442	0.091018	0.084930	0.086088	102.59	1,074,757
Oct 01, 2020	0.090482	0.091842	0.086211	0.086443	317.53	1,079,178
Sep 30, 2020	0.087950	0.090944	0.086793	0.090486	160.69	1,129,653
Sep 29, 2020	0.093067	0.099229	0.086345	0.087950	789.51	1,097,999
Sep 28, 2020	0.096331	0.100767	0.090854	0.093067	703.62	1,161,879
Sep 27, 2020	0.098369	0.099299	0.094119	0.096330	249.98	1,202,612
Sep 26, 2020	0.094844	0.096925	0.093470	0.096757	141.91	1,207,942
Sep 25, 2020	0.108246	0.108311	0.083576	0.094844	2,300.00	1,184,070
Sep 24, 2020	0.082994	0.109963	0.077497	0.108246	4,106.04	1,351,384
Sep 23, 2020	0.089432	0.113854	0.082977	0.082994	3,343.34	1,036,127
Sep 22, 2020	0.102800	0.108895	0.079941	0.089449	2,886.78	1,116,709
