date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000167	0.000425	0.000110	0.000185	1,457.68	0
Dec 15, 2020	0.000193	0.000423	0.000110	0.000167	1,290.33	0
Dec 14, 2020	0.000187	0.000422	0.000179	0.000193	1,430.08	0
Dec 13, 2020	0.000190	0.000425	0.000163	0.000187	1,476.07	0
Dec 12, 2020	0.000188	0.000209	0.000140	0.000190	1,684.93	0
Dec 11, 2020	0.000203	0.000426	0.000142	0.000188	1,453.75	0
Dec 10, 2020	0.000211	0.000213	0.000201	0.000203	1,628.99	0
Dec 09, 2020	0.000214	0.000219	0.000205	0.000211	1,589.97	0
Dec 08, 2020	0.000215	0.000221	0.000212	0.000214	1,772.84	0
Dec 07, 2020	0.000230	0.000233	0.000214	0.000215	1,803.12	0
Dec 06, 2020	0.000239	0.000239	0.000227	0.000230	1,862.73	0
Dec 05, 2020	0.000232	0.000239	0.000226	0.000239	2,013.43	0
Dec 04, 2020	0.000238	0.000243	0.000170	0.000232	1,763.58	0
Dec 03, 2020	0.000241	0.000247	0.000232	0.000238	1,907.06	0
Dec 02, 2020	0.000254	0.000255	0.000236	0.000241	1,861.69	0
Dec 01, 2020	0.000239	0.000255	0.000238	0.000254	1,874.09	0
Nov 30, 2020	0.000246	0.000274	0.000210	0.000239	2,691.62	0
Nov 29, 2020	0.000234	0.000249	0.000231	0.000246	1,826.78	0
Nov 28, 2020	0.000234	0.000238	0.000230	0.000234	1,894.61	0
Nov 27, 2020	0.000237	0.000240	0.000230	0.000234	1,653.20	0
Nov 26, 2020	0.000234	0.000425	0.000229	0.000237	1,944.98	0
Nov 25, 2020	0.000234	0.000235	0.000227	0.000234	1,994.47	0
Nov 24, 2020	0.000228	0.000235	0.000225	0.000234	1,867.70	0
Nov 23, 2020	0.000220	0.000229	0.000218	0.000228	1,795.12	0
Nov 22, 2020	0.000215	0.000226	0.000215	0.000220	1,662.08	0
Nov 21, 2020	0.000215	0.000219	0.000209	0.000215	1,493.70	0
Nov 20, 2020	0.000209	0.000217	0.000207	0.000215	1,859.81	0
Nov 19, 2020	0.000210	0.000211	0.000204	0.000209	1,695.70	0
Nov 18, 2020	0.000208	0.000220	0.000207	0.000210	1,771.11	0
Nov 17, 2020	0.000206	0.000210	0.000198	0.000208	1,592.75	0
Nov 16, 2020	0.000197	0.000202	0.000194	0.000198	1,438.74	0
Nov 15, 2020	0.000214	0.000215	0.000195	0.000197	1,552.13	0
Nov 14, 2020	0.000216	0.000217	0.000211	0.000214	1,462.54	0
Nov 13, 2020	0.000223	0.000226	0.000210	0.000216	1,710.98	0
Nov 12, 2020	0.000218	0.000228	0.000215	0.000223	1,559.99	0
Nov 11, 2020	0.000217	0.000218	0.000207	0.000218	1,740.16	0
Nov 10, 2020	0.000231	0.000231	0.000205	0.000217	1,737.47	0
Nov 09, 2020	0.000234	0.000235	0.000228	0.000231	1,648.20	0
Nov 08, 2020	0.000235	0.000235	0.000233	0.000234	1,670.70	0
Nov 07, 2020	0.000239	0.000239	0.000233	0.000235	1,978.34	0
Nov 06, 2020	0.000241	0.000244	0.000230	0.000239	1,844.17	0
Nov 05, 2020	0.000248	0.000248	0.000239	0.000241	1,920.73	0
Nov 04, 2020	0.000220	0.000248	0.000217	0.000248	2,461.59	0
Nov 03, 2020	0.000224	0.000238	0.000215	0.000220	1,474.26	0
Nov 02, 2020	0.000234	0.000238	0.000180	0.000224	1,825.21	0
Nov 01, 2020	0.000239	0.000248	0.000234	0.000234	1,902.66	0
Oct 31, 2020	0.000240	0.000248	0.000238	0.000239	1,664.96	0
Oct 30, 2020	0.000250	0.000260	0.000240	0.000240	1,690.81	0
Oct 29, 2020	0.000226	0.000273	0.000188	0.000250	1,889.62	0
Oct 28, 2020	0.000253	0.000253	0.000208	0.000226	2,014.24	0
Oct 27, 2020	0.000257	0.000261	0.000252	0.000253	1,931.62	0
Oct 26, 2020	0.000261	0.000261	0.000005	0.000257	2,108.38	0
Oct 25, 2020	0.000268	0.000269	0.000260	0.000261	1,954.68	0
Oct 24, 2020	0.000262	0.000270	0.000261	0.000268	2,166.66	0
Oct 23, 2020	0.000265	0.000269	0.000261	0.000262	2,050.29	0
Oct 22, 2020	0.000281	0.000285	0.000264	0.000265	2,118.95	0
Oct 21, 2020	0.000282	0.000284	0.000273	0.000281	2,542.45	0
Oct 20, 2020	0.000288	0.000288	0.000281	0.000282	2,107.50	0
Oct 19, 2020	0.000285	0.000299	0.000284	0.000288	2,397.59	0
Oct 18, 2020	0.000299	0.000300	0.000270	0.000288	2,334.89	0
Oct 17, 2020	0.000299	0.000301	0.000289	0.000299	2,721.43	0
Oct 16, 2020	0.000301	0.000311	0.000266	0.000299	2,299.99	0
Oct 15, 2020	0.000307	0.000312	0.000298	0.000308	2,201.91	0
Oct 14, 2020	0.000325	0.000329	0.000301	0.000309	2,540.18	0
Oct 13, 2020	0.000338	0.000344	0.000318	0.000325	2,579.50	0
Oct 12, 2020	0.000339	0.000346	0.000329	0.000337	2,570.33	0
Oct 11, 2020	0.000346	0.000351	0.000299	0.000339	2,509.88	0
Oct 10, 2020	0.000350	0.000351	0.000336	0.000346	2,705.84	0
Oct 09, 2020	0.000346	0.000350	0.000337	0.000350	2,863.56	0
Oct 08, 2020	0.000374	0.000374	0.000343	0.000346	2,770.57	0
Oct 07, 2020	0.000378	0.000380	0.000352	0.000374	2,958.34	0
Oct 06, 2020	0.000393	0.000398	0.000377	0.000378	3,205.91	0
Oct 05, 2020	0.000411	0.000414	0.000392	0.000396	3,078.32	0
Oct 04, 2020	0.000419	0.000423	0.000406	0.000411	3,343.58	0
Oct 03, 2020	0.000429	0.000431	0.000266	0.000423	3,733.96	0
Oct 02, 2020	0.000428	0.000431	0.000400	0.000429	4,017.62	0
Oct 01, 2020	0.000434	0.000435	0.000418	0.000428	1,166.62	0
Sep 30, 2020	0.000437	0.000440	0.000416	0.000434	429.52	0
Sep 29, 2020	0.000480	0.000481	0.000429	0.000437	9,899.04	0
Sep 28, 2020	0.000444	0.000483	0.000427	0.000480	11,774.09	0
Sep 27, 2020	0.000449	0.000452	0.000436	0.000444	13,171.15	0
Sep 26, 2020	0.000449	0.000452	0.000439	0.000449	14,395.04	0
Sep 25, 2020	0.000443	0.000453	0.000439	0.000444	13,031.30	0
Sep 24, 2020	0.000477	0.000488	0.000418	0.000443	13,551.71	0
Sep 23, 2020	0.000487	0.000489	0.000456	0.000477	14,658.54	0
Sep 22, 2020	0.000477	0.000491	0.000460	0.000488	14,189.15	0
Sep 21, 2020	0.000491	0.000496	0.000463	0.000472	10,882.67	0
Sep 20, 2020	0.000492	0.000497	0.000488	0.000491	12,123.80	0
Sep 19, 2020	0.000495	0.000502	0.000490	0.000491	15,134.24	0
Sep 18, 2020	0.000498	0.000502	0.000489	0.000495	16,119.26	0
Sep 17, 2020	0.000475	0.000501	0.000444	0.000498	18,130.66	0
Sep 16, 2020	0.000487	0.000493	0.000470	0.000475	17,798.08	0
Sep 15, 2020	0.000493	0.000496	0.000479	0.000485	15,993.80	0
Sep 14, 2020	0.000494	0.000500	0.000486	0.000493	9,088.43	0
Sep 13, 2020	0.000485	0.000498	0.000464	0.000493	13,942.00	0
Sep 12, 2020	0.000492	0.000502	0.000473	0.000485	13,641.64	0
Sep 11, 2020	0.000487	0.000503	0.000485	0.000494	13,972.64	0
Sep 10, 2020	0.000480	0.000499	0.000469	0.000487	13,732.76	0
Sep 09, 2020	0.000494	0.000500	0.000478	0.000480	12,197.53	0
Sep 08, 2020	0.000500	0.000506	0.000464	0.000494	13,672.09	0
Sep 07, 2020	0.000486	0.000506	0.000481	0.000505	14,112.78	0
Sep 06, 2020	0.000478	0.000504	0.000464	0.000493	13,599.46	0
Sep 05, 2020	0.000503	0.000503	0.000476	0.000477	12,197.59	0
Sep 04, 2020	0.000508	0.000518	0.000487	0.000503	12,025.54	0
Sep 03, 2020	0.000503	0.000520	0.000499	0.000510	11,008.62	0
Sep 02, 2020	0.000503	0.000511	0.000499	0.000508	10,614.99	0
Sep 01, 2020	0.000505	0.000511	0.000500	0.000503	8,935.74	0
Aug 31, 2020	0.000512	0.000521	0.000494	0.000505	10,901.64	0
Aug 30, 2020	0.000517	0.000519	0.000501	0.000513	11,411.04	0
Aug 29, 2020	0.000503	0.000520	0.000500	0.000513	9,778.73	0
Aug 28, 2020	0.000507	0.000520	0.000500	0.000504	10,564.81	0
Aug 27, 2020	0.000526	0.000531	0.000500	0.000507	11,442.69	0
Aug 26, 2020	0.000521	0.000600	0.000501	0.000527	8,957.30	0
Aug 25, 2020	0.000584	0.000605	0.000520	0.000521	7,973.29	0
Aug 24, 2020	0.000598	0.000600	0.000555	0.000585	12,036.05	0
Aug 23, 2020	0.000591	0.000602	0.000580	0.000600	10,261.45	0
Aug 22, 2020	0.000594	0.000600	0.000580	0.000591	11,980.03	0
Aug 21, 2020	0.000598	0.000603	0.000576	0.000594	13,093.67	0
Aug 20, 2020	0.000583	0.000607	0.000580	0.000598	13,646.87	0
Aug 19, 2020	0.000607	0.000621	0.000575	0.000583	12,994.61	0
Aug 18, 2020	0.000633	0.000638	0.000592	0.000607	12,615.52	0
Aug 17, 2020	0.000658	0.000661	0.000610	0.000632	11,793.09	0
Aug 16, 2020	0.000653	0.000664	0.000650	0.000658	15,518.68	0
Aug 15, 2020	0.000654	0.000671	0.000640	0.000655	12,119.32	0
Aug 14, 2020	0.000668	0.000675	0.000603	0.000653	12,136.76	0
Aug 13, 2020	0.000704	0.000713	0.000636	0.000665	14,250.34	0
Aug 12, 2020	0.000689	0.000713	0.000616	0.000697	11,931.38	0
