date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.047048	0.058466	0.038783	0.042112	10,558.53	432,597
Dec 15, 2020	0.049822	0.054802	0.038944	0.047053	10,847.67	483,355
Dec 14, 2020	0.051290	0.059893	0.041134	0.049823	12,268.14	511,812
Dec 13, 2020	0.041601	0.058736	0.037358	0.051287	9,033.05	526,847
Dec 12, 2020	0.036599	0.042321	0.035851	0.041605	11,236.04	427,385
Dec 11, 2020	0.045131	0.060515	0.036329	0.036596	8,744.77	375,931
Dec 10, 2020	0.054438	0.054438	0.042439	0.045132	9,527.98	463,618
Dec 09, 2020	0.054103	0.066408	0.048538	0.054436	17,264.66	559,195
Dec 08, 2020	0.047462	0.067802	0.046468	0.054106	11,624.18	555,811
Dec 07, 2020	0.043731	0.047510	0.040686	0.047466	6,757.89	487,598
Dec 06, 2020	0.057696	0.088359	0.041662	0.043731	27,943.94	133,926
Dec 05, 2020	0.119593	0.148968	0.055797	0.057677	22,248.63	176,634
Dec 04, 2020	0.127478	0.151511	0.085721	0.119795	27,633.31	366,868
Dec 03, 2020	0.087589	0.143326	0.079467	0.127490	11,324.44	390,435
Dec 02, 2020	0.079073	0.139656	0.077767	0.087594	7,524.06	268,253
Dec 01, 2020	0.107550	0.144523	0.079089	0.079089	10,080.48	242,206
Nov 30, 2020	0.099543	0.163578	0.099543	0.107558	9,188.68	329,393
Nov 29, 2020	0.085348	0.154865	0.084965	0.099547	11,761.33	304,861
Nov 28, 2020	0.110626	0.150542	0.082057	0.085354	24,490.60	261,393
Nov 27, 2020	0.128099	0.153108	0.102914	0.110622	24,897.01	338,775
Nov 26, 2020	0.131178	0.165910	0.092427	0.127958	19,079.68	391,867
Nov 25, 2020	0.089128	0.217295	0.089128	0.131195	25,921.32	401,779
Nov 24, 2020	0.080337	0.240203	0.072648	0.089120	30,956.57	272,927
Nov 23, 2020	0.078371	0.136667	0.071531	0.080355	91,882.31	246,086
Nov 22, 2020	0.127891	0.135564	0.077966	0.078377	80,388.79	240,028
Nov 21, 2020	0.174711	0.206532	0.077260	0.127889	151,165	392,595
Nov 20, 2020	0.202241	0.225906	0.095466	0.174719	412,028	536,332
Nov 19, 2020	0.198337	0.210468	0.164852	0.202247	379,984	620,835
Nov 18, 2020	0.180447	0.218766	0.168548	0.198318	492,330	608,774
Nov 17, 2020	0.175923	0.208470	0.158248	0.180439	413,552	553,893
Nov 16, 2020	0.183081	0.207146	0.150009	0.168401	447,035	516,940
Nov 15, 2020	0.179591	0.199448	0.152298	0.183082	412,939	562,004
Nov 14, 2020	0.184100	0.202093	0.148016	0.179583	400,337	551,263
Nov 13, 2020	0.170636	0.218578	0.148644	0.184100	441,967	565,130
Nov 12, 2020	0.136318	0.230448	0.127320	0.170635	373,337	523,795
Nov 11, 2020	0.164051	0.164670	0.131960	0.136327	362,527	418,480
Nov 10, 2020	0.170964	0.192381	0.158609	0.164062	328,021	503,618
Nov 09, 2020	0.188354	0.190076	0.147484	0.170972	408,426	524,830
Nov 08, 2020	0.217709	0.239116	0.164042	0.188351	381,444	578,179
Nov 07, 2020	0.269699	0.269699	0.193091	0.217707	542,017	668,252
Nov 06, 2020	0.226996	0.284109	0.174449	0.269699	450,499	827,844
Nov 05, 2020	0.196035	0.281202	0.196035	0.226800	420,657	696,165
Nov 04, 2020	0.170580	0.242485	0.166187	0.196030	271,106	601,715
Nov 03, 2020	0.255383	0.283149	0.150505	0.170344	538,188	522,871
Nov 02, 2020	0.287415	0.305773	0.234401	0.255459	613,181	784,133
Nov 01, 2020	0.296715	0.307938	0.277537	0.287406	622,673	882,195
Oct 31, 2020	0.300858	0.318531	0.292705	0.296720	598,800	910,784
Oct 30, 2020	0.307679	0.326479	0.292750	0.300854	675,269	923,474
Oct 29, 2020	0.283512	0.313430	0.266555	0.307682	590,056	944,433
Oct 28, 2020	0.311531	0.324489	0.262409	0.283522	617,774	870,272
Oct 27, 2020	0.236238	0.336342	0.207772	0.311108	467,715	954,948
Oct 26, 2020	0.202953	0.255061	0.191445	0.236147	500,958	724,856
Oct 25, 2020	0.236955	0.248810	0.199290	0.202887	547,588	622,764
Oct 24, 2020	0.244094	0.265105	0.207139	0.237055	528,057	727,641
Oct 23, 2020	0.246009	0.320945	0.208904	0.243930	627,463	748,744
Oct 22, 2020	0.287771	0.317661	0.213991	0.246009	451,095	755,127
Oct 21, 2020	0.283419	0.313872	0.227404	0.287771	525,681	883,316
Oct 20, 2020	0.288672	0.307519	0.224520	0.292601	678,893	898,142
Oct 19, 2020	0.300676	0.309251	0.266642	0.287348	717,339	882,018
Oct 18, 2020	0.275015	0.304177	0.240466	0.300676	597,612	922,928
Oct 17, 2020	0.274580	0.286870	0.234099	0.275015	526,973	844,159
Oct 16, 2020	0.216482	0.296544	0.216482	0.278033	660,550	853,426
Oct 15, 2020	0.224633	0.310105	0.208158	0.220884	386,904	677,995
Oct 14, 2020	0.297814	0.311395	0.204689	0.225065	538,651	690,831
Oct 13, 2020	0.262958	0.303489	0.236399	0.290616	512,017	892,035
Oct 12, 2020	0.246274	0.316150	0.207533	0.255006	522,890	754,683
Oct 11, 2020	0.239888	0.292868	0.195536	0.233491	575,490	691,010
Oct 10, 2020	0.240734	0.311739	0.206239	0.235763	574,230	697,734
Oct 09, 2020	0.280324	0.306985	0.225908	0.240440	705,079	711,575
Oct 08, 2020	0.306129	0.350520	0.245100	0.285683	777,385	845,369
Oct 07, 2020	0.216613	0.313873	0.180394	0.297142	562,076	879,278
Oct 06, 2020	0.186491	0.264952	0.173542	0.216613	395,171	630,151
Oct 05, 2020	0.197806	0.229221	0.156720	0.181850	403,933	518,111
Oct 04, 2020	0.183889	0.232504	0.147277	0.197786	456,798	563,515
Oct 03, 2020	0.188053	0.224050	0.155180	0.183889	410,252	522,635
Oct 02, 2020	0.195106	0.224731	0.149094	0.185325	392,753	526,717
Oct 01, 2020	0.200054	0.259578	0.157476	0.189132	487,949	537,537
Sep 30, 2020	0.178262	0.248713	0.165419	0.199944	397,443	568,263
