date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000251	0.000429	0.000197	0.000426	11.91	5,765.71
Dec 15, 2020	0.000385	0.000585	0.000241	0.000251	26.64	3,401.88
Dec 14, 2020	0.000383	0.000579	0.000381	0.000385	20.39	5,208.09
Dec 13, 2020	0.000564	0.000581	0.000375	0.000383	20.64	5,179.27
Dec 12, 2020	0.000542	0.000567	0.000366	0.000564	16.78	7,632.82
Dec 11, 2020	0.000365	0.000544	0.000355	0.000542	11.20	7,329.18
Dec 10, 2020	0.000371	0.000555	0.000359	0.000365	9.84	4,941.96
Dec 09, 2020	0.000366	0.000551	0.000360	0.000371	18.20	5,020.36
Dec 08, 2020	0.000384	0.000567	0.000365	0.000367	16.96	4,959.26
Dec 07, 2020	0.000387	0.000580	0.000382	0.000384	22.03	5,194.52
Dec 06, 2020	0.000383	0.000577	0.000378	0.000387	18.25	5,232.47
Dec 05, 2020	0.000374	0.000575	0.000372	0.000383	21.31	5,180.56
Dec 04, 2020	0.000583	0.000583	0.000374	0.000375	18.19	5,075.94
Dec 03, 2020	0.000384	0.000587	0.000379	0.000583	27.67	7,891.47
Dec 02, 2020	0.000376	0.000764	0.000185	0.000384	40.86	5,197.15
Dec 01, 2020	0.000196	0.000393	0.000184	0.000376	25.66	5,088.25
Nov 30, 2020	0.000182	0.000395	0.000182	0.000196	10.71	2,655.47
Nov 29, 2020	0.000532	0.000547	0.000181	0.000182	17.02	2,459.41
Nov 28, 2020	0.000342	0.000534	0.000338	0.000532	16.89	7,191.39
Nov 27, 2020	0.000514	0.000523	0.000334	0.000342	21.87	4,629.39
Nov 26, 2020	0.000562	0.000565	0.000329	0.000514	17.16	6,949.80
Nov 25, 2020	0.000573	0.000766	0.000373	0.000562	18.23	7,603.68
Nov 24, 2020	0.000735	0.000769	0.000544	0.000573	44.86	7,756.15
Nov 23, 2020	0.000625	0.000745	0.000502	0.000734	23.18	9,931.71
Nov 22, 2020	0.000559	0.000741	0.000500	0.000625	27.07	8,455.21
Nov 21, 2020	0.000529	0.000750	0.000529	0.000559	27.32	7,565.32
