date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.132872	0.136890	0.131570	0.136036	341,000	10,955,763
Dec 15, 2020	0.133032	0.210506	0.132338	0.132806	62,609.45	10,695,621
Dec 14, 2020	0.133028	0.210395	0.132211	0.210346	91,199.77	16,940,303
Dec 13, 2020	0.132127	0.209705	0.131567	0.208934	92,933.44	16,826,610
Dec 12, 2020	0.130854	0.209966	0.130708	0.209462	91,740.37	16,869,139
Dec 11, 2020	0.133297	0.207547	0.130092	0.207520	93,114.85	16,712,703
Dec 10, 2020	0.135512	0.206938	0.132734	0.133291	8,824.42	10,734,527
Dec 09, 2020	0.203513	0.203636	0.131371	0.135510	6,551.70	10,913,292
Dec 08, 2020	0.135775	0.208969	0.132324	0.132671	13,228.14	10,685,709
Dec 07, 2020	0.140494	0.209746	0.134723	0.135782	9,829.83	10,937,460
Dec 06, 2020	0.139527	0.209936	0.138134	0.209729	97,561.70	16,892,222
Dec 05, 2020	0.138201	0.207770	0.136287	0.139469	6,022.72	11,230,937
Dec 04, 2020	0.140257	0.208957	0.137016	0.207775	98,541.83	16,729,628
Dec 03, 2020	0.147333	0.147491	0.139868	0.140225	9,112.23	11,289,740
Dec 02, 2020	0.146198	0.149882	0.144984	0.147350	10,666.92	11,865,354
Dec 01, 2020	0.160581	0.160668	0.145863	0.146196	40,982.44	11,771,917
Nov 30, 2020	0.149259	0.166261	0.149259	0.160587	117,925	12,936,066
Nov 29, 2020	0.149549	0.153151	0.148198	0.149264	1,145.99	12,022,546
Nov 28, 2020	0.149361	0.151200	0.147678	0.149549	4,688.21	12,045,156
Nov 27, 2020	0.149798	0.155643	0.147472	0.149358	6,242.75	12,028,704
Nov 26, 2020	0.163010	0.166847	0.146981	0.149665	56,570.52	12,052,627
Nov 25, 2020	0.167550	0.169156	0.163196	0.163196	15,109.54	13,143,381
Nov 24, 2020	0.196018	0.200869	0.098689	0.167558	80,068.18	13,495,911
Nov 23, 2020	0.114419	0.196126	0.112245	0.115408	15,243.25	9,182,136
Nov 22, 2020	0.116726	0.202125	0.104553	0.114427	18,678.75	9,100,410
Nov 21, 2020	0.194335	0.205490	0.114053	0.202072	86,826.65	16,064,710
Nov 20, 2020	0.208324	0.208402	0.114380	0.114968	23,729.57	9,138,957
Nov 19, 2020	0.117945	0.208916	0.115827	0.208324	146,038	16,557,871
Nov 18, 2020	0.119724	0.206118	0.113972	0.190072	95,722.97	15,107,179
Nov 17, 2020	0.117283	0.209676	0.116424	0.206081	85,415.64	16,377,926
Nov 16, 2020	0.209122	0.209685	0.113897	0.209569	80,081.88	16,655,167
Nov 15, 2020	0.117410	0.209551	0.114509	0.209122	145,297	16,619,596
Nov 14, 2020	0.119810	0.208155	0.114808	0.208155	81,840.06	16,542,748
Nov 13, 2020	0.118107	0.205896	0.117205	0.201773	87,726.14	16,035,539
Nov 12, 2020	0.115529	0.204346	0.112961	0.204346	86,470.76	16,240,057
Nov 11, 2020	0.116096	0.197870	0.076183	0.196904	90,944.61	15,647,044
Nov 10, 2020	0.205664	0.205933	0.103048	0.187626	99,764.50	14,910,201
Nov 09, 2020	0.206030	0.209435	0.110729	0.112684	6,425.44	8,953,871
Nov 08, 2020	0.203964	0.208131	0.111171	0.115614	6,251.70	9,187,619
Nov 07, 2020	0.209494	0.210521	0.109068	0.111111	2,497.19	8,829,234
Nov 06, 2020	0.205269	0.209663	0.108195	0.209493	144,933	16,646,121
Nov 05, 2020	0.209076	0.210766	0.205269	0.205270	0	16,310,489
Nov 04, 2020	0.210696	0.210766	0.208161	0.209075	0	16,612,898
Nov 03, 2020	0.210690	0.210743	0.210565	0.210696	143,980	16,741,068
Nov 02, 2020	0.210660	0.210690	0.205622	0.210690	143,972	16,740,583
Nov 01, 2020	0.204588	0.210694	0.204585	0.210660	143,955	16,738,162
Oct 31, 2020	0.186992	0.204622	0.103283	0.204587	0	16,255,054
Oct 30, 2020	0.121983	0.187048	0.092154	0.106556	36,165.53	8,466,465
Oct 29, 2020	0.205770	0.208321	0.108137	0.121983	17,973.29	9,696,374
Oct 28, 2020	0.202992	0.207243	0.102533	0.125433	5,305.36	9,976,594
Oct 27, 2020	0.098202	0.202992	0.096158	0.125528	5,990.99	9,984,172
Oct 26, 2020	0.105548	0.207064	0.098197	0.128563	13,623.77	10,225,576
Oct 25, 2020	0.116837	0.209227	0.105503	0.206711	74,899.84	16,447,446
Oct 24, 2020	0.206057	0.206688	0.105146	0.206486	83,801.85	16,429,545
Oct 23, 2020	0.201142	0.206071	0.097672	0.206056	148,770	16,395,374
Oct 22, 2020	0.208067	0.208124	0.097098	0.113664	7,213.42	9,041,902
Oct 21, 2020	0.116114	0.209268	0.114063	0.118818	5,483.39	9,451,337
Oct 20, 2020	0.126378	0.209358	0.116079	0.208336	81,505.30	16,570,265
Oct 19, 2020	0.208366	0.209456	0.119541	0.209261	88,091.20	16,643,819
Oct 18, 2020	0.209205	0.209229	0.118579	0.124329	4,559.93	9,888,654
Oct 17, 2020	0.201839	0.209201	0.110480	0.120614	2,443.19	9,593,168
Oct 16, 2020	0.133850	0.203603	0.115946	0.127844	13,725.11	10,168,194
Oct 15, 2020	0.149200	0.201949	0.132569	0.132571	27,159.47	10,544,208
Oct 14, 2020	0.210814	0.210859	0.108751	0.149200	60,170.57	11,865,944
Oct 13, 2020	0.210854	0.210866	0.210757	0.210814	144,066	16,676,748
Oct 12, 2020	0.210735	0.210857	0.210706	0.210854	144,093	16,674,968
Oct 11, 2020	0.210766	0.210846	0.100792	0.210735	144,011	16,665,513
Oct 10, 2020	0.209809	0.210849	0.209786	0.210766	144,033	16,667,162
Oct 09, 2020	0.088377	0.209816	0.087987	0.209809	145,120	16,590,832
Oct 08, 2020	0.204623	0.205781	0.088363	0.088377	76,105.56	6,988,474
Oct 07, 2020	0.210674	0.210760	0.204530	0.204623	145,727	16,094,409
Oct 06, 2020	0.184623	0.210760	0.156056	0.210674	143,970	16,571,602
Oct 05, 2020	0.176230	0.186358	0.176226	0.184622	158,243	14,517,932
Oct 04, 2020	0.089738	0.181355	0.066034	0.176210	163,480	13,856,435
Oct 03, 2020	0.095150	0.166132	0.063591	0.089738	43,668.68	7,057,647
Oct 02, 2020	0.159236	0.199087	0.094607	0.095150	79,003.31	7,509,718
Oct 01, 2020	0.209142	0.209919	0.158897	0.159867	250,749	12,655,335
