date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.006863	0.007403	0.006794	0.007390	67.24	3,793,268
Dec 15, 2020	0.006808	0.006918	0.006749	0.006863	62.44	3,522,695
Dec 14, 2020	0.006833	0.006851	0.006715	0.006809	58.67	3,494,986
Dec 13, 2020	0.006621	0.006883	0.006582	0.006833	58.91	3,507,450
Dec 12, 2020	0.006363	0.006671	0.006357	0.006621	57.03	3,398,550
Dec 11, 2020	0.006502	0.006508	0.006261	0.006363	54.86	3,266,282
Dec 10, 2020	0.006646	0.006656	0.006391	0.006502	56.12	3,337,642
Dec 09, 2020	0.006462	0.006680	0.006244	0.006647	57.31	3,411,602
Dec 08, 2020	0.006857	0.006889	0.006438	0.006462	55.70	3,316,784
Dec 07, 2020	0.006957	0.006971	0.006782	0.006858	59.13	3,519,941
Dec 06, 2020	0.005469	0.006976	0.005416	0.006955	59.96	3,569,971
Dec 05, 2020	0.005306	0.005470	0.005270	0.005468	21.11	2,806,510
Dec 04, 2020	0.005583	0.005601	0.005307	0.005316	20.55	2,728,701
Dec 03, 2020	0.005483	0.005621	0.005406	0.005583	21.56	2,865,504
Dec 02, 2020	0.005382	0.005515	0.005281	0.005484	21.18	2,814,857
Dec 01, 2020	0.003581	0.005579	0.003493	0.005383	20.84	2,762,963
Nov 30, 2020	0.003461	0.003585	0.003461	0.003581	41.71	1,838,027
Nov 29, 2020	0.007145	0.007229	0.003420	0.003461	40.26	1,776,448
Nov 28, 2020	0.007167	0.007686	0.007071	0.007146	30.73	3,667,770
Nov 27, 2020	0.003282	0.007196	0.003277	0.007167	25.28	3,678,776
Nov 26, 2020	0.004995	0.005028	0.003218	0.003281	56.00	1,684,041
Nov 25, 2020	0.005190	0.005197	0.004930	0.004997	167.94	2,565,091
Nov 24, 2020	0.005179	0.005255	0.005114	0.005189	174.02	2,663,379
Nov 23, 2020	0.006254	0.006458	0.005035	0.005173	173.67	2,655,517
Nov 22, 2020	0.007453	0.007673	0.006254	0.006254	163.96	3,210,335
Nov 21, 2020	0.006991	0.007464	0.006921	0.007453	114.86	3,825,724
Nov 20, 2020	0.006527	0.007036	0.006523	0.006992	107.63	3,588,829
Nov 19, 2020	0.006587	0.006615	0.006425	0.006527	123.66	3,350,486
Nov 18, 2020	0.006639	0.006781	0.006401	0.006586	1,595.11	3,380,722
Nov 17, 2020	0.006431	0.006648	0.006348	0.006639	1,828.38	3,407,758
Nov 16, 2020	0.009851	0.010988	0.009620	0.009860	12,475.67	5,061,171
Nov 15, 2020	0.008228	0.010481	0.003664	0.009854	11,251.58	5,058,050
Nov 14, 2020	0.006691	0.008422	0.005974	0.008231	52,706.84	4,224,877
Nov 13, 2020	0.002632	0.006735	0.002567	0.006690	60,958.07	3,433,680
Nov 12, 2020	0.002613	0.002633	0.002602	0.002632	72.73	1,351,021
