date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000054	0.000060	0.000054	0.000060	2.53	50,087.12
Dec 15, 2020	0.000054	0.000055	0.000053	0.000054	2.30	45,653.39
Dec 14, 2020	0.000054	0.000054	0.000053	0.000054	2.28	45,261.78
Dec 13, 2020	0.000053	0.000054	0.000052	0.000054	42.25	45,006.69
Dec 12, 2020	0.000051	0.000053	0.000051	0.000053	41.48	44,186.35
Dec 11, 2020	0.000051	0.000051	0.000049	0.000051	39.88	42,479.36
Dec 10, 2020	0.000143	0.000143	0.000050	0.000051	40.33	42,951.36
Dec 09, 2020	0.000145	0.000146	0.000142	0.000143	9.29	120,007
Dec 08, 2020	0.000142	0.000151	0.000141	0.000145	6.14	121,551
Dec 07, 2020	0.000193	0.000193	0.000141	0.000142	53,978.74	119,262
Dec 06, 2020	0.000179	0.000193	0.000179	0.000193	157,214	161,637
Dec 05, 2020	0.000177	0.000185	0.000171	0.000179	153,847	150,226
Dec 04, 2020	0.000154	0.000207	0.000152	0.000177	136,423	148,202
Dec 03, 2020	0.000185	0.000190	0.000152	0.000154	6.51	128,946
Dec 02, 2020	0.000170	0.000190	0.000168	0.000186	70,648.05	155,725
Dec 01, 2020	0.000215	0.000222	0.000170	0.000170	165,511	143,040
Nov 30, 2020	0.000207	0.000225	0.000206	0.000215	200,660	180,618
Nov 29, 2020	0.000129	0.000208	0.000123	0.000207	76,904.03	174,008
Nov 28, 2020	0.000124	0.000136	0.000122	0.000129	84,511.01	108,464
Nov 27, 2020	0.000130	0.000138	0.000114	0.000124	79,159.97	104,251
Nov 26, 2020	0.000211	0.000211	0.000117	0.000130	124,803	108,772
Nov 25, 2020	0.000217	0.000247	0.000207	0.000211	204,316	177,294
Nov 24, 2020	0.000261	0.000266	0.000215	0.000217	219,326	182,476
Nov 23, 2020	0.000229	0.000262	0.000222	0.000261	245,287	219,049
Nov 22, 2020	0.000225	0.000244	0.000205	0.000229	226,555	191,878
Nov 21, 2020	0.000229	0.000238	0.000210	0.000225	223,274	188,633
Nov 20, 2020	0.000193	0.000229	0.000193	0.000229	210,644	192,035
Nov 19, 2020	0.000201	0.000202	0.000186	0.000193	186,525	162,329
Nov 18, 2020	0.000187	0.000202	0.000183	0.000201	187,546	169,034
Nov 17, 2020	0.000172	0.000188	0.000166	0.000187	165,637	157,257
Nov 16, 2020	0.000166	0.000179	0.000165	0.000170	159,454	142,847
