date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.689028	0.689542	0.663588	0.666766	2,482,961	6,018,079
Dec 15, 2020	0.679408	0.701284	0.660191	0.688891	2,375,639	6,211,837
Dec 14, 2020	0.645143	0.714836	0.627723	0.679182	3,202,583	6,118,070
Dec 13, 2020	0.635507	0.686136	0.624376	0.649156	2,203,528	5,831,567
Dec 12, 2020	0.633194	0.681533	0.617488	0.635836	2,368,793	5,704,073
Dec 11, 2020	0.707470	0.707470	0.600895	0.633791	2,846,018	5,603,507
Dec 10, 2020	0.691164	0.743706	0.651583	0.707445	2,757,423	6,247,563
Dec 09, 2020	0.695720	0.715468	0.659128	0.691517	2,832,263	5,954,869
Dec 08, 2020	0.793321	0.813592	0.698482	0.698484	2,839,625	6,008,808
Dec 07, 2020	0.864584	0.864584	0.777104	0.793328	3,095,747	6,817,466
Dec 06, 2020	0.815717	0.892292	0.781098	0.864345	4,893,469	7,406,526
Dec 05, 2020	0.758174	0.817422	0.732283	0.816599	3,410,508	6,992,023
Dec 04, 2020	0.867410	0.948019	0.756648	0.758001	6,298,257	6,486,295
Dec 03, 2020	0.717439	0.960494	0.706084	0.868015	9,401,127	7,421,958
Dec 02, 2020	0.636659	0.763661	0.627548	0.717539	4,919,126	6,128,161
Dec 01, 2020	0.626712	0.774340	0.610326	0.636652	4,817,892	5,426,628
Nov 30, 2020	0.635563	0.653456	0.603423	0.627926	2,468,605	5,333,367
Nov 29, 2020	0.652690	0.653134	0.613903	0.635595	2,063,326	5,385,080
Nov 28, 2020	0.693149	0.709385	0.618559	0.653028	3,336,202	5,521,692
Nov 27, 2020	0.559648	0.750898	0.539957	0.691884	4,915,858	5,841,441
Nov 26, 2020	0.659750	0.673255	0.490172	0.559568	4,266,239	4,717,968
Nov 25, 2020	0.708459	0.789731	0.641882	0.659847	4,859,002	5,437,398
Nov 24, 2020	0.776820	0.806622	0.686944	0.708605	3,932,138	5,826,429
Nov 23, 2020	0.785269	0.830908	0.749353	0.776769	3,544,832	6,376,717
Nov 22, 2020	0.853103	0.888597	0.727657	0.785269	4,738,707	6,428,528
Nov 21, 2020	0.974173	0.988080	0.840863	0.853103	5,256,146	6,979,526
Nov 20, 2020	0.830182	1.06	0.813116	0.974173	8,038,589	7,963,909
Nov 19, 2020	0.794011	0.879306	0.776054	0.830186	4,345,057	6,649,125
Nov 18, 2020	0.879783	0.904062	0.745365	0.794011	6,155,064	6,283,117
Nov 17, 2020	0.981509	1.07	0.861707	0.879783	8,310,220	6,950,981
Nov 16, 2020	1.10	1.15	0.880938	1.06	18,007,764	8,399,659
Nov 15, 2020	0.616098	1.56	0.611945	1.10	33,750,920	8,697,559
Nov 14, 2020	0.490341	0.632742	0.481585	0.616098	3,804,642	4,653,578
Nov 13, 2020	0.458463	0.490344	0.456718	0.490341	1,771,763	3,691,810
Nov 12, 2020	0.482230	0.490654	0.454670	0.458464	1,945,131	3,447,346
Nov 11, 2020	0.495251	0.533623	0.470803	0.482230	2,059,780	3,623,811
Nov 10, 2020	0.426111	0.515456	0.416557	0.495251	2,172,534	3,710,065
Nov 09, 2020	0.463748	0.469630	0.425267	0.426111	1,380,490	3,189,015
Nov 08, 2020	0.460091	0.496101	0.449766	0.463748	1,590,874	3,462,930
Nov 07, 2020	0.427385	0.534922	0.416043	0.460091	2,699,710	3,432,080
Nov 06, 2020	0.383320	0.447308	0.379569	0.427385	1,879,892	3,182,915
Nov 05, 2020	0.394529	0.409491	0.365929	0.383320	1,419,646	2,849,286
Nov 04, 2020	0.397274	0.408353	0.379878	0.394529	1,444,583	2,919,464
Nov 03, 2020	0.433976	0.438351	0.383856	0.397274	1,418,377	2,937,474
Nov 02, 2020	0.481860	0.493240	0.414219	0.433976	1,638,301	3,193,338
Nov 01, 2020	0.503806	0.557010	0.448606	0.481860	2,000,603	3,541,569
Oct 31, 2020	0.523600	0.531411	0.496979	0.503806	1,272,174	3,562,492
Oct 30, 2020	0.557309	0.568116	0.483983	0.523600	1,905,991	3,700,529
Oct 29, 2020	0.581167	0.586268	0.553681	0.557309	1,430,992	3,928,678
Oct 28, 2020	0.638465	0.689371	0.573241	0.581167	1,832,318	4,087,441
Oct 27, 2020	0.669318	0.728669	0.635528	0.638465	2,199,819	4,486,481
Oct 26, 2020	0.612197	0.749026	0.601485	0.669318	2,783,760	4,696,847
Oct 25, 2020	0.643365	0.668477	0.597623	0.612197	1,452,003	4,694,162
Oct 24, 2020	0.631534	0.674097	0.629725	0.643365	1,398,945	5,064,164
Oct 23, 2020	0.600499	0.644613	0.597570	0.631534	1,488,026	4,965,449
Oct 22, 2020	0.607611	0.612400	0.591657	0.599828	1,595,205	4,676,073
Oct 21, 2020	0.624054	0.636042	0.596297	0.606200	1,727,080	4,725,744
Oct 20, 2020	0.608350	0.668743	0.599758	0.623810	2,173,501	4,857,441
Oct 19, 2020	0.611736	0.615457	0.600367	0.608304	1,306,692	4,731,270
Oct 18, 2020	0.637097	0.655176	0.608547	0.612736	1,587,092	4,749,834
Oct 17, 2020	0.609165	0.667598	0.597034	0.634110	1,662,305	4,909,619
Oct 16, 2020	0.634553	0.653463	0.590029	0.610233	1,935,315	4,715,764
Oct 15, 2020	0.671288	0.696014	0.626646	0.633735	1,768,129	4,989,872
Oct 14, 2020	0.745954	0.750017	0.658217	0.668867	1,635,882	5,258,994
Oct 13, 2020	0.757822	0.770974	0.720854	0.744988	2,177,380	5,845,732
Oct 12, 2020	0.775190	0.797949	0.734685	0.760239	2,298,587	5,951,859
Oct 11, 2020	0.788621	0.815040	0.750731	0.775272	2,443,490	6,050,547
Oct 10, 2020	0.767383	0.874072	0.767383	0.788695	2,961,306	6,154,218
Oct 09, 2020	0.669897	0.807187	0.656578	0.764685	2,714,288	5,788,144
Oct 08, 2020	0.714602	0.716820	0.623180	0.669641	2,384,050	5,077,195
Oct 07, 2020	0.624512	0.746704	0.600472	0.715123	2,787,851	5,354,977
Oct 06, 2020	0.865763	0.879806	0.616325	0.620341	2,906,262	4,628,923
Oct 05, 2020	1.04	1.11	0.850226	0.865609	3,738,604	6,437,231
Oct 04, 2020	1.11	1.13	0.894731	1.04	5,507,499	7,818,393
Oct 03, 2020	1.09	1.17	1.08	1.10	2,106,256	8,254,027
Oct 02, 2020	1.21	1.24	1.06	1.09	3,083,964	8,118,714
Oct 01, 2020	1.29	1.33	1.19	1.21	2,819,695	9,014,142
Sep 30, 2020	1.38	1.39	1.24	1.28	3,393,243	9,402,005
Sep 29, 2020	1.23	1.39	1.19	1.39	5,142,375	10,165,832
Sep 28, 2020	1.30	1.31	1.19	1.23	5,270,654	8,969,470
Sep 27, 2020	1.36	1.41	1.26	1.31	4,007,955	9,459,677
Sep 26, 2020	1.50	1.62	1.33	1.36	5,188,452	9,853,672
Sep 25, 2020	1.28	1.71	1.27	1.50	9,373,237	10,793,677
Sep 24, 2020	1.15	1.38	1.13	1.28	5,118,396	9,168,829
Sep 23, 2020	1.51	1.54	1.13	1.16	6,277,909	8,295,819
Sep 22, 2020	1.33	1.55	1.23	1.53	7,080,267	12,477,308
Sep 21, 2020	1.76	1.82	1.32	1.33	10,767,314	10,693,112
Sep 20, 2020	2.94	2.94	1.71	1.76	13,981,205	14,139,518
Sep 19, 2020	3.77	3.81	2.67	2.94	26,121,316	20,524,555
Sep 18, 2020	3.06	4.65	2.78	3.78	21,105,895	25,092,382
Sep 17, 2020	3.92	4.08	2.58	3.08	19,330,734	18,647,310
Sep 16, 2020	4.75	4.77	3.84	3.92	31,624,733	22,337,753
Sep 15, 2020	5.12	6.84	4.66	4.77	57,661,461	24,490,608
Sep 14, 2020	5.47	5.83	5.08	5.12	33,723,850	23,786,582
Sep 13, 2020	6.99	6.99	5.20	5.47	58,068,543	22,427,122
Sep 12, 2020	4.73	7.59	4.63	6.99	88,302,052	25,009,281
Sep 11, 2020	5.13	5.31	4.37	4.70	49,722,173	14,619,683
Sep 10, 2020	6.96	8.86	4.79	5.17	72,239,446	13,522,313
Sep 09, 2020	4.85	8.15	4.14	6.96	12,957,723	14,649,260
Sep 08, 2020	3.34	5.72	2.96	4.84	6,610,723	7,304,511
Sep 07, 2020	5.18	6.45	3.16	3.34	4,104,594	3,264,343
Sep 06, 2020	6.01	9.13	3.25	5.19	3,951,274	265,699
Sep 05, 2020	28.22	42.22	4.62	5.94	5,944,641	304,174
