date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.108032	0.125031	0.106823	0.122474	13,559.89	86,582.04
Dec 15, 2020	0.119386	0.121595	0.107055	0.108042	7,792.81	76,379.32
Dec 14, 2020	0.128280	0.146438	0.114534	0.119387	6,334.19	84,399.35
Dec 13, 2020	0.152002	0.166759	0.115848	0.128269	9,406.64	90,678.57
Dec 12, 2020	0.120092	0.165288	0.110507	0.152024	7,289.24	107,472
Dec 11, 2020	0.118955	0.124885	0.106392	0.120082	9,685.24	84,890.74
Dec 10, 2020	0.124996	0.127192	0.098024	0.118953	5,774.67	84,092.88
Dec 09, 2020	0.131224	0.131703	0.112533	0.124992	4,054.38	88,361.93
Dec 08, 2020	0.149505	0.152999	0.128124	0.131193	2,765.82	92,745.30
Dec 07, 2020	0.153949	0.158315	0.147172	0.149524	18,593.21	105,704
Dec 06, 2020	0.173185	0.176556	0.147823	0.153895	12,590.57	108,795
Dec 05, 2020	0.144797	0.179752	0.141111	0.173168	5,276.86	122,419
Dec 04, 2020	0.145557	0.153830	0.141566	0.144820	8,315.84	102,379
Dec 03, 2020	0.148935	0.151409	0.118702	0.145573	6,838.77	102,911
Dec 02, 2020	0.145867	0.152069	0.141856	0.148947	5,421.77	105,296
Dec 01, 2020	0.151044	0.156701	0.140210	0.145900	9,924.43	103,142
Nov 30, 2020	0.161005	0.166940	0.145525	0.151035	14,555.80	106,773
Nov 29, 2020	0.154437	0.164582	0.152373	0.161013	7,799.11	113,827
Nov 28, 2020	0.142421	0.156165	0.140963	0.154451	6,368.25	109,188
Nov 27, 2020	0.144015	0.149376	0.139806	0.142412	4,793.92	100,677
Nov 26, 2020	0.167193	0.173233	0.135529	0.143970	11,961.83	101,778
Nov 25, 2020	0.183913	0.188066	0.123924	0.167219	7,350.34	118,214
Nov 24, 2020	0.135721	0.192813	0.096837	0.183911	11,164.86	130,014
Nov 23, 2020	0.135334	0.140986	0.129590	0.135750	8,236.60	95,967.22
Nov 22, 2020	0.160044	0.165334	0.127164	0.135423	8,548.03	95,735.90
Nov 21, 2020	0.145665	0.161710	0.138065	0.160041	5,948.66	113,139
Nov 20, 2020	0.144695	0.150069	0.141788	0.145671	4,986.12	102,981
Nov 19, 2020	0.144121	0.164764	0.131434	0.144699	5,038.29	102,294
Nov 18, 2020	0.086031	0.158514	0.085687	0.144106	12,255.10	101,875
Nov 17, 2020	0.084982	0.115939	0.070545	0.086027	20,540.57	60,816.10
Nov 16, 2020	0.147285	0.148003	0.057890	0.107910	14,516.34	76,285.93
Nov 15, 2020	0.152470	0.152709	0.132499	0.147286	12,235.33	104,122
Nov 14, 2020	0.156084	0.157103	0.147742	0.152462	10,323.39	107,782
Nov 13, 2020	0.162161	0.165793	0.151628	0.156084	13,549.62	110,342
Nov 12, 2020	0.164406	0.166862	0.124303	0.162160	15,903.37	114,637
Nov 11, 2020	0.161279	0.165957	0.159729	0.164419	11,374.77	116,234
Nov 10, 2020	0.160992	0.164784	0.158576	0.161264	10,484.31	114,004
Nov 09, 2020	0.166687	0.175918	0.158570	0.161024	19,084.10	113,834
Nov 08, 2020	0.161431	0.167392	0.159102	0.166756	16,092.89	117,886
Nov 07, 2020	0.181421	0.183907	0.157599	0.161590	14,091.06	114,234
Nov 06, 2020	0.180041	0.185488	0.175616	0.181282	16,140.30	128,156
Nov 05, 2020	0.172922	0.181807	0.171135	0.180044	21,483.13	127,280
Nov 04, 2020	0.171728	0.175345	0.166886	0.172917	19,434.12	122,242
Nov 03, 2020	0.168773	0.172723	0.165527	0.171427	15,876.33	121,188
