date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.010748	0.011291	0.009801	0.009825	4,920.92	0
Dec 15, 2020	0.010708	0.010763	0.010303	0.010747	1,067.04	0
Dec 14, 2020	0.011693	0.013469	0.010514	0.010708	7,832.24	0
Dec 13, 2020	0.021263	0.022173	0.011615	0.011693	20,223.24	0
Dec 12, 2020	0.021816	0.022429	0.021123	0.021263	2,421.29	0
Dec 11, 2020	0.023728	0.023755	0.021705	0.021815	3,219.44	0
Dec 10, 2020	0.025627	0.025656	0.023615	0.023729	2,817.82	0
Dec 09, 2020	0.027333	0.027490	0.024235	0.025627	9,733.50	0
Dec 08, 2020	0.021437	0.030178	0.021127	0.027333	24,552.95	0
Dec 07, 2020	0.021031	0.021542	0.020183	0.021438	4,503.66	0
Dec 06, 2020	0.020183	0.021587	0.019954	0.021030	6,603.89	0
Dec 05, 2020	0.018039	0.020894	0.017819	0.020183	6,005.48	0
Dec 04, 2020	0.021524	0.021567	0.017963	0.018039	3,054.14	0
Dec 03, 2020	0.020104	0.021535	0.019856	0.021524	1,538.47	0
Dec 02, 2020	0.019367	0.020157	0.019067	0.020105	776.36	0
Dec 01, 2020	0.018901	0.020774	0.018594	0.019367	1,547.24	0
Nov 30, 2020	0.017400	0.019108	0.017400	0.018902	1,537.45	0
Nov 29, 2020	0.016354	0.017440	0.016204	0.017400	285.25	0
Nov 28, 2020	0.017639	0.017816	0.016354	0.016354	3,637.40	0
Nov 27, 2020	0.019454	0.019895	0.017561	0.017638	2,493.50	0
Nov 26, 2020	0.021426	0.021635	0.017460	0.019452	3,720.88	0
Nov 25, 2020	0.024046	0.024096	0.020921	0.021426	1,909.85	0
Nov 24, 2020	0.025305	0.025873	0.023764	0.024046	1,569.96	0
Nov 23, 2020	0.025626	0.028121	0.025073	0.025306	4,140.50	0
Nov 22, 2020	0.023082	0.026528	0.021328	0.025628	4,050.97	0
Nov 21, 2020	0.021611	0.023082	0.021196	0.023082	1,513.60	0
Nov 20, 2020	0.019738	0.021712	0.019701	0.021612	614.84	0
Nov 19, 2020	0.019388	0.020262	0.018890	0.019738	1,689.28	0
Nov 18, 2020	0.019320	0.019779	0.018741	0.019386	19.26	0
Nov 17, 2020	0.019703	0.020517	0.019202	0.019330	1,775.21	0
Nov 16, 2020	0.020431	0.020651	0.018808	0.019394	3,122.94	0
Nov 15, 2020	0.021564	0.021585	0.020095	0.020430	1,024.39	0
Nov 14, 2020	0.023780	0.023822	0.020324	0.021563	4,451.08	0
Nov 13, 2020	0.018131	0.025081	0.018044	0.023768	14,817.38	0
Nov 12, 2020	0.019304	0.020385	0.017790	0.018138	7,635.24	0
Nov 11, 2020	0.019182	0.020170	0.019103	0.019304	2,567.39	0
Nov 10, 2020	0.018950	0.019761	0.018810	0.019191	2,526.30	0
Nov 09, 2020	0.020777	0.021524	0.018912	0.018950	3,346.31	0
Nov 08, 2020	0.019748	0.020873	0.019614	0.020775	62.21	0
Nov 07, 2020	0.020065	0.020585	0.019077	0.019723	729.59	0
Nov 06, 2020	0.017369	0.020202	0.017369	0.020059	2,442.81	0
Nov 05, 2020	0.019952	0.020210	0.016949	0.017370	21,669.23	0
Nov 04, 2020	0.016911	0.031468	0.016526	0.019951	383,641	0
Nov 03, 2020	0.014723	0.019840	0.014450	0.016911	350,047	0
Nov 02, 2020	0.012980	0.017118	0.012611	0.014722	558,495	0
Nov 01, 2020	0.012926	0.013233	0.011883	0.012979	10,786.14	0
Oct 31, 2020	0.013567	0.014573	0.012880	0.012925	5,087.42	0
Oct 30, 2020	0.015012	0.015237	0.012648	0.013567	6,954.84	0
Oct 29, 2020	0.015897	0.015981	0.014962	0.015012	1,385.34	0
Oct 28, 2020	0.024189	0.024601	0.015102	0.015897	16,499.38	0
Oct 27, 2020	0.023492	0.024611	0.023417	0.024190	201.23	0
Oct 26, 2020	0.025340	0.025431	0.023238	0.023491	1,710.50	0
Oct 25, 2020	0.028036	0.028136	0.024963	0.025340	4,326.56	0
Oct 24, 2020	0.028094	0.028761	0.025887	0.028037	6,408.86	0
Oct 23, 2020	0.028754	0.029052	0.027618	0.028095	0	0
Oct 22, 2020	0.030209	0.030577	0.028118	0.028754	3,585.45	0
Oct 21, 2020	0.028519	0.031040	0.028519	0.030287	425.59	0
Oct 20, 2020	0.029433	0.030420	0.028521	0.028521	20,556.93	0
Oct 19, 2020	0.028982	0.029456	0.028521	0.029433	869.58	0
Oct 18, 2020	0.026582	0.029604	0.026520	0.028982	4,084.36	0
Oct 17, 2020	0.027125	0.027435	0.025656	0.026594	6,423.20	0
Oct 16, 2020	0.027251	0.028326	0.026097	0.026787	32,959.14	0
Oct 15, 2020	0.031312	0.031362	0.026453	0.027251	5,931.62	0
Oct 14, 2020	0.033133	0.033923	0.030507	0.031312	4,644.53	0
Oct 13, 2020	0.034521	0.035296	0.031333	0.033133	5,348.75	0
Oct 12, 2020	0.036671	0.036687	0.032507	0.034521	8,543.73	0
Oct 11, 2020	0.036407	0.038474	0.035505	0.036671	12,885.19	0
Oct 10, 2020	0.035159	0.036238	0.033193	0.034469	6,981.90	0
Oct 09, 2020	0.034562	0.038541	0.034211	0.035159	16,128.78	0
Oct 08, 2020	0.033145	0.035808	0.031942	0.034562	13,605.57	0
Oct 07, 2020	0.039102	0.039102	0.031189	0.033145	19,764.23	0
Oct 06, 2020	0.043306	0.043358	0.036029	0.039102	42,234.04	0
Oct 05, 2020	0.051109	0.054174	0.040359	0.042592	29,352.15	0
Oct 04, 2020	0.054391	0.062944	0.043812	0.051111	109,051	0
Oct 03, 2020	0.042716	0.082132	0.042178	0.054391	286,123	0
Oct 02, 2020	0.046801	0.050645	0.034920	0.042716	111,228	0
Oct 01, 2020	0.065929	0.079769	0.044346	0.046801	259,393	0
Sep 30, 2020	0.036101	0.083257	0.036101	0.066709	530,135	0
Sep 29, 2020	0.030571	0.039828	0.027773	0.036101	103,687	0
Sep 28, 2020	0.025255	0.040934	0.024708	0.030571	53,651.95	0
Sep 27, 2020	0.022134	0.025563	0.018936	0.025255	44,799.13	0
Sep 26, 2020	0.027534	0.027572	0.021156	0.022134	13,978.25	0
Sep 25, 2020	0.021415	0.029724	0.020491	0.028727	18,047.93	0
Sep 24, 2020	0.014740	0.021577	0.014690	0.021415	16,515.48	0
Sep 23, 2020	0.014841	0.015642	0.014452	0.014715	4,592.07	0
Sep 22, 2020	0.013697	0.014995	0.013454	0.014925	4,804.75	0
Sep 21, 2020	0.013849	0.015857	0.013701	0.013717	5,915.00	0
Sep 20, 2020	0.014396	0.014445	0.013220	0.013849	1,950.89	0
Sep 19, 2020	0.013767	0.014728	0.013482	0.014380	2,682.98	0
Sep 18, 2020	0.014842	0.017492	0.012449	0.013767	2,302.05	0
Sep 17, 2020	0.014624	0.014920	0.014221	0.014864	1,637.36	0
Sep 16, 2020	0.014996	0.014996	0.014393	0.014630	1,268.96	0
Sep 15, 2020	0.015346	0.015608	0.014891	0.015002	609.63	0
Sep 14, 2020	0.013833	0.015370	0.013463	0.015346	8,695.79	0
Sep 13, 2020	0.014961	0.015187	0.013591	0.013815	1,998.17	0
Sep 12, 2020	0.015308	0.015473	0.014189	0.014960	2,858.41	0
Sep 11, 2020	0.014788	0.015395	0.013320	0.015310	9,492.04	0
Sep 10, 2020	0.015017	0.016021	0.014392	0.014781	7,904.96	0
Sep 09, 2020	0.013524	0.015180	0.012755	0.015017	33,020.58	0
Sep 08, 2020	0.014825	0.014957	0.012639	0.013518	6,523.78	0
Sep 07, 2020	0.015564	0.015691	0.014299	0.014823	3,918.35	0
Sep 06, 2020	0.014024	0.015620	0.012366	0.015564	17,509.79	0
Sep 05, 2020	0.016517	0.022810	0.013865	0.014040	40,496.21	0
Sep 04, 2020	0.024400	0.024400	0.014585	0.016511	57,106.84	0
Sep 03, 2020	0.045897	0.049295	0.022986	0.024324	101,710	0
Sep 02, 2020	0.056820	0.094249	0.042712	0.045671	316,907	0
Sep 01, 2020	0.046347	0.063474	0.043244	0.057031	124,592	0
Aug 31, 2020	0.047395	0.048887	0.041502	0.046304	118,716	0
Aug 30, 2020	0.054274	0.064188	0.043459	0.047393	222,431	0
Aug 29, 2020	0.040734	0.062356	0.039858	0.054291	154,592	0
Aug 28, 2020	0.046771	0.050539	0.038251	0.040729	143,602	0
Aug 27, 2020	0.046690	0.057670	0.046251	0.046796	179,260	0
Aug 26, 2020	0.048732	0.051689	0.040940	0.046736	174,930	0
Aug 25, 2020	0.062256	0.070019	0.043794	0.048732	464,033	0
Aug 24, 2020	0.045871	0.062666	0.035726	0.062250	396,778	0
Aug 23, 2020	0.061869	0.072401	0.047737	0.047737	279,892	0
Aug 22, 2020	0.038260	0.069633	0.035926	0.061870	288,038	0
Aug 21, 2020	0.055642	0.055837	0.038203	0.038246	55,860.33	0
Aug 20, 2020	0.043556	0.055879	0.043012	0.055644	120,149	0
Aug 19, 2020	0.068636	0.068636	0.039521	0.043556	214,207	0
Aug 18, 2020	0.044983	0.100328	0.031738	0.068492	1,188,990	0
Aug 17, 2020	0.060131	0.062103	0.037360	0.044946	208,457	0
Aug 16, 2020	0.039347	0.062264	0.038542	0.060131	278,317	0
Aug 15, 2020	0.051716	0.052904	0.032239	0.039317	104,999	0
Aug 14, 2020	0.062706	0.068535	0.044740	0.051653	279,077	0
Aug 13, 2020	0.076048	0.094452	0.057374	0.062704	501,348	0
