date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.015863	0.016914	0.015721	0.016892	0	0
Dec 15, 2020	0.015783	0.015992	0.015670	0.015864	0	0
Dec 14, 2020	0.015838	0.015869	0.015603	0.015782	0	0
Dec 13, 2020	0.015427	0.015931	0.015351	0.015837	0	0
Dec 12, 2020	0.014943	0.015522	0.014932	0.015429	0	0
Dec 11, 2020	0.015213	0.015225	0.014754	0.014942	0	0
Dec 10, 2020	0.015490	0.015509	0.015003	0.015213	0	0
Dec 09, 2020	0.015129	0.015556	0.014707	0.015489	0	0
Dec 08, 2020	0.015884	0.015945	0.015082	0.015127	0	0
Dec 07, 2020	0.016082	0.016106	0.015742	0.015885	0	0
Dec 06, 2020	0.015965	0.016165	0.015722	0.016077	0	0
Dec 05, 2020	0.015430	0.015964	0.015308	0.015964	0	0
Dec 04, 2020	0.016357	0.016404	0.015429	0.015432	0	0
Dec 03, 2020	0.016002	0.016473	0.015795	0.016358	0	0
Dec 02, 2020	0.015766	0.016112	0.015572	0.016003	0	0
Dec 01, 2020	0.016340	0.016730	0.015464	0.015770	0	0
Nov 30, 2020	0.015495	0.016353	0.015438	0.016338	0	0
Nov 29, 2020	0.014775	0.015512	0.014647	0.015495	0	0
Nov 28, 2020	0.014342	0.014965	0.014155	0.014777	0	0
Nov 27, 2020	0.014372	0.014616	0.013919	0.014341	0	0
Nov 26, 2020	0.015456	0.015559	0.013700	0.014367	0	0
Nov 25, 2020	0.016089	0.016113	0.015244	0.015459	0	0
Nov 24, 2020	0.016101	0.016345	0.015897	0.016088	0	0
Nov 23, 2020	0.015191	0.016128	0.015032	0.016082	0	0
Nov 22, 2020	0.015063	0.015599	0.014342	0.015191	0	0
Nov 21, 2020	0.014352	0.015080	0.014238	0.015062	0	0
Nov 20, 2020	0.013588	0.014422	0.013586	0.014352	0	0
Nov 19, 2020	0.013727	0.013753	0.013436	0.013588	0	0
Nov 18, 2020	0.013728	0.014006	0.013437	0.013726	0	0
Nov 17, 2020	0.013344	0.013764	0.013266	0.013728	0	0
Nov 16, 2020	0.012969	0.013347	0.012926	0.013266	0	0
Nov 15, 2020	0.013205	0.013221	0.012822	0.012969	0	0
Nov 14, 2020	0.013491	0.013500	0.013044	0.013205	0	0
Nov 13, 2020	0.013242	0.013502	0.013167	0.013491	0	0
Nov 12, 2020	0.013222	0.013348	0.013047	0.013242	0	0
Nov 11, 2020	0.012942	0.013431	0.012940	0.013222	0	0
Nov 10, 2020	0.023932	0.024345	0.012772	0.012943	0	0
Nov 09, 2020	0.013078	0.024642	0.012974	0.023933	23.89	0
Nov 08, 2020	0.012694	0.013170	0.012640	0.013078	0	0
Nov 07, 2020	0.013106	0.013317	0.012522	0.012694	0	0
Nov 06, 2020	0.012374	0.013139	0.012339	0.013106	0	0
Nov 05, 2020	0.012016	0.012445	0.011950	0.012374	0	0
Nov 04, 2020	0.004185	0.012061	0.004074	0.012015	0	0
Nov 03, 2020	0.016174	0.016293	0.004100	0.004174	4.17	0
Nov 02, 2020	0.016494	0.016650	0.016005	0.016193	0	0
Nov 01, 2020	0.016336	0.016553	0.016244	0.016494	0	0
Oct 31, 2020	0.016168	0.016560	0.016108	0.016336	0	0
Oct 30, 2020	0.016189	0.016358	0.015866	0.016168	0	0
Oct 29, 2020	0.016151	0.016371	0.015891	0.016189	0	0
Oct 28, 2020	0.016595	0.016745	0.015880	0.016152	0	0
Oct 27, 2020	0.016162	0.016726	0.013592	0.016589	0	0
Oct 26, 2020	0.016365	0.016497	0.015869	0.016161	0	0
Oct 25, 2020	0.016512	0.016687	0.016307	0.016365	0	0
Oct 24, 2020	0.016386	0.016604	0.016331	0.016512	0	0
Oct 23, 2020	0.016474	0.016586	0.016186	0.016384	0	0
Oct 22, 2020	0.016025	0.016675	0.015988	0.016474	0	0
Oct 21, 2020	0.020007	0.020727	0.015456	0.016025	0	0
Oct 20, 2020	0.015302	0.020577	0.015257	0.020007	275.38	0
Oct 19, 2020	0.015158	0.015384	0.015050	0.015302	0	0
Oct 18, 2020	0.014935	0.015160	0.014917	0.015158	0	0
Oct 17, 2020	0.014873	0.014964	0.014825	0.014935	0	0
Oct 16, 2020	0.015150	0.015215	0.014764	0.014873	0	0
Oct 15, 2020	0.015158	0.015234	0.014958	0.015149	0	0
Oct 14, 2020	0.015188	0.015348	0.015010	0.015158	0	0
Oct 13, 2020	0.015363	0.015363	0.015041	0.015188	0	0
Oct 12, 2020	0.020258	0.021038	0.015345	0.015363	0	0
Oct 11, 2020	0.014699	0.020296	0.014677	0.020258	340.26	0
Oct 10, 2020	0.014506	0.014886	0.014498	0.014699	0	0
Oct 09, 2020	0.014184	0.014563	0.014109	0.014506	0	0
Oct 08, 2020	0.013919	0.014218	0.013766	0.014184	0	0
Oct 07, 2020	0.013873	0.013930	0.013746	0.013919	0	0
Oct 06, 2020	0.016952	0.017002	0.008392	0.013873	0	0
Oct 05, 2020	0.012698	0.016969	0.008386	0.016952	579.56	0
Oct 04, 2020	0.012564	0.012725	0.012543	0.012697	0	0
Oct 03, 2020	0.012572	0.012649	0.012535	0.012564	0	0
Oct 02, 2020	0.012682	0.012708	0.012375	0.012572	0	0
Oct 01, 2020	0.012846	0.013037	0.012532	0.012682	0	0
Sep 30, 2020	0.012868	0.012873	0.012713	0.012846	0	0
Sep 29, 2020	0.014206	0.014231	0.012691	0.012869	0	0
Sep 28, 2020	0.012815	0.014657	0.012815	0.014206	561.40	0
Sep 27, 2020	0.012780	0.012881	0.012651	0.012815	0	0
Sep 26, 2020	0.012709	0.012791	0.012652	0.012780	0	0
Sep 25, 2020	0.013992	0.014329	0.012697	0.012709	0	0
Sep 24, 2020	0.012097	0.014076	0.012057	0.013992	1.50	0
Sep 23, 2020	0.013828	0.014525	0.012052	0.012097	0	0
Sep 22, 2020	0.012884	0.013918	0.011949	0.013837	663.15	0
