date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.009740	0.010629	0.009069	0.010450	5,003.98	125,804
Dec 15, 2020	0.010613	0.010782	0.009007	0.009741	3,652.00	117,270
Dec 14, 2020	0.009162	0.015681	0.008766	0.010614	5,695.63	127,768
Dec 13, 2020	0.009311	0.009741	0.008234	0.009162	1,977.84	110,291
Dec 12, 2020	0.010039	0.010239	0.008422	0.009312	4,421.82	112,102
Dec 11, 2020	0.009788	0.010514	0.009228	0.010038	5,308.87	120,838
Dec 10, 2020	0.010046	0.010656	0.009255	0.009787	5,023.12	117,823
Dec 09, 2020	0.009966	0.011524	0.009125	0.010046	4,927.19	120,938
Dec 08, 2020	0.009841	0.011649	0.009328	0.009968	4,945.88	119,998
Dec 07, 2020	0.010383	0.011360	0.009312	0.009843	4,377.77	118,488
Dec 06, 2020	0.013611	0.015361	0.009702	0.010382	5,064.69	124,977
Dec 05, 2020	0.015345	0.017857	0.012367	0.013606	498.12	163,792
Dec 04, 2020	0.008831	0.016733	0.008621	0.015377	634.41	185,107
Dec 03, 2020	0.009217	0.009422	0.008634	0.008830	100.83	106,294
Dec 02, 2020	0.012453	0.019663	0.009021	0.009219	0.212465	110,984
Dec 01, 2020	0.014115	0.014828	0.012034	0.012455	6,015.48	149,936
Nov 30, 2020	0.012756	0.014408	0.011919	0.014115	8,802.94	169,920
Nov 29, 2020	0.011697	0.012923	0.010397	0.012757	8,539.82	153,572
Nov 28, 2020	0.012041	0.013056	0.010833	0.011697	10,076.15	140,813
Nov 27, 2020	0.012290	0.012751	0.010451	0.012040	10,380.47	144,945
Nov 26, 2020	0.014691	0.015201	0.010738	0.012278	11,408.53	147,811
Nov 25, 2020	0.014806	0.015832	0.013524	0.014692	9,500.44	176,864
Nov 24, 2020	0.013927	0.015975	0.012976	0.014807	8,788.07	178,245
Nov 23, 2020	0.013065	0.015197	0.012547	0.013912	9,713.92	167,479
Nov 22, 2020	0.013313	0.014850	0.011978	0.013066	5,858.15	157,287
Nov 21, 2020	0.013026	0.013911	0.011019	0.013313	8,209.89	160,262
Nov 20, 2020	0.013029	0.013673	0.011698	0.013026	9,724.65	156,815
Nov 19, 2020	0.014651	0.014917	0.011241	0.013029	10,794.16	156,846
Nov 18, 2020	0.028326	0.030924	0.014064	0.014650	8,886.29	176,359
Nov 17, 2020	0.014246	0.033602	0.010656	0.028325	21,281.68	340,989
Nov 16, 2020	0.013745	0.014358	0.010030	0.013912	1,498.27	167,481
Nov 15, 2020	0.013227	0.018127	0.009082	0.013745	5,940.25	165,461
Nov 14, 2020	0.013342	0.014069	0.012188	0.013226	1,597.31	159,221
Nov 13, 2020	0.011293	0.013796	0.010989	0.013342	3,748.33	160,610
Nov 12, 2020	0.012520	0.013825	0.010949	0.011293	3,222.48	135,950
Nov 11, 2020	0.012015	0.012733	0.011794	0.012521	1,187.49	150,734
Nov 10, 2020	0.014931	0.016168	0.011842	0.012016	4,114.06	144,646
Nov 09, 2020	0.010573	0.015968	0.010487	0.014934	5,835.28	179,776
Nov 08, 2020	0.010171	0.010867	0.009483	0.010573	5,600.61	127,276
Nov 07, 2020	0.011126	0.014377	0.009517	0.010171	2,201.56	122,438
Nov 06, 2020	0.010407	0.011252	0.009768	0.011126	1,892.11	133,932
Nov 05, 2020	0.010938	0.011070	0.009906	0.010408	1,145.04	125,289
Nov 04, 2020	0.010374	0.010991	0.009126	0.010938	2,396.92	131,669
Nov 03, 2020	0.007763	0.011834	0.007595	0.010350	1,955.21	124,590
Nov 02, 2020	0.007189	0.013124	0.006928	0.007772	133.68	93,566.73
Nov 01, 2020	0.007121	0.008119	0.006386	0.007188	659.32	86,535.85
Oct 31, 2020	0.007274	0.007740	0.006685	0.007121	610.31	85,724.01
Oct 30, 2020	0.008746	0.008830	0.006412	0.007274	736.62	87,568.29
Oct 29, 2020	0.011154	0.012014	0.008610	0.008746	1,309.38	105,289
Oct 28, 2020	0.010357	0.022064	0.007119	0.011154	7,449.59	134,276
Oct 27, 2020	0.010116	0.014605	0.007298	0.010347	10,492.41	124,560
Oct 26, 2020	0.010110	0.010864	0.009565	0.010114	1,641.77	121,760
Oct 25, 2020	0.010663	0.012025	0.010017	0.010107	1,707.40	121,675
Oct 24, 2020	0.008954	0.011408	0.008810	0.010665	1,578.80	128,389
Oct 23, 2020	0.010197	0.013910	0.008315	0.008953	4,927.64	107,774
Oct 22, 2020	0.009590	0.019237	0.008268	0.010226	4,986.00	123,108
Oct 21, 2020	0.009533	0.012082	0.008077	0.009557	6,876.67	115,046
Oct 20, 2020	0.008431	0.009508	0.007992	0.009508	4,157.07	114,460
Oct 19, 2020	0.009153	0.009622	0.007527	0.008470	16,127.25	101,965
Oct 18, 2020	0.009334	0.015313	0.008352	0.009344	1,541.77	112,481
Oct 17, 2020	0.009303	0.009892	0.009024	0.009334	408.59	112,363
Oct 16, 2020	0.009770	0.010445	0.008596	0.009303	691.31	111,998
Oct 15, 2020	0.009495	0.010109	0.008291	0.009725	1,869.99	117,071
Oct 14, 2020	0.007197	0.013776	0.006002	0.009636	5,894.96	116,005
Oct 13, 2020	0.009055	0.009554	0.006367	0.007992	4,491.08	96,206.64
Oct 12, 2020	0.010432	0.018407	0.007939	0.008866	9,687.05	106,732
Oct 11, 2020	0.009761	0.011391	0.008859	0.010432	1,769.08	125,584
Oct 10, 2020	0.010633	0.011934	0.008922	0.009802	1,480.65	118,005
Oct 09, 2020	0.009398	0.010811	0.008669	0.010670	1,906.33	128,446
Oct 08, 2020	0.008268	0.011120	0.007610	0.009348	4,524.25	112,537
Oct 07, 2020	0.008448	0.008572	0.008050	0.008268	3,061.31	99,528.37
Oct 06, 2020	0.008851	0.009493	0.008258	0.008406	4,364.95	101,188
Oct 05, 2020	0.008377	0.009569	0.008034	0.008891	4,119.79	107,036
Oct 04, 2020	0.009353	0.011473	0.008359	0.008685	4,504.67	104,553
Oct 03, 2020	0.010505	0.010552	0.009027	0.009353	3,741.33	112,597
Oct 02, 2020	0.009686	0.011044	0.008587	0.010359	6,546.47	124,706
Oct 01, 2020	0.008645	0.015778	0.008463	0.010160	4,849.17	122,303
Sep 30, 2020	0.008629	0.009134	0.008178	0.008572	2,443.18	103,190
Sep 29, 2020	0.008526	0.008908	0.008261	0.008617	6,408.48	103,731
Sep 28, 2020	0.009189	0.009564	0.008435	0.008523	3,961.03	102,604
Sep 27, 2020	0.009340	0.009771	0.008971	0.009243	1,524.45	111,269
Sep 26, 2020	0.008685	0.009902	0.008628	0.009340	962.86	112,438
Sep 25, 2020	0.008858	0.008986	0.008506	0.008685	3,008.99	104,548
Sep 24, 2020	0.007599	0.009306	0.007507	0.008748	3,649.81	105,311
Sep 23, 2020	0.011315	0.011601	0.007592	0.007854	3,991.65	94,547.33
Sep 22, 2020	0.011859	0.012724	0.011332	0.011373	10,958.54	136,911
Sep 21, 2020	0.010491	0.013142	0.009127	0.011763	7,832.06	141,609
Sep 20, 2020	0.013545	0.013839	0.010416	0.010491	40.13	126,295
Sep 19, 2020	0.014801	0.015097	0.013502	0.013546	2,177.89	163,069
Sep 18, 2020	0.016847	0.019840	0.014372	0.014858	7,400.75	178,866
Sep 17, 2020	0.019408	0.020694	0.016674	0.016847	13,609.38	202,807
Sep 16, 2020	0.020036	0.020391	0.018187	0.019447	11,082.85	234,109
Sep 15, 2020	0.024358	0.027714	0.019333	0.020033	17,461.02	241,167
Sep 14, 2020	0.021304	0.027070	0.020166	0.024259	13,143.26	292,035
Sep 13, 2020	0.022147	0.022974	0.020690	0.021245	8,299.08	255,747
Sep 12, 2020	0.021804	0.053585	0.019960	0.022123	8,288.02	266,327
Sep 11, 2020	0.020745	0.022440	0.020215	0.021889	11,513.42	263,503
Sep 10, 2020	0.020814	0.024837	0.019743	0.020649	9,472.13	248,582
Sep 09, 2020	0.020936	0.024308	0.019751	0.020986	11,236.82	252,635
Sep 08, 2020	0.020809	0.023159	0.019610	0.020850	11,917.20	251,001
Sep 07, 2020	0.023094	0.023909	0.019432	0.020920	10,046.95	251,836
Sep 06, 2020	0.021272	0.028638	0.019256	0.022850	11,436.69	275,078
Sep 05, 2020	0.022579	0.025842	0.019176	0.021272	11,741.00	256,079
Sep 04, 2020	0.022699	0.053490	0.019218	0.022576	15,437.65	271,774
Sep 03, 2020	0.021887	0.031833	0.020502	0.023109	7,858.25	278,193
Sep 02, 2020	0.026123	0.030055	0.021651	0.021896	2,656.04	263,586
Sep 01, 2020	0.026670	0.029530	0.021959	0.026138	9,067.06	314,653
Aug 31, 2020	0.023467	0.029780	0.020947	0.026679	12,648.33	321,168
Aug 30, 2020	0.019246	0.024218	0.017587	0.022737	6,219.68	273,716
Aug 29, 2020	0.016716	0.023055	0.016222	0.019247	7,861.53	231,704
Aug 28, 2020	0.023853	0.034630	0.016258	0.016714	1,374.05	201,209
Aug 27, 2020	0.017258	0.038912	0.013092	0.023852	976.14	287,142
Aug 26, 2020	0.016891	0.022570	0.016510	0.017260	5,335.50	207,777
Aug 25, 2020	0.021592	0.022279	0.016638	0.016892	7,805.56	203,354
Aug 24, 2020	0.012947	0.059065	0.012376	0.021581	16,124.07	259,800
Aug 23, 2020	0.018943	0.021082	0.012388	0.012949	1,001.25	155,888
Aug 22, 2020	0.022607	0.022617	0.015867	0.018952	1,334.30	228,150
Aug 21, 2020	0.020523	0.024165	0.018112	0.022596	1,375.12	272,013
