date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.598644	0.699982	0.559542	0.644022	12,059.43	0
Dec 15, 2020	0.541205	0.643835	0.541205	0.598715	10,542.43	0
Dec 14, 2020	0.592063	0.592063	0.531435	0.541206	8,262.03	0
Dec 13, 2020	0.611819	0.658503	0.565709	0.592015	9,927.56	0
Dec 12, 2020	0.505231	0.642486	0.501743	0.611898	10,958.61	0
Dec 11, 2020	0.631028	0.631028	0.466988	0.505190	31,373.05	0
Dec 10, 2020	0.662367	0.663721	0.516491	0.631220	63,779.03	0
Dec 09, 2020	0.640428	0.672525	0.538036	0.662702	78,861.23	0
Dec 08, 2020	0.657264	0.676026	0.556477	0.640327	19,958.30	0
Dec 07, 2020	0.706475	0.716154	0.564671	0.657373	9,892.27	0
Dec 06, 2020	0.671265	0.736690	0.659901	0.706317	10,699.90	0
Dec 05, 2020	0.659150	0.733571	0.601239	0.671066	11,020.38	0
Dec 04, 2020	0.721690	0.781823	0.620064	0.660100	12,700.83	0
Dec 03, 2020	0.773044	0.927814	0.677386	0.721587	26,266.93	0
Dec 02, 2020	0.670644	0.830208	0.374516	0.773177	25,969.81	0
Dec 01, 2020	0.701123	0.784124	0.632883	0.670741	25,459.49	0
Nov 30, 2020	0.744541	0.801659	0.604071	0.701130	27,779.54	0
Nov 29, 2020	0.751009	0.774696	0.706066	0.744575	27,084.94	0
Nov 28, 2020	0.715195	0.765579	0.655462	0.751056	27,271.21	0
Nov 27, 2020	0.709346	0.791425	0.435173	0.715168	21,418.95	0
Nov 26, 2020	0.777632	0.788234	0.615962	0.708651	15,307.98	0
Nov 25, 2020	0.811601	0.828852	0.705328	0.778269	14,210.37	0
Nov 24, 2020	0.787043	0.830030	0.766898	0.811631	22,607.29	0
Nov 23, 2020	0.759175	0.829270	0.698207	0.787204	26,447.38	0
Nov 22, 2020	0.738762	0.796703	0.651777	0.759929	26,861.95	0
Nov 21, 2020	0.654463	0.784170	0.642361	0.738691	32,396.39	0
Nov 20, 2020	0.682397	0.720800	0.601955	0.654491	21,470.36	0
Nov 19, 2020	0.657533	0.701457	0.527319	0.682415	9,058.45	0
Nov 18, 2020	0.681372	0.714722	0.511593	0.657468	8,566.51	0
Nov 17, 2020	0.644211	0.698778	0.582503	0.681346	21,884.66	0
Nov 16, 2020	0.642880	0.662966	0.473242	0.648142	31,979.07	0
Nov 15, 2020	0.678064	0.687870	0.367090	0.642882	14,957.95	0
Nov 14, 2020	0.718541	0.725941	0.361680	0.678192	5,201.35	0
Nov 13, 2020	0.842329	0.854003	0.550871	0.718379	8,289.91	0
Nov 12, 2020	0.895610	0.918225	0.819396	0.842533	17,284.31	0
Nov 11, 2020	1.00	1.02	0.861745	0.895364	9,638.07	0
Nov 10, 2020	0.998646	1.22	0.886106	1.01	24,609.08	0
Nov 09, 2020	1.08	1.13	0.919494	0.998702	25,313.11	0
