date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.025242	0.027897	0.023177	0.027724	260.44	74,093.41
Dec 15, 2020	0.025021	0.026795	0.022956	0.025247	153.21	67,472.79
Dec 14, 2020	0.024885	0.025096	0.022815	0.025021	410.22	66,870.47
Dec 13, 2020	0.024445	0.025196	0.024355	0.024883	0.024891	66,500.53
Dec 12, 2020	0.023477	0.029505	0.023460	0.024447	1,263.57	65,335.64
Dec 11, 2020	0.025571	0.025576	0.022905	0.023475	72.76	62,736.52
Dec 10, 2020	0.025975	0.025975	0.023344	0.025569	342.07	68,334.48
Dec 09, 2020	0.025650	0.026995	0.023395	0.025975	190.10	69,418.65
Dec 08, 2020	0.026868	0.030679	0.024244	0.025648	1,001.41	68,545.01
Dec 07, 2020	0.027083	0.028856	0.024610	0.026871	2,266.91	71,812.67
Dec 06, 2020	0.030647	0.030925	0.026917	0.027074	210.08	72,356.56
Dec 05, 2020	0.028050	0.030657	0.027885	0.030646	12.59	81,902.28
Dec 04, 2020	0.035002	0.035121	0.028046	0.028053	1,272.30	74,971.92
Dec 03, 2020	0.030722	0.035219	0.030281	0.035006	1.12	93,554.60
Dec 02, 2020	0.031965	0.034459	0.028865	0.030725	4,252.12	82,112.20
Dec 01, 2020	0.037289	0.037289	0.031147	0.031968	472.02	85,433.96
Nov 30, 2020	0.038173	0.040845	0.031323	0.037292	3,243.76	99,663.86
Nov 29, 2020	0.033663	0.040598	0.033394	0.038174	1,435.31	102,022
Nov 28, 2020	0.034217	0.037706	0.032567	0.033664	503.83	89,967.97
Nov 27, 2020	0.041162	0.043613	0.030437	0.034217	842.47	91,446.47
Nov 26, 2020	0.043088	0.050929	0.038026	0.041148	4,112.65	109,970
Nov 25, 2020	0.047773	0.055850	0.041451	0.043144	647.56	115,303
Nov 24, 2020	0.042237	0.051541	0.041862	0.047724	5,166.85	127,543
Nov 23, 2020	0.045925	0.055685	0.040756	0.042210	3,701.49	112,807
Nov 22, 2020	0.042877	0.052041	0.041391	0.045928	4,244.85	122,745
Nov 21, 2020	0.042829	0.048775	0.042491	0.042876	632.08	114,588
Nov 20, 2020	0.044543	0.047208	0.039720	0.042831	1,688.30	114,466
Nov 19, 2020	0.040949	0.052109	0.040001	0.044544	1,317.51	119,045
Nov 18, 2020	0.045878	0.051676	0.040235	0.040945	2,519.21	109,428
Nov 17, 2020	0.041721	0.052804	0.038125	0.045876	6,268.82	122,605
Nov 16, 2020	0.038293	0.051861	0.035388	0.038444	3,009.44	102,743
Nov 15, 2020	0.035350	0.041776	0.033366	0.038294	2,241.46	102,340
Nov 14, 2020	0.035899	0.041833	0.034648	0.035348	3,735.18	94,468.90
Nov 13, 2020	0.034180	0.046017	0.033845	0.035899	3,537.43	95,941.76
Nov 12, 2020	0.037683	0.040292	0.033430	0.034180	2,495.56	91,347.08
Nov 11, 2020	0.041285	0.043138	0.033805	0.037688	3,834.75	100,722
Nov 10, 2020	0.038333	0.044284	0.035143	0.041288	4,548.75	110,344
Nov 09, 2020	0.037149	0.041984	0.033454	0.038342	5,401.03	102,470
Nov 08, 2020	0.035601	0.041799	0.035386	0.037167	1,529.26	99,328.98
Nov 07, 2020	0.042028	0.042490	0.034616	0.035638	0.320740	95,242.99
Nov 06, 2020	0.042066	0.044022	0.038317	0.041993	3,874.61	112,226
Nov 05, 2020	0.036748	0.045517	0.034192	0.042066	8,209.78	112,423
Nov 04, 2020	0.034875	0.041297	0.033018	0.036747	3,603.12	98,206.59
Nov 03, 2020	0.035229	0.040805	0.033546	0.034787	4,897.39	92,969.19
Nov 02, 2020	0.039838	0.041401	0.030092	0.035253	8,518.19	94,213.94
Nov 01, 2020	0.046855	0.051023	0.038339	0.039765	1,072.31	106,274
Oct 31, 2020	0.044704	0.049095	0.042678	0.046849	695.52	125,204
Oct 30, 2020	0.045689	0.047955	0.039620	0.044774	5,076.97	119,659
Oct 29, 2020	0.042468	0.047642	0.039334	0.045728	4,005.56	122,210
Oct 28, 2020	0.051887	0.053578	0.040090	0.042469	2,391.24	113,501
Oct 27, 2020	0.043147	0.053558	0.043101	0.051827	258.77	138,508
Oct 26, 2020	0.044307	0.048714	0.042314	0.043138	1,593.79	115,289
Oct 25, 2020	0.045879	0.047178	0.042001	0.044286	2,518.21	118,354
Oct 24, 2020	0.045262	0.046785	0.043885	0.045894	914.30	122,652
Oct 23, 2020	0.046677	0.048063	0.043359	0.045249	2,051.11	120,930
Oct 22, 2020	0.039753	0.049320	0.039662	0.046677	11,562.13	124,746
Oct 21, 2020	0.027408	0.042457	0.027372	0.041036	7,881.59	109,669
Oct 20, 2020	0.016439	0.036377	0.016370	0.027408	9,272.56	73,247.43
Oct 19, 2020	0.018373	0.020646	0.016332	0.016439	2,728.36	43,933.22
Oct 18, 2020	0.017037	0.020598	0.017021	0.018373	1,306.59	49,103.30
Oct 17, 2020	0.016983	0.017079	0.016928	0.017037	0	45,532.23
Oct 16, 2020	0.017243	0.020739	0.016948	0.016983	299.38	45,387.99
Oct 15, 2020	0.018287	0.021624	0.017071	0.017243	3,358.69	46,081.57
Oct 14, 2020	0.018281	0.021726	0.017137	0.018287	1,540.25	48,873.14
Oct 13, 2020	0.017333	0.021933	0.017150	0.019424	1,614.42	51,911.21
Oct 12, 2020	0.020492	0.020534	0.017314	0.017333	1,539.57	46,322.96
Oct 11, 2020	0.020333	0.020572	0.020320	0.020492	0.553273	54,764.27
Oct 10, 2020	0.017703	0.021664	0.017691	0.020333	304.33	54,341.67
Oct 09, 2020	0.018557	0.028821	0.016363	0.017703	1,932.96	47,312.07
Oct 08, 2020	0.016003	0.020776	0.013815	0.018557	4,349.86	49,592.82
Oct 07, 2020	0.019088	0.022244	0.013858	0.016004	4,684.67	42,769.77
Oct 06, 2020	0.023745	0.025876	0.017899	0.018027	4,125.06	48,178.78
Oct 05, 2020	0.026671	0.026880	0.023438	0.023745	13,283.04	63,458.51
Oct 04, 2020	0.026373	0.027538	0.024322	0.026670	3,866.69	71,274.96
Oct 03, 2020	0.026440	0.027424	0.026278	0.026373	148.75	70,483.38
Oct 02, 2020	0.026549	0.026645	0.026042	0.026440	0	70,661.39
Oct 01, 2020	0.026961	0.028156	0.026181	0.026549	55.22	70,952.04
Sep 30, 2020	0.029281	0.030265	0.025691	0.028041	1,577.77	74,939.79
Sep 29, 2020	0.029987	0.032122	0.025824	0.029281	8,157.60	78,252.97
Sep 28, 2020	0.033403	0.038219	0.029971	0.029987	2,153.14	80,141.17
Sep 27, 2020	0.034402	0.034504	0.033226	0.033404	153.01	89,273.07
Sep 26, 2020	0.034217	0.034474	0.033276	0.034402	45.15	91,941.07
Sep 25, 2020	0.033356	0.035114	0.032814	0.034217	427.71	91,444.99
Sep 24, 2020	0.032788	0.035541	0.031886	0.033356	482.05	89,145.31
Sep 23, 2020	0.032655	0.034743	0.031613	0.032788	572.76	87,626.22
Sep 22, 2020	0.032374	0.034696	0.032245	0.032661	222.09	87,287.09
Sep 21, 2020	0.032785	0.038311	0.032738	0.033431	1,186.03	89,344.90
Sep 20, 2020	0.034377	0.039468	0.032504	0.032785	1,357.82	87,618.42
Sep 19, 2020	0.032807	0.036198	0.032730	0.034375	2,058.33	91,867.37
Sep 18, 2020	0.033920	0.036257	0.032502	0.032803	1,324.72	87,667.33
Sep 17, 2020	0.038378	0.038378	0.033363	0.033920	191.78	90,651.12
Sep 16, 2020	0.034535	0.040807	0.033644	0.038378	3,960.45	102,566
Sep 15, 2020	0.034169	0.043596	0.030182	0.035616	4,176.15	95,184.57
Sep 14, 2020	0.029956	0.035617	0.029399	0.034169	3,788.30	91,318.72
Sep 13, 2020	0.032400	0.033051	0.029680	0.029953	430.69	80,049.35
Sep 12, 2020	0.033283	0.034230	0.029932	0.032400	705.29	86,590.58
Sep 11, 2020	0.031050	0.033296	0.028699	0.033273	3,372.97	88,922.53
Sep 10, 2020	0.030699	0.035364	0.029839	0.031048	4,774.54	82,976.16
Sep 09, 2020	0.030383	0.037726	0.029832	0.030699	5,390.49	82,043.24
Sep 08, 2020	0.036289	0.038110	0.030285	0.030382	2,814.74	81,196.59
Sep 07, 2020	0.036952	0.037585	0.031302	0.036289	3,286.27	96,982.43
Sep 06, 2020	0.034566	0.037382	0.034361	0.036949	166.75	98,746.45
Sep 05, 2020	0.031454	0.040910	0.031323	0.034566	1,591.73	92,378.40
Sep 04, 2020	0.035729	0.039123	0.030892	0.031460	3,316.06	84,077.25
Sep 03, 2020	0.037590	0.043418	0.035404	0.035714	2,771.65	95,447.52
Sep 02, 2020	0.040579	0.047302	0.035378	0.036467	4,144.10	97,457.87
Sep 01, 2020	0.037330	0.044139	0.035905	0.040577	4,416.53	108,443
Aug 31, 2020	0.037195	0.039999	0.035962	0.037342	4,461.42	99,797.01
Aug 30, 2020	0.036772	0.037292	0.036738	0.037195	0	99,405.83
Aug 29, 2020	0.036900	0.037068	0.036659	0.036794	6.40	98,332.01
Aug 28, 2020	0.035064	0.039156	0.035043	0.036893	435.86	98,598.16
Aug 27, 2020	0.037884	0.039875	0.034600	0.035063	285.80	93,706.58
Aug 26, 2020	0.036313	0.038589	0.032726	0.037896	4,647.37	101,279
Aug 25, 2020	0.041189	0.046822	0.035222	0.035222	1,388.90	94,130.80
Aug 24, 2020	0.041964	0.045776	0.041102	0.041198	1,270.25	110,102
Aug 23, 2020	0.044364	0.047780	0.040399	0.041976	5,068.56	112,183
Aug 22, 2020	0.041609	0.045924	0.039086	0.044368	2,777.99	118,574
Aug 21, 2020	0.040367	0.042440	0.040066	0.041589	11.06	111,147
Aug 20, 2020	0.043443	0.047252	0.039960	0.040371	1,796.31	107,893
Aug 19, 2020	0.044290	0.048926	0.039627	0.043443	1,181.04	116,102
Aug 18, 2020	0.042858	0.050319	0.041718	0.044292	3,190.57	118,371
Aug 17, 2020	0.039287	0.050613	0.039084	0.042867	1,506.39	114,563
Aug 16, 2020	0.043945	0.048850	0.038990	0.039287	1,951.31	104,996
Aug 15, 2020	0.041184	0.047717	0.038854	0.043953	1,269.75	117,465
Aug 14, 2020	0.044756	0.046122	0.036433	0.041169	3,460.29	110,026
Aug 13, 2020	0.040524	0.047279	0.040432	0.045952	6,155.27	122,809
Aug 12, 2020	0.035325	0.042869	0.034389	0.040522	1,552.19	108,296
Aug 11, 2020	0.041608	0.048917	0.035299	0.035306	4,778.48	94,357.39
Aug 10, 2020	0.046764	0.057653	0.037952	0.041594	3,090.29	111,162
Aug 09, 2020	0.062337	0.062513	0.040944	0.046746	2,474.30	124,929
Aug 08, 2020	0.038284	0.062427	0.035908	0.062317	1,569.63	166,542
Aug 07, 2020	0.042385	0.042848	0.034757	0.038271	1,210.37	102,281
Aug 06, 2020	0.038758	0.042841	0.033823	0.042390	1,052.21	113,289
Aug 05, 2020	0.032480	0.039773	0.032401	0.038758	3,503.09	103,581
Aug 04, 2020	0.033739	0.044065	0.032415	0.035836	11,170.29	95,772.53
Aug 03, 2020	0.036507	0.041071	0.032376	0.033742	9,819.93	90,175.71
Aug 02, 2020	0.043543	0.043715	0.034925	0.036490	575.34	97,520.82
Aug 01, 2020	0.039623	0.045426	0.034807	0.043547	4,983.15	116,380
Jul 31, 2020	0.037739	0.041989	0.031918	0.039623	10,476.11	105,894
Jul 30, 2020	0.037729	0.042096	0.033710	0.037744	3,748.39	100,872
Jul 29, 2020	0.039286	0.042631	0.035052	0.037729	10,222.81	100,833
Jul 28, 2020	0.047229	0.059248	0.036175	0.038181	18,506.98	102,040
Jul 27, 2020	0.044571	0.051099	0.037926	0.047232	14,947.36	126,228
Jul 26, 2020	0.034846	0.053200	0.033780	0.044570	2,607.21	119,114
Jul 25, 2020	0.037188	0.037544	0.034786	0.034840	80.55	93,110.43
Jul 24, 2020	0.036422	0.041115	0.035102	0.037185	1,169.28	99,377.60
Jul 23, 2020	0.040014	0.041553	0.034244	0.036422	3,348.54	97,338.94
Jul 22, 2020	0.034662	0.042149	0.034472	0.040014	3,012.55	106,939
Jul 21, 2020	0.042997	0.044398	0.031659	0.035599	12,078.84	95,138.05
Jul 20, 2020	0.045985	0.048588	0.040208	0.042997	6,095.87	114,911
Jul 19, 2020	0.043928	0.046629	0.037489	0.045914	8,462.75	122,707
Jul 18, 2020	0.047554	0.051061	0.034775	0.043929	7,265.84	117,402
Jul 17, 2020	0.053850	0.056915	0.045702	0.048482	8,488.53	129,569
Jul 16, 2020	0.056955	0.057954	0.050834	0.054767	13,876.81	146,367
Jul 15, 2020	0.035101	0.058824	0.035073	0.056964	9,502.75	152,239
Jul 14, 2020	0.041779	0.043314	0.033970	0.035101	5,865.59	93,807.83
Jul 13, 2020	0.040818	0.044302	0.034199	0.041779	9,034.82	111,656
Jul 12, 2020	0.036965	0.045249	0.036965	0.040818	5,587.00	109,088
Jul 11, 2020	0.038986	0.041613	0.036809	0.036965	4,997.36	98,791.06
