date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.072833	0.079485	0.067110	0.070508	13,561,801	534,069
Dec 15, 2020	0.051768	0.085048	0.050976	0.072832	7,792,997	551,770
Dec 14, 2020	0.049896	0.071419	0.049134	0.051763	8,126,139	392,322
Dec 13, 2020	0.048410	0.053337	0.043964	0.049897	20,500,691	378,358
Dec 12, 2020	0.047399	0.053358	0.042556	0.048396	11,293,361	367,072
Dec 11, 2020	0.048253	0.049682	0.041566	0.047399	7,755,433	359,687
Dec 10, 2020	0.045160	0.048344	0.041905	0.048265	7,704,949	366,333
Dec 09, 2020	0.059899	0.060235	0.040851	0.045037	8,239,618	341,854
Dec 08, 2020	0.060924	0.066824	0.049564	0.059899	2,899,498	454,671
Dec 07, 2020	0.046663	0.072917	0.044370	0.060927	6,785,181	462,477
Dec 06, 2020	0.035515	0.055313	0.035515	0.046662	4,933,463	354,304
Dec 05, 2020	0.064064	0.069407	0.033876	0.035515	4,886,698	269,778
Dec 04, 2020	0.070601	0.085204	0.062508	0.064064	7,228,450	486,861
Dec 03, 2020	0.054057	0.073779	0.053714	0.070601	5,057,927	536,673
Dec 02, 2020	0.049274	0.061770	0.047807	0.054058	2,479,531	410,979
Dec 01, 2020	0.056557	0.056818	0.047024	0.049276	2,609,797	374,813
Nov 30, 2020	0.065016	0.067736	0.049406	0.056558	5,252,651	430,439
Nov 29, 2020	0.071575	0.074210	0.062179	0.065016	7,141,776	494,839
Nov 28, 2020	0.074024	0.076318	0.066712	0.071576	2,293,450	544,809
Nov 27, 2020	0.078483	0.085799	0.071550	0.074021	4,355,331	563,617
Nov 26, 2020	0.078873	0.135942	0.066972	0.078476	4,451,567	597,649
Nov 25, 2020	0.065457	0.091437	0.065403	0.078874	2,337,811	600,985
Nov 24, 2020	0.034670	0.076573	0.033839	0.065457	5,015,539	498,914
Nov 23, 2020	0.054302	0.059553	0.030866	0.034664	2,584,443	264,277
Nov 22, 2020	0.050311	0.061411	0.036461	0.054335	108,359	414,588
Nov 21, 2020	0.042825	0.085120	0.034700	0.050317	76,710.61	384,361
Nov 20, 2020	0.040358	0.051425	0.040081	0.042826	52,272.35	327,425
Nov 19, 2020	0.041344	0.047549	0.038270	0.040353	67,637.13	308,884
Nov 18, 2020	0.051915	0.062204	0.029069	0.041339	122,623	316,646
Nov 17, 2020	0.037505	0.065185	0.036034	0.051917	213,442	398,099
Nov 16, 2020	0.047848	0.071311	0.018982	0.035598	201,163	273,223
Nov 15, 2020	0.046198	0.075476	0.045687	0.047844	73,231.79	367,567
Nov 14, 2020	0.054775	0.056058	0.046183	0.046194	78,985.40	355,264
Nov 13, 2020	0.050307	0.060022	0.050300	0.054765	76,768.61	421,533
Nov 12, 2020	0.059166	0.064559	0.049923	0.050307	179,078	387,618
Nov 11, 2020	0.069090	0.077291	0.057383	0.059169	140,146	456,349
Nov 10, 2020	0.072079	0.089955	0.067299	0.069093	57,477.19	533,466
Nov 09, 2020	0.054123	0.184914	0.039384	0.072075	117,750	557,098
Nov 08, 2020	0.052124	0.057798	0.044565	0.054130	91,602.74	418,849
Nov 07, 2020	0.057911	0.075134	0.051743	0.052144	121,411	403,950
Nov 06, 2020	0.052631	0.059627	0.043088	0.057877	100,672	448,933
Nov 05, 2020	0.047742	0.058792	0.043124	0.052632	189,721	408,774
Nov 04, 2020	0.057407	0.059984	0.039387	0.047741	96,028.31	371,168
Nov 03, 2020	0.057384	0.057930	0.053828	0.057406	125,464	446,801
Nov 02, 2020	0.059826	0.062187	0.055148	0.057382	171,052	447,135
Nov 01, 2020	0.058874	0.060809	0.057175	0.059824	67,304.47	466,672
Oct 31, 2020	0.067222	0.067222	0.057459	0.058874	74,550.94	459,793
Oct 30, 2020	0.053370	0.067682	0.053370	0.067224	32,063.34	525,614
Oct 29, 2020	0.056369	0.056369	0.051448	0.053371	56,051.34	417,779
Oct 28, 2020	0.053605	0.069518	0.053552	0.056381	140,170	441,872
Oct 27, 2020	0.050110	0.059393	0.048846	0.053607	59,381.69	420,579
Oct 26, 2020	0.060902	0.070765	0.048193	0.050108	138,048	393,616
